Quarters,Year,Quarter,FillingDate,Date,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,MarketCap,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Symbol
2023Q1,2023,Q1,2023-05-09,2023-03-31,4736147.0,6645801.0,13076094.0,0.24,6645801.0,1.0,900852176.0,280852045.0,22023929000000.0,100482777000000.0,620000131.0,0.0,-2572911.0,278700030.92,864626984.9200001,14.1987975422432,0.2191811338972051,109519.01811141765,351289.75393094966,1.209536991108854e-07,14.1987975422432,0.016863494798480105,41.93625883772325,14.711327104078483,0.9923375523934675,1.1089550218774882,0.0,0.018845258045585296,0.0073772381052671174,0.17766333213145571,0.0052574075149927815,-8.697681932891228,1.0,-0.7391304347826088,-0.4798738166696854,-0.37658012337980573,0.01911260560566813,0.920946604698916,0.1905119444659503,-0.48964959365065586,1.1058773160432696,1.1539010616835075,0.22655562121117612,Asset Management,Financial Services,SCM
2022Q4,2022,Q4,2023-02-28,2022-12-31,3978244.0,5270225.0,25621796.0,0.92,3459649.0,0.6564518593,898182782.0,275776613.0,896761376.0,100045740.0,622406169.0,0.0,642226.0,259271865.06,815358704.06,14.10410608005521,8.963513848765574,0.7823350370125443,2.548003807705043,0.02519274893917911,14.10410608005521,0.014425603232715023,49.195596973563745,16.293109790399985,0.9401517490534993,2.233548520402469,0.0,0.03427136607338292,0.005867653116512313,8.971040795939937,0.004429214275452455,7.136637144537704,0.6564518592659706,3.5999999999999996,-0.3385621422266537,-0.2983651900845283,0.021581744675168428,-0.3836482390860821,0.0057425947325882324,1.3868890907530926,1.1568701069595406,0.7211982414434426,0.012803559085398545,Asset Management,Financial Services,SCM
2022Q3,2022,Q3,2022-11-03,2022-09-30,3955529.0,5613108.0,10734389.0,0.2,5613108.0,1.0,889108147.0,277177984.0,16913791.0,3099905.0,611930163.0,0.0,2294142.0,233183004.54999998,816729184.55,14.18085059630046,5.456228819915449,110715.09275679036,355142.5316879533,1.006366218745217e-07,14.18085059630046,0.014270718557502749,41.54258292375632,14.73778883620876,0.8412753465657647,1.679589000611549,0.0,0.028491197344424988,0.006313189254805018,5.456228819915449,0.0044488727421367336,-14.869438128298679,1.0,1.857142857142857,-0.43745647992467096,-0.3650811484475602,0.012095554659918047,0.7622903494090177,1.9610644033336153,0.44141538262390667,-0.5481929966753294,-0.44645758939412794,-0.014935604142788836,Asset Management,Financial Services,SCM
2022Q2,2022,Q2,2022-08-03,2022-06-30,1335847.0,3185121.0,7447117.0,0.07,3185121.0,1.0,882946396.0,279866118.0,30570881.0,6167782.0,603080278.0,0.0,4982276.0,217514892.21,778965837.21,14.320444277133479,4.956543697556107,111360.19735568749,351329.0055106027,5.262098760183509e-08,14.320444277133479,0.004773164431430031,68.29093532396415,40.7072988542101,0.7772105239620325,4.972233347082413,0.0,0.030536497673857358,0.0036073775423168496,4.956543697556107,0.0015129423553363708,-15.526521638420563,1.0,-0.7407407407407407,-0.8264478807206914,-0.6407226590306858,0.015404450378785071,-0.537143848628392,-0.7441966587031736,-0.2849167037549685,-0.7846797912528385,-0.5958181695759796,0.0011030237289892599,Asset Management,Financial Services,SCM
2022Q1,2022,Q1,2022-05-11,2022-03-31,5222164.0,6881449.0,10414335.0,0.27,6881449.0,1.0,866669806.0,285036401.0,28004571.0,3051455.0,581633405.0,0.0,10290092.0,271101700.29,812803384.29,14.60394975632707,9.17744846311022,0.6534581718195914,1.9868776935616725,0.011566709922092262,14.60394975632707,0.01832104244117228,39.39601968858594,12.978417581772613,0.9511125573396502,0.8469071442413528,0.0,0.016313759726586035,0.00794010470003613,9.17744846311022,0.006025552019750415,-4.308332337014553,1.0,-0.49056603773584906,-0.44576439089074077,-0.37870296874036763,0.05555295700636831,-0.4707084590744963,-0.49049647715038225,-0.3750064888851174,-0.568656653199465,-0.4863401521814848,-0.10832590030726105,Asset Management,Financial Services,SCM
2021Q4,2021,Q4,2022-03-01,2021-12-31,10249515.0,13001245.0,16663109.0,0.53,13001245.0,1.0,821262018.0,285111233.0,47710312.0,4864721.0,536150785.0,0.0,10532594.0,253707759.06,727702895.06,14.631591353034278,9.80740971578843,0.6309435729925599,1.8174309954318777,0.01800000079041536,14.631591353034278,0.03594917987675358,19.5141126145996,6.18828693504034,0.8898553606269172,0.7228270801106199,0.0,0.02920142067175768,0.015830812475245874,9.80740971578843,0.012480200929004853,9.76079057831281,1.0,-0.19696969696969696,0.148055025808602,0.29649995414014085,0.06858452425130983,0.0,-0.19791697398334296,0.0,2.639845500267014,1.8030189489415689,0.06402904657067506,Asset Management,Financial Services,SCM
2021Q3,2021,Q3,2021-10-28,2021-09-30,12778621.0,15509183.0,0.0,0.66,0.0,0.0,827018823.0,275644969.0,0.0,0.0,551373854.0,0.0,-401184.0,254487199.18,746931527.1800001,14.145793213723717,0.0,0.6410953792765125,1.923481309756827,0.0,14.145793213723717,0.04635898506096079,16.408807554853148,4.978768819812404,0.9232426773586425,0.43200154382855555,0.0,0.021692187339039423,0.018753119721919558,0.0,0.015451427034811274,20.447592528805036,0.0,1.2758620689655176,-0.1756038783611611,-0.07678208550175739,0.04210516550872498,0.0,1.2790689337586152,0.0,0.1775837863669799,0.2751762767813348,-0.009766288359598068,Asset Management,Financial Services,SCM
2021Q2,2021,Q2,2021-08-02,2021-06-30,5606948.0,6947853.0,0.0,0.29,0.0,0.0,804070030.0,274166281.0,0.0,0.0,529903749.0,0.0,-1879872.0,245328777.77,744136299.77,14.06990859028401,0.0,0.6434890963415214,1.8872134644449585,0.0,14.06990859028401,0.020450902932151602,35.310012714719214,10.938605894418853,0.8948174694392853,0.8684853150055967,0.0,0.019849085966446585,0.008640855573239061,0.0,0.0069732085400571395,-4.26741992033472,0.0,0.15999999999999992,-0.28606965092502623,-0.2584731712755297,0.07251004772146552,0.0,0.13551817129451488,0.0,-0.3962333273104859,-0.3392356919297342,0.00011224816851504126,Asset Management,Financial Services,SCM
2021Q1,2021,Q1,2021-05-06,2021-03-31,4937788.0,7201455.0,0.0,0.25,0.0,0.0,747758576.0,273428885.0,0.0,0.0,474329691.0,0.0,-2617268.0,247472238.1,683416850.1,14.03206624775743,0.0,0.6237230330341273,1.705724130060363,0.0,14.03206624775743,0.018058765078897938,34.36419974852304,12.529509068635592,0.9050698432976456,0.6574532969013656,0.0,0.013118097710371012,0.00963072204202978,0.0,0.006603452181603599,-4.337636414250189,0.0,-0.7102159329655503,0.25302432016217674,0.4095983853119104,0.07479854996012027,0.0,-0.7062732041788089,0.0,-0.4495482687647041,-0.3142642016927969,0.007145538432981633,Asset Management,Financial Services,SCM
2020Q4,2020,Q4,2021-03-04,2020-12-31,16810819.0,17855960.0,0.0,0.8627113373016464,0.0,0.0,674910157.0,273360649.0,0.0,0.0,401549508.0,0.0,-2685504.0,212008006.4,586733823.4,14.028545014043393,0.0,0.5826011283454429,1.438405346337907,0.0,14.028545014043393,0.06149685063119674,11.8732348414759,3.1528506493348125,0.7755615417784585,0.35933192784955925,0.0,0.028492622059767644,0.02645679549315184,0.0,0.024908232341212196,-13.332147303344891,0.0,1.2120803520555035,10.792325361549091,13.110565446075997,0.0633131292788719,0.0,1.2388514359381408,0.0,1.804626317619676,1.3853585911042174,0.016108742330480638,Asset Management,Financial Services,SCM
