Year,Date,FillingDate,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Price,MarketCap,AvgVolume,Symbol
2022,2022-12-31,2023-03-10,-23751000.0,-3297000.0,-4775000.0,-1.14,-3297000.0,1.0,37692000.0,34576000.0,21423000.0,1817000.0,3116000.0,0.0,-723898000.0,46802600.0,1.6634273068411431,11.79031370390754,0.0445187307651491,0.04853077279037483,-0.21202075831409473,1.6634273068411431,-0.6869215640906987,-19.544009705793144,-2.713005768178182,1.8636221656640444,0.0,0.0,0.0,-0.08747214262973575,11.101816180517336,-0.6301337153772684,-19.77796193984039,1.0,-1.2814814814814814,0.736437940828958,0.0,-0.5845295628299116,0.0,-1.2957525495909448,0.33244792394799383,-1.1793275740700364,0.0,-0.6626091162464116,Asset Management,Financial Services,1.57,25603089,11170,SFE
2021,2021-12-31,2022-03-11,80307000.0,0.0,-7153000.0,4.05,0.0,0.0,54028000.0,50566000.0,30278000.0,1734000.0,3462000.0,0.0,-709635000.0,123042450.0,2.5503606193574417,17.46136101499423,0.0379988154290368,0.04060040343313689,-0.38908865393921416,2.5503606193574417,1.5881620060910493,0.0,1.8146419365684188,2.8819453783174467,0.0,0.0,0.0,0.0,16.89042675893887,1.486395942844451,-17.87640456329735,0.0,2.277602523659306,4.701239740011997,0.0,-0.6944109857072016,0.0,2.221139225107962,0.24434819353475598,6.324149123135417,0.0,-0.217745732780733,Asset Management,Financial Services,1.57,25603089,11170,SFE
2020,2020-12-31,2021-03-05,-65764000.0,0.0,-9466000.0,-3.17,0.0,0.0,69035000.0,62875000.0,16063000.0,3470000.0,6160000.0,0.0,-736639000.0,118843380.0,3.0299744590622137,4.6291066282420745,0.0344752661693344,0.03785288270377734,-0.24588213111257448,3.0299744590622137,-1.0459483101391651,0.0,-2.0131284593394563,2.105628310139165,0.0,0.0,0.0,0.0,4.495965417867435,-0.9526182371260955,-16.2583052928896,0.0,-1.497645211930926,-0.11138047157150355,0.0,-0.6764906940565989,0.0,-1.5001483013788226,0.051693047485473854,0.26899372408363725,0.0,-0.24321020344954494,Asset Management,Financial Services,1.57,25603089,11170,SFE
2019,2019-12-31,2020-02-28,131489000.0,0.0,-9982000.0,6.37,0.0,0.0,107577000.0,101741000.0,26350000.0,2429000.0,5836000.0,0.0,-697223000.0,203935280.0,4.930267493700329,10.848085631947303,0.025832659397454848,0.027314455332658416,-0.225033389306935,4.930267493700329,1.292389498825449,0.0,1.7232109149814814,2.2270596907834603,0.1572679083421427,0.0,0.09126445693609872,0.0,10.314121037463977,1.2222779962259591,-11.346183274912368,0.0,9.381578947368421,26.956311709468388,0.0,-0.5989079472655525,0.0,9.41314223558769,0.4083338272775769,6.822570074610061,0.0,-0.4092460602770352,Asset Management,Financial Services,1.57,25603089,11170,SFE
2018,2018-12-31,2019-03-01,-15629000.0,0.0,-16871000.0,-0.76,0.0,0.0,145737000.0,66979000.0,48827000.0,32940000.0,78758000.0,0.0,-731105000.0,239560279.99999997,3.2602706386292835,1.482301153612629,0.48151121540857844,1.0477015183863598,-0.12300861082149132,3.2602706386292835,-0.23334179369653174,0.0,-11.330813231812655,2.6439522835515605,0.0,0.0,0.0,0.0,1.3860959319975714,-0.10724112613818042,-6.801969656231995,0.0,0.8248847926267282,0.5425390696078626,0.0,-0.7553373964737047,0.0,0.8235446868084721,0.015177164205241959,0.7332160146900614,0.0,-0.6519020520664554,Asset Management,Financial Services,1.57,25603089,11170,SFE
2017,2017-12-31,2018-03-07,-88572000.0,0.0,-17131000.0,-4.34,0.0,0.0,176464000.0,81796000.0,33608000.0,45812000.0,94668000.0,0.0,-715476000.0,293871000.0,4.003720019579051,0.73360691521872,0.48625215341372746,1.0490244021712554,-0.10221238410042839,4.003720019579051,-1.0828402366863905,0.0,-2.583389784582035,2.797398405790014,0.0,0.0,0.0,0.0,0.6322360953461975,-0.501926738598241,-10.998125450612834,0.0,-2.9816513761467887,-1.3101075069532315,0.0,-0.7325421020073478,0.0,-2.9786182732908095,0.08351166274341965,-16.660669465493637,0.0,-0.6742853641757047,Asset Management,Financial Services,1.57,25603089,11170,SFE
2016,2016-12-31,2017-03-03,-22262000.0,0.0,-18692000.0,-1.09,0.0,0.0,231828000.0,169777000.0,32551000.0,5861000.0,62051000.0,0.0,-626904000.0,312499350.0,8.345720886791526,5.553830404367855,0.22671980951395,0.30958257007721895,-0.08407057754669713,8.345720886791526,-0.13112494625302604,0.0,-12.290600574970801,1.6116043398104571,0.0,0.0,0.0,0.0,5.19399419894216,-0.0960280897907069,-14.33055831980307,0.0,0.6175438596491228,-1.2054550653032767,0.0,-0.5024389901994394,0.0,0.6259995968012902,-0.06482852911017432,0.34195286376987927,0.0,-0.373706656044767,Asset Management,Financial Services,1.57,25603089,11170,SFE
2015,2015-12-31,2016-03-04,-59524000.0,0.0,-17554000.0,-2.85,0.0,0.0,257634000.0,195505000.0,69668000.0,6417000.0,62129000.0,0.0,-604270000.0,352810740.0,9.3659576506659,10.856786660433224,0.20085470085470086,0.264683767678576,-0.07099639234465242,9.3659576506659,-0.3044628014628782,0.0,-5.088396949129763,1.5492275900872101,0.0,0.0,0.0,0.0,9.95137914913511,-0.23104093403820924,-15.449208875286917,0.0,-10.4,-3.159670740064365,0.0,-0.22113446254728253,0.0,-10.560302971450767,0.0746441750131787,-0.5194644217893004,0.0,-0.3743320377835323,Asset Management,Financial Services,1.57,25603089,11170,SFE
2014,2014-12-31,2015-03-06,-5149000.0,0.0,-18970000.0,-0.25,0.0,0.0,318454000.0,257827000.0,138844000.0,6557000.0,60627000.0,0.0,-544746000.0,379653500.0,12.292109654350417,21.174927558334605,0.15877646379068877,0.19611212169400413,-0.06151301922889847,12.292109654350417,-0.01997075558417078,0.0,-80.73888133618179,1.6124164653042543,0.0,0.0,0.0,0.0,20.918102790910478,-0.016168740226217917,-20.531632753852232,0.0,0.8493975903614458,-1.0737355868571747,-1.0,0.3103359081847296,0.0,0.8550598170302603,0.12354463130659767,-1.046088077855666,0.0,-0.2671604316557595,Asset Management,Financial Services,1.57,25603089,11170,SFE
2013,2013-12-31,2014-03-07,-35525000.0,0.0,-21644000.0,-1.66,0.0,0.0,345996000.0,284661000.0,179130000.0,8174000.0,61335000.0,0.0,-539597000.0,339792580.0,13.325578129388633,21.914607291411794,0.144360050405207,0.1754648511738524,-0.06468445259990019,13.325578129388633,-0.12479756622789916,0.0,-12.080579310344827,1.5076268965541468,0.0,0.0,0.0,0.0,21.724125275263027,-0.10267459739418953,-20.18828582180826,0.0,0.11702127659574467,0.3457985216386662,-1.0,1.6039290659926808,0.0,0.09747980285554596,-0.11148770091922149,-2.2594858461415366,0.0,0.10814440538032355,Asset Management,Financial Services,1.57,25603089,11170,SFE
