Year,Date,FillingDate,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Price,MarketCap,AvgVolume,Symbol
2022,2022-12-31,2023-02-10,224900000.0,38000.0,299833000.0,3.54,38000.0,1.0,10802300000.0,2527600000.0,7697820000.0,59811000.0,8274700000.0,0.0,2749700000.0,5857338270.0,41.84283278427997,128.702412599689,0.05193023707914055,0.22193622408608957,0.07782585656552314,41.84283278427997,0.08897768634277575,140859.58605263158,23.800196843041352,2.117686449596455,0.3384615384615385,0.0,0.014220955427118542,3.5177693639317552e-06,150.20357459330222,0.0208196402617961,6.8942983165677045,1.0,-0.4553846153846154,0.28997860647606705,-0.9999851022102844,0.4288751022600431,-0.9999887547348485,-0.44304110946012876,-0.4390402245088868,-0.18546007125499428,-0.9999868686360014,0.13273028103630988,Insurance—Property & Casualty,Financial Services,94.47,5714754816,294527,SIGI
2021,2021-12-31,2022-02-11,403800000.0,3379200000.0,534500000.0,6.5,3379200000.0,1.0,10461400000.0,2982900000.0,8752700000.0,0.0,519400000.0,0.0,2603500000.0,5436895020.0,49.563830317531526,0.0,0.04836828722733095,0.16963357806161788,0.12223752211335054,49.563830317531526,0.13537161822387608,1.4593380149147728,12.212469093610698,1.6532217037111536,0.17208766716196136,0.0,0.014091144537839113,0.3230160399181754,0.0,0.03859904028141549,6.581696075722814,1.0,0.5892420537897312,1.4487357562714578,0.42186261294934946,0.8721891915475076,0.15634945077507442,0.6387987012987013,0.6012582384661473,1.2103478851860505,0.27988592955193903,0.6306021133584203,Insurance—Property & Casualty,Financial Services,94.47,5714754816,294527,SIGI
2020,2020-12-31,2021-02-12,246400000.0,2922300000.0,333800000.0,4.09,2922300000.0,1.0,9687900000.0,2738900000.0,8334700000.0,0.0,577800000.0,0.0,2271500000.0,4559856760.0,45.753566536366975,0.0,0.05684410450149155,0.20106612143561284,0.0825040578280496,45.753566536366975,0.08996312388185038,1.3720551483420593,16.272551785714285,1.46392959217204,0.22112824675324674,0.0,0.013589033217726539,0.3016443192023039,0.0,0.02543378854034414,7.537030006710766,1.0,-0.09713024282560714,0.4193564670669837,0.30967278709130097,0.8717650115499078,0.02659312864469894,-0.09278350515463918,-0.0980815995676844,0.4261650889009229,0.15610981054892964,0.562421272968267,Insurance—Property & Casualty,Financial Services,94.47,5714754816,294527,SIGI
2019,2019-12-31,2020-02-12,271600000.0,2846600000.0,370100000.0,4.53,2846600000.0,1.0,8797300000.0,2195000000.0,7820300000.0,0.0,550600000.0,0.0,2080500000.0,4423954990.0,36.939802426751484,0.0,0.06258738476578041,0.25084282460136675,0.10880254037671226,36.939802426751484,0.12373576309794988,1.3608006007166444,14.262352687776142,1.7647630933940774,0.17553387334315168,0.0,0.012307497730973713,0.3235765518966046,0.0,0.030873108794743843,8.675424213173754,1.0,0.5100000000000001,0.8137994754193458,0.3249824312160697,0.6298333621627416,0.10073934294376044,0.5178356870218342,0.0,0.6681659418267613,0.21312082944800137,0.39533805999658816,Insurance—Property & Casualty,Financial Services,94.47,5714754816,294527,SIGI
2018,2018-12-31,2019-02-15,178939000.0,2586080000.0,0.0,3.0,2586080000.0,1.0,7952729000.0,1791802000.0,0.0,0.0,6160927000.0,0.0,1858414000.0,4031359880.7599998,30.396029731280603,0.0,0.05526907807370275,0.2453061219933899,0.0,30.396029731280603,0.09986538691216998,1.3891004457557383,20.075695520596405,2.0048671006952774,0.2352589429917458,0.0,0.01171859489253485,0.3251814565792447,0.0,0.022500326617441637,8.186067808693036,1.0,0.056338028169014134,0.5892729056235961,0.2839338785041966,0.4676411211053622,0.047002733620946535,0.05990191084311658,0.0,0.04672801898859639,0.17695003840335255,0.24349267714069267,Insurance—Property & Casualty,Financial Services,94.47,5714754816,294527,SIGI
2017,2017-12-31,2018-02-20,168826000.0,2469984000.0,0.0,2.84,2469984000.0,1.0,7686431000.0,1712957000.0,0.0,0.0,5973474000.0,0.0,1698613000.0,3872245661.4,29.283758054218605,0.0,0.05712872463175692,0.25634969237406424,0.0,29.283758054218605,0.09855822417025062,1.390156236396673,20.338476664731736,2.004524142404042,0.2194271024605215,0.0,0.010788767815685165,0.32134341673007927,0.0,0.021964159959284094,9.627220341387645,1.0,0.05185185185185173,3.1828336418876058,0.33971150604833117,0.47732463493911814,0.08130124722559066,0.06518186693586549,0.0,0.14529968795510645,0.16787972767145148,0.29203847099364627,Insurance—Property & Casualty,Financial Services,94.47,5714754816,294527,SIGI
2016,2016-12-31,2017-02-22,158495000.0,2284270000.0,0.0,2.7,2284270000.0,1.0,7355848000.0,1531370000.0,0.0,0.0,5824478000.0,0.0,1568881000.0,2928431557.5499997,26.473729546832406,0.0,0.05963513656073372,0.2864539595264371,0.0,26.473729546832406,0.10349882784696056,1.090161214545566,15.711678964951574,1.6261403563802348,0.21299094608662733,0.0,0.013556218056755833,0.3105379556510684,0.0,0.02154680194588034,8.779642067826368,1.0,-0.05263157894736839,6.405405316701158,0.32719642297793256,0.2813894611159919,0.07149558224492132,-0.044410681233080715,0.0,0.4345549522572431,0.15572973830707817,0.2782568794492466,Insurance—Property & Casualty,Financial Services,94.47,5714754816,294527,SIGI
2015,2015-12-31,2016-02-24,165861000.0,2131852000.0,0.0,2.85,2131852000.0,1.0,6904433000.0,1398041000.0,0.0,0.0,5506392000.0,0.0,1446192000.0,2307849983.84,24.44407618159339,0.0,0.05622358852638588,0.2776685376179955,0.0,24.44407618159339,0.1186381515277449,0.9008861702594739,11.579310288976913,1.3737479686504186,0.1872170070118955,0.0,0.016168234751435872,0.30876568720414843,0.0,0.02402239257010677,5.256742102361838,1.0,0.1538461538461538,1.357723595083005,0.2694323745321047,0.2160401470514076,0.0476646807816357,0.16945997588611478,0.0,3.2028986031025584,0.18262640158207885,0.23316945367926198,Insurance—Property & Casualty,Financial Services,94.47,5714754816,294527,SIGI
2014,2014-12-31,2015-02-26,141827000.0,2034861000.0,0.0,2.47,2034861000.0,1.0,6581550000.0,1275586000.0,0.0,0.0,5305964000.0,0.0,1313440000.0,1884480706.52,22.664772537073016,0.0,0.05763034543534578,0.2973511782035864,0.0,22.664772537073016,0.11118576089734443,0.7514728065061937,10.781746116888886,1.1987766458082796,0.20044138281145338,0.0,0.018590809006110365,0.30917656175217084,0.0,0.021549179144730344,7.038534365555366,1.0,0.32085561497326204,2.6521739092874523,0.25971924269637275,0.19275040108810676,0.06887491523269185,0.3327350636170573,0.0,5.8108107330263765,0.21514790502218625,0.09702717239821097,Insurance—Property & Casualty,Financial Services,94.47,5714754816,294527,SIGI
2013,2013-12-31,2014-02-28,106418000.0,1903741000.0,0.0,1.87,1903741000.0,1.0,6270170000.0,1153928000.0,0.0,0.0,5116242000.0,0.0,1202015000.0,1899902183.8,20.71080545112259,0.0,0.06258426805014856,0.3400680111757406,0.0,20.71080545112259,0.09222239169168267,0.7919570906966862,14.167539173823977,1.3065643469956532,0.2576255896558853,0.0,0.018184215797467193,0.30361872166145415,0.0,0.01697210761430711,4.680771508936638,1.0,1.7499999999999998,1.2738095325306722,0.049503392981929344,0.21155924495773645,0.09782527210048775,1.8032031188262256,0.0,0.5528455429343377,0.16365687281078803,0.0303179682159913,Insurance—Property & Casualty,Financial Services,94.47,5714754816,294527,SIGI
