Quarters,Year,Quarter,FillingDate,Date,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,MarketCap,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Symbol
2023Q4,2023,Q4,2023-05-24,2023-03-31,-17543000.0,393289000.0,56151000.0,-0.27,122353000.0,0.311102014,1714844000.0,-797396000.0,933512000.0,396924000.0,2512240000.0,389245000.0,-1207556000.0,755540510.0,2219919510.0,-12.232063691727133,2.351865848373996,0.986551546379729,-2.1216334167715916,0.07031194585369487,-12.232063691727133,0.022000361175626666,1.9210822321498948,-10.766979849512627,-0.9475097818398888,0.0,0.6960551837531632,0.0,0.22934389367196084,1.3282265622638088,-0.01023008506896254,14.631482822727449,0.3111020140405656,-4.375,0.9563110365460651,-0.6671008176658444,-2.343606404791186,0.38011821237620413,-2.6018078889700513,0.6024371450586455,0.8140905670694153,-0.5485934792592281,0.18804037680864719,Aerospace & Defense,Industrials,TGI
2023Q3,2023,Q3,2023-02-02,2022-12-31,10952000.0,328855000.0,35041000.0,0.08,88654000.0,0.2695838591,1597292000.0,-688063000.0,823342000.0,370115000.0,2285355000.0,400467000.0,-1190013000.0,684494320.0,2176262320.0,-10.574847078351212,2.22455723221161,1.006814658810036,-2.33725254809516,0.03674141732380825,-10.574847078351212,-0.01591714712170252,2.0814472031746516,15.624870343316289,-0.9948134400483677,0.0,0.5998022308954296,0.0,0.2058828316926398,1.0927036191454007,0.006856604803630144,-136.29914774990044,0.26958385914764865,-0.950920245398773,1.0735087059049477,-0.6775546356721371,-1.698746264796881,-0.10934517470714702,-0.8971894185457071,-0.10146674188419919,1.6126359084567157,-0.6385448036018821,-4.206913063740439e-05,Aerospace & Defense,Industrials,TGI
2023Q2,2023,Q2,2022-11-08,2022-09-30,106526000.0,307600000.0,38998000.0,1.63,99538000.0,0.3235955787,1568274000.0,-702103000.0,799339000.0,355862000.0,2270377000.0,398075000.0,-1200965000.0,558659240.0,2044991240.0,-10.795605510794022,2.2462049895746103,1.0143520838833011,-2.2657387876137833,0.04317385550110654,-10.795605510794022,-0.1517241772218606,1.8161873862158648,1.3110865891894936,-0.7956941360455659,0.0,0.5226703510644979,0.0,0.19613919506412783,1.078255053925398,0.06792563034265696,-23.80413481614044,0.32359557867360206,11.187499999999998,16.054073687391742,-0.6862683424673082,-1.623483445235442,0.2929699677855139,11.300328756526785,0.6236312918939173,0.9174357691885852,-0.6937963208752999,0.08663166582931495,Aerospace & Defense,Industrials,TGI
2023Q1,2023,Q1,2022-08-03,2022-06-30,-10342000.0,349384000.0,24019000.0,-0.16,76984000.0,0.2203420878,1667461000.0,-805287000.0,885001000.0,543530000.0,2472748000.0,379929000.0,-1307491000.0,861457800.0,2316862800.0,-12.423434125269978,1.6282468309016982,0.9535701284767679,-1.9745022582011134,0.036841020288372855,-12.423434125269978,0.012842626293482944,2.4656475396698188,-20.82425546315993,-1.0697525230135343,0.0,0.7169760665808612,0.0,0.2095305377457104,0.7361764759994849,-0.006202244010504594,-8.966606990444866,0.220342087788794,0.0,-3.0768166508505166,-0.6597736605721244,-1.7187147969549954,-0.24472917422912027,0.022033096926713947,-0.04988132911392405,-1.4397491075548101,-0.6320119383033896,-0.11012151384199045,Aerospace & Defense,Industrials,TGI
2022Q4,2022,Q4,2022-05-23,2022-03-31,-10575000.0,386651000.0,25280000.0,-0.16,101929000.0,0.2636201639,1760700000.0,-787423000.0,962602000.0,601504000.0,2548123000.0,361692000.0,-1297149000.0,1634099200.0,2982711200.0,-12.181667698019801,1.600325184869926,0.9027602658033737,-2.0185973739654544,0.033225193722636596,-12.181667698019801,0.013429884572840773,4.226289858295982,-38.631186761229316,-2.0752495164606573,0.0,0.7871946296849253,0.0,0.21960072698358607,0.8667756157897537,-0.006006133924007497,56.112190096834006,0.2636201639204347,-2.4545454545454546,0.9363402778634365,-0.6791088655454276,-1.7102002082727707,0.1726625326445853,-2.461038961038961,-0.3782893118882495,0.9592061282985527,-0.6574002327580384,-0.05759040524327477,Aerospace & Defense,Industrials,TGI
2022Q3,2022,Q3,2022-02-09,2021-12-31,7238000.0,319249000.0,40662000.0,0.11,86921000.0,0.2722671019,1752539000.0,-812038000.0,928248000.0,563160000.0,2564577000.0,394532000.0,-1286574000.0,1197427130.0,2579811130.0,-12.566162702527043,1.64828467930961,0.9064123537336402,-1.9562175661730117,0.045430969071414744,-12.566162702527043,-0.008913375975015948,3.7507623516440147,41.35904704338215,-1.4745949450641473,0.0,0.5888698508612736,0.0,0.1821637064852765,0.9158409688188082,0.004130007948467908,166.101696490498,0.2722671018546652,1.7857142857142856,-0.8116326883717475,-0.7115491044049482,-1.6320005382793066,-0.08562922754862667,1.7980154355016538,1.4717038477904079,1.1804275249401617,-0.6951758825123845,-1.2654820693369018,Aerospace & Defense,Industrials,TGI
2022Q2,2022,Q2,2021-11-09,2021-09-30,-9070000.0,357396000.0,16451000.0,-0.14,95061000.0,0.26598227176577244,1800717000.0,-828869000.0,968380000.0,549010000.0,2629586000.0,387906000.0,-1293812000.0,1202473350.0,2618040350.0,-12.841722829034007,1.763865867652684,0.8939155902898679,-1.9420306465798576,0.026238460541995513,-12.841722829034007,0.010942621813579708,3.364540593627237,-33.144248897464166,-1.4507399239204266,0.0,0.6762849762571345,0.0,0.19847427441402507,0.9467896759621864,-0.005036882530680835,-29.05858606606897,0.26598227176577244,0.702127659574468,-1.1990491115196646,-0.6879128746009663,-1.6556054100795579,-0.07679084764198586,0.7011630588777964,-0.21030145929339478,0.5248138736465445,-0.6786392099274695,-1.6771953092375147,Aerospace & Defense,Industrials,TGI
2022Q1,2022,Q1,2021-08-04,2021-06-30,-30351000.0,396646000.0,20832000.0,-0.47,102968000.0,0.25959671848449245,1883493000.0,-826226000.0,1007240000.0,562701000.0,2709719000.0,412663000.0,-1284742000.0,1334204250.0,2707658250.0,-12.849748829686309,1.7900092589137038,0.8552938609275426,-1.9497570882543034,0.02765334913063741,-12.849748829686309,0.036734501213953566,3.3637153784482887,-10.989788227735495,-1.6148175559713687,0.0,0.7116654509854288,0.0,0.2105906419615045,1.0161506732705292,-0.016114209078557765,-8.799310474456888,0.25959671848449245,0.6299212598425197,-2.1785419314412597,-0.6597361954632737,-1.6750154857244477,-0.039791112976173826,0.587167942980726,1.4507920020773826,0.6943843696123152,-0.6329990518785533,-1.8101683460158442,Aerospace & Defense,Industrials,TGI
2021Q4,2021,Q4,2021-05-20,2021-03-31,-73519000.0,466833000.0,-46212000.0,-1.27,107235000.0,0.22970741142978324,2450935000.0,-818853000.0,1554434000.0,718367000.0,3269788000.0,400366000.0,-1254391000.0,1064569600.0,2469895600.0,-14.137655386740331,2.163843829129122,0.814059940390096,-2.4365887405920232,-0.038324874221342224,-14.137655386740331,0.08978290364693052,2.280407768945212,-3.620049238972238,-1.3000741280791546,0.0,0.8981731715480336,0.0,0.19047139153017115,1.2787140834698698,-0.029996307531615484,64.2778408404782,0.22970741142978324,0.023076923076923096,0.942324784882403,-0.6248187551317969,-1.7445622556941456,0.25802137469058317,-0.07932057079100359,-0.3215133403872001,0.7939307290740624,-0.5552578994756784,-2.552922287283547,Aerospace & Defense,Industrials,TGI
2021Q3,2021,Q3,2021-02-03,2020-12-31,-68116000.0,425994000.0,-34969000.0,-1.3,85241000.0,0.20009906242810932,2401922000.0,-1069830000.0,1338501000.0,639355000.0,3471752000.0,446208000.0,-1180872000.0,659249280.0,2201318280.0,-20.382373113854594,2.093517685792713,0.8407204730211889,-1.8875382070048512,-0.03720957033939669,-20.382373113854594,0.0636699288672032,1.5475553176805308,-2.4195830641846263,-0.6162187263396989,0.0,0.763664031124498,0.0,0.1773554678295132,1.2563583611608575,-0.028358955869507835,17.501573749601786,0.20009906242810932,-1.03125,0.2793449022882466,-0.5628070706824992,-1.462940167733837,-0.14539366171059623,-1.0339813072949327,-5.711533279439505,0.43325387032506774,-0.4822152508108814,-2.346790830683373,Aerospace & Defense,Industrials,TGI
