Quarters,Year,Quarter,FillingDate,Date,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,MarketCap,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Symbol
2023Q1,2023,Q1,2023-04-27,2023-03-31,1940000000.0,19632000000.0,3397000000.0,1.58,11983000000.0,0.6103810106,210173000000.0,66925000000.0,18876000000.0,23846000000.0,143248000000.0,1741000000.0,1717000000.0,176648075152.08002,282137075152.08,54.87417279613568,0.7915793005116162,0.5235163412997864,1.6440642510272694,0.012077361218425339,54.87417279613568,0.028987672768023907,8.997966338227386,22.76392721031959,2.6394930915514383,0.0,4.393452039058013,0.0,0.09340876325693595,0.5836618300763231,0.009230491071640982,180.80662758657115,0.610381010594947,0.3389830508474578,1.0273933510420117,0.31673783991271837,1.0514791153832614,0.03283916566109291,0.31347325660121866,0.23662176920276665,0.4353676633736892,0.24301158422948543,0.6250880774725927,Telecom Services,Communication Services,TMUS
2022Q4,2022,Q4,2023-02-14,2022-12-31,1477000000.0,20273000000.0,2747000000.0,1.18,11602000000.0,0.5722882652,211338000000.0,69656000000.0,19067000000.0,24742000000.0,141682000000.0,1884000000.0,-223000000.0,173715882480.0,277066882480.0,56.136720838537805,0.7706329318567617,0.5103578154425612,1.5484380383599403,0.009865943050521396,56.136720838537805,0.02120420351441369,8.568829599960539,29.403500758293838,2.493911256460319,0.0,4.602441613588111,0.0,0.09592690382231307,0.5688707460997494,0.006988804663619415,184.60773908607865,0.5722882651802891,1.9499999999999997,-0.6317672960707208,0.27167528333380364,1.083861277499238,0.07595288880645461,1.9074803149606299,0.16943380161770966,0.3572261068356415,0.1778401273231759,0.6697198044240341,Telecom Services,Communication Services,TMUS
2022Q3,2022,Q3,2022-10-27,2022-09-30,508000000.0,19477000000.0,2349000000.0,0.4,10783000000.0,0.5536273553,213499000000.0,70150000000.0,21427000000.0,26362000000.0,143349000000.0,2247000000.0,-1699000000.0,168232197968.93,271538197968.93,55.94663574292872,0.8127987254381307,0.5161335650284077,1.5708339272986458,0.01220362558207558,55.94663574292872,0.0072416250890947964,8.637480000458488,82.79143600833169,2.3981781606404846,0.0,3.869158878504673,0.0,0.09122759357186684,0.6167969046354601,0.0023794022454437726,423.75868506027706,0.5536273553421985,5.64576074332172,-0.3877236033468313,0.28867731186485274,1.2933506829885302,0.023734928320516473,5.703703703703703,1.0163090128755365,-0.6020370961726619,0.20012312283372127,0.7216080646379228,Telecom Services,Communication Services,TMUS
2022Q2,2022,Q2,2022-07-29,2022-06-30,-108000000.0,19701000000.0,1165000000.0,-0.0861,10533000000.0,0.5346429115,209463000000.0,70034000000.0,17476000000.0,20622000000.0,139429000000.0,2243000000.0,-2207000000.0,168704143936.44,273623143936.44,55.8514695617075,0.847444476772379,0.5159383757513261,1.5431076334351885,0.0035871544972502613,55.8514695617075,-0.0015421081189136705,8.563227447156997,-390.5188517047222,2.4088891672107833,0.0,4.087382969237628,0.0,0.0940547972672978,0.6180777810105712,-0.0005156041878517924,323.808337689904,0.5346429115273337,-1.1510526315789473,-1.12318545716191,0.27834111008544377,1.3662170389893735,0.00823202833349287,-1.1514726507713886,-0.3549280177187154,-1.0783662445284734,0.22263368709343498,0.7694861530276981,Telecom Services,Communication Services,TMUS
2022Q1,2022,Q1,2022-05-06,2022-03-31,713000000.0,20120000000.0,1806000000.0,0.57,10447000000.0,0.5192345924,210653000000.0,69976000000.0,17455000000.0,21423000000.0,140677000000.0,2715000000.0,-2099000000.0,160502444971.65,266734444971.65,55.95814818638067,0.8147785090790273,0.5197030187084921,1.564493540642506,0.0063896922385423965,55.95814818638067,0.01018920772836401,7.977258696404075,56.277154618390604,2.2936784750721677,0.0,3.5627992633517493,0.0,0.09551252533787793,0.575176212481912,0.003384713248802533,-67.4663492945145,0.519234592445328,0.6764705882352938,-0.3238650762492923,0.3853780282593067,1.4425380052656545,0.011032613955288881,0.6895734597156398,0.6989651928504234,-0.4654830204386644,0.23607846528965137,0.8193686505791722,Telecom Services,Communication Services,TMUS
2021Q4,2021,Q4,2022-02-11,2021-12-31,422000000.0,20785000000.0,1063000000.0,0.34,10333000000.0,0.4971373587,206563000000.0,69102000000.0,20891000000.0,23499000000.0,137461000000.0,2567000000.0,-2812000000.0,144890600890.08002,244270600890.08002,55.31380165977842,0.8890165538959105,0.5132138863203962,1.5341234696535555,0.009466396188557168,55.31380165977842,0.006106914416370004,6.970921380326198,85.83566403440759,2.0967642165216636,0.0,4.071679002726919,0.0,0.10062305446764426,0.6627090514489978,0.0020429602590977085,3449.7762116685717,0.49713735867211933,-0.38181818181818183,-0.28544511244418747,0.34897332271983195,1.502354207129729,-0.05557078877616305,-0.38929088277858176,-0.32891414141414144,-0.5518373771258472,0.2343473473010485,0.9001174463247625,Telecom Services,Communication Services,TMUS
2021Q3,2021,Q3,2021-11-02,2021-09-30,691000000.0,19624000000.0,1584000000.0,0.55,10941000000.0,0.5575315939665716,202125000000.0,68427000000.0,16772000000.0,19247000000.0,133698000000.0,1762000000.0,-3234000000.0,159468718499.44,259985718499.44,54.82099312179962,0.8714085311996674,0.5173630179344465,1.5282271617928596,0.007756889343254797,54.82099312179962,0.010098352989317083,8.126208647545862,57.69490539053546,2.33049408127552,0.0,4.927922814982974,0.0,0.09708843537414966,0.6489842572868499,0.0034186765615337044,1265.6247499955555,0.5575315939665716,-0.2948717948717948,0.2448456570674915,0.3994332637121194,1.527172234777743,-0.0059058695257132475,-0.2934560327198364,-0.24786324786324787,-0.41012716557510687,0.22869982421166749,0.9067196542428679,Telecom Services,Communication Services,TMUS
2021Q2,2021,Q2,2021-08-03,2021-06-30,978000000.0,19950000000.0,2106000000.0,0.78,11006000000.0,0.5516791979949874,204124000000.0,67470000000.0,20570000000.0,21837000000.0,136654000000.0,1707000000.0,-3925000000.0,180684597228.73,280674597228.73,54.081422821171394,0.9419792095983881,0.5280270815778645,1.597495183044316,0.007899125560079791,54.081422821171394,0.01449533125833704,9.056872041540352,46.18726923024796,2.677999069641767,0.0,5.239601640304628,0.0,0.09773471027414708,0.7511562943627788,0.004791205345770218,360.64789866013973,0.5516791979949874,0.054054054054054106,1.8654646176034486,0.4261213961842248,1.5569662199715124,-0.020208314786788927,0.04823151125401929,-0.015427769985974754,-0.15024947746784398,0.28228973535188906,0.9599266891974553,Telecom Services,Communication Services,TMUS
2021Q1,2021,Q1,2021-05-04,2021-03-31,933000000.0,19759000000.0,2139000000.0,0.74,11233000000.0,0.5685004301837138,203332000000.0,66377000000.0,18779000000.0,19495000000.0,136955000000.0,2209000000.0,-4903000000.0,155800624057.54,257091624057.54,53.37831205944728,0.9632726340087202,0.5309936458599729,1.6265875227865074,0.008186206469326655,53.37831205944728,0.01405607363996565,7.885046007264538,41.747219736747056,2.347207979534176,0.0,3.859665006790403,0.0,0.09717604705604627,0.7248012310848936,0.004588554679047075,-18.451045009182852,0.5685004301837138,0.23333333333333336,0.2835303424273574,0.514178313220774,1.5572897714032052,0.05089344185611376,0.244,0.24941588785046728,-0.04371896839748268,0.2997724932715064,0.9955561391547401,Telecom Services,Communication Services,TMUS
2020Q4,2020,Q4,2021-02-23,2020-12-31,750000000.0,20341000000.0,1712000000.0,0.6,10689000000.0,0.5254903888697704,200162000000.0,65344000000.0,23885000000.0,21703000000.0,134818000000.0,2527000000.0,-5836000000.0,167426876232.75,233097876232.75,52.62977246108576,1.1005390959775145,0.3799722224997752,1.1639324191968659,0.00896275176694299,52.62977246108576,0.01147771792360431,8.23100517343051,55.80895874425,2.5622379443062866,0.0,3.819548872180451,0.0,0.10162268562464404,0.8403446528129752,0.0037469649583837094,-199.55527560518473,0.5254903888697704,-0.4,0.6608576236477849,0.6221981265135635,1.5956830284240975,-0.07781899749805885,-0.4014365522745411,-0.33255360623781677,-0.8131296527592734,0.27516909103526815,0.9536792181128234,Telecom Services,Communication Services,TMUS
