Year,Date,FillingDate,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Price,MarketCap,AvgVolume,Symbol
2022,2022-12-31,2023-04-04,-93504453.0,19094425.0,-22588966.0,-1.12,8218117.0,0.4303935311,54184874.0,43224475.0,14463272.0,5384181.0,10960399.0,6685847.0,-111553444.0,31661811.849999998,0.518463019211936,2.6862529324329922,0.1260869407945841,0.15805871557722795,-0.6733628077349829,0.518463019211936,-2.163229350963777,1.5281760959023378,-0.31206689001217935,0.6750722559383311,-0.0018458586138138254,1.6267659131296304,0.005914945394372934,0.3523940094425614,1.2532782608905606,-1.7256560013408908,-1.3350538802387149,0.4303935310961184,-0.8666666666666669,-1.0245183427584124,-0.927599185543722,1.0181116732924407,0.9308378467023977,-1.2072833292821188,-0.2595011801324695,-5.540576345648122,10.359448497011716,0.7851180530372199,Computer Hardware,Technology,0.2375,26004113,902678,UAVS
2021,2021-12-31,2022-04-12,-42361781.0,9760952.0,-17934851.0,-0.6,4256244.0,0.4360480412,104683041.0,76576913.0,22995523.0,17148977.0,28106128.0,4038508.0,-51054344.0,98835381.24000001,1.0930840561568094,1.34092680863704,0.03284477568816519,0.04489983815356986,-0.30700280564487087,1.0930840561568094,-0.5531925921328273,11.268127969484945,-2.5963888590991964,1.4363030831498784,0.0,1.3630548707592012,0.0,0.09324291601349258,1.0300582361268547,-0.40466708451849426,-7.65690169217026,0.43604804121565194,-4.0,0.9866064087398819,-0.9809286043582571,1.0199331430144971,6.418510003782247,-7.587351136539629,-2.636936617411976,-1.3555232497647158,9.565704438525149,0.37323587190478924,Computer Hardware,Technology,0.2375,26004113,902678,UAVS
2020,2020-12-31,2021-03-31,-4933044.0,1285383.0,-4931307.0,-0.12,573733.0,0.4463517878,28726470.0,26354729.0,24797991.0,2182367.0,2371741.0,135647.0,-20945664.0,220552583.0,0.647727012711039,11.36288763530607,0.012699158650540773,0.013841993973832931,-0.18281944772263165,0.647727012711039,-0.187178703298372,189.926359692014,-49.48833093724686,9.263161613234574,0.0,5.246337921221995,0.0,0.04474559526457654,11.244824083208735,-0.17172468458533194,-100.23350115002746,0.4463517877550893,0.2941176470588236,0.9995977935729207,-0.9978590843127797,1.0845275374968968,5.0630363106057406,-0.955078382764709,-0.9551663968617786,-1.0026504474874771,-0.990013465295073,1.022627303399079,Computer Hardware,Technology,0.2375,26004113,902678,UAVS
2019,2019-12-31,2020-04-13,-2523195.0,296677.0,-2522193.0,-0.17,94628.0,0.3189596767,4795509.0,4273634.0,1129160.0,521875.0,521875.0,221167.0,-8198785.0,5903542.850000001,0.2904362646099608,2.163659880239521,0.0,0.0,-0.5902924537999267,0.2904362646099608,-0.5904097075229184,22.319019843129063,-2.624267981666102,1.5493932915172426,0.0,0.9135585326924903,0.0,0.06186559132721886,1.5019497005988023,-0.5261579114959434,-3.5933218015612667,0.3189596766854188,0.34615384615384615,-1.0061010186878157,-0.9995772723935444,-0.9981079114720232,1.051199791906011,-0.2022273077478348,-0.2240096205035526,0.9962018557239554,-0.997240235718885,1.0052963059578615,Computer Hardware,Technology,0.2375,26004113,902678,UAVS
2018,2018-12-31,2019-03-28,-2098767.0,107813.0,-2060599.0,-0.26,46133.0,0.4278983054,6808151.0,6507739.0,2831675.0,300412.0,300412.0,149482.0,-5676091.0,2058504.0349999992,0.7959914815221171,9.42597166557927,0.006021899338014095,0.006299883876719702,-0.3175433488336261,0.7959914815221171,-0.32250325343410363,42.844889159934326,-2.200928466571087,0.7098065910449082,0.0,0.41262493142987117,0.0,0.01583587085539084,8.660849100568553,-0.308272686666321,-2.597793891700194,0.42789830539916335,-1.0056843025797988,-1.0599407414095459,-0.9997485919368057,-0.9942563428912525,2.320311382044017,-1.1092092848708732,0.22759785289641574,0.9991483854302889,-0.9991063180582623,1.1038758589362512,Computer Hardware,Technology,0.2375,26004113,902678,UAVS
2017,2017-12-31,2018-03-23,19217844.0,1329005.0,-2667780.0,45.74,-34941.0,-0.0262910975,2634723.0,-12026372.0,1045383.0,6129671.0,14661095.0,0.0,-86429760.0,6509638.0,-28.625903904104046,0.17054471602146345,1.851011662326552,-0.40551739127976416,0.8665850785351237,-28.625903904104046,-1.5979751832057083,1.7386473339076978,0.12023570385939235,-0.19213367090257977,0.0,0.0,0.0,0.5044192501450817,0.13405858161066067,7.294066207339443,-1.8542910359427376,-0.0262910974751788,2.013067552602436,23.578568704248454,-0.9307844675321567,-1.24798755111377,0.8248843538096837,2.263273268971915,0.7604967068723633,0.6275234793425358,-0.933675435699736,-1.1864875395387038,Computer Hardware,Technology,0.2375,26004113,902678,UAVS
2016,2016-12-31,2017-03-31,-15212737.0,2461727.0,-11138803.0,-45.15,-199531.0,-0.0810532606,7991861.0,-18477885.0,1678967.0,19754406.0,26469746.0,185733.0,-87577862.0,20239903.25,-54.8375163596542,0.08499202658890376,2.242906877384379,-0.9700785560685111,23.26135813141871,-54.8375163596542,0.8232942785389129,0.9923676549024323,-0.16058505777099807,-0.1322087592817035,0.0,14.328406906688633,0.0,0.3080292562645922,0.047547873623737406,-1.9035287275391801,-1.0362775232383579,-0.08105326057682269,0.8502189490445861,-3.0766217198727652,-0.7860383338239084,-1.4829780852983094,-1.5295661682352129,0.8473600237469486,-1.665081881118354,-11.541743977117278,-0.8607179391025113,-1.395692539401164,Computer Hardware,Technology,0.2375,26004113,902678,UAVS
2015,2015-12-31,2016-04-11,-99664173.0,4878722.0,-4179535.0,-301.44,376782.0,0.0772296515,21834401.0,-2533573.0,7213213.0,4260559.0,24367974.0,144327.0,-71391881.0,17989688.0,-7.662911187195277,1.6930203290225532,0.8524007597002546,-7.3460129232510765,-0.49897922923285193,-7.662911187195277,39.337399396030825,0.5082704036015989,-0.02488065596049244,-0.978740300753126,-0.018043334388577126,31.192638937967256,0.7251952849325123,0.22344198954667913,1.0069476798701766,-4.564548072557612,-6.072184185007787,0.07722965153579155,-11.72358591248666,-384.3206543214058,37.4393357704521,-10.866898267390118,-0.949969984540146,-12.832576761607069,-6.769770218875322,-162.96709272151153,-0.6771366003639384,-1.0663841598183534,Computer Hardware,Technology,0.2375,26004113,902678,UAVS
2014,2014-12-31,2015-03-31,8422863.0,14293367.0,724385.0,28.11,7531119.0,0.526896077,76058096.0,46000987.0,7411168.0,4139356.0,30057109.0,248218.0,-17280817.0,37190136.0,153.50035704751735,1.7904157071776383,0.30255372156568316,0.5002427447915411,0.019330364448876924,153.50035704751735,0.18310178866379542,1.048318426302214,1.7789675553312454,0.3257321413560105,0.16526862659406902,27.2431813969978,0.0929014281900694,0.1879269630941064,0.7495383339823876,0.11074249084541901,-3.152688464345732,0.5268960770404901,5.567757009345794,36.92732052518188,123.2470876280148,238.7129365840487,0.10000832551903038,8.427621151883093,-0.5707302359373315,3.5378708447256844,0.3968422095534888,0.35194504530774273,Computer Hardware,Technology,0.2375,26004113,902678,UAVS
2013,2013-12-31,2014-03-28,893424.0,10942270.0,1687482.0,4.28,6846420.0,0.6256855296,69991477.0,28910601.0,5401303.0,6506178.0,41080876.0,238794.0,-20462406.0,73493917.75,138.58617714310367,0.8301806375417334,0.4507299510196077,1.0912002486561936,0.019324213643294907,138.58617714310367,0.030902989529688434,3.9320925868215646,48.158566089561056,1.488243663630514,0.848412399935529,17.152231630610483,0.017617061071912445,0.15633717802526156,0.7008223568429883,0.012764754200000665,-9.068676605265294,0.6256855296021758,1.3010752688172043,5.780582389655663,95.5483630373048,433.82334432497584,0.26921926113946876,1.5822099932946427,0.9471500342702062,6.474484891480667,135.64056671043258,215.61661570237473,Computer Hardware,Technology,0.2375,26004113,902678,UAVS
