Year,Date,FillingDate,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Price,MarketCap,AvgVolume,Symbol
2022,2022-12-31,2023-04-17,-33542974.0,1643716.0,-8783650.0,-19.01,167755.0,0.1020583848,18692985.0,10791681.0,5018874.0,4423754.0,7901304.0,2448449.0,-117479571.0,5508333.65,6.114852356967891,1.1345282762106572,0.2021594196967472,0.3501737125105903,-0.8383806561655638,6.114852356967891,-3.1082251226662465,1.2347362013875876,-0.06050613311747491,0.1880666830311237,0.0,0.6028146798238395,0.0,0.08793223768167577,0.47669648900006645,-1.794415070680258,-0.2648445439735588,0.1020583847817993,-75.04,0.42622205385608125,-0.8775788807490832,-0.6354306228930352,-0.9547029370793271,-15.920830247766789,-2.640471688651007,0.11082226537330152,-0.7778273738616929,69.91886698906296,Real Estate—Diversified,Real Estate,0.5201,3428978,536908,VINO
2021,2021-12-31,2022-04-14,-1982348.0,4915240.0,-2412778.0,-0.25,3703441.0,0.7534608686,24313732.0,14261726.0,7981940.0,8481359.0,10221888.0,2033524.0,-95726534.0,209162979.0,1.7777325434641023,0.941115686766708,0.31912842503980876,0.5440577809446066,-0.08437760130842678,1.7777325434641023,-0.13899776226243585,41.7178373792531,-103.43954895911313,14.377865834752399,0.0,0.5959108424587072,0.0,0.2021590103896843,0.6172798486657621,-0.08153203300916535,-23.420607827581314,0.7534608686452747,0.9844913151364765,0.9943844279279157,-0.9083759944729505,-0.8327988745175778,41.7432698548907,0.6575583741473284,0.5503519802546663,0.9891476406379226,-0.950704238101578,1.4141791995145554,Real Estate—Diversified,Real Estate,0.5201,3428978,536908,VINO
2020,2020-12-31,2021-04-12,-5788864.0,635789.0,-5365926.0,-16.12,-90897.0,-0.1429672423,5970536.0,500624.0,2523342.0,5096441.0,5576710.0,1312267.0,-93534828.0,32272713.081594,1.3937077362939618,0.4951184561932533,0.33810632747210634,4.032319665058008,-2.132572785710382,1.3937077362939618,-11.56329700533734,47.796632344368966,-5.249488169283991,60.70139082743536,0.0,0.553763830074215,0.0,0.10648775922295754,0.1366000312767282,-0.9695719111315969,-6.006582266486165,-0.14296724227691893,0.246024321796071,0.5924942263256531,-0.8154838623041155,-0.9067010263179814,-1.391067533439744,0.1079976843451842,0.2182100989532962,0.5134821249278624,-0.7673485618511074,-0.9169067163639916,Real Estate—Diversified,Real Estate,0.5201,3428978,536908,VINO
2019,2019-12-31,2020-03-30,-6489741.0,1272772.0,-6863642.0,-21.38,232433.0,0.1826195108,5920360.0,-26938.0,2428747.0,5737953.0,5920934.0,1302752.0,-87886307.0,28517725.992778,-0.08872537556280899,0.42327760440003603,0.48520934537764593,-106.63798351770733,-2.131786010921124,-0.08872537556280899,240.91398767540278,20.18074721378063,-3.9578605668204636,-953.5039718159477,0.0,0.7985702574242833,0.0,0.21498219702855909,0.08545242528128062,-1.0961733745920856,-4.129711131980381,0.18261951080004904,0.06101877113191264,0.6239908931346023,-0.6839747736230811,-1.0024471136636104,-0.8598037772813032,-0.14287835097733206,-0.3061708946576461,0.5142311784216447,-0.37309270775605474,-1.008344890072184,Real Estate—Diversified,Real Estate,0.5201,3428978,536908,VINO
2018,2018-12-31,2019-04-01,-5678418.0,3099608.0,-5254781.0,-22.76935826051914,1657912.0,0.5348779587612369,5647491.0,-1070423.0,2236413.0,6425337.0,6717914.0,1173387.0,-81222499.0,24878371.901221998,-4.292182093035379,0.3480615880536694,0.6796913886184148,-3.586013192915324,-1.8983157570748173,-4.292182093035379,5.30483556500561,6.8067668238119134,-3.71552585618424,-19.710253704584073,-0.022453789065898285,1.2286619844944593,0.006043233161337171,0.5488469127263771,0.09149450059973507,-1.0054762371467258,-4.548866918208698,0.5348779587612369,0.31262253331776096,0.6572908932604985,-0.42165268854805926,-1.1211296559122788,13.792728282843871,0.28234952439882555,0.3162635858427484,0.42425464910764754,0.2956591908218483,-1.2873315356642856,Real Estate—Diversified,Real Estate,0.5201,3428978,536908,VINO
2017,2017-12-31,2018-03-30,-7912512.0,1817302.0,-7685390.0,-33.124970433523046,-129598.0,-0.07131340855840142,8344806.0,4006504.0,3381919.0,3444383.0,4338302.0,1388666.0,-75544081.0,20761667.922261998,16.772808526849445,0.9818649668169886,0.10924807598882466,0.22754351424583627,-1.5626561814402873,16.772808526849445,-1.9749167853070906,11.119955253591312,-2.553969829336373,5.043877885124288,-0.007648013677577993,1.4019929918353298,0.0029945591328951857,0.21777642284314339,0.4056999468409872,-0.9481960395484329,-2.2439556028733905,-0.07131340855840142,0.24720806732065495,0.5014253760502371,-0.645981013191533,-0.5266546289272117,0.4470508925828583,0.21206921910377477,-0.17139782202698392,0.41730258527970426,-0.42647024549575663,-0.5373931227361282,Real Estate—Diversified,Real Estate,0.5201,3428978,536908,VINO
2016,2016-12-31,2017-03-31,-10042141.0,1526075.0,-6560871.0,-44.002823350702364,-234376.0,-0.15358091836901855,6949809.0,2426461.0,2536187.0,4179221.0,4523348.0,1186189.0,-67631569.0,19369695.143568,10.632300101658078,0.6068563974003768,0.027887385106554727,0.07987435198834847,-2.5038883352994135,10.632300101658078,-4.138595674935637,12.65145759125076,-1.922605263515818,7.9568858281950545,0.0,1.4841235250031826,0.0,0.21958517133348557,0.19246601220658108,-1.4449520842946908,-2.750924662190239,-0.15358091836901855,-0.11265468060700544,0.3376983973757097,-0.6888362258784843,-0.6999458958277439,-0.07675910101622654,-0.2129707291878549,0.17570794586175517,0.3376983973757097,-0.6888362258784843,-0.6999458958277439,Real Estate—Diversified,Real Estate,0.5201,3428978,536908,VINO
2015,2015-12-31,2016-03-30,-8278964.0,2008145.0,-7959401.0,-39.54760099215756,-217668.0,-0.10839257125356984,7657495.0,3127168.0,2654025.0,4131208.0,4530327.0,1184268.0,-57589428.0,17887187.781316,14.938082181310964,0.6424331575655353,0.037544915145226995,0.09193621832917195,-2.330944326066253,14.938082181310964,-2.6474317977160164,8.819249995053147,-2.1391967378184034,5.6633774652708135,0.0,1.8794842045888263,0.0,0.26224568217151956,0.16395809651801604,-1.0811582638970054,-2.5271052676264065,-0.10839257125356984,0.3043221261321113,0.4047557549386482,-0.5536269757133511,-0.5784324347404557,-16.879743716116312,0.08655258104908883,0.06774316077826815,0.4047557549386482,-0.5536269757133511,-0.5784324347404557,Real Estate—Diversified,Real Estate,0.5201,3428978,536908,VINO
2014,2014-12-31,2015-03-31,-9063427.0,2114912.0,-8537777.0,-56.847576267270746,-12174.0,-0.005756267873084081,10828824.0,5780623.0,3150857.0,5048201.0,5048201.0,1487166.0,-49310464.0,13482891.081132,36.25715343025954,0.624154426497677,0.04040143232543072,0.07568388389971116,-1.3730473006082382,36.25715343025954,-1.5678979584034454,6.3776252066903965,-1.4881916168279392,2.3333325977376487,0.0,1.430294936812703,0.0,0.1953039406679802,0.1982242783122146,-0.836972417318815,-1.750301554732982,-0.005756267873084081,0.14436860241564864,0.1443678805592662,-0.38273649443963115,0.023213000793309072,-1.0529067417634712,-0.03077473350445761,-0.06621109033359117,0.1443678805592662,-0.38273649443963115,0.023213000793309072,Real Estate—Diversified,Real Estate,0.5201,3428978,536908,VINO
2013,2013-12-31,2013-12-31,-8792830.0,2844101.0,-8007586.0,-66.43932939787486,230103.0,0.08090535462699813,12486714.0,4689558.0,2658801.0,6133275.0,7797156.0,1258281.0,-40247037.0,13657366.135312,35.434609804751254,0.4335042860461988,0.21370570351815538,0.569026334678023,-1.088277041168572,35.434609804751254,-1.874980541876228,3.9366752922318864,-1.2733445472404221,2.3874962491799865,0.0,2.077435803290362,0.0,0.22777017236079886,0.13190864587027323,-0.7041748533681479,-2.3590640809763346,0.08090535462699813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real Estate—Diversified,Real Estate,0.5201,3428978,536908,VINO
