Year,Date,FillingDate,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Price,MarketCap,AvgVolume,Symbol
2022,2022-12-31,2022-12-31,-30000000.0,2847000000.0,34000000.0,-0.26,246000000.0,0.0864067439,4517000000.0,277000000.0,1066000000.0,1421000000.0,4240000000.0,15758000.0,-106000000.0,21262357648.244,2.3756900865111406,0.7501759324419423,0.6601726809829533,10.765342960288809,0.0013564406996042387,2.3756900865111406,-0.10830324909747292,6.668541499207587,-632.8445882748,68.53912508391335,0.0,165.05901764183272,0.0,0.6302855877794997,0.6650105559465166,-0.006641576267434138,73.00284026656618,0.08640674394099052,-1.2857142857142856,0.9562140455330508,-0.9005557556754578,-0.9763468886072207,-0.5483010945630719,-1.2894766619519094,-0.5407428038525501,-1.1868388557969332,0.34646468685896553,-0.164567736201818,Airlines,Industrials,13.6675,1575206710,296724,VLRS
2021,2021-12-31,2021-12-31,103635297.566696,2182204632.072706,74032590.63813102,0.91,544610573.6343203,0.2495689752,4011677904.817747,319163490.667448,986221049.545588,1258721782.468484,3692514414.150298,14463011.824489,-84774748.363139,44349993024.82238,2.7699008785152603,0.783509956911611,0.6811809556289051,8.562002449479499,0.010557022706997637,2.7699008785152603,0.32470912431108445,19.412797681333032,408.7670708373477,132.7303976188022,0.0,113.2263513513545,0.0,0.5439630707769509,0.676953534412484,0.025833404382300282,72.9173446600067,0.24956897516849147,1.4312796208530807,-0.9741412913616557,-0.9184964892976266,-0.9740339146097416,-0.5110235783696968,1.4802091012015315,1.5838581263270355,1.133347165724334,-0.9298173677230291,-0.969440724150326,Airlines,Industrials,13.6675,1575206710,296724,VLRS
2020,2020-12-31,2020-12-31,-215812855.91503802,1113776758.025523,-126798938.47476101,-2.11,1113776758.025523,1.0,3428875899.054579,140540764.68016,725464492.684422,1071859378.062817,3288335134.374419,14020928.935107,-193777562.21131,26807701623.464775,1.3984642716926459,0.6768280499589058,0.7257067560207496,17.705598878471942,-0.019701974440031682,1.3984642716926459,-1.5355890257618907,22.29096221723103,-115.04020706417528,176.6544794891231,0.0,0.0,0.0,0.3248227089037014,0.5871296887352376,-0.06293982700702078,368.9124205672418,1.0,-2.528985507246377,-1.0881934455481785,-0.9383137839243623,-0.9792658040639023,-0.39302904331167104,-2.548764963431777,-1.3999934986559235,0.6345483516070648,-0.9548633438160972,-0.9860764535808013,Airlines,Industrials,13.6675,1575206710,296724,VLRS
2019,2019-12-31,2019-12-31,139345130.481798,1834975373.619782,317002498.54269296,1.38,1834975373.619782,1.0,3341075577.220387,287743993.359748,639802175.823062,916056463.263185,3053331583.860639,15941040.306161,18919860.774358,21774499031.017216,2.8436657158898564,0.6984309390099739,0.6732813011739982,7.817656541449408,0.0479096762552955,2.8436657158898564,0.4842677299872726,10.87009994881534,143.14361503624485,69.3198335157743,0.0,0.0,0.0,0.5492169605891982,0.6014026559103778,0.041706668185496835,63.93319633783486,1.0,1.2029411764705882,-0.7697475703013616,-0.8692734543870733,-0.9356245939705209,0.7958421767463033,1.2041686893506196,1.3600132857968417,-0.9604075675526197,-0.9219572909000521,-0.9733424154731032,Airlines,Industrials,13.6675,1575206710,296724,VLRS
2018,2018-12-31,2019-04-26,-682500000.0,27305150000.0,-880530000.0,-6.8,1021791000.0,0.03742118245092959,22310651000.0,9171680000.0,9189728000.0,9249260000.0,13138971000.0,297271000.0,4265876000.0,8295359461.82715,90.64026556587412,0.9935635931955638,0.15791551757050926,0.3841387837342777,-0.051414208834260074,90.64026556587412,-0.07441384784466967,0.3894907540089379,-15.582569174838314,1.1595589316054582,0.0,88.41548284225505,0.0,1.2238616434814027,0.7992068554673563,-0.03059077030069629,-4.730156203417043,0.03742118245092959,-0.15254237288135583,-3.1729500162342554,0.7963785490709329,0.980035854409103,-0.6088143501850664,-0.1478324046962743,-48.23366591567429,-1.2770032509832094,0.5019578976643403,0.34386917419640145,Airlines,Industrials,13.6675,1575206710,296724,VLRS
2017,2017-12-31,2018-04-26,-594599000.0,24845375000.0,18642000.0,-5.9,2612036000.0,0.10513167943731982,22666267000.0,10163171000.0,11313030000.0,9371823000.0,12503096000.0,294850000.0,5080049000.0,12450675767.796299,100.43879839150411,1.207132272984669,0.15365185630258393,0.34267985848117677,0.0010747885319141606,100.43879839150411,-0.058505263760690436,0.6407164620295045,-26.772397477621556,1.5663261759342926,0.0,75.40559267424113,0.0,1.0961388128005374,0.9493962914152348,-0.026232771369012815,-9.550591986515585,0.10513167943731982,-1.1695402298850575,-2.9996230358886766,0.5388956565617117,5.9914489382621765,-0.42336526194464075,-1.1689446962328907,-0.9931955830055287,-1.982509140958207,0.7700237806465322,1.2737512329372924,Airlines,Industrials,13.6675,1575206710,296724,VLRS
2016,2016-12-31,2017-04-28,3519489000.0,23512451000.0,2739691000.0,34.8,4529793000.0,0.19265507453901765,21781771000.0,10794076000.0,11551116000.0,7887898000.0,10987695000.0,243884000.0,6065018000.0,26453050674.264313,106.67379533283196,1.4644099099658743,0.09155743121163104,0.18475717606583464,0.1515051670498465,106.67379533283196,0.32605745966583893,1.340992424578123,8.958692206244804,2.9210484226963302,0.0,77.83478210952748,0.0,1.0794554308738256,1.0874249388113284,0.1615795611844418,-24.618267691891838,0.19265507453901765,0.43209876543209863,10.519336846083522,1.1025532458486855,10.418115412769295,0.11717507031988922,0.42843940629984534,0.09136556783502428,10.205382680859023,0.5468606695982776,1.3302881800517237,Airlines,Industrials,13.6675,1575206710,296724,VLRS
2015,2015-12-31,2016-04-29,2463870000.0,18179704000.0,2510333000.0,24.3,4054685000.0,0.223033609348095,15260965000.0,6824831000.0,7241437000.0,7102833000.0,8436134000.0,163073000.0,2408087000.0,26420587964.216324,67.4472391407256,1.0195139038183778,0.10425415430806637,0.2331221095438114,0.20984951161597784,67.4472391407256,0.36101553283883514,1.6494703084393632,12.170642917124818,4.3937911377170105,0.0,86.61776627645288,0.0,1.191255205683258,0.7929022123989118,0.16144916130795137,18.58473696932321,0.223033609348095,3.0500000000000003,2.0960410448848954,0.9287987176614093,0.0,1.8220796340685927,3.0712741909898478,11.299343958687526,7.285939279136077,0.1260312039233691,3.6949379724860267,Airlines,Industrials,13.6675,1575206710,296724,VLRS
2014,2014-12-31,2015-04-30,605184000.0,14036742000.0,204103000.0,6.0,1436772000.0,0.10235794032546869,9905040000.0,4469780000.0,3688669000.0,4768367000.0,5435260000.0,139673000.0,-55783000.0,12474377139.57303,44.17316940242165,0.7735707004095952,0.1259833377755163,0.279179288466099,0.03355043348583357,44.17316940242165,0.13539458317859043,0.961146407020449,22.292995418869353,3.018350822540042,0.0,90.21049164835007,0.0,1.4171312786217924,0.5821900872982302,0.06109859223183349,-10.63307627343476,0.10235794032546869,0.9354838709677419,-0.23953979055466715,0.48924638881644106,0.0,0.049699505971159005,1.252450889168447,-0.3569067701818342,2.6368717651132307,0.2552075828483815,3.72819350629614,Airlines,Industrials,13.6675,1575206710,296724,VLRS
2013,2013-12-31,2014-04-30,268678000.0,13002471000.0,317377000.0,3.1,1368746000.0,0.10526814480109203,8377784000.0,3962370000.0,3999960000.0,3871529000.0,4415414000.0,113835000.0,-661000000.0,13406670108.558302,45.77708295738092,1.0331731984959946,0.0671170323799229,0.14190799950534655,0.06579146586171519,45.77708295738092,0.06780739809760321,1.1763264927534391,56.92744143010705,3.8601016837292583,0.0,102.1981376553784,0.0,1.5520179321882732,0.7914353734661422,0.032070294483600915,-13.629090231401133,0.10526814480109203,0.05442176870748304,-0.6053229811071213,0.6126748276384668,0.0,0.018219770965903766,0.2482774961786665,-0.16091106175972927,-0.6053229811071213,0.6126748276384668,0.0,Airlines,Industrials,13.6675,1575206710,296724,VLRS
