Year,Date,FillingDate,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Price,MarketCap,AvgVolume,Symbol
2022,2022-12-31,2023-02-23,213820000.0,1258753000.0,264965000.0,6.36,617154000.0,0.4902899934,4045359000.0,1689426000.0,1199749000.0,200346000.0,2328530000.0,200247000.0,1278035000.0,3558545480.0,52.26214192909732,5.988385093787747,0.616780859251305,1.476892151535492,0.04899711525089766,52.26214192909732,0.1265636967822207,2.0154426483988517,11.864860536900196,1.501660611355573,0.37482461883827517,3.2040380130538786,0.031591152519033446,0.3111597759308877,6.114611721721422,0.052855630365562116,1.6255076891335924,0.490289993350562,-0.21963190184049078,-0.05967830079767172,0.6417977956503919,0.9379354100486361,-0.04717543345015516,-0.19544554902506756,-0.24738253355981116,0.14123442467497993,0.42531240757479344,0.5094468045186228,Mortgage Finance,Financial Services,84.84,2828608020,235560,WD
2021,2021-12-31,2022-02-24,265762000.0,1259178000.0,352058000.0,8.15,647710000.0,0.5143911345,5048752000.0,1550152000.0,2790173000.0,15720000.0,3468535000.0,0.0,1154252000.0,7065612280.0,49.874585759788935,177.4919211195929,0.5311700792591911,1.7299890591374265,0.06276852608451339,49.874585759788935,0.17144254240874443,3.724256046404877,17.645492132058006,3.0251880331735213,0.24252150420300872,0.0,0.013744105428626729,0.24940381306112877,165.29039440203562,0.05263914725857004,5.445013195982105,0.514391134533799,0.059817945383615075,1.2095579170811024,1.072696254787089,1.405556078637905,0.06823256995273264,0.07955657920926813,0.06598317719656277,0.5990680260161756,0.6864920559978546,0.6691315369880281,Mortgage Finance,Financial Services,84.84,2828608020,235560,WD
2020,2020-12-31,2021-02-25,246177000.0,1083707000.0,330266000.0,7.69,606338000.0,0.5595036297,4650975000.0,1196222000.0,3353100000.0,14468000.0,3454753000.0,0.0,952943000.0,5289108880.0,39.29253711733018,231.75974564556262,0.6039054176812388,2.3480165052975117,0.061411930323590366,39.29253711733018,0.2057954125572009,2.5850685471257453,11.379848158032633,2.341920546520629,0.18421704708400866,0.0,0.016188005720794818,0.2330064126339101,220.93115841857895,0.05293019205650428,-1.9807338620556538,0.5595036296711196,0.41100917431192663,1.9295429758222378,1.2621738086401608,1.396208545581148,0.32767379327862106,0.4199269782492083,0.43375110157976304,0.14954469929859082,0.5008638026384545,0.45700876809891067,Mortgage Finance,Financial Services,84.84,2828608020,235560,WD
2019,2019-12-31,2020-02-26,173373000.0,817219000.0,230351000.0,5.45,456692000.0,0.5588367378,2670400000.0,1035689000.0,1633852000.0,7996000.0,1628115000.0,0.0,796775000.0,3014179840.0,34.62337445257915,204.33366683341671,0.44940533253445175,1.1587378064264466,0.07748075504711777,34.62337445257915,0.1673987075270665,2.3675083912635415,11.159597169109379,1.8681021426316202,0.21498157152497793,0.0,0.019264277040399222,0.3060286848412223,188.0200100050025,0.0649239814260036,4.575553600567578,0.5588367377655195,0.08134920634920638,2.6304733573733086,1.4391380721238898,1.5728834196196904,0.09305359096054934,0.07392265809376916,0.08222222222222222,0.4977143224821062,0.3977258687876,0.6699581080933793,Mortgage Finance,Financial Services,84.84,2828608020,235560,WD
2018,2018-12-31,2019-03-01,161439000.0,725246000.0,212850000.0,5.04,417813000.0,0.5760983169848576,2782057000.0,902124000.0,1849268000.0,207742000.0,1874865000.0,0.0,666752000.0,2673094750.0,29.880560431916795,8.90175313610151,0.5238541122629766,1.61551183651028,0.06820975149140757,29.880560431916795,0.17895433443739442,1.800438402969475,8.088260891110574,1.4474293445246995,0.19477945230086907,0.0,0.024081746981596746,0.2606869665143453,8.241549614425585,0.05802864571070974,21.99954089025171,0.5760983169848576,-0.2317073170731707,3.347363132695193,1.5422658123613517,1.504447671894915,0.012058086160330399,-0.23534649760570653,-0.08906492739481557,0.9372473360284158,0.5265943422929529,0.8222303650158892,Mortgage Finance,Financial Services,84.84,2828608020,235560,WD
2017,2017-12-31,2018-02-23,211127000.0,711857000.0,233661000.0,6.56,412835000.0,0.5799409150995214,2208427000.0,809416000.0,1355786000.0,136940000.0,1393446000.0,0.0,579943000.0,2336074000.0,26.96794829079763,9.900584197458741,0.49882880439335325,1.3610146080630974,0.11084732264004525,26.96794829079763,0.26083867875109956,2.002740718992719,6.752641774855893,1.7613501586328908,0.0,0.0,0.0,0.32233666768247266,9.137213378121805,0.0956006243357829,1.34188444469544,0.5799409150995214,0.7972602739726027,4.320708923379678,1.3595597744687118,0.9505770329551769,0.22164387128847646,0.8536660315899453,0.2577228026547386,3.4061741601990585,1.1175164001295457,1.004004176819506,Mortgage Finance,Financial Services,84.84,2828608020,235560,WD
2016,2016-12-31,2017-02-24,113897000.0,575276000.0,185781000.0,3.65,337934000.0,0.5874293382654586,3052432000.0,610216000.0,2321661000.0,103691000.0,2437358000.0,0.0,381031000.0,2953868400.0,20.73307964120685,22.39018815519187,0.705780177904045,3.5304646223632288,0.04134868380596998,20.73307964120685,0.1866503008770665,1.5962397179788483,8.062358095472225,1.5048415642985435,0.0,0.0,0.0,0.1884648044575604,21.47679162125932,0.03731352573947593,1.2132289057297778,0.5874293382654586,0.37735849056603776,1.3999478254535689,1.7739621158041101,1.7392331678626702,0.23473272680770216,0.38682300798753166,0.37243473250299186,2.146208266021766,1.0685670111478889,0.7377489674915525,Mortgage Finance,Financial Services,84.84,2828608020,235560,WD
2015,2015-12-31,2016-02-26,82128000.0,468198000.0,135366000.0,2.65,273690000.0,0.5845603783014879,3514991000.0,487900000.0,2968932000.0,72796000.0,3022642000.0,0.0,272030000.0,3534156740.0,16.397795254419574,40.784273861201164,0.8005516941579651,5.767435949989752,0.025014900818697013,16.397795254419574,0.1683295757327321,1.8308765522279036,10.437521186440678,1.756943513014962,0.0,0.0,0.0,0.13320034105350484,39.71970987416891,0.023365066937582488,-0.6392096497448643,0.5845603783014879,0.6772151898734176,4.0439579220325035,0.9417027982676259,0.9778261486976539,0.3610526786913127,0.5971374120026448,0.6131900085804176,1.0878317163669964,0.565475580229903,0.18604361256828075,Mortgage Finance,Financial Services,84.84,2828608020,235560,WD
2014,2014-12-31,2015-03-05,51422000.0,360772000.0,83912000.0,1.58,201087000.0,0.5573797301342677,2014027000.0,433451000.0,1513336000.0,74303000.0,1580576000.0,0.0,208969000.0,1839620400.0,13.457031977646693,20.36709150370779,0.6891719922324775,3.202232778330192,0.02823116814954141,13.457031977646693,0.11863394016855423,1.5659846107791071,10.986803313756758,1.3034077669678925,0.0,0.0,0.0,0.1791296740311823,19.269248886316838,0.025531931796346326,-0.7717857821018795,0.5573797301342677,0.30578512396694224,-0.20297446127395488,0.8053634039462323,5.257005117358793,0.10713046925325802,0.23818926077534314,0.2564121760222798,-0.009926288512356973,0.5895937391195192,0.7779292305854816,Mortgage Finance,Financial Services,84.84,2828608020,235560,WD
2013,2013-12-31,2014-03-07,41530000.0,319039000.0,66787000.0,1.21,181629000.0,0.5693003049783882,1128966000.0,402841000.0,669366000.0,74440000.0,726125000.0,0.0,157547000.0,921769647.61,11.930998106783589,8.992020419129501,0.4839516867647033,1.356279524675989,0.043752357233308684,11.930998106783589,0.10309278350515463,1.7112881108892644,13.146343549482303,1.3552931494311653,0.0,0.0,0.0,0.28259398422981735,8.252122514777001,0.03678587309095225,0.6559044480525331,0.5693003049783882,-0.07633587786259549,0.37286654422185445,0.8659995971023305,7.36506914562327,0.24331891240656062,0.2297169252635319,0.19754348215886677,1.2476599605883423,0.16596482233952536,0.43906175614058524,Mortgage Finance,Financial Services,84.84,2828608020,235560,WD
