Year,Date,FillingDate,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Price,MarketCap,AvgVolume,Symbol
2022,2022-12-31,2023-02-23,1409300000.0,9597400000.0,1924200000.0,4.46,3300500000.0,0.3438952216,41872100000.0,11407300000.0,3187700000.0,4611000000.0,30255500000.0,807100000.0,7265300000.0,46837504000.0,36.16772352568167,0.6913250921708957,0.4130315890533314,1.5160905735800758,0.05420086631637266,36.16772352568167,0.12354369570362837,3.081241169483402,20.983398850493156,2.5923666424131917,0.6513162562974526,7.801883285838186,0.03103959758560017,0.22920751526672892,0.814682281500759,0.03365725626371737,-108.16351133869787,0.3438952216225228,0.08515815085158142,0.17038232122658292,0.2556038254855696,0.2025678527471223,0.10035005834305717,0.08282750672301191,0.12204793282407138,0.24145525017618036,0.27572410309579837,0.12455884382578505,Utilities—Regulated Electric,Utilities,88.885,28037440686,1368000,WEC
2021,2021-12-31,2022-02-24,1301500000.0,8316000000.0,1714900000.0,4.11,2999500000.0,0.3606902357,38988500000.0,10943600000.0,2656700000.0,3753000000.0,27875200000.0,635800000.0,6775100000.0,46189678000.0,34.69752694990488,0.7078870237143619,0.39986406247996203,1.4245860594319968,0.055721338724281956,34.69752694990488,0.11892795789319785,3.6815630110630106,23.523532846715327,2.797605723893417,0.6567806377257012,8.361906259830135,0.027920153065673962,0.21329366351616502,0.4055422328803624,0.0333816381753594,-139.0998546115402,0.36069023569023567,0.08443271767810034,0.38515773367881223,0.11361606248963244,0.2221311472277384,0.03788927335640138,0.08359004246107735,0.0051579626047711154,0.22764040603716135,0.0832263365936116,0.11485235736712296,Utilities—Regulated Electric,Utilities,88.885,28037440686,1368000,WEC
2020,2020-12-31,2021-02-25,1201100000.0,7241700000.0,1706100000.0,3.79,2890000000.0,0.3990775647,37028100000.0,10500100000.0,2083000000.0,4148100000.0,26365600000.0,528600000.0,6329600000.0,43292262000.0,33.29137603043754,0.502157614329452,0.3859447284629781,1.3610156093751489,0.057698853118028824,33.29137603043754,0.11438938676774507,4.008211055415165,24.16639913412705,2.7643795773373587,0.6643909749396386,8.232500945894817,0.02749234469116278,0.1955730917870482,0.29594272076372313,0.0324375271753074,-678.183691588785,0.3990775646602317,0.05865921787709496,0.6123654881574516,0.050362921151968575,0.03915765231101379,0.08667042677194961,0.05805144467935166,0.11407862086979234,-0.002521673153161939,-0.052586510615494915,0.10693001066247573,Utilities—Regulated Electric,Utilities,88.885,28037440686,1368000,WEC
2019,2019-12-31,2020-02-27,1135200000.0,7523100000.0,1531400000.0,3.58,2659500000.0,0.3535111855,34951800000.0,10143800000.0,2093600000.0,3182700000.0,24697200000.0,549800000.0,5927700000.0,41786842000.0,32.161699429296135,0.6578062651208094,0.36435891713731483,1.2554466767877916,0.060172617992221254,32.161699429296135,0.11191072379187286,3.866669590993075,25.6248608174771,2.8676967211498647,0.655831571529246,8.846125863950528,0.02559356619341888,0.21524213345235438,0.3814371445627926,0.03247901395636276,343.4396930342385,0.3535111855485106,0.07185628742514977,0.3802283397526336,0.07685245013445775,0.6304531114467558,0.059097606626577995,0.07043847241867043,0.04290384091528194,0.2081683129252306,0.007436868652687994,0.13281314478313663,Utilities—Regulated Electric,Utilities,88.885,28037440686,1368000,WEC
2018,2018-12-31,2019-02-26,1060500000.0,7679500000.0,1468400000.0,3.34,2511100000.0,0.32698743407773945,33475800000.0,9819300000.0,2247600000.0,3331700000.0,23633100000.0,548200000.0,5538200000.0,33566130000.0,31.1229793977813,0.6746105591739953,0.3524665579314012,1.201623333638854,0.05854913408676776,31.1229793977813,0.1080015887079527,2.845436551858845,20.604931636020748,2.2253653519089958,0.6575200377180576,9.427946005107625,0.03191080899140701,0.229404525059894,0.409820812197977,0.031679601383686126,66.25691328077623,0.32698743407773945,-0.11873350923482855,0.3249722648717103,0.22592385942923157,0.6614885093903984,-0.09630402706301508,-0.11984397045397958,-0.17745910822316827,0.4231717848185763,0.1135100035992703,-0.028526721924824944,Utilities—Regulated Electric,Utilities,88.885,28037440686,1368000,WEC
2017,2017-12-31,2018-02-28,1204900000.0,7648500000.0,1785200000.0,3.79,2778700000.0,0.3632999934627705,31590500000.0,9491800000.0,2213500000.0,3869300000.0,22098700000.0,539000000.0,5176800000.0,31959708000.000004,30.075411913814957,0.5720672989946501,0.34926006236051976,1.1624033376177332,0.0659770240519497,30.075411913814957,0.1269411492024695,2.741100607962346,17.4000398373309,2.208781053119535,0.5448584944808698,9.034879406307978,0.03131363488673765,0.24211392665516532,0.35913472721164036,0.03814121333945332,174.5654288093256,0.3632999934627705,0.28040540540540543,0.6087484023759794,0.31378317146655754,0.6620717375009489,0.05277714632113359,0.2815358434375665,0.06129243207894893,0.4640444303978275,0.09410834709987309,0.5246877435915269,Utilities—Regulated Electric,Utilities,88.885,28037440686,1368000,WEC
2016,2016-12-31,2017-02-28,940200000.0,7472300000.0,1682100000.0,2.96,2639400000.0,0.3532245761010666,30123200000.0,8960200000.0,2168700000.0,2431600000.0,21163000000.0,587600000.0,4613900000.0,28648040000.0,28.39100126742712,0.8918818884684981,0.33779943697880704,1.1356442936541595,0.05485278039780885,28.39100126742712,0.10493069351130555,2.477140907083495,19.687236758136567,2.065795406352537,0.6646458200382898,8.224812797821647,0.033760239093157514,0.2480579752483136,0.526073367330153,0.031211823445052318,27.228508384819065,0.3532245761010666,0.264957264957265,0.31686761962156385,0.22752126296581576,0.6535410508559855,0.33525572924571256,0.46837419959394033,0.3451419432227109,0.1742991066548485,0.1924693401273486,0.5156428879453988,Utilities—Regulated Electric,Utilities,88.885,28037440686,1368000,WEC
2015,2015-12-31,2016-02-26,640300000.0,5926100000.0,1250500000.0,2.34,1976700000.0,0.3335583267241525,29355200000.0,8685200000.0,2206800000.0,2709000000.0,20670000000.0,687000000.0,4299800000.0,24237141000.0,32.036886757654,0.8146179401993355,0.35349103395650516,1.1947681112697461,0.03910695630273494,32.036886757654,0.07372311518445171,2.347267342771806,21.724411994377636,1.6015913277759868,0.7112291113540528,5.748762736535662,0.03273870480536466,0.20187564724478116,0.39808047249907713,0.02181214912519758,507.6693795620438,0.3335583267241525,-0.09652509652509653,0.20964437206254344,0.21611947359678366,0.9543963793710386,0.21620623884821263,0.08839027706952235,0.12444924017624315,-0.00475935728859169,0.18501507784440135,0.7704696510891732,Utilities—Regulated Electric,Utilities,88.885,28037440686,1368000,WEC
2014,2014-12-31,2015-02-27,588300000.0,4997100000.0,1112100000.0,2.59,1625300000.0,0.3252486442136439,15163400000.0,4450100000.0,1535400000.0,1668700000.0,10713300000.0,400600000.0,4117300000.0,17064344000.0,19.725620567375888,0.9201174567028225,0.3447841513117111,1.1748275319655739,0.07115812422710183,19.725620567375888,0.1321992764207546,2.3810097856756918,20.224620091789905,2.6736801420192804,0.5983341832398437,8.416874687968049,0.029584446111931405,0.32955010090085335,0.4226643494936178,0.03879736734505454,25.775875216637782,0.3252486442136439,0.0318725099601594,0.5943599494792129,0.2545682261806401,0.28203099231436984,0.05751838115687423,0.01887772774506408,0.029626886399407464,0.152706175145766,0.148393335793092,0.1488542814862488,Utilities—Regulated Electric,Utilities,88.885,28037440686,1368000,WEC
2013,2013-12-31,2014-02-27,577400000.0,4519000000.0,1080100000.0,2.51,1536900000.0,0.34009736667404294,14769400000.0,4263400000.0,1551100000.0,1496400000.0,10506000000.0,329400000.0,3881000000.0,14625784000.0,18.731985940246044,1.0365543972199946,0.35497718255311655,1.229722756485434,0.07167543479470072,18.731985940246044,0.13543181498334664,2.0820942686435053,16.295434707308626,2.206920298353427,0.5696224454450988,9.053126897389193,0.03495595273623592,0.30597045242189935,0.5032745255279337,0.039094343710644984,17.308653421633554,0.34009736667404294,0.06808510638297859,0.6517093358273636,0.04764185386629351,0.30060829531955136,0.034322632747829596,0.05692842760388065,0.07977606717984605,0.29929643482060525,0.10460465305926155,0.14273667653738417,Utilities—Regulated Electric,Utilities,88.885,28037440686,1368000,WEC
