Quarters,Year,Quarter,FillingDate,Date,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,MarketCap,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Symbol
2023Q1,2023,Q1,2023-05-15,2023-03-31,-3681691.0,31925.0,-3530406.0,-0.21,12168.0,0.3811433046,30096232.0,21583101.0,14705146.0,2432819.0,8513131.0,1603795.0,-36907489.0,24879379.2624,20871680.2624,1.2578022067935337,6.044488307597072,0.21535968356437443,0.30030508590957344,-0.12615085349811808,1.2578022067935337,-0.1705821142198241,779.307102972592,-1.6893989244616128,1.1527249611814354,0.0,0.012318906094606855,0.0,0.0010607640185655136,4.4649367667713875,-0.12233062929605275,-6.186851881230369,0.3811433046202036,-0.1052631578947368,0.8158022374825703,-0.9874296897764641,2.9765330109827666,-0.7007525453740593,-0.1439734695196524,0.05034987758185016,-1.5072843104633609,-0.902206968748523,4.729330702884693,Auto Parts,Consumer Cyclical,WKSP
2022Q4,2022,Q4,2023-03-31,2022-12-31,-3218336.0,39063.0,-3717586.0,-0.19,40662.0,1.040933876,32764130.0,24118254.0,18332107.0,2461730.0,8645876.0,1346372.0,-33384219.0,16993087.6,9400917.600000001,1.4122014371302365,7.446839011589411,0.20197609397838429,0.27438018523231406,-0.10782297780560993,1.4122014371302365,-0.1334398418724672,435.0174743363285,-1.3200212470046633,0.704573705874397,0.0,-0.0011876361065143958,0.0,0.0011922489625086946,5.906567332729422,-0.09822742126831996,-6.651039862979814,1.0409338760463867,-0.11764705882352934,-0.18358136701369868,-0.9893357272297411,2.8747536114170216,6.0741127348643005,-0.12495600091581013,-0.2560969552643858,0.30637030218502026,1.1512007860378128,4.450644120874061,Auto Parts,Consumer Cyclical,WKSP
2022Q3,2022,Q3,2022-11-14,2022-09-30,-2860855.0,18350.0,-2959633.0,-0.17,5748.0,0.3132425068,35719303.0,26928996.0,22096328.0,2504881.0,8790307.0,1286786.0,-29917393.0,29866238.7,20116187.7,1.5688769352801029,8.821308477328863,0.195250618412123,0.2589853702677961,-0.08343641250882973,1.5688769352801029,-0.10623697222131862,1627.587940054496,-2.609904967221338,1.1090736060118989,0.0,0.009793392219063621,0.0,0.0005137278294596062,6.8131831412350525,-0.08009268825878266,-12.047249033113737,0.3132425068119891,0.15,-1.4247389858377961,-0.9099927441766429,12.749522986478576,0.7323688969258589,0.15175390662178434,0.10526691293016377,-2.2094669275525134,-0.9975892786645703,8.347708845187313,Auto Parts,Consumer Cyclical,WKSP
2022Q2,2022,Q2,2022-08-19,2022-06-30,-3372671.0,11305.0,-3307839.0,-0.2,3318.0,0.293498452,38217462.0,29407755.0,25653378.0,2425491.0,8809707.0,1102712.0,-27039733.0,32853592.91,20780060.91,1.727572606913391,10.576571094265038,0.18482786742876856,0.24019691404529178,-0.08723608058488816,1.727572606913391,-0.11468644920361994,2906.1117125165856,-2.435279998404825,1.1171744633345864,0.0,0.007243051676230965,0.0,0.00029580718887088837,7.999880024291989,-0.08824947611644123,-2.865763636381082,0.2934984520123839,-0.1764705882352941,0.8381592323360888,-0.9830780533547998,57.913745823392226,-0.6616702355460385,-0.19756621433093619,-0.18174332057455242,-157.74850226617448,-0.9981998340046645,8.079063272379598,Auto Parts,Consumer Cyclical,WKSP
2022Q1,2022,Q1,2022-05-23,2022-03-31,-2816271.0,47784.0,-2799118.0,-0.17,9807.0,0.2052360623,33961403.0,31902268.0,30846020.0,1794887.0,2059135.0,791813.0,-23667414.0,44508646.46,19500815.46,1.8779259494021467,17.18549412859974,0.023588748674487917,0.02511128675867183,-0.0843235756387854,1.8779259494021467,-0.08827808104426933,931.4550154863553,-3.951026593321453,1.3951561832531783,0.0,0.04796208195621946,0.0,0.0014070090096101153,14.453945568718254,-0.08292563767168276,-16.920062139686944,0.20523606228026117,0.39285714285714285,0.9236956366232655,-0.968322481269303,9.338510647583652,1.1786827001913092,0.2715830938703512,0.2470194093480792,-0.8391872752167241,-0.9938559530154673,8.551350297106529,Auto Parts,Consumer Cyclical,WKSP
2021Q4,2021,Q4,2022-03-31,2021-12-31,-3866290.0,16453.0,-3717384.0,-0.28,-54885.0,-3.3358657996,36294099.0,34180322.0,34032005.0,1796789.0,2113777.0,501772.0,-20849805.0,33840232.14,6129961.140000001,2.4443206801240343,18.94045711544316,0.0236143622135378,0.025074719892925527,-0.10640664476906032,2.4443206801240343,-0.11311449903836482,2056.7818719990278,-2.18815920042211,0.9900501270877435,0.0,0.1421721419290036,0.0,0.00045332438201593046,16.050388220319693,-0.10652668358015996,-14.171598343475477,-3.335865799550234,-0.8666666666666669,0.7344083731415957,-0.9836683810013653,3.774036289482061,-5.732281427832385,-0.8831419322723717,-0.8123502052517136,0.3925720644678467,-0.9918923896602875,14.667410992032774,Auto Parts,Consumer Cyclical,WKSP
2021Q3,2021,Q3,2021-11-15,2021-09-30,-2053106.0,93408.0,-2051140.0,-0.15,11598.0,0.1241649538,38604334.0,36507860.0,36762621.0,1728043.0,2096474.0,56205.0,-17052179.0,87537129.42,59408780.42,2.6107687687984047,21.274135539451276,0.022647146302277873,0.023947664968584848,-0.05373491159361693,2.6107687687984047,-0.05623736915831276,937.1480967368963,-10.659109834075785,2.3977611785516872,0.0,1.455564451561249,0.0,0.002419624698097369,16.94813323511047,-0.05318330320113799,-59.204513474304306,0.12416495375128468,-0.8270401948842873,-0.47679167362769376,-0.9765203105429069,4.950662724138988,-0.7628511839038155,-1.5458218066341707,-1.567914897772414,0.42295986161401594,0.3161900227954548,6.834520489753453,Auto Parts,Consumer Cyclical,WKSP
2021Q2,2021,Q2,2021-08-16,2021-06-30,-806461.0,186239.0,-798757.0,-0.0821,48906.0,0.2625980595,14415674.0,12532106.0,13120450.0,1463199.0,1883568.0,73435.0,-14901211.0,102206790.4,90865935.4,1.2751980752934395,8.966962115201008,0.06421773966309172,0.07386962733957086,-0.056318625966157415,1.2751980752934395,-0.06435159421728479,548.7937027153282,-31.683736225310337,8.15559574743463,0.0,1.8701300469803228,0.0,0.012919201696708736,8.49629202863042,-0.055943343335871774,-150.66348024257863,0.2625980594827077,0.6579166666666666,0.8811114870965733,-0.5891949046141648,3.2332484633777145,1.9302847577561772,0.33870512776359185,0.20269887185998367,0.7050668403844667,-0.8624366387474173,5.7218545627975645,Auto Parts,Consumer Cyclical,WKSP
2021Q1,2021,Q1,2021-05-24,2021-03-31,-1219518.0,7650.0,-1001826.0,-0.24,-52571.0,-6.8720261438,10209894.0,8828006.0,9811800.0,1373616.0,1381888.0,115587.0,-14089552.0,38766329.44,29832746.439999998,1.7124810648567816,7.143044344270888,0.0370518048473373,0.04285169266989624,-0.10807919518823109,1.7124810648567816,-0.13814195414004024,5067.494044444444,-7.947059707195794,4.391289430478411,0.0,0.5210014967081074,0.0,0.0007492732049911585,6.818755751243433,-0.11944472685024937,-61.182687053357235,-6.872026143790849,-69.58823529411765,-0.5421931103560462,-0.9911040781885229,11.406792786142102,-15.783745781777277,-67.98506618395746,-1.8684821604968318,0.7969093738386909,-0.989973688940125,4.413997088179477,Auto Parts,Consumer Cyclical,WKSP
2020Q4,2020,Q4,2021-04-13,2020-12-31,-17678.0,122524.0,-349253.0,-0.0034,3556.0,0.0290228853,1902152.0,169475.0,1684764.0,1718053.0,1732677.0,40803.0,-12866033.0,15259087.12,14864069.12,0.03287523008781406,0.980623997047821,0.3747303054645475,4.205894674730787,-0.028152425406266744,0.03287523008781406,-0.10431037026110046,124.53957689921974,-215.79204548025797,90.03739265378374,0.0,2.9156679655907656,0.0,0.06441335918475495,0.81396499409506,-0.009293684206099197,-47.894184306340236,0.02902288531226535,0.9852173913043479,0.9986777525752712,-0.9420659436995417,3.9551608230584185,-0.840944670572975,0.9707796823087985,0.05097903884091366,0.9784616594348502,-0.8891848364210544,-0.9097979840837851,Auto Parts,Consumer Cyclical,WKSP
