Quarters,Year,Quarter,FillingDate,Date,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,MarketCap,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Symbol
2023Q1,2023,Q1,2023-05-10,2023-03-31,-60952000.0,0.0,-64953000.0,-1.03,0.0,0.0,489342000.0,385487000.0,410226000.0,56358000.0,103677000.0,0.0,-659584000.0,1019564400.0,1028055400.0,6.503146245592726,7.278931118918344,0.09149224877488546,0.11614140035850755,-0.13697751843216602,6.503146245592726,-0.15811687553665882,0.0,-4.181833245832786,2.6448736273856186,0.0,0.0,0.0,0.0,6.9647432485184,-0.12455910181427304,-20.687953249599254,0.0,-0.13186813186813187,-1.2256104392663303,0.0,0.0,0.0,-0.2655620613761887,-0.25503342736793294,-1.1999528261225554,0.0,3.3395353249411106,Biotechnology,Healthcare,ZNTL
2022Q4,2022,Q4,2023-03-01,2022-12-31,-48162000.0,0.0,-51754000.0,-0.91,0.0,0.0,539310000.0,433803000.0,451933000.0,56647000.0,105286000.0,0.0,-596365000.0,1064539980.0,1066636980.0,8.207105965151257,7.978057090401963,0.08374775175687453,0.10411638462620129,-0.09800914034376994,8.207105965151257,-0.11102274534754254,0.0,-5.525829388314439,2.4539709960512033,0.0,0.0,0.0,0.0,7.720991402898653,-0.08930299827557435,-28.396062311611406,0.0,0.010869565217391313,-1.167168148344424,0.0,2.6881012741899717,0.0,0.07609967580425483,0.04500581255881756,-1.167168148344424,0.0,2.6881012741899717,Biotechnology,Healthcare,ZNTL
2022Q3,2022,Q3,2022-11-09,2022-09-30,-52129000.0,0.0,-54193000.0,-0.92,0.0,0.0,529193000.0,428504000.0,433890000.0,54061000.0,100455000.0,-4212000.0,-541394000.0,1230439620.0,1190095620.0,7.543154892882919,8.025933667523724,0.004170501121518992,0.005150477008382652,-0.12480009419674758,7.543154892882919,-0.1216534734798275,0.0,-5.900936235109056,2.871477559135971,0.0,0.0,0.0,0.0,7.8788405689868855,-0.09850659400256617,-35.29761668435698,0.0,0.25203252032520324,-0.34242884352848685,0.0,0.0,0.0,0.17326418625305293,0.1460424512692835,-0.34242884352848685,0.0,0.0,Biotechnology,Healthcare,ZNTL
2022Q2,2022,Q2,2022-08-09,2022-06-30,-63054000.0,0.0,-63461000.0,-1.23,0.0,0.0,567856000.0,472490000.0,467626000.0,48636000.0,95033000.0,-5165000.0,-486993000.0,1436387700.0,1428049700.0,9.243304575777138,9.614812073361296,0.0824240652559804,0.0990602975724354,-0.1121323341203729,9.243304575777138,-0.13345044339562742,0.0,-5.695069702160053,3.040038307689052,0.0,0.0,0.0,0.0,9.465951147298297,-0.1110387140401792,-33.16909594735019,0.0,0.03149606299212601,-1.1275033460234747,0.0,0.0,0.0,-0.09685836551508194,-0.09644257848269666,-1.1275033460234747,0.0,0.0,Biotechnology,Healthcare,ZNTL
2022Q1,2022,Q1,2022-05-05,2022-03-31,-57486000.0,0.0,-57879000.0,-1.27,0.0,0.0,405677000.0,315298000.0,301282000.0,43485000.0,90011000.0,0.0,-418636000.0,2087558160.0,2103233160.0,6.968835646715586,6.928412096125101,0.1139995612272818,0.14667711181168291,-0.14201417557716067,6.968835646715586,-0.1823227549810021,0.0,-9.078550255714436,6.620905175421348,0.0,0.0,0.0,0.0,6.751270553064275,-0.14170386785546135,-41.21861864707973,0.0,-0.18691588785046723,-1.7501001004867418,0.0,0.0,0.0,-0.19107409249129786,-0.1598997995991984,-1.7501001004867418,0.0,0.0,Biotechnology,Healthcare,ZNTL
2021Q4,2021,Q4,2022-02-24,2021-12-31,-48264000.0,0.0,-49900000.0,-1.07,0.0,0.0,454507000.0,363954000.0,350770000.0,43944000.0,90025000.0,0.0,-359559000.0,3780682560.0,3766880560.0,8.09218249733191,7.982204624066994,0.10101494586442013,0.1261478098880628,-0.10984499681676572,8.09218249733191,-0.1326101650208543,0.0,-19.58334659373446,10.387803293822847,0.0,0.0,0.0,0.0,7.835654469324595,-0.10618978365569727,-96.41646842803223,0.0,-10.888888888888891,-1.5523080488830223,0.0,2.6364570783067216,0.0,-10.516105941302792,0.20629871162716718,-1.5523080488830223,0.0,2.6364570783067216,Biotechnology,Healthcare,ZNTL
2021Q3,2021,Q3,2021-11-10,2021-09-30,-4191000.0,0.0,-62870000.0,-0.09,0.0,0.0,435081000.0,393432000.0,377565000.0,39415000.0,41085000.0,0.0,-309500000.0,2972743760.0,2932798760.0,8.819565558519582,9.579221108714956,0.001981240274799405,0.002190975823013888,-0.14919074677515687,8.819565558519582,-0.010652412615140609,0.0,-177.32902409926032,7.555927733382134,0.0,0.0,0.0,0.0,9.308613472028416,-0.009632689085480635,-82.23130093220105,0.0,0.9328358208955223,0.8625613411160473,0.0,0.0,0.0,0.9232051892842745,-0.14035405934847275,0.8625613411160473,0.0,0.0,Biotechnology,Healthcare,ZNTL
2021Q2,2021,Q2,2021-08-12,2021-06-30,-54574000.0,0.0,-55132000.0,-1.34,0.0,0.0,283962000.0,223845000.0,259449000.0,33577000.0,36353000.0,0.0,-305309000.0,2167261600.0,2118895600.0,5.49474691933821,7.726985734282396,0.002831364760073531,0.003591771091603565,-0.24473878840306154,5.49474691933821,-0.24380263128504098,0.0,-9.928086634661193,9.681974580624987,0.0,0.0,0.0,0.0,7.5164547160258515,-0.19218768708489165,-46.17876076024887,0.0,-0.08064516129032265,-1.310516369355965,0.0,0.0,0.0,-0.09364541792749645,-0.09504041948874808,-1.310516369355965,0.0,0.0,Biotechnology,Healthcare,ZNTL
2021Q1,2021,Q1,2021-05-17,2021-03-31,-49901000.0,0.0,-50347000.0,-1.24,0.0,0.0,328353000.0,268386000.0,306354000.0,32797000.0,35715000.0,0.0,-250735000.0,1751177010.0,1723280010.0,6.649966550211849,9.34091532762143,0.0033470076411666713,0.004094848464524975,-0.1867936986836748,6.649966550211849,-0.18592996654072866,0.0,-8.773256097072203,6.524844850327513,0.0,0.0,0.0,0.0,9.148519681678202,-0.1519736381272594,-46.199103284527105,0.0,-0.2277227722772277,-1.6761857694565125,0.0,0.0,0.0,-0.23814604371882986,-0.2510125481426264,-1.6761857694565125,0.0,0.0,Biotechnology,Healthcare,ZNTL
2020Q4,2020,Q4,2021-03-25,2020-12-31,-40303000.0,0.0,-40245000.0,-1.01,0.0,0.0,365555000.0,308582000.0,345104000.0,28601000.0,32178000.0,0.0,-200834000.0,2074275840.0,2021323840.0,7.726913060897436,12.066151533163175,0.005468397368385058,0.00647801880861489,-0.13012464211115374,7.726913060897436,-0.13060709957158875,0.0,-12.866758305833313,6.721959932854152,0.0,0.0,0.0,0.0,11.850005244571868,-0.11025153533667985,-74.03368691555428,0.0,-0.10989010989010986,-1.4002883480451391,0.0,2.4723126552108257,0.0,-0.1663435103458255,-0.1575632064889119,-1.4002883480451391,0.0,2.4723126552108257,Biotechnology,Healthcare,ZNTL
2020Q3,2020,Q3,2020-11-09,2020-09-30,-34555000.0,0.0,-34767000.0,-0.91,0.0,0.0,393233000.0,341055000.0,372736000.0,23906000.0,27400000.0,0.0,-160531000.0,1240879710.0,1149198710.0,8.98482573302774,15.591734292646198,0.00221497178517571,0.0025538402896893462,-0.1014742321054735,8.98482573302774,-0.10131796924249754,0.0,-8.977569888583417,3.638356599375467,0.0,0.0,0.0,0.0,15.375135949134108,-0.08787411026032912,-60.222262072312546,0.0,-0.16666666666666666,-0.33171064161272207,0.0,0.0,0.0,-0.28662918419778827,-0.26998100526008184,-0.33171064161272207,0.0,0.0,Biotechnology,Healthcare,ZNTL
2020Q2,2020,Q2,2020-08-13,2020-06-30,-26857000.0,0.0,-27376000.0,-0.78,0.0,0.0,257217000.0,213224000.0,238481000.0,15567000.0,19292000.0,0.0,-125976000.0,1649631060.0,1554425060.0,6.206852385526737,15.319650542814928,0.0031490920118032633,0.0037988218962218137,-0.12742268808996296,6.206852385526737,-0.12595674032941884,0.0,-15.35568995047846,7.736610606685927,0.0,0.0,0.0,0.0,14.98451853279373,-0.10441378291481512,-74.78606673315804,0.0,-0.5901006044420888,-0.34839084997379993,0.0,0.0,0.0,-0.6654471040555624,-0.6693700835416794,-0.34839084997379993,0.0,0.0,Biotechnology,Healthcare,ZNTL
