Year,Date,FillingDate,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Price,MarketCap,AvgVolume,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2008,2009-01-03,2009-03-04,3807301700.0,11.358787174475728,0.2068571370735797,0.1536715913958491,0.6284250197627306,13.575654727396463,3.005602576718386,0.0973836110200892,1.6506751328332168,0.0071734006923116,0.098579920497819,11.000812587445916,0.4789851922940422,0.0964912280701755,Specialty Retail,Consumer Cyclical,68.8,4089740526,2468909,AAP,0.08030795545981617,0.22139650993427992,1.32427395285254,0.08068969741873945,0.04629058652283872,1.7568440594289625,1.734865800851196,0.0,0.0,0.007676507743938646,-0.010557162322640479,-0.03670012235692166,0.0032594340836762936,0.003661719410901723,-0.3605193000975708,-0.0011707096010775,0.06336099354877436,-0.0036068573514332,0.0612222739726381
2009,2010-01-02,2010-01-02,3807301700.0,11.358787174475728,0.2068571370735797,0.1536715913958491,0.6284250197627306,13.575654727396463,3.005602576718386,0.0973836110200892,1.6506751328332168,0.0071734006923116,0.098579920497819,11.000812587445916,0.4789851922940422,0.0964912280701755,Specialty Retail,Consumer Cyclical,68.8,4089740526,2468909,AAP,0.08798446320375482,0.21083934761163944,1.2875738304956184,0.08394913150241574,0.04995230593374044,1.3963247593313917,1.7613694014539063,0.0,0.0,0.007676507743938646,-0.010557162322640479,-0.03670012235692166,0.0032594340836762936,0.003661719410901723,-0.3605193000975708,0.13583965585326713,0.052577711529280445,0.09509624584565478,0.07355147897090777
2010,2010-12-31,2010-12-31,3927953320.0,13.57589006870706,0.0664736282213616,0.191445818407397,0.706441279948742,14.142315689806304,2.9817566137566134,0.0843390427298583,1.6964599443459547,0.0059635949712711,0.1313604728971567,7.545446566000204,0.488529498544421,0.132,Specialty Retail,Consumer Cyclical,68.8,4089740526,2468909,AAP,0.10316953256154864,0.33294367571249617,1.1494668160855042,0.09871948691040627,0.05840356862034938,2.2271511505964168,1.7664936406917024,0.037774227011547895,0.03278055239933769,0.015185069357793818,0.12210432810085672,-0.1381070144101142,0.01477035540799053,0.008451262686608937,0.8308263912650251,0.2799096063586231,0.09470085021624451,0.28730701937784037,0.11991751083303773
2011,2011-12-31,2012-02-28,5623503600.0,11.21282729436657,0.1137888380892149,0.3277611528105201,0.8533268011374189,13.340919018348949,6.209852178404885,0.047009997922378,1.5178326884166569,0.0035237450926522,0.0904567217048506,9.390463332857754,0.4974165629737287,0.2936708860759494,Specialty Retail,Consumer Cyclical,68.8,4089740526,2468909,AAP,0.10796185957807883,0.46547409289149605,1.0484236987944924,0.10771349049714592,0.06396311977936174,3.311467908302021,1.687876700675155,0.1363153344031231,-0.04090375119230609,0.004792327016530193,0.13253041717899988,-0.10104311729101179,0.008994003586739643,0.005559551159012362,1.0843167577056043,0.14052471731208804,0.04139250587701383,0.13627030788141548,0.03646184212081457
2012,2012-12-29,2013-02-25,5233714410.0,16.564200790795038,0.1311470293340824,0.2248722892903293,0.842342446893257,13.482439729666984,4.317141581605261,0.0453891196120411,1.3458177629906147,0.0033665360663297,0.3234742569066407,12.621951296670604,0.4992803387846871,0.0215264187866926,Specialty Retail,Consumer Cyclical,68.8,4089740526,2468909,AAP,0.0840237599521784,0.32020477511245615,1.2440040349455666,0.10593306723622857,0.062477004443027666,2.810883674983109,1.3448749776215512,-0.1028888635201908,0.23301753520179014,-0.023938099625900433,-0.1452693177790399,0.19558033615107417,-0.0017804232609173465,-0.0014861153363340748,-0.5005842333189121,-0.017766201650949373,0.005597798025496308,-0.01102397982673379,0.009365683920385497
2013,2013-12-28,2014-02-25,7957578600.0,20.78986699574935,0.1893309593525271,0.1607027030680057,1.2344772424957045,20.46279999387377,5.287191112019812,0.0448593264209027,1.2679818990931946,0.0021922379358803,0.5027754418517172,22.937413911008232,0.5008067677947043,0.0191570881226054,Specialty Retail,Consumer Cyclical,68.8,4089740526,2468909,AAP,0.07039962449508282,0.25838062794938677,1.4429273885672846,0.10168415664507792,0.06032787511314614,2.6701989506695996,1.1669501762335721,-0.0641695862223236,0.17930118494507646,-0.01362413545709558,-0.06182414716306939,0.1989233536217181,-0.004248910591150651,-0.0021491293298815245,-0.14068472431350942,0.010545051203343049,0.04654486065518421,0.004568585837840305,0.04974441872205487
2014,2014-12-31,2015-03-03,13148830960.0,27.46273240827072,0.205578925237976,0.1478824474041334,1.1800866509594152,23.523736060345264,5.799859884008884,0.0355996557484939,1.3691413795687275,0.001513350415817,0.1828704062391632,24.17382130705761,0.4524254253488545,0.2612781954887217,Specialty Retail,Consumer Cyclical,68.8,4089740526,2468909,AAP,0.06201994434312047,0.2465535180776789,1.266619397039753,0.08652194499698848,0.05016578352741877,2.9753908309501367,1.2362997242776574,-0.012820255663872293,-0.319905035612554,-0.008379680151962346,-0.011827109871707875,-0.17630799152753163,-0.015162211648089438,-0.010162091585727374,0.3051918802805371,0.26053584100388505,0.5158828078537513,0.2898482246432779,0.3694382109536288
2015,2015-12-31,2015-12-31,12138803900.0,33.62000273261374,0.1492100683933314,0.1413100806146543,1.13133475772562,23.26969463326841,4.47679916022121,0.0372815263266849,1.2729440294646313,0.0016021493583926,0.1813230205212566,24.21619692456501,0.4542224323709785,-0.0461997019374068,Specialty Retail,Consumer Cyclical,68.8,4089740526,2468909,AAP,0.05819585927458936,0.19238753369031247,1.3010601512530557,0.08480830578725437,0.04861837576966582,2.3058629271639015,1.1969930783022817,-0.006572366789479089,-0.0015473857179066075,-0.0038240850685311092,-0.05416598438736642,0.03444075421330273,-0.001713639209734108,-0.0015474077577529444,-0.6695279037862352,-0.041364855971244875,-0.010853769674317832,-0.030444634910943867,-0.006924939369451275
2016,2016-12-31,2017-02-28,13348882440.0,39.64264158125119,0.1254661286371323,0.1237437913855343,1.3002950287107249,27.06747161798173,4.266113287465298,0.0385925826004847,1.2279070928655242,0.0014257919300761,0.2112133526076659,51.55421519590577,0.444822093216129,-0.03125,Specialty Retail,Consumer Cyclical,68.8,4089740526,2468909,AAP,0.05527602836934021,0.157610335670628,1.4071543174378123,0.08231860621578128,0.04803902806521833,1.8513324911391293,1.1506483498020994,-0.01756628922912,0.029890332086409316,-0.0029198309052491517,-0.034777198019684485,0.10609416618475653,-0.002489699571473089,-0.0005793477044474943,-0.45453043602477217,-0.029100249684198075,-0.01739125880223288,-0.046237496669815206,-0.0377267921565932
2017,2017-12-30,2018-02-21,7859097740.0,46.24754218237955,0.1231183613974557,0.1168647221060693,0.7853506908202706,15.481872409333231,2.155574010979165,0.0375474495536324,1.2687405901222792,0.0024252524863205,0.3313970846214918,17.909649602113628,0.4357950855278935,0.0354838709677418,Specialty Retail,Consumer Cyclical,68.8,4089740526,2468909,AAP,0.05605849167578467,0.13923212606245733,1.559408257873272,0.06083050345516816,0.05072711297806734,1.4836937616464765,1.1050991941927077,-0.006879069279465008,0.1201837320138259,0.0007824633064444642,-0.01837820960817066,0.1522539404354597,-0.021488102760613123,0.002688084912849012,-0.36763872949265286,0.03455665742719017,-0.020265625550355524,-0.2760113662045866,-0.04014788829194192
