Year,Date,FillingDate,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Price,MarketCap,AvgVolume,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2010,2010-12-31,2010-12-31,403348290.0,5.137548648504558,0.0,0.0,1.8966626410962435,18.96754267310789,0.0,0.3698872785829307,0.0,0.0195010647903987,0.0,17.58036417910448,0.9404376600164244,0.0,Medical Care Facilities,Healthcare,79.51,7317679315,649159,ACHC,0.01503646524421544,0.06444248430446739,2.76888462673355,0.14192551084488672,0.099995169315492,3.2857468998080215,0.150371916435026,-0.0668102240283132,2.366602734336579,-0.09952154500285716,-0.4265241529600996,0.0,-0.27321975178664565,-0.25761150012367545,0.0,0.0,0.4939555479003969,0.0,0.0
2011,2011-12-31,2012-03-13,403348290.0,5.137548648504558,0.6718200660539085,-0.0668102240283132,0.844761059388453,-5.359603634070847,1.940614227157163,-0.0107474492720394,0.0,0.0020052694202455,2.366602734336579,-6.187377249867655,0.2413799334155475,-6.281375201955813,Medical Care Facilities,Healthcare,79.51,7317679315,649159,ACHC,-0.08448507975864172,-0.36208166865563224,2.76888462673355,-0.13129424094175893,-0.15761633080818346,3.2857468998080215,0.5360172979883583,-0.0668102240283132,2.366602734336579,-0.09952154500285716,-0.4265241529600996,0.0,-0.27321975178664565,-0.25761150012367545,0.0,-6.618679549114332,2.56461040529443,-4.297594735647833,-0.08507978905554414
2012,2012-12-31,2013-03-01,1322356950.0,11.241780804116743,0.4813013454164222,0.0487524963099839,2.2049667330124847,44.034600303876886,2.0770730551381344,0.0,0.0,0.0,1.5764429165912792,142.54132159289227,0.9521524759424828,1.2849462365591398,Medical Care Facilities,Healthcare,79.51,7317679315,649159,ACHC,0.02074713268992783,0.04716911339729511,1.9621299633964733,0.1735380809451702,0.050073503967250854,1.2735244480406889,0.41433355060386634,0.11556272033829709,-0.7901598177452998,0.10523221244856956,0.40925078205292736,-0.8067546633370766,0.3048323218869291,0.20768983477543432,-2.0122224517673324,1.5847472199931216,0.8406083849430599,3.4328229829692067,6.260503415364462
2013,2013-12-31,2014-02-21,2979256320.0,9.613430925525956,0.5039247659960855,0.0700074902460714,3.317441520139948,55.58348763474952,4.923320338665723,0.0,0.0,0.0,0.8758740953875664,-700.4111630659959,0.947338689782004,0.6037735849056602,Medical Care Facilities,Healthcare,79.51,7317679315,649159,ACHC,0.034768045635560595,0.08857523246864013,1.265376231580783,0.17240485108100834,0.059683939625011215,1.5476045848848579,0.5825360365620144,0.021254993936087506,-0.7005688212037128,0.014020912945632763,0.04140611907134502,-0.6967537318156902,-0.0011332298641618666,0.00961043565776036,0.274080136844169,1.086898985443317,0.7508620456927166,0.73942865224155,0.7420102328818321
2014,2014-12-31,2015-02-27,4372636230.0,15.999219076330748,0.4930180473918303,0.0576476691804284,3.354970012970324,40.58774361753372,3.825811729183339,0.0,0.0,0.0,1.3983270456928658,1650.5417384916748,0.9517997692616272,0.7647058823529412,Medical Care Facilities,Healthcare,79.51,7317679315,649159,ACHC,0.03734501414379449,0.09426027140692309,1.6521207226969759,0.17197175794171018,0.08265968279943978,1.5240389799821787,0.4517923717951601,-0.012359821065643005,0.5224529503052994,0.0025769685082338983,0.005685038938282955,0.3867444911161928,-0.00043309313929815185,0.02297574317442856,-0.023565604902679116,0.9502571690269851,0.4081717614604826,0.404634334729054,0.41480293383483346
2015,2015-12-31,2016-02-26,6482118100.0,24.71951237423809,0.5236352147406717,0.0552661897108814,2.369801091339499,37.78265632496402,2.5267488716765256,0.0,17.23200170903653,0.0,0.8862382539119168,-119.30729154976994,0.9550496742253518,0.1666666666666666,Medical Care Facilities,Healthcare,79.51,7317679315,649159,ACHC,0.026302530748680598,0.0668758927361874,1.0156201004124699,0.1787748287537643,0.06272192910305535,1.5377789317824777,0.4193514313863687,-0.0023814794695469974,-0.512088791780949,-0.011042483395113895,-0.02738437867073569,-0.636500622284506,0.006803070812054113,-0.019937753696384425,0.013739951800298966,0.35541907514450866,0.7862733562877202,0.8569369598814561,0.7923725578578906
2016,2016-12-31,2017-02-24,6067449100.0,25.294033908589164,0.5457192576060721,0.0103395243331704,1.0091746314543952,461.77813771772753,1.3086089834314705,0.0,25.345348586229225,0.0,1.118664780598778,52.525702699700034,0.9582253316892656,-0.96,Medical Care Facilities,Healthcare,79.51,7317679315,649159,ACHC,0.001019631432201232,0.0028338478514792474,1.248091814562583,0.15836201320993812,0.002185410154846431,1.7710963203802699,0.4665629607055989,-0.044926665377711006,0.23242652668686115,-0.025282899316479365,-0.06404204488470815,0.23247171415011314,-0.02041281554382618,-0.06053651894820892,0.23331738859779216,-0.9454217531140608,0.5664121099453215,0.387556497615411,0.5716206225942028
2017,2017-12-31,2018-02-27,6009711240.0,29.590916409808163,0.5043018120315007,0.0634940965421595,1.00028108292588,14.197278955137987,1.1027032602878264,0.0,23.90620430332149,0.0,1.132290554308684,22.62450749601276,0.959652239031194,31.85714285714285,Medical Care Facilities,Healthcare,79.51,7317679315,649159,ACHC,0.03110513468592585,0.07767004253225288,1.249506477401302,0.15438406721959047,0.07045583073254179,1.4883039219611087,0.44148418040806897,0.0531545722089891,0.013625773709906142,0.030085503253724617,0.07483619468077363,0.0014146628387190496,-0.003977945990347648,0.06827042057769536,-0.28279239841916115,31.530522545987303,0.009036918240828428,-0.016309402392944275,0.010539489858692573
2018,2018-12-31,2019-03-01,5387151480.0,26.731131427000275,0.5173730142580709,0.0775676145477981,0.7449685271948804,-12.7691293314367,0.9617999174562112,0.0,23.60316518298714,0.0,0.9668425489400232,30.90383210774188,0.9603929303867096,-1.873913043478261,Medical Care Facilities,Healthcare,79.51,7317679315,649159,ACHC,-0.028473047567081366,-0.07532227863714462,1.0817528345705936,0.13701276240339233,-0.058341372215631036,1.6330431443440576,0.48804213006585334,0.014073518005638608,-0.1654480053686609,-0.05957818225300722,-0.15299232116939748,-0.16775364283070848,-0.01737130481619814,-0.12879720294817282,0.1447392223829489,-1.879475567343058,0.062096748035127255,-0.05741044390954641,0.06291650945285183
2019,2019-12-31,2020-02-28,6466769640.0,28.596322421586084,0.5350218094058823,0.0487678902775136,0.9366069931024096,26.72044141274111,1.1616878390951315,0.0,386.6864887581425,0.0,1.0008434431463231,60.35566007216623,0.4077993552294445,1.6169154228855722,Medical Care Facilities,Healthcare,79.51,7317679315,649159,ACHC,0.015833806018250532,0.04347562306890648,1.1696269867292526,0.13018083567876293,0.03505207786933517,1.7457468544704378,0.4517223223477579,-0.02879972427028451,0.034000894206299925,0.0443068535853319,0.1187979017060511,0.08787415215865901,-0.0068319267246294,0.0933934500849662,0.11270371012638014,1.6197610241820768,0.0315425160052874,-0.019893735326825653,-0.5619893070752486
