Quarters,Year,Quarter,FillingDate,Date,MarketCap,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2007Q1,2007,Q1,2006-06-30,2006-06-30,23666865.0,23779259.0,-166.30326196562154,0.9007789904101684,0.2056239135397095,0.0,-1.396447902938322,-3.3372766922318724,0.0,0.0,0.0,0.0571193251990777,-54.450522145455295,0.0,-5.623982453245599,Medical Devices,Healthcare,AEMD,-1.0356428986011472,0.5974581445555137,0.16178552858473189,0.0,0.0,-0.0779083065060839,0.0,0.0,0.0,-1.4984386969738777,0.0,-0.12819473697899636,0.0,0.0,0.0,-6.835238988162934,2.980836334463395,-0.2469558746994584,0.0
2007Q2,2007,Q2,2006-11-14,2006-09-30,23666865.0,23779259.0,-166.30326196562154,0.9007789904101684,0.2056239135397095,0.0,-1.396447902938322,-3.3372766922318724,0.0,0.0,0.0,0.0571193251990777,-54.450522145455295,0.0,-5.623982453245599,Medical Devices,Healthcare,AEMD,-2.534081595575025,0.5974581445555137,0.03359079160573553,0.0,0.0,-0.0779083065060839,0.0,0.0,0.0,-1.4984386969738777,0.0,-0.12819473697899636,0.0,0.0,0.0,-6.835238988162934,2.980836334463395,-0.2469558746994584,0.0
2007Q3,2007,Q3,2007-02-14,2006-12-31,23666865.0,23779259.0,-166.30326196562154,0.9007789904101684,0.2056239135397095,0.0,-1.396447902938322,-3.3372766922318724,0.0,0.0,0.0,0.0571193251990777,-54.450522145455295,0.0,-5.623982453245599,Medical Devices,Healthcare,AEMD,-2.390908729158653,0.5974581445555137,0.02107630971723488,0.0,0.0,-0.0779083065060839,0.0,0.0,0.0,0.14317286641637184,0.0,-0.012514481888500652,0.0,0.0,0.0,-6.835238988162934,2.980836334463395,-0.2469558746994584,0.0
2007Q4,2007,Q4,2007-07-13,2007-03-31,23666865.0,23779259.0,-166.30326196562154,0.9007789904101684,0.2056239135397095,0.0,-1.396447902938322,-3.3372766922318724,0.0,0.0,0.0,0.0571193251990777,-54.450522145455295,0.0,-5.623982453245599,Medical Devices,Healthcare,AEMD,-6.9078352283658155,0.5974581445555137,0.05771244439345321,0.0,0.0,-0.0779083065060839,0.0,0.0,0.0,-4.5169264992071625,0.0,0.03663613467621833,0.0,0.0,0.0,-6.835238988162934,2.980836334463395,-0.2469558746994584,0.0
2008Q1,2008,Q1,2007-08-08,2007-06-30,21428107.5,21977949.5,-170.68928077292873,3.2265411478894626,0.2056239135397095,0.0,-9.990743874941954,-2.943945851341922,0.0,0.0,0.0,0.0003567814447876,-48.98435356888133,0.0,0.8490334165196916,Medical Devices,Healthcare,AEMD,-3.1313450442663924,0.0736668332256447,0.0010487334191595394,0.0,0.0,-0.0759063805735719,0.0,0.0,-0.056762543754290094,3.776490184099423,-0.523791311329869,-0.05666371097429367,0.0,0.0,0.002001925932512,0.8734477136523785,2.980836334463395,-0.5026430297312819,0.0
2008Q2,2008,Q2,2007-11-14,2007-09-30,20458140.0,20860255.0,-148.64319483589418,1.647933365031925,0.2056239135397095,0.0,-20.052910778978404,-3.1282965931496003,0.0,0.0,0.0,0.0261345004246315,-31.942884801548885,0.0,0.4999999666665,Medical Devices,Healthcare,AEMD,-0.7218561789611919,0.0390005299932443,0.027335568053196896,0.0,0.0,-0.0890347364239309,0.0,0.0,0.025777718979843902,2.4094888653052005,-0.0346663032324004,0.026286834634037356,0.0,0.0,-0.013128355850359,0.5243333165485202,2.980836334463395,0.2080232028308004,0.0
2008Q3,2008,Q3,2007-12-31,2007-12-31,26308125.0,27293065.0,-75.1053666880479,2.369395828877197,0.2056239135397095,0.0,-2.526631402072081,-7.4894781132799535,0.0,0.0,0.0,0.081904347157195,-58.21965933207488,0.0,-5.999999599998026,Medical Devices,Healthcare,AEMD,-4.678867042090486,0.741053691798679,0.09664988706145228,0.0,0.0,-0.3752723705389449,0.0,0.0,0.055769846732563494,-3.957010863129294,0.7020531618054346,0.06931431900825538,0.0,0.0,-0.286237634115014,-9.206087386101656,2.980836334463395,0.2362991067029164,0.0
2008Q4,2008,Q4,2008-03-31,2008-03-31,21005887.5,21537337.5,-62.86808591162835,1.6105981295008247,0.2056239135397095,0.0,-7.04016714034829,-6.322762880975142,0.0,0.0,0.0,0.0668415578648682,-35.84438936573213,0.0,0.7311333248939262,Medical Devices,Healthcare,AEMD,-1.5282162649429938,0.2245246012959837,0.08645619361274459,0.0,0.0,-0.2366280945764695,0.0,0.0,-0.015062789292326795,3.1506507771474923,-0.5165290905026952,-0.010193693448707686,0.0,0.0,0.13864427596247542,0.7134436358733087,2.980836334463395,-0.5262811328810665,0.0
2009Q1,2009,Q1,2008-08-14,2008-06-30,16249837.5,17309261.5,-69.77023370233702,3.5019073914658265,0.2056239135397095,0.0,-4.06727910073437,-4.407323634773778,0.0,0.0,0.0,0.0388921015848685,-27.1833236587614,0.0,-0.5939923898882286,Medical Devices,Healthcare,AEMD,-2.875669746324133,0.2709012293979291,0.047936701434013636,0.0,0.0,-0.3298956769282844,0.0,0.0,-0.0279494562799997,-1.3474534813811392,0.0463766281019454,-0.038519492178730956,0.0,0.0,-0.09326758235181493,-0.3390197471612617,2.980836334463395,0.2246056256775977,0.0
2009Q2,2009,Q2,2008-11-19,2008-09-30,15700935.0,17632110.0,-72.57031094008096,9.83431871304826,0.2056239135397095,0.0,-2.1652639258172357,-3.9272258353049594,0.0,0.0,0.0,0.0,-26.7521349317776,0.0,-0.3333333037035562,Medical Devices,Healthcare,AEMD,-9.231607518421763,0.4534350049062386,0.008779207799459367,0.0,0.0,-0.4830387714168012,0.0,0.0,-0.0388921015848685,-6.355937772097629,0.18253377550830951,-0.03915749363455427,0.0,0.0,-0.15314309448851676,-0.8149707403272879,2.980836334463395,-0.1747749972340654,0.0
2009Q3,2009,Q3,2009-02-17,2008-12-31,9571320.0,12244773.0,-70.5531306026755,7.947241069144977,0.2056239135397095,0.0,-1.0205906965674496,-2.3386630556368666,0.0,0.0,0.0,0.0207223082336382,-29.406783826963256,0.0,-0.2500000166667501,Medical Devices,Healthcare,AEMD,-6.737630719095118,0.572869972140273,0.043269809992962704,0.0,0.0,-0.6757176164271231,0.0,0.0,0.0207223082336382,2.493976799326645,0.1194349672340344,0.034490602193503334,0.0,0.0,-0.19267884501032195,-0.2933186968369722,2.980836334463395,-0.1838645263348979,0.0
2009Q4,2009,Q4,2009-03-31,2009-03-31,10018462.5,12384525.5,-56.17381409572577,12.01805580886376,0.2056239135397095,0.0,-2.699029412620465,-2.5367691742840504,0.0,0.0,0.0,0.0014847994351154,-37.29548551134671,0.0,0.6480198447922927,Medical Devices,Healthcare,AEMD,-4.701243236670922,0.234970501101461,0.010410235831584146,0.0,0.0,-0.6006684728939305,0.0,0.0,-0.0192375087985228,2.036387482424196,-0.337899471038812,-0.03285957416137856,0.0,0.0,0.07504914353319259,0.6042023344311968,2.980836334463395,0.1934609145588555,0.0
2010Q1,2010,Q1,2009-07-02,2009-06-30,18982350.0,20866634.0,-52.94256454021762,6.714639852554119,0.2056239135397095,0.0,-4.764937912864141,-5.099866286131559,0.0,0.0,0.0,0.0224881673003915,-51.858676647360944,0.0,-0.1364276898809699,Medical Devices,Healthcare,AEMD,-3.386695185565538,0.267572546557385,0.03560504068396975,0.0,0.0,-0.5305033922808114,0.0,0.0,0.0210033678652761,1.3145480511053838,0.03260204545592399,0.025194804852385608,0.0,0.0,0.0701650806131191,-0.0732459812773918,2.980836334463395,0.0823537988498599,0.0
2010Q2,2010,Q2,2009-11-16,2009-09-30,15441930.0,17176209.0,-55.92011749826609,6.04297916542612,0.2056239135397095,0.0,-5.319667217858619,-3.7553569161672713,0.0,0.0,0.0,0.0209387303874262,-26.84115291287449,0.0,0.4999999666665,Medical Devices,Healthcare,AEMD,-2.4007066155892103,0.1764845789394582,0.0340938232002646,0.0,0.0,-0.4442411357659362,0.0,0.0,-0.0015494369129652984,0.9859885699763278,-0.09108796761792678,-0.0015112174837051545,0.0,0.0,0.08626225651487524,0.2713409154576736,2.980836334463395,-0.2428861836110007,0.0
2010Q3,2010,Q3,2010-02-16,2009-12-31,17469000.0,19155983.0,-53.37125193199382,6.38349528846649,0.2056239135397095,0.0,-2.939171318237433,-4.21575271059216,0.0,0.0,0.0,0.0110063569637854,-37.50088551807637,0.0,-1.9999998666660088,Medical Devices,Healthcare,AEMD,-5.465077275034389,0.3585834453093627,0.024360736746511822,0.0,0.0,-0.4188441660488678,0.0,0.0,-0.0099323734236408,-3.0643706594451787,0.1820988663699045,-0.009733086453752777,0.0,0.0,0.025396969717068396,-1.0475099903541407,2.980836334463395,0.1026474005391808,0.0
2010Q4,2010,Q4,2010-07-02,2010-03-31,24470670.0,26324719.0,-51.271039575132185,2.975226044541727,0.2056239135397095,0.0,-4.478536556083212,-5.558693608745015,0.0,0.0,0.0,0.0138428579493625,-41.6587278348269,0.0,0.2929204803152797,Medical Devices,Healthcare,AEMD,-2.1145431663418477,0.3102963177332236,0.035595212980378294,0.0,0.0,-0.4365962827055535,0.0,0.0,0.0028365009855770996,3.3505341086925413,-0.04828712757613912,0.011234476233866472,0.0,0.0,-0.01775211665668569,0.0806802442730829,2.980836334463395,0.0799788261354764,0.0
2011Q1,2011,Q1,2010-08-16,2010-06-30,18674985.0,20673919.0,-79.9244019473108,2.78266365895581,0.2056239135397095,0.0,-1.3357345580378026,-2.7213215826548725,0.0,0.0,0.0,0.0478180616609731,-51.452334574068,0.0,-1.357113458179256,Medical Devices,Healthcare,AEMD,-4.715645852839831,0.5093305339521388,0.07605177759438693,0.0,0.0,-0.3005517401972963,0.0,0.0,0.0339752037116106,-2.6011026864979834,0.1990342162189152,0.040456564614008636,0.0,0.0,0.1360445425082572,-1.5587647703472265,2.980836334463395,-0.764509331819272,0.0
2011Q2,2011,Q2,2010-11-15,2010-09-30,17851470.0,19458677.0,-90.04158565092959,1.4554716435507014,0.2056239135397095,0.0,-1.6277779824363998,-2.1656659929998336,0.0,0.0,0.0,0.070913973891005,-29.407403136531364,0.0,0.2000000106667199,Medical Devices,Healthcare,AEMD,-1.9058805292017484,0.3326107762187479,0.11097970343617528,0.0,0.0,-0.2540062431555122,0.0,0.0,0.0230959122300319,2.8097653236380826,-0.17671975773339088,0.034927925841788346,0.0,0.0,0.04654549704178412,0.2155979589530407,2.980836334463395,-0.2128284523796208,0.0
2011Q3,2011,Q3,2011-02-17,2010-12-31,14892885.0,16707260.0,-98.1600499164534,2.1200500877052275,0.2056239135397095,0.0,-1.9929766868236365,-1.6045224114499983,0.0,0.0,0.0,0.0618884062964505,-26.964574435148187,0.0,0.24999998333325,Medical Devices,Healthcare,AEMD,-1.9333140157610693,0.2012720999269755,0.07850491255813381,0.0,0.0,-0.2207126879669478,0.0,0.0,-0.009025567594554494,-0.027433486559320874,-0.1313386762917724,-0.03247479087804146,0.0,0.0,0.03329355518856439,0.3186067878496972,2.980836334463395,0.2574898256979071,0.0
2011Q4,2011,Q4,2011-07-14,2011-03-31,10541070.0,12897218.0,-51.02070472921629,4.1815453995723,0.2056239135397095,0.0,1.1009207943872523,-1.763989746469785,0.0,0.0,0.0,0.034052090222144,-23.499589802124117,0.0,1.908448966501522,Medical Devices,Healthcare,AEMD,4.220052572286894,-0.4005714478877614,0.06270032158439424,0.0,0.0,-0.3969163100277156,0.0,0.0,-0.027836316074306505,6.153366588047963,-0.6018435478147369,-0.01580459097373957,0.0,0.0,-0.1762036220607678,2.281303478107732,2.980836334463395,0.1034411928525911,0.0
2012Q1,2012,Q1,2011-08-22,2011-06-30,7905802.5,10438695.5,-57.2519573439888,7.905953582240161,0.2056239135397095,0.0,-0.7643179785305005,-1.1789989920246315,0.0,0.0,0.0,0.001909187722231,-14.578631794603227,0.0,-2.100777299412916,Medical Devices,Healthcare,AEMD,-8.028878366840022,0.3856375962434537,0.02393108539534714,0.0,0.0,-0.3797333570351953,0.0,0.0,-0.032142902499913,-12.248930939126916,0.7862090441312151,-0.0387692361890471,0.0,0.0,0.017182952992520317,-2.0802972309743852,2.980836334463395,-0.1002217535903089,0.0
2012Q2,2012,Q2,2011-11-18,2011-09-30,5982165.0,8866426.0,-47.68415866162167,9.067259217078329,0.2056239135397095,0.0,-3.297942894567972,-0.943709635716358,0.0,0.0,0.0,0.0068415241292851,-12.073133075274372,0.0,0.84838958560355,Medical Devices,Healthcare,AEMD,-1.4034191314143531,0.0715377483696532,0.02614561268258474,0.0,0.0,-0.4621935769252794,0.0,0.0,0.0049323364070540995,6.625459235425669,-0.31409984787380046,0.002214527287237599,0.0,0.0,-0.08246021989008412,0.8246348178062501,2.980836334463395,0.144819270106927,0.0
2012Q3,2012,Q3,2012-02-16,2011-12-31,5353087.5,8045904.5,-42.78272352170593,3.374909609168316,0.2056239135397095,5.587336586384156,-2.328571360214923,-0.8765220377093167,0.0,0.0,0.0,0.0767695536826693,-82.30454335793358,1.0,-0.1802454468132117,Medical Devices,Healthcare,AEMD,-0.6364378315945441,0.094105129510441,0.10815219050374211,-0.3562643843122929,-0.5998674425279859,-0.4990217270100116,1.0609641171930284,0.0,0.0699280295533842,0.766981299819809,0.02256738114078781,0.08200657782115738,-0.3562643843122929,-0.5998674425279859,-0.03682815008473217,-0.2673586532503302,2.980836334463395,0.613426248390352,0.0
2012Q4,2012,Q4,2012-06-29,2012-03-31,12631575.0,16147937.0,-55.19276693523967,4.364248462490491,0.2056239135397095,31.45735482360676,-0.7021840593518921,-1.3588737105353157,0.0,0.0,0.0,0.0536810825398657,-17.06349313560341,1.0,-5.632367348160315,Medical Devices,Healthcare,AEMD,-5.362200039585355,0.4838025345482566,0.06868110967539494,-2.1356731233781434,-11.199825175695935,-0.393762719026518,0.47877533403124384,0.0,-0.0230884711428036,-4.725762207990811,0.3896974050378156,-0.039471080828347174,-1.7794087390658504,-10.59995773316795,0.10525900798349358,-6.825133369756994,-0.5808824987605354,-1.5124542961608776,-0.5808824987605354
2013Q1,2013,Q1,2012-08-13,2012-06-30,11368417.5,14144003.5,-49.82211838191199,4.097873183442942,0.2056239135397095,52.45017232072416,-2.7951899075909927,-1.3548199513031145,0.0,0.0,0.0,0.0646913837508017,-35.499790781260245,1.0,0.7191277563065492,Medical Devices,Healthcare,AEMD,-1.2357923573644927,0.1211742310981968,0.07402709176491529,-4.571255888201452,-4.691109911555869,-0.4018123507419953,0.26343282947182656,0.0,0.011010301210936005,4.126407682220862,-0.3626283034500598,0.005345982089520349,-2.4355827648233084,6.508715264140066,-0.00804963171547729,0.7739095824221274,-0.4602187545138042,-0.1553632294002479,-0.4602187545138042
