Year,Date,FillingDate,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Price,MarketCap,AvgVolume,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2008,2008-12-31,2009-02-25,3380045640.0,31.791458217528252,0.0349628092015912,0.0,1.4539049644118238,10.54834744537607,0.9159693085089332,0.3697776836974928,0.0,0.0350555085156573,0.2433653330473023,2.678186855429386,1.0,-0.6474258970358815,Insurance—Property & Casualty,Financial Services,53.37,4547118876,444190,AXS,0.02712178829495603,0.08683533731252414,1.525519360720798,0.0,0.1378324872157251,2.2016818495951953,0.19677355348385342,0.0,-0.0724953427174431,0.005405910351712544,0.0036853741322772082,0.10927369826706057,0.0,0.0390378744248851,-0.4188009446753409,-0.6452659205251196,-0.01557240884692154,0.0,-0.1289167201830881
2009,2009-12-31,2010-02-22,4310332390.0,40.0661718106921,0.0326315759214828,0.0,1.385480730393179,7.833312023234234,0.7090769773122791,0.3009905882069389,0.0,0.0384244349406964,0.1708699903298592,4.589126146076512,1.0,0.3584070796460177,Insurance—Property & Casualty,Financial Services,53.37,4547118876,444190,AXS,0.032527698646668574,0.09052071144480135,1.6347930589878585,0.0,0.1768703616406102,1.7828809049198544,0.18390700592766848,0.0,-0.0724953427174431,0.005405910351712544,0.0036853741322772082,0.10927369826706057,0.0,0.0390378744248851,-0.4188009446753409,0.285278385857668,0.0015986570284691178,0.0,0.0015986570284691178
2010,2010-12-31,2011-02-18,5144461640.0,46.20933556782335,0.0616792892939815,0.0,1.2297997591421923,5.098031265648291,0.7764664771545449,0.169456171948226,0.0,0.0332395317168925,0.1748136766052712,3.677121749284588,1.0,0.9609120521172638,Insurance—Property & Casualty,Financial Services,53.37,4547118876,444190,AXS,0.05209394462307574,0.15230712341576932,1.7681129541060343,0.0,0.24123032893675384,1.9237011041836667,0.21595105745071472,0.0,0.0039436862754120006,0.019566245976407166,0.06178641197096797,0.13331989511817577,0.0,0.06435996729614363,0.14082019926381228,0.7207212092728055,0.2616348197516356,0.0,0.2616348197516356
2011,2011-12-31,2012-02-22,15695452040.0,44.44182401488992,0.0558609852971957,0.0,1.0180092297899428,84.54957434402333,0.719142400394998,5.254940071266602,0.0,0.062152176543016,1.4106569895310987,3.2895806046673424,1.0,-0.9883720930232558,Insurance—Property & Casualty,Financial Services,53.37,4547118876,444190,AXS,0.0026005192951455455,0.008505570914749768,1.3075197501539544,0.0,0.012040382671209795,2.2707201714008924,0.2159831100188986,0.0,1.2358433129258275,-0.0494934253279302,-0.14380155250101956,-0.4605932039520799,0.0,-0.22918994626554404,0.34701906721722575,-0.9459510250104176,0.08287687953702591,0.0,0.08287687953702591
2012,2012-12-31,2013-02-22,17170091720.0,47.3176883780332,0.0527915785962742,0.0,1.085745233641934,7.731889094567111,0.7320729559578675,0.2900276112352692,0.0,0.0375105757064027,1.3992704090081138,3.775783090922233,1.0,56.14285714285714,Insurance—Property & Casualty,Financial Services,53.37,4547118876,444190,AXS,0.029027743181431444,0.09468228876591955,1.1726020036429872,0.0,0.140424315501996,2.261786084234279,0.20671450722520235,0.0,-0.011386580522984913,0.0264272238862859,0.08617671785116979,-0.13491774651096722,0.0,0.1283839328307862,-0.00893408716661348,10.818183781449088,0.013324898174843882,0.0,0.013324898174843882
2013,2013-12-31,2014-02-21,18212719520.0,51.19822943433419,0.0507189180181457,0.0,1.2962534176837588,7.430824190854542,0.9291336932073464,0.2166688431745857,0.0,0.0291581172706588,1.355208486077529,4.927823345804071,1.0,0.4824999999999999,Insurance—Property & Casualty,Financial Services,53.37,4547118876,444190,AXS,0.03704980915501795,0.12503777095828403,1.138648311364168,0.0,0.17444275148900945,2.3662619315836024,0.21238950222217876,0.0,-0.04406192293058475,0.008022065973586508,0.030355482192364475,-0.03395369227881906,0.0,0.03401843598701346,0.10447584734932347,0.3293320493164803,0.07009630097409504,0.0,0.07009630097409504
2014,2014-12-31,2015-02-23,18205635120.0,55.77495975778016,0.0496493840167057,0.0,1.197979474998888,6.576865870279805,0.9160024538228978,0.1945210886283603,0.0,0.0295765631328109,1.3347799756542909,6.184495988086042,1.0,0.2293423271500843,Insurance—Property & Casualty,Financial Services,53.37,4547118876,444190,AXS,0.04062716604388834,0.13927643833550274,1.2553582623250152,0.0,0.1821505103840473,2.4180559036652904,0.22304173597004892,0.0,-0.020428510423238233,0.003577356888870384,0.014238667377218711,0.11670995096084713,0.0,0.007707758895037858,0.05179397208168801,0.11447973442021266,0.06732015705638693,0.0,0.06732015705638693
2015,2015-12-31,2016-02-25,17899642980.0,59.49641513452119,0.0496361930910342,0.0,1.3097789714694512,8.640165422181909,0.9449308815142352,0.2474007646139291,0.0,0.0286337995310572,1.3338327040145137,7.0068225227502525,1.0,-0.1714677640603566,Insurance—Property & Casualty,Financial Services,53.37,4547118876,444190,AXS,0.03211062456501239,0.1093649062653723,1.2444277242474082,0.0,0.15159188597325393,2.405879136481695,0.21182284499500073,0.0,-0.0009472716397771475,-0.008516541478875948,-0.029911532070130434,-0.010930538077607022,0.0,-0.030558624410793378,-0.012176767183595505,-0.20859086395845797,-0.04905478860524983,0.0,-0.04905478860524983
2016,2016-12-31,2017-02-27,18041463440.0,69.1002732120037,0.0477065792895647,0.0,1.435608759200495,11.540821476991162,0.9445693477903886,0.3354942263639339,0.0,0.0290702206106216,1.3241695994300715,14.566852312624777,1.0,-0.1589403973509933,Insurance—Property & Casualty,Financial Services,53.37,4547118876,444190,AXS,0.02466491887479256,0.0818459370222101,1.2409250529085747,0.0,0.124393983743935,2.3183136517775575,0.19828064133362988,0.0,-0.009663104584442195,-0.00744570569021983,-0.027518969243162203,-0.0035026713388335295,0.0,-0.027197902229318935,-0.08756548470413739,-0.19990150101849818,-0.024965381970178762,0.0,-0.024965381970178762
2017,2017-12-31,2018-02-28,17996349080.0,63.50482712702716,0.0555944733351461,0.0,0.9516985808050494,-11.456973566885024,0.7914358998169722,-0.509191829123856,0.0,0.0444438338057803,1.1491777915823098,16.3070801492117,1.0,-1.9724409448818896,Insurance—Property & Casualty,Financial Services,53.37,4547118876,444190,AXS,-0.014901710920725647,-0.06907896707595805,1.038956658942632,0.0,-0.08306718831540447,3.6356399908336305,0.17939346717917243,0.0,-0.1749918078477617,-0.039566629795518206,-0.15092490409816817,-0.20196839396594268,0.0,-0.20746117205933945,1.317326339056073,-1.7187222421342974,0.07629407853544214,0.0,0.07629407853544214
