Year,Date,FillingDate,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Price,MarketCap,AvgVolume,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2008,2008-12-31,2009-03-02,4225481903.752,5.512013649967833,0.396410268533286,0.1331430897981053,1.3010238309150812,12.213907088783904,6.737079832923983,0.0,0.0,0.0,0.5211198387977133,6.61385458623086,0.303586513189486,0.45320197044335,Credit Services,Financial Services,33.275,1667679778,952124,BFH,0.049894664702335695,0.5515908860245611,0.9947202967960636,0.2256397768008514,0.10651987291681775,10.055107581447276,0.46840709940856623,0.00020267474235430294,0.1136164913262484,-0.022389276394967468,-0.024660364277779845,0.11302228869171782,-0.018060237403160262,-0.033348259637860575,8.102248637574926,0.3250742102023028,0.06630066948259358,0.3375963982281606,0.0490030255469941
2009,2009-12-31,2010-03-01,4445368191.4,4.888458781362007,0.3410764597131811,0.1333457645404596,1.464304920276062,20.01192613717005,10.544894680617062,0.0,0.0,0.0,0.6347363301239617,9.417091811919695,0.2369201681378131,-0.1559322033898305,Credit Services,Financial Services,33.275,1667679778,952124,BFH,0.027505388307368227,0.5269305217467812,1.1077425854877814,0.20757953939769114,0.07317161327895717,18.1573562190222,0.3759024446065928,0.00020267474235430294,0.1136164913262484,-0.022389276394967468,-0.024660364277779845,0.11302228869171782,-0.018060237403160262,-0.033348259637860575,8.102248637574926,-0.3388287571356943,-0.037497280568856,-0.11453612478583108,-0.24885890441912265
2010,2010-12-31,2011-02-28,4706775375.0,0.4398857142857142,0.2260321135298287,0.2091843112512033,1.0661657181055813,15.36163652270862,128.86972265523514,0.0,0.0,0.0,1.3563329905224706,3.568682894979819,0.3323436342995198,0.397590361445783,Credit Services,Financial Services,33.275,1667679778,952124,BFH,0.02342038685942908,8.389062094050402,1.5870628255279131,0.2254120750685762,0.06940443594857243,357.19485580670306,0.33744798209704074,0.07583854671074369,0.7215966603985089,-0.004085001447939145,7.862131572303621,0.47932024004013174,0.017832535670885052,-0.003767177330384744,339.0374995876809,0.3478856777102147,0.42104705853006175,0.5431249494184036,0.993396964279575
2011,2011-12-31,2012-02-27,6168927575.6,3.4707297830374757,0.243141810433096,0.2112379483783664,1.3240739257432437,13.326524411486714,23.877718284214,0.0,0.0,0.0,1.4823721178645513,4.4801289931705135,0.3349271591255376,0.5660919540229886,Credit Services,Financial Services,33.275,1667679778,952124,BFH,0.035108826047028314,1.7917438596092428,1.7137934996917128,0.25610037793619045,0.09935628261799201,50.0340008865349,0.35336291900146644,0.0020536371271631104,0.12603912734208067,0.011688439187599233,-6.597318234441159,0.12673067416379968,0.03068830286761426,0.02995184666941958,-307.16085492016816,0.6273917733835045,0.1367998592831393,0.2915673373382919,0.14563694943791763
2012,2012-12-31,2013-02-28,7738023200.0,10.56974,0.2379004943192741,0.1780711470545996,1.5863547161935414,13.680175533325755,10.930327898321057,0.0,0.0,0.0,1.6355058052443014,5.675874564596874,0.341440493877338,0.2073394495412844,Credit Services,Financial Services,33.275,1667679778,952124,BFH,0.035187592410387915,0.7989903252114053,1.8145336063966275,0.26758023721710666,0.11596011413224071,21.70659259357373,0.30344565175453386,-0.033166801323766815,0.1531336873797502,7.87663633596003e-05,-0.9927535343978374,0.10074010670491473,0.011479859280916216,0.0166038315142487,-28.327408292961167,0.33927925756297456,0.14751360340240263,0.19895161687256976,0.16982932199243522
2013,2013-12-31,2014-02-28,16746521597.599998,17.393516260162603,0.5581435787602128,0.0833197987529303,2.390367215666916,20.80768002418526,12.064287339105192,0.0,0.0,0.0,2.1044749493517783,11.89258877569357,0.3390559480146504,0.1276595744680851,Credit Services,Financial Services,33.275,1667679778,952124,BFH,0.03746303020244926,0.5797997338041813,2.304896755632911,0.2544329638164574,0.11487908372718805,14.476583999504534,0.3261083653088278,-0.09475134830166929,0.4689691441074768,0.0022754377920613453,-0.21919059140722408,0.49036314923628366,-0.013147273400649251,-0.0010810304050526548,-7.230008594069197,0.1750454700466068,0.18610283435720976,0.12782491963988818,0.17781935112336505
2014,2014-12-31,2015-02-27,21199684383.6,42.48900709219858,0.4639346955437227,0.057352130957992,2.42802565814435,25.43127079299931,5.372968554069054,0.0,0.0,0.0,1.9814746943255577,10.861285979425796,0.3438922559938449,0.0606469002695418,Credit Services,Financial Services,33.275,1667679778,952124,BFH,0.024984878338541343,0.21127408841669518,2.190914795900647,0.20714301877826263,0.09547402007188466,7.3577775644931105,0.26169295395469505,-0.025967667794938303,-0.12300025502622058,-0.012478151863907917,-0.3685256453874861,-0.11398195973226422,-0.04728994503819478,-0.019405063655303395,-7.1188064350114235,0.020402281476106978,0.22779871467491908,-0.0004049459829358493,0.24531208600905216
2015,2015-12-31,2016-02-25,24050585308.300003,32.47221324717286,0.5153757298133114,0.0604458731594873,2.121660591628925,22.90363161677068,6.797388749570902,0.0,0.0,0.0,2.3311618861054906,9.023467371502845,0.3563901433379515,0.1207115628970775,Credit Services,Financial Services,33.275,1667679778,952124,BFH,0.02660536628812189,0.29678213758003613,2.5369240998326608,0.19594872220115514,0.09263424364874018,10.071701914896792,0.287208760391101,0.003093742201495303,0.3496871917799329,0.0016204879495805465,0.08550804916334095,0.3460093039320138,-0.011194296577107493,-0.00283977642314448,2.7139243504036816,0.1782525138605511,0.2143727818908002,0.1487463892861597,0.2585060647934899
2016,2016-12-31,2017-02-27,21384032831.0,28.29692832764505,0.4921513986383999,0.0550533936294094,1.4970976633838136,20.71817144435828,6.444598257749367,0.0581620783249321,17.343531146332474,0.0028072978583624,1.9776044206078336,5.680042963218879,0.3408189854443059,-0.1678004535147392,Credit Services,Financial Services,33.275,1667679778,952124,BFH,0.02021627257085298,0.31106018574357736,2.1224660057424565,0.1772880738571889,0.07226012524341212,14.386624050174888,0.2797707934044313,-0.005392479530077904,-0.353557465497657,-0.006389093717268909,0.014278048163541224,-0.4144580940902043,-0.018660648343966246,-0.02037411840532806,4.3149221352780955,-0.13534861811677654,0.1084443392643126,0.0028846306246334778,0.0600149364156611
2017,2017-12-31,2018-02-27,21964925168.9,33.30879712746858,0.4851555167379289,0.0717020106906763,1.459702200805762,14.286832976924051,6.073424874090444,0.1464435146443514,20.65057667663392,0.0102502433451056,2.218139887845309,4.726124137614294,0.3737466642485167,0.9209809264305177,Credit Services,Financial Services,33.275,1667679778,952124,BFH,0.02570327979977057,0.42510645178677303,2.43484088422837,0.2131642355623494,0.10217115319843512,15.538996388724195,0.2515708103034727,0.016648617061266906,0.24053546723747554,0.005487007228917592,0.11404626604319568,0.3123748784859135,0.0358761617051605,0.029911027955022998,1.1523723385493074,0.5290810391624661,0.08143623653353133,0.300276570525484,0.18591746136139428
