Year,Date,FillingDate,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Price,MarketCap,AvgVolume,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2011,2011-12-31,2011-12-31,18953000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6156058971592953,0.0,Real Estate Services,Real Estate,13.78,4323012102,23122,BPYPO,0.07898324280111575,0.1568970545348498,0.4060077519379845,1.3466379000359583,1.3541891405969075,0.9864600258301046,0.058325119020154775,0.0574345339675591,0.2670542635658914,-0.023615276525240668,-0.04691080281631463,0.0,-0.5544404478066589,-0.6535521979217483,0.0,0.0,0.1002425827096142,0.0,0.0
2012,2012-12-31,2012-12-31,18953000000.0,0.0,0.4162454646504897,0.0574345339675591,0.0,0.0,0.0,0.2231060606060606,0.0,0.0,0.2670542635658914,0.0,0.5151273885350318,0.0,Real Estate Services,Real Estate,13.78,4323012102,23122,BPYPO,0.055367966275875084,0.10998625171853518,0.4060077519379845,0.7921974522292994,0.7006369426751592,0.9864600258301046,0.07902518823011262,0.0574345339675591,0.2670542635658914,-0.023615276525240668,-0.04691080281631463,0.0,-0.5544404478066589,-0.6535521979217483,0.0,-0.2989909718534254,0.35490830636461707,-0.20293724966622162,0.13376168224299065
2013,2013-12-31,2013-12-31,20272000000.0,0.0,0.4126148800671166,0.0323808528760735,0.0,0.0,0.0,0.1769710720363017,0.0,0.0,0.3387351211817008,0.0,0.4669932353627245,0.0,Real Estate Services,Real Estate,13.78,4323012102,23122,BPYPO,0.03361552835297258,0.07054821928771508,0.43180840384339597,0.4522976440401213,0.4112432936785631,1.0986794717887154,0.08174121954009839,-0.025053681091485598,0.07168085761580939,-0.021752437922902504,-0.0394380324308201,0.025800651905411476,-0.3398998081891781,-0.2893936489965961,0.11221944595861078,-0.3321969696969697,0.1377388535031847,-0.3504187604690117,0.03142709943328181
2014,2014-12-31,2014-12-31,25724000000.0,0.0,0.4118337781166603,0.0512570520782826,0.0,0.0,0.0,0.15,0.0,0.0,0.2853884749885966,0.0,0.5222959067002058,0.0,Real Estate Services,Real Estate,13.78,4323012102,23122,BPYPO,0.06740373617994663,0.15618926463832644,1.0285844610004562,0.8207180425337297,1.01074777040933,1.317219689741687,0.06668699961875715,0.0188761992022091,-0.0533466461931042,0.03378820782697405,0.08564104535061136,0.5967760571570602,0.3684203984936084,0.5995044767307669,0.21854021795297163,1.5070901871809417,0.02006064847212503,0.850954100051573,0.14085914085914086
2015,2015-12-31,2015-12-31,29491000000.0,0.0,0.4247627529012328,0.0426844146207877,0.0,0.0,0.0,0.200477960701009,0.0,0.0,0.1221163490471414,0.0,0.5223573047599424,0.0,Real Estate Services,Real Estate,13.78,4323012102,23122,BPYPO,0.05240308351654468,0.12174700158406879,0.2561016382480776,0.5549144858850196,0.7760148361838038,1.3232793456826044,0.0675284557370662,-0.008572637457494897,-0.16327212594145518,-0.015000652663401955,-0.034442263054257655,-0.7724828227523786,-0.26580355664871014,-0.2347329342255261,0.006059655940917397,-0.14796380090497738,0.10976446375485936,-0.24965171356923935,0.10989492119089317
2016,2016-12-31,2016-12-31,32563000000.0,0.0,0.4354320529394447,0.032855181771545,0.0,0.0,0.0,0.2929701877070298,0.0,0.0,0.2261962300628323,0.0,0.5457772795216741,0.0,Real Estate Services,Real Estate,13.78,4323012102,23122,BPYPO,0.034776709716231265,0.07953514241386377,0.5072498791686805,0.3299701046337818,0.507660687593423,1.287023213606159,0.06850384630153468,-0.009829232849242704,0.10407988101569089,-0.017626373800313413,-0.04221185917020502,0.2511482409206029,-0.22494438125123778,-0.26835414859038087,-0.0362561320764454,-0.2785448751991503,0.10282299608489594,-0.344225770516153,0.15226824457593688
2017,2017-12-31,2017-12-31,36162000000.0,0.0,0.4464059184084792,0.0292585001396272,0.0,0.0,0.0,0.3363047001620745,0.0,0.0,0.1622284216755431,0.0,0.5380603096984515,0.0,Real Estate Services,Real Estate,13.78,4323012102,23122,BPYPO,0.029260080382230547,0.07026534563261587,0.3307126553385747,0.3740831295843521,0.40228198859005704,1.4014064457351099,0.07273524843800017,-0.0035966816319178,-0.06396780838728919,-0.005516629334000718,-0.009269796781247897,-0.17653722383010578,0.04411302495057029,-0.10537869900336594,0.11438323212895085,-0.0916451969083548,0.14630044843049328,0.2995469988674972,0.13009243409791169
2018,2018-12-31,2018-12-31,61307000000.0,0.0,0.5272200457068233,0.0290765577241376,0.0,0.0,0.0,0.2898193760262725,0.0,0.0,0.4408111779545896,0.0,0.5699682276557536,0.0,Real Estate Services,Real Estate,13.78,4323012102,23122,BPYPO,0.029823702252693436,0.07817715019255456,0.6902775082476228,0.45710733526730213,0.5047658516369664,1.6213093709884467,0.059084231145935355,-0.0001819424154895985,0.2785827562790465,0.0005636218704628895,0.007911804559938687,0.3595648529090481,0.08302420568295005,0.10248386304690937,0.21990292525333688,0.4805510534846029,0.17995110024449879,0.4418300653594771,0.24992426537412904
2019,2019-12-31,2019-12-31,53952000000.0,0.0,0.5771073869387243,0.0818352634970336,0.0,0.0,0.0,0.4057649667405765,37.5632183908046,0.0,0.7330455526525048,0.0,0.6016091673777886,0.0,Real Estate Services,Real Estate,13.78,4323012102,23122,BPYPO,0.028277634961439587,0.0,0.7770078382369646,0.6925515055467512,0.3848591978544435,0.0,0.07347527386401297,0.052758705772896,0.29223437469791524,-0.001546067291253849,-0.07817715019255456,0.08673032998934183,0.23544417027944903,-0.11990665378252291,-1.6213093709884467,-0.1360153256704981,0.1331675645807432,0.7168328800241764,0.196073679108095
2020,2020-12-31,2020-12-31,51864000000.0,0.0,0.6346953710479755,0.0334776548434233,0.0,0.0,0.0,-0.6248785228377065,10.28515625,0.0,0.8751218455539911,0.0,0.6006370392840892,0.0,Real Estate Services,Real Estate,13.78,4323012102,23122,BPYPO,-0.019064205055997627,0.0,0.9388064551066826,0.3148794175640831,-0.3121492492037009,0.0,0.06107400579892729,-0.0483576086536103,0.14207629290148627,-0.047341840017437214,0.0,0.16179861686971797,-0.37767208798266805,-0.6970084470581444,0.0,-1.6518847006651884,-0.19626965744239913,-0.6345713782784721,-0.19756838905775076
