Year,Date,FillingDate,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Price,MarketCap,AvgVolume,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2008,2008-11-29,2009-02-12,271643900.0,22.36946277097078,0.1854113617915559,0.0255921702401993,0.8164116352710411,35.33822380514706,1.295963175191708,0.0,0.0,0.0,2.0047628569870386,8.48858562163654,0.3361424389052717,-0.7014925373134329,Consulting Services,Industrials,100.31,704796116,34647,CRAI,0.019356632159496515,0.03667312715934946,2.300668981439401,0.056127256463818276,0.023102792029749093,0.8858009606471728,0.8378481758642545,-0.0002639101367063988,0.10270692503895651,-0.0008386400717510338,-0.0057633101192105865,0.604580601324975,0.0006724279271258654,0.002812291895074953,-0.2229619392273854,-0.733022513956199,0.03728412906998715,-0.5664137789624769,-0.1479435649359824
2009,2009-11-28,2010-01-29,240073000.0,23.840214932126692,0.155485277047355,0.0253282601034929,0.8528207559367323,32.90827683254445,1.0171888160001898,0.0,0.0,0.0,2.107469782025995,13.194029850746269,0.3374165807471845,-0.0875,Consulting Services,Industrials,100.31,704796116,34647,CRAI,0.01851799208774548,0.03090981704013887,2.905249582764376,0.05679968439094414,0.025915083924824046,0.6628390214197875,0.7145642337668491,-0.0002639101367063988,0.10270692503895651,-0.0008386400717510338,-0.0057633101192105865,0.604580601324975,0.0006724279271258654,0.002812291895074953,-0.2229619392273854,-0.10190716911764706,-0.19936775217584027,-0.1897758441312778,-0.1963329701047046
2010,2010-11-27,2011-02-10,167893635.0,23.95137406804998,0.0741769085242197,0.0083842240437403,0.736738102004043,175.229366359447,0.8955644857391837,0.0,0.0,0.0,1.5662917909876826,13.688644327113458,0.310436136065669,-0.8356164383561644,Consulting Services,Industrials,100.31,704796116,34647,CRAI,0.00354415907884529,0.0051108127840976,2.0987573363061083,0.031003571497768622,0.004204421423819888,0.4394082134137246,0.8429599989111647,-0.0169440360597526,-0.5411779910383125,-0.014973833008900192,-0.025799004256041272,-0.8064922464582676,-0.02579611289317552,-0.021710662501004157,-0.22343080800606285,-0.833439938595369,0.026637802140969835,-0.43961944784917995,-0.05545402739295329
2011,2011-12-31,2012-03-02,152975200.0,25.353292278540977,0.0138427925301055,0.0642955236096237,0.6860812245272386,12.427226870808855,0.7825413670946623,0.0,0.0,0.0,1.954492968531596,9.612632545329356,0.3467735594375352,12.083333333333336,Consulting Services,Industrials,100.31,704796116,34647,CRAI,0.045285361468609835,0.06296991076366572,2.308460855930864,0.09522062196128796,0.05520791015241066,0.38751289218397333,0.8202694386292115,0.05591129956588341,0.38820117754391337,0.041741202389764545,0.05785909797956812,0.20970351962475586,0.06421705046351933,0.05100348872859077,-0.05189532122975127,11.942396313364055,-0.014357033525578511,2.0271846682637227,0.10101524954750661
2012,2012-12-29,2013-03-08,137386600.0,20.78056457165339,0.0058148693537892,0.0580882604375616,0.7069033618107179,-3.617122419241906,0.9046914935913212,0.0,0.0,0.0,2.148533448923566,-16.979621568801633,0.325489108325012,-4.312101910828026,Consulting Services,Industrials,100.31,704796116,34647,CRAI,-0.18096298071983835,-0.25011359548647266,2.4805230458026295,0.05023854432486408,-0.1954325233921373,0.3775913970351578,0.9259614396767234,-0.006207263172062105,0.19404048039196997,-0.2262483421884482,-0.31308350625013837,0.17206218987176536,-0.044982077636423874,-0.25064043354454796,-0.009921495148815518,-4.13589697940775,-0.11413762826477257,-0.532617671345995,-0.16851055789125607
2013,2013-12-28,2014-03-13,158595640.0,22.193375644585483,0.0031438883061091,0.0516473692313298,0.7500561717044018,18.36760246262093,0.9331613329877836,0.0,0.0,0.0,1.5364483856298317,13.359751791197544,0.320257728996667,1.2153846153846155,Consulting Services,Industrials,100.31,704796116,34647,CRAI,0.03549752734901843,0.050804743563391985,1.8526944065484312,0.06650456844040915,0.04083582346856683,0.4274703080456483,0.869274189519956,-0.0064408912062318,-0.6120850632937342,0.21646050806885678,0.30091833904986465,-0.6278286392541983,0.01626602411554507,0.23626834686070414,0.04987891101049047,1.2151656794655867,0.029742224194681754,0.3631478209658422,0.01319183265347862
2014,2015-01-03,2015-03-17,203648280.0,22.078784877797002,0.0031290276927292,0.05796376544296415,0.8579702050475555,20.032859744288906,1.157705500088025,0.0,0.0,0.0,1.520130430794869,12.379831978501924,0.32260834199457167,0.7237637362637361,Consulting Services,Industrials,100.31,704796116,34647,CRAI,0.04329358881566416,0.0637036691033935,1.8685318008009593,0.0784702207454361,0.04451465706610613,0.468542868486816,0.9725692989473417,0.006316396211634351,-0.016317954834962567,0.007796061466645729,0.012898925540001521,0.01583739425252806,0.011965652305026941,0.0036788335975392952,0.041072560441167694,0.19947229551451187,0.100344069647167,0.29832046227790676,0.11649657956711898
2015,2016-01-02,2016-03-04,248700920.0,21.96419411100852,0.0031141670793493,0.0642801616545985,0.9658842383907092,21.698117025956886,1.3822496671882665,0.0,0.0,0.0,1.5038124759599067,11.399912165806304,0.3249589549924764,0.2321428571428569,Consulting Services,Industrials,100.31,704796116,34647,CRAI,0.024407348023855895,0.036159542114509155,1.6284670013185594,0.040828965703537036,0.02522409152751195,0.4847513175541661,0.9676204987297469,0.006316396211634351,-0.016317954834962345,-0.018886240791808267,-0.02754412698888435,-0.2400647994823999,-0.03764125504189906,-0.019290565538594175,0.01620844906735014,-0.43855404018184485,-0.009178414406063238,-0.4844640405973129,-0.03665200184816891
2016,2016-12-31,2017-03-15,129972500.0,23.5023307436182,0.0002390689698039,0.0313219490861506,0.5535546631791514,21.945474729006136,0.7935383176863937,0.0,0.0,0.0,1.4911055078766569,68.6143323805635,0.3159484647136141,-0.3985507246376811,Consulting Services,Industrials,100.31,704796116,34647,CRAI,0.03982177838475847,0.06219476884470611,1.81201912858661,0.05825191899722581,0.03968236862605033,0.5586285107615095,1.0035131410632736,-0.0329582125684479,-0.012706968083249892,0.015414430360902575,0.026035226730196953,0.1835521272680507,0.017422953293688773,0.01445827709853838,0.07387719320734343,0.683165730703931,0.06990403842416136,0.5264644182669034,0.015535559749345734
2017,2017-12-30,2018-03-12,318690400.0,24.95272551857212,0.0,0.0386921168837327,1.007161791528744,48.88843126967471,1.801406422177973,0.6480849947534103,0.0,0.013256408068782,1.4174994466351316,10.32451732638985,0.3006039316354792,-0.4026845637583892,Consulting Services,Industrials,100.31,704796116,34647,CRAI,0.021074920457655275,0.036847294449707114,1.5107352784450037,0.04259677092481254,0.020601229480510706,0.7468440079648926,1.022993335305191,0.0073701677975820945,-0.07360606124152524,-0.018746857927103195,-0.025347474394998994,-0.3012838501416064,-0.01565514807241327,-0.019081139145539626,0.18821549720338304,-0.4084419615145872,0.13946714535114646,-0.16676357101326708,0.1421677840634914
2018,2018-12-29,2019-02-28,293710440.0,24.234858764031085,0.0,0.1143855276169194,0.7943015170670038,14.749174817712966,1.688476933099882,0.2571581006580117,0.0,0.0174354229193336,1.226110023368913,15.993560890945908,0.3075867716354442,1.932584269662921,Consulting Services,Industrials,100.31,704796116,34647,CRAI,0.06065051261170405,0.11447941691436948,1.2711846565190845,0.06928082978967935,0.053853963145998544,0.8875259578973085,1.1262033296840197,0.07569341073318671,-0.19138942326621855,0.03957559215404878,0.07763212246466236,-0.23955062192591914,0.026684058864866814,0.03325273366548784,0.1406819499324159,1.9501573976915005,0.12854961832061068,0.835511291550368,0.15476511515020766
2019,2019-12-28,2020-02-27,555140620.0,25.13996948893974,0.2989218798934069,0.0439883627189833,0.9335614241088244,20.3104844073842,2.130869730115145,0.3151780980382705,0.0,0.0155180000494563,0.9920599731637594,37.82939402100728,0.2960077098610896,-0.0306513409961686,Consulting Services,Industrials,100.31,704796116,34647,CRAI,0.0389072149095253,0.1049147665498531,1.0738988390408961,0.06501982852205508,0.04596450805326008,1.6965375649174972,0.846462119521494,-0.0703971648979361,-0.23405005020515368,-0.021743297702178754,-0.009564650364516383,-0.1972858174781884,-0.00426100126762427,-0.007889455092738466,0.8090116070201887,-0.07758314067223902,0.08074263494617477,0.014273371349576637,0.040058226882448644
2020,2021-01-02,2021-03-04,529045930.0,26.02383386908367,0.2864361060135599,0.04661689623972595,0.855888945575862,18.226900097355134,2.011818303883708,0.3084643091488941,0.0,0.0171049895424584,0.9910882234367397,24.179998722021114,0.283400502667541,0.09139369709084849,Consulting Services,Industrials,100.31,704796116,34647,CRAI,0.04387925014771445,0.11724771432262139,1.0991300698042783,0.06844580652394994,0.048206730097782535,1.672053736741636,0.9102307926447154,0.0026285335207426527,-0.0009717497270196329,0.0049720352381891555,0.01233294777276829,0.025231230763382184,0.0034259780018948555,0.002242222044522457,-0.024483828175861255,0.1812310213524847,0.12628885393358,0.18563445549952295,0.030349751887971618
2021,2022-01-01,2022-03-03,502951240.0,26.9076982492276,0.2739503321337129,0.0492454297604686,0.7782164670428996,16.14331578732607,1.8927668776522708,0.3017505202595177,0.0,0.0186919790354605,0.99011647370972,10.530603423034949,0.2707932954739925,0.2134387351778656,Consulting Services,Industrials,100.31,704796116,34647,CRAI,0.07504861711322386,0.20248841299299436,1.1701707291891537,0.0984904573509585,0.07364652706239078,1.6980965243837267,1.019038101411697,0.002628533520742646,-0.0009717497270197439,0.031169366965509405,0.08524069867037297,0.07104065938487536,0.030044650827008565,0.02543979696460824,0.02604278764209078,0.7006977598237238,0.11322395170475222,0.6018795263823428,0.2049555439330544
2022,2022-12-31,2023-03-02,765682280.0,27.729219991917013,0.2499297752808988,0.0885396178817294,1.2245465099225528,16.62734902468869,3.366845516289826,0.1988771323688188,0.0,0.0119608442737035,1.0708681002036735,9.483561820047896,0.293107134590137,0.7752442996742672,Consulting Services,Industrials,100.31,704796116,34647,CRAI,0.07917526596565364,0.2065743485797096,1.1461600460564192,0.099402437971843,0.07381777996652569,1.6090767875578962,1.0725771758722276,0.0392941881212608,0.08075162649395351,0.004126648852429776,0.004085935586715245,-0.024010683132734467,0.0009119806208845033,0.00017125290413491645,-0.08901973682583053,0.04654622231819382,0.044118296688830654,0.05378639731606236,0.09007167875379041
