Quarters,Year,Quarter,FillingDate,Date,MarketCap,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2015Q3,2015,Q3,2015-09-30,2015-09-30,171654348.9,123199348.9,10.05810462166508,0.0,0.0,14.243196683149304,21.07256696278408,0.0,0.0,0.0,0.0,0.0,6.667811627615283,1.0,0.0,Banks—Regional,Financial Services,CSTR,0.0016874933708982433,0.018754415854714237,0.0,0.0,0.16897795019828368,10.113771572762603,0.00998647083195227,0.0,0.0,4.645674511103738e-05,0.0005163096531781257,0.0,0.0,0.025569846070377406,0.0,0.0,0.038251249290109625,0.0,0.0
2015Q4,2015,Q4,2015-12-31,2015-12-31,171654348.9,123199348.9,10.05810462166508,0.0372886973815048,0.0,15.95913049719544,20.50798159023689,1.5808147357854605,0.0,0.0,0.0,0.0,-44.32385024934601,1.0,0.0275293599975153,Banks—Regional,Financial Services,CSTR,0.0017339501160092807,0.019270725507892363,0.0,0.0,0.1945477962686611,10.113771572762603,0.008912720417633411,0.0,0.0,4.645674511103738e-05,0.0005163096531781257,0.0,0.0,0.025569846070377406,0.0,0.027530031176542513,-0.10752050773365657,0.0,-0.10752050773365657
2016Q1,2016,Q1,2016-03-31,2016-03-31,171654348.9,120686340.95,10.32357697628331,0.0,0.0,15.154376400629715,27.09454531879993,0.0,0.0,0.0,0.0,0.0,28.05703138139908,1.0,-0.2430981224803838,Banks—Regional,Financial Services,CSTR,0.0012584098794780588,0.014211014607185156,0.0,0.0,0.1398286649796134,10.292834583497829,0.008999655969407497,0.0,0.0,-0.0004755402365312219,-0.005059710900707207,0.0,0.0,-0.05471913128904768,0.17906301073522535,-0.24309556226407159,0.0531037421330174,0.0,0.0531037421330174
2016Q2,2016,Q2,2016-06-30,2016-06-30,171654333.0,118173333.0,10.589049330901538,0.0305246112309202,0.0,14.585294672444558,17.33181876009693,1.5015512255287882,0.0,0.0,0.0,0.0,-6.325926308375098,1.0,0.5632889821959265,Banks—Regional,Financial Services,CSTR,0.001889473435193961,0.021658881366014102,0.0,0.0,0.21038321012830316,10.462919225318847,0.008981103739417498,0.0,0.0,0.0006310635557159022,0.007447866758828947,0.0,0.0,0.07055454514868975,0.17008464182101868,0.5632832990076055,0.03901740329872355,0.0,0.03901740329872355
2016Q3,2016,Q3,2016-11-08,2016-09-30,148771891.8,105516156.8,15.74340669182779,0.0227607702874379,0.0,11.171595522647856,17.63350323010096,1.074735623058189,0.0,0.0,0.0,0.0,129.80764404346937,1.0,-0.1279589443070979,Banks—Regional,Financial Services,CSTR,0.001600250580907018,0.015237125729270582,0.0,0.0,0.1583859341060712,8.521712356219998,0.01010348923936218,0.0,0.0,-0.00028922285428694306,-0.00642175563674352,0.0,0.0,-0.05199727602223195,-1.941206869098849,-0.14813327948303714,0.13153012150565044,0.0,0.13153012150565044
2016Q4,2016,Q4,2017-03-13,2016-12-31,245831966.64,237375641.64,12.435300656552563,0.0412394304473847,0.0,18.71679669189756,20.99362302473817,1.7659404148325568,0.0,0.0,0.0,0.0,9.707239096590738,1.0,0.15,Banks—Regional,Financial Services,CSTR,0.0021950324192272913,0.0210294861057526,0.0,0.0,0.2228866912328844,8.580489983448867,0.009848198683759898,0.0,0.0,0.0005947818383202734,0.005792360376482019,0.0,0.0,0.06450075712681319,0.05877762722886892,0.3879335603364653,-0.013717902064567501,0.0,-0.013717902064567501
2017Q1,2017,Q1,2017-05-03,2017-03-31,213792778.36,230164152.36,12.506651712237003,0.0542808562545394,0.0,17.71989603423951,160.96041833053263,1.5247886035989278,0.0,0.0,0.0,0.0,34.34443659325737,1.0,-0.8695652173913043,Banks—Regional,Financial Services,CSTR,0.00024032523421559817,0.002368266402718603,0.0,0.0,0.02752213279828159,8.854422530569584,0.008732071601318754,0.0,0.0,-0.001954707185011693,-0.018661219703034,0.0,0.0,-0.19536455843460282,0.273932547120717,-0.8865712938861675,-0.08140298639508456,0.0,-0.08140298639508456
2017Q2,2017,Q2,2017-07-31,2017-06-30,199153071.84,256060071.84,12.295327294611116,0.0765514797765571,0.0,15.04518182669789,-14.897746247755832,1.4428245442295151,0.0,0.0,0.0,0.0,-5.986332370655357,1.0,-10.999999999999998,Banks—Regional,Financial Services,CSTR,-0.002436524242030991,-0.024212127798304717,0.0,0.0,-0.25247412555715043,8.937158588712599,0.009650589883831306,0.0,0.0,-0.0026768494762465893,-0.02658039420102332,0.0,0.0,-0.279996258355432,0.08273605814301455,-11.064506803028387,0.09712903122603113,0.0,0.09712903122603113
2017Q3,2017,Q3,2017-10-18,2017-09-30,220849947.12,246060947.12,12.784763396234045,0.070971843601963,0.0,15.536401485754483,12.494339619823489,1.531510548389781,0.0,0.0,0.0,0.0,8.356981387217617,1.0,2.1666666666666665,Banks—Regional,Financial Services,CSTR,0.003301311335548153,0.030644087542647917,0.0,0.0,0.31086880056278576,8.282398546503565,0.010619629018967411,0.0,0.0,0.005737835577579144,0.054856215340952634,0.0,0.0,0.5633429261199362,-0.654760042209034,2.322262118491921,0.0738838105310871,0.0,0.0738838105310871
2017Q4,2017,Q4,2018-03-08,2017-12-31,236854620.53,228776620.53,12.885830190563771,0.0520667138242331,0.0,17.869077369294605,643.626686222826,1.6118480294121649,0.0,0.0,0.0,0.0,-13.8730522187079,1.0,-0.9714285714285714,Banks—Regional,Financial Services,CSTR,6.843053816899219e-05,0.0006260803288282771,0.0,0.0,0.006940777065258393,8.149136417459475,0.009859204167717298,0.0,0.0,-0.0032328807973791606,-0.03001800721381964,0.0,0.0,-0.30392802349752734,-0.1332621290440894,-0.9791808101380403,-0.06753429475905734,0.0,-0.06753429475905734
