Quarters,Year,Quarter,FillingDate,Date,MarketCap,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2007Q1,2007,Q1,2007-03-31,2007-03-31,61913009.0567925,434425777.7100126,16.982110575143494,0.0,0.0,0.3523530362397347,-1.647323570050886,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Publishing,Communication Services,DALN,-0.015161930580432782,-0.10807453416149068,1.0134300094682813,0.0,-0.053473562001673185,6.128019323671498,0.28354068838650337,0.0,0.0,-0.12482774200835875,-0.8897745571658615,0.0,0.0,-0.41630717846630433,0.0,0.0,-0.020646450771040735,0.0,0.0
2007Q2,2007,Q2,2007-06-30,2007-06-30,61912621.57071978,434425777.7100126,16.982110575143494,0.0,0.0,0.3352662986387377,-0.1784163705310472,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-8.222826086956522,Publishing,Communication Services,DALN,-0.13998967258879152,-0.9978490913273522,1.0134300094682813,0.0,-0.4697807404679775,6.128019323671498,0.2979893821303513,0.0,0.0,-0.12482774200835875,-0.8897745571658615,0.0,0.0,-0.41630717846630433,0.0,-8.232971477224352,0.05095809644135608,0.0,0.05095809644135608
2007Q3,2007,Q3,2007-09-30,2007-09-30,61912621.57071978,434425777.7100126,16.982110575143494,0.0,0.0,0.3352662986387377,-0.1784163705310472,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Publishing,Communication Services,DALN,-0.13998967258879152,-0.9978490913273522,1.0134300094682813,0.0,-0.4697807404679775,6.128019323671498,0.2979893821303513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007Q4,2007,Q4,2008-03-31,2007-12-31,61991777.71001261,434425777.7100126,16.982110575143494,0.6120733891659002,0.0,0.3356949412185859,-0.178644478317789,0.7130409214402187,0.0,0.0,0.0,0.8111659274762878,0.0,1.0,0.0011785503830288,Publishing,Communication Services,DALN,-0.13998967258879152,-0.9978490913273522,1.0134300094682813,0.0,-0.4697807404679775,6.128019323671498,0.2979893821303513,0.0,0.8111659274762878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008Q1,2008,Q1,2008-05-15,2008-03-31,49193911.1611753,23807911.161175303,94.0913398134128,0.0,-0.0153734017110527,0.3071030181049355,-1.4106994483016546,0.1021504313091934,0.0,4.9519174041297935,0.0,1.0425034741880694,2.504271592403548,0.4760186531990736,0.8997050147492626,Publishing,Communication Services,DALN,-0.014014049414071918,-0.018102798479182197,1.4259508981419529,-0.07415707891401924,-0.054423892076136016,0.2917607141448099,0.2574981112057741,-0.0153734017110527,0.23133754671178164,0.1259756231747196,0.97974629284817,0.41252088867367154,-0.07415707891401924,0.4153568483918415,-5.836258609526688,0.8995077980012218,-0.13256293761202598,0.0,-0.5870837778271158
2008Q2,2008,Q2,2008-08-14,2008-06-30,25267828.830938403,385828.83093840256,91.02099814435005,0.0,-0.0071029048610394,0.1547752217753722,-1.9759015351062248,0.0542249031742393,0.0,4.898825707178805,0.0,0.9689273976695548,7.968410227353643,0.4812655048849958,0.6352941176470589,Publishing,Communication Services,DALN,-0.005265871322990462,-0.006860780030129919,1.312757693456827,-0.025156963033291478,-0.019582861168111237,0.30287650595945764,0.26890204029865744,0.0082704968500133,-0.07357607651851461,0.008748178091081457,0.011242018449052277,-0.11319320468512584,0.04900011588072776,0.034841030908024775,0.011115791814647724,0.6332874512502867,0.01915261538077372,0.654263826921458,0.030386088233751246
2008Q3,2008,Q3,2008-11-14,2008-09-30,23996482.482866906,16284482.482866902,86.25284437716685,0.0169947792038285,-0.0381002535124651,0.155990473324104,-0.3476138962056279,0.0543407220740974,-0.2966740062579673,4.071832278633883,0.2133646047355314,0.7405928198617576,-2.102004422115181,0.4520616512711837,-4.435483870967742,Publishing,Communication Services,DALN,-0.02932958994996737,-0.03908123543625012,1.079216038933559,-0.16501010836426513,-0.11218659195361204,0.33248488993258496,0.26143578692625624,-0.0309973486514257,-0.2283345778077972,-0.024063718626976906,-0.0322204554061202,-0.23354165452326803,-0.13985314533097365,-0.0926037307855008,0.029608383973127317,-4.398185799186738,-0.0577133931579431,-5.180667153640127,-0.11489264213621149
2008Q4,2008,Q4,2009-03-18,2008-12-31,10549391.87592495,10615391.87592495,79.82263892958296,0.0179314945183421,-0.0761113454952214,0.0659176318017792,-0.0796060358883561,0.0258150990963581,-0.0772713552671294,3.980345391104634,0.2426680163282439,0.7583418735127061,-18.83819977843741,0.4368935072076181,-0.919881305637982,Publishing,Communication Services,DALN,-0.05940704133926746,-0.08107142507561446,1.0831581872817913,-0.21611607170752128,-0.20701204081505134,0.36467703571743193,0.28697384512209556,-0.038011091982756304,0.017749053650948476,-0.030077451389300094,-0.04199018963936434,0.003942148348232255,-0.05110596334325615,-0.0948254488614393,0.03219214578484697,-0.9196894193996988,0.04034244927941339,-0.3625512133627482,0.005435564119524891
2009Q1,2009,Q1,2009-05-14,2009-03-31,4748871.53912375,10589871.539123751,59.66117233980298,0.0282541398457078,-0.3252499417140956,0.0369579244098849,-0.0115187825977115,0.0155266469157528,0.0,4.005571769700186,0.0,0.6322666349432945,-0.7066773123696057,0.4125406633772783,-2.106646058732613,Publishing,Communication Services,DALN,-0.23020535064169284,-0.3369854145618974,0.9780613054167658,-0.8014771117717558,-0.8021230563294784,0.4638470114728317,0.2869950549671448,-0.2491385962188742,-0.1260752385694116,-0.17079830930242537,-0.25591398948628297,-0.10509688186502542,-0.5853610400642346,-0.5951110155144271,0.09916997575539976,-2.1110172049501963,-0.1971082048750617,-1.97756382455836,-0.24186212814645308
2009Q2,2009,Q2,2009-08-14,2009-06-30,4756050.658294375,-3908949.341705625,58.28134586356333,0.0084033812927438,-0.019165950457319,0.0373011878709246,-0.1681533962061368,0.015894244440898,0.0,4.561550976138829,0.0,0.6909081162217219,0.3586224293692033,0.4722361651399172,0.9313432835820896,Publishing,Communication Services,DALN,-0.016785398056777423,-0.02363057303554779,1.0143240055752119,-0.0356380976283097,-0.05545708369933492,0.4078053410241586,0.3026736520762761,0.3060839912567766,0.05864148127842739,0.21341995258491542,0.3133548415263496,0.036262700158446015,0.7658390141434461,0.7466659726301436,-0.05604167044867309,0.9313948073116776,-0.007704639905365231,0.9558770694761372,0.13588258597596634
2009Q3,2009,Q3,2009-11-13,2009-09-30,15676318.00533015,4851318.005330149,57.24666471905736,0.0,-0.0196504250649429,0.1235649775381316,-0.6796877386979774,0.0533329636527036,0.0,5.253754398009097,0.0,0.9623891160366306,10.381667553198774,0.5174316410098765,0.1884057971014491,Publishing,Communication Services,DALN,-0.01425868912051634,-0.01961671537391174,1.326172201898477,-0.13324978126699616,-0.04544917117926647,0.3757727101074054,0.31372825401535664,-0.0004844746076239012,0.2714809998149087,0.0025267089362610833,0.004013857661636047,0.3118481963232651,-0.09761168363868646,0.010007912520068447,-0.03203263091675318,0.1845566397963512,-0.004995921696574225,-2.7202904929577465,0.0902311831528599
2009Q4,2009,Q4,2010-04-15,2009-12-31,27968903.0472412,3465903.0472412,62.60404905586918,0.0,0.0338557299941674,0.2064384686436025,0.8730460434274316,0.0869687933881261,0.0,6.340057361376673,0.0,1.1557364054325423,2.586360555505937,0.5105142342581727,2.392857142857143,Publishing,Communication Services,DALN,0.019803326681947547,0.024903839277107685,1.6110553294932093,0.045193861960541176,0.059114427640368165,0.2575583727460144,0.3349998887314645,0.0535061550591103,0.19334728939591173,0.03406201580246389,0.04452055465101942,0.28488312759473233,0.17844364322753734,0.10456359881963465,-0.11821433736139103,2.389004509191814,0.06791364184539715,1.3622005323868678,0.05363698682306345
2010Q1,2010,Q1,2010-05-13,2010-03-31,35333743.526259124,-7529256.473740876,60.43723214715655,0.0,-0.0284744588744588,0.3052380269722967,-0.9677296101626622,0.1126085364552915,0.0,5.286914765906363,0.0,1.2318255793621973,1.9735111442280568,0.5054164722956512,-2.128205128205128,Publishing,Communication Services,DALN,-0.023052367868110553,-0.02909090909090909,1.6661959138656874,-0.07102748838093263,-0.0788541612674718,0.26194884869731494,0.29234180539841603,-0.06233018886862621,0.07608917392965497,-0.042855694550058096,-0.05399474836801678,0.05514058437247815,-0.11622135034147381,-0.13796858890783997,0.004390475951300543,-2.1397178174553626,-0.1455902216514249,-2.342805814143394,-0.15412196744065004
2010Q2,2010,Q2,2010-07-27,2010-06-30,32872709.336402506,-27136290.663597494,59.96926014319809,0.0,0.001986297493858,0.2704014916213087,-48.05951657368787,0.1046604922057203,0.0,6.590566873339238,0.0,1.486883405210912,1.9086517642920804,0.5103561733980423,0.9829545454545454,Publishing,Communication Services,DALN,-0.00042670632623320625,-0.0005444316738249349,1.7778600045933601,-0.037213128238874724,-0.0014065970222916838,0.2758931385690043,0.3033607490068473,0.030460756368316803,0.2550578258487146,0.022625661541877347,0.028546477417084156,0.1116640907276727,0.03381436014205791,0.07744756424518012,0.013944289871689386,0.9812664329535496,0.05020819295426666,0.4497689126733155,0.06047243017810139
