Year,Date,FillingDate,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Price,MarketCap,AvgVolume,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2009,2009-01-30,2009-03-24,10965074565.46,8.93211549326161,0.465409088040441,0.0463537881861648,0.6890595078615998,66.60956134532547,2.5447498990745827,0.0,5.22742490043853,0.0,0.3574911530967649,19.494945149391828,0.2927131555524616,9.374384236453205,Discount Stores,Consumer Defensive,169.41,37158557455,2973731,DG,0.012170050417366064,0.03820397323864329,1.7392709500713797,0.05550816874278281,0.0103447537252091,2.1391795373442406,1.176446606719008,0.03991235086344651,-0.16717287709179188,0.026126477180758337,0.06191760899395102,-0.20968205657780326,0.025301198198600904,0.01843034507628763,-0.5248019811530149,9.441167290886392,0.09704624482290836,1.2729216263626113,0.1579848297823806
2010,2010-01-29,2010-03-31,10763365266.98,10.50349769498852,0.3839768380933126,0.0862661390496113,0.6427442373829937,22.336821215347538,2.236397882127176,0.0,5.334710689415088,0.0,0.190318276004973,18.143402346468974,0.3127968919278626,2.0588235294117645,Discount Stores,Consumer Defensive,169.41,37158557455,2973731,DG,0.0382965275981244,0.1001215822325943,1.5295888934935764,0.08080936694138371,0.02877509880149673,1.6143775561912257,1.330891263390985,0.03991235086344651,-0.16717287709179188,0.026126477180758337,0.06191760899395102,-0.20968205657780326,0.025301198198600904,0.01843034507628763,-0.5248019811530149,2.1376938862287624,0.12801247849903058,0.6421722487708575,0.20540806122772326
2011,2011-01-28,2011-03-22,12476515856.8,11.888329104854586,0.3444532297698503,0.1106043738491658,0.7430559920828538,15.426657434415798,2.3888975271052084,0.0,5.017717466479895,0.0,0.3643297472558781,23.957453348471017,0.3204108937476026,0.75,Discount Stores,Consumer Defensive,169.41,37158557455,2973731,DG,0.06577020731342724,0.15485516141531377,1.7341964430232617,0.09774184886843115,0.048167011891062525,1.3544879625717632,1.365461645455134,0.024338234799554492,0.17401147125090508,0.02747367971530284,0.05473357918271947,0.2046075495296853,0.016932481927047438,0.019391913089565796,-0.2598895936194625,0.8496738765385544,0.1050000084771769,0.3365374326782466,0.13189756498262406
2012,2012-02-03,2012-03-22,16803709043.88,13.681212811846342,0.2702663564713702,0.1280122827196654,0.9665139690182902,18.666537161780912,3.0655176976477425,0.0,5.031479101694899,0.0,0.0835325736372294,26.719280017848508,0.3172722599321356,0.2197802197802198,Discount Stores,Consumer Defensive,169.41,37158557455,2973731,DG,0.07913334544388617,0.16422530173000077,1.506769313505115,0.10068110163793423,0.05177789327723806,1.0752983563225407,1.5283230049584458,0.01740790887049959,-0.2807971736186487,0.013363138130458932,0.009370140314686998,-0.2274271295181467,0.0029392527695030757,0.0036108813861755323,-0.2791896062492225,0.221114043484424,0.13595611814345993,0.17011612437356022,0.12482868660207118
2013,2013-02-01,2013-03-25,18008134212.559998,15.004574722925383,0.2673913030897359,0.1357525951511352,0.9597174116047504,16.14078782670034,3.0843926505487103,0.0,4.562339837517078,0.0,0.0809923459072432,27.4703892634648,0.3173986002358738,0.2837837837837837,Discount Stores,Consumer Defensive,169.41,37158557455,2973731,DG,0.09188765627649459,0.19109306705875037,1.539856558378922,0.10331186968422672,0.05945914300522378,1.079638058062355,1.5453915349641318,0.0077403124314698035,-0.0025402277299861886,0.012754310832608418,0.0268677653287496,0.0330872448738071,0.0026307680462924893,0.007681249727985721,0.00433970173981435,0.24257289499598922,0.08205069051598453,0.11032436188794771,0.0824815715924741
2014,2014-01-31,2014-03-20,20498127632.64,16.730960668898863,0.2593740763765509,0.1329550198355168,1.0388920325451647,17.739396939117132,3.3662143563993365,0.0,4.727167289530367,0.0,0.2790143992370739,26.95578648254353,0.3105398845886239,0.1122807017543859,Discount Stores,Consumer Defensive,169.41,37158557455,2973731,DG,0.09432838611628555,0.18975923296335395,1.7691270997162758,0.09918695359796327,0.058564112191114265,1.0116874758084355,1.6106858379148736,-0.002797575315618389,0.1980220533298307,0.0024407298397909616,-0.001333834095396419,0.2292705413373537,-0.004124916086263447,-0.000895030814109514,-0.06795058225391948,0.07605425638893962,0.09249951067673408,0.048879461793682744,0.06889151907588015
2015,2015-01-30,2015-03-20,22589451114.12,18.7439901865918,0.2441696014220823,0.1326845659350013,1.080334966267906,19.17565588060206,3.577680063446163,0.0,4.710505688905852,0.0,0.2916996186624005,21.714698716188853,0.3068552842082017,0.1009463722397477,Discount Stores,Consumer Defensive,169.41,37158557455,2973731,DG,0.0949158168883681,0.18657406483109218,1.77719872820389,0.09355534345856716,0.05633887951445584,0.965679387772901,1.6847302911662259,-0.00027045390051549933,0.012685219425326633,0.0005874307720825506,-0.003185168132261773,0.008071628487614113,-0.005631610139396115,-0.0022252326766584243,-0.04600808803553458,0.0392433636778667,0.08029065307706446,0.01895420130919228,0.06747284915288473
2016,2016-01-29,2016-03-22,24905016950.12,18.271586190523657,0.2638643048849762,0.1461293436216686,1.0846327762421324,18.962139896075808,4.108017728582809,0.2217255467435712,4.574421312146793,0.0116930656539168,0.0825768341888839,25.30103684010893,0.3095992245304307,0.1318051575931232,Discount Stores,Consumer Defensive,169.41,37158557455,2973731,DG,0.10349013158333026,0.21664315056724998,1.719992423316142,0.09525925296051828,0.05719991426002484,1.0933701334876447,1.809270746681104,0.013444777686667297,-0.20912278447351662,0.008574314694962157,0.030069085736157797,-0.057206304887747805,0.001703909501951123,0.000861034745568999,0.1276907457147437,0.09361756050856765,0.07715525055331718,0.0967733183049167,0.08678731451767313
2017,2017-02-03,2017-03-24,23599136526.28,19.21780042288379,0.2751408505848634,0.1524047384228863,0.935821245573326,16.445514206946825,3.805846579242638,0.2247043279971034,4.665530251305317,0.0136635635206946,0.0758596235709479,19.6943038983484,0.3084896535607737,0.121518987341772,Discount Stores,Consumer Defensive,169.41,37158557455,2973731,DG,0.10718823319966643,0.23142156160948701,1.4022281488711512,0.0938503082650622,0.056904346911695936,1.1590202086678971,1.88365632885658,0.006275394801217693,-0.006717210617935995,0.003698101616336172,0.014778411042237038,-0.3177642744449909,-0.001408944695456077,-0.00029556734832890397,0.06565007518025245,0.07386016410890239,0.07943791024619215,0.06347233975882005,0.07556931861592228
2018,2018-02-02,2018-03-23,29860876638.88,22.45921721673455,0.2401517435092412,0.1774124377351754,1.1555706093779603,17.623823646410564,4.427580847559835,0.183845584030774,4.502492501437369,0.0104316513668824,0.1267188734241341,23.46931397936403,0.3076719847120061,0.270880361173815,Discount Stores,Consumer Defensive,169.41,37158557455,2973731,DG,0.122950462777917,0.25122702861711843,1.4327240446318532,0.08554474981793464,0.06556866617383085,1.0433190973091726,1.8751405198934465,0.025007699312289106,0.0508592498531862,0.015762229578250575,0.019805467007631417,0.030495895760701996,-0.008305558447127562,0.008664319262134915,-0.11570111135872452,0.23005307988838916,0.06751244553613979,-0.026960201100196805,0.06468294489548167
2019,2019-02-01,2019-03-22,33132634430.08,24.202421042768037,0.2169556010062982,0.1798130449725742,1.1903758143968777,19.190920903344004,4.753243479101249,0.192845800366411,4.34980610221518,0.0100488038764626,0.0972496374993907,21.646381508320506,0.3045407572584366,0.0603907637655417,Discount Stores,Consumer Defensive,169.41,37158557455,2973731,DG,0.12037772081540511,0.2476818857751115,1.5461674741209546,0.08258741263380515,0.06202807152362632,1.0575392530892218,1.9406974593681114,0.002400607237398794,-0.029469235924743403,-0.002572741962511893,-0.0035451428420069375,0.11344342948910136,-0.0029573371841294938,-0.00354059465020453,0.014220155780049204,0.03282216561833966,0.09177619311552013,0.05403278584015085,0.08066501056103152
2020,2020-01-31,2020-03-19,50813957036.82,26.125205894102148,0.5124397789729931,0.0658776741865818,1.418095925827268,22.98191651469296,5.872106831304737,0.1912744408208787,4.11920849255738,0.0083228237600894,0.0697376066344452,27.084375745753206,0.3058683165829988,0.1122278056951423,Discount Stores,Consumer Defensive,169.41,37158557455,2973731,DG,0.07502951577308543,0.2555098843715032,1.139605947759026,0.08295403328381129,0.061704859336715503,2.405458261842596,1.2159417682756393,-0.11393537078599239,-0.027512030864945497,-0.04534820504231968,0.007827998596391689,-0.40656152636192866,0.0003666206500061442,-0.0003232121869108165,1.3479190087533741,0.07743640655513277,0.08308005570956506,0.08788804643562888,0.08780143697934487
2021,2021-01-29,2021-03-19,60510423310.0,26.84132311994552,0.525485813040471,0.0933095620527621,1.431143174920768,18.190451520686995,7.250387737234431,0.1340562324626655,4.388390268313706,0.0073695934545775,0.2569414736998411,16.956894227082685,0.3176256596951199,0.5993975903614458,Discount Stores,Consumer Defensive,169.41,37158557455,2973731,DG,0.10265973011864535,0.39858206537583557,1.2107304725113877,0.10533623608421518,0.0786755168387771,2.8825551646705914,1.3048497708507845,0.027431887866180296,0.1872038670653959,0.027630214345559914,0.1430721810043324,0.07112452475236175,0.022382202800403886,0.0169706575020616,0.47709690282799544,0.5503443685020335,0.21592822043892598,0.5440033114653843,0.2626675671196143
2022,2022-01-28,2022-03-18,61768057130.0,26.73080879873304,0.5411226210167358,0.0824853387528358,1.3987703706050143,19.950780137143887,7.643988685059341,0.163463975138711,4.169235482448914,0.008193362566027,0.0739582868191345,26.661388291203224,0.315980833565334,-0.0423728813559321,Discount Stores,Consumer Defensive,169.41,37158557455,2973731,DG,0.09113070955698539,0.38314234493657445,1.0542677080495444,0.09411550970590714,0.07011106137152087,3.204316490008122,1.2998050204101275,-0.0108242232999263,-0.1829831868807066,-0.011529020561659956,-0.015439720439261118,-0.15646276446184326,-0.011220726378308038,-0.008564455467256232,0.32176132533753066,-0.09635148113971488,0.01403420332197632,-0.09398370919034028,0.008783021929007016
2023,2023-02-03,2023-03-24,68633530320.0,24.613907296533835,0.6072577153807536,0.0762109449456232,1.3569611104154349,21.25589450945348,9.266712401737207,0.2043577185161025,3.8493999097435134,0.0096141669514409,0.087868781514489,121.12565498274654,0.3123303154776911,0.0501474926253687,Discount Stores,Consumer Defensive,169.41,37158557455,2973731,DG,0.08307115885172442,0.4359596533383185,1.2875862296204605,0.0879459386601558,0.06383928513626803,4.248026623975147,1.3012545280606609,-0.006274393807212605,0.013910494695354506,-0.008059550705260973,0.052817308401744034,0.23331852157091615,-0.006169571045751332,-0.006271776235252838,1.0437101339670254,0.006984318315194195,0.10591368920963018,0.033417528934152,0.09313709804655616
