Quarters,Year,Quarter,FillingDate,Date,MarketCap,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2020Q1,2020,Q1,2020-03-31,2020-03-31,4070211833.6,7057211833.6,42.04878443602391,0.0,0.0,24.08409368994083,14.331731808450709,0.0,0.0,0.0,0.0,0.0,-1356.7372778666668,0.0,0.0,Oil & Gas Midstream,Energy,DTM,0.07064676616915423,0.01743186840166953,0.013893483294740324,0.5680473372781065,0.42011834319526625,0.9722563221212865,0.1681592039800995,0.0,0.0,0.0,0.0,0.0,0.0066653064000543605,-0.012072366183771999,0.0,0.0,0.024018757714822096,0.0,0.0
2020Q2,2020,Q2,2020-06-30,2020-06-30,4070211833.6,7057211833.6,42.04878443602391,0.0,0.0,23.39202203218391,14.331731808450709,0.0,0.0,0.0,0.0,0.0,-88.4828659478261,0.0,0.0,Oil & Gas Midstream,Energy,DTM,0.07064676616915423,0.01743186840166953,0.013893483294740324,0.5747126436781609,0.40804597701149425,0.9722563221212865,0.17313432835820897,0.0,0.0,0.0,0.0,0.0,0.0066653064000543605,-0.012072366183771999,0.0,0.0,0.029585798816568046,0.041666666666666664,0.0
2020Q3,2020,Q3,2020-09-30,2020-09-30,4070211833.6,7057211833.6,42.04878443602391,0.0,0.0,20.05030459901478,10.074781766336631,0.0,0.0,0.0,0.0,0.0,64.60653704126985,0.0,0.4225343081546927,Oil & Gas Midstream,Energy,DTM,0.10049751243781095,0.024797446599558064,0.013893483294740324,0.6108374384236454,0.4975369458128079,0.9722563221212865,0.2019900497512438,0.0,0.0,0.02985074626865672,0.007365578197888533,0.0,0.03612479474548447,0.08949096880131363,0.0,0.4225352112676056,0.16666666666666666,0.24,0.0
2020Q4,2020,Q4,2021-06-04,2020-12-31,4070211833.6,7057211833.6,42.04878443602391,3.005970149253731,0.0096957811763806,20.66097377461929,12.562382202469138,0.9993154514117358,0.4691358024691358,0.0,0.0093361234140951,0.0138934832947403,24.970624746012277,1.0,-0.1980194276963414,Oil & Gas Midstream,Energy,DTM,0.08059701492537313,0.01988706113429904,0.013893483294740324,0.47715736040609136,0.41116751269035534,0.9722563221212865,0.19601990049751244,0.0096957811763806,0.0138934832947403,-0.019900497512437818,-0.004910385465259022,0.0,-0.133680078017554,-0.08636943312245254,0.0,-0.19801980198019803,-0.029556650246305417,-0.24193548387096775,0.0
2021Q1,2021,Q1,2021-03-31,2021-03-31,4070211833.6,7131211833.6,40.138883841704136,0.3855271366188397,0.0104895104895104,20.66097377461929,13.04555074871795,1.0468651835390947,0.0,0.0,0.0,1.9,29.92802818823529,0.0,-0.0373424395061727,Oil & Gas Midstream,Energy,DTM,0.00973175296319401,0.020061728395061727,2.3,0.5076142131979695,0.39593908629441626,1.022633744855967,0.024578914535246413,0.0007937293131297998,1.8861065167052595,-0.07086526196217913,0.00017466726076268563,2.2861065167052597,0.030456852791878153,-0.015228426395939076,0.05037742273468049,-0.037037037037037035,0.0,0.06382978723404255,-1.0
2021Q2,2021,Q2,2021-08-06,2021-06-30,4064698221.32,7111698221.32,39.59373887976763,0.385982478097622,0.0095482038868351,19.54181837173077,14.943743460735297,1.0612789089608357,0.0,0.0,0.0,1.4485981308411215,30.79316834333333,0.0,-0.1304347826086957,Oil & Gas Midstream,Energy,DTM,0.00851063829787234,0.017754569190600523,1.6822429906542056,0.41346153846153844,0.3269230769230769,1.0467362924281984,0.026032540675844807,-0.0009413066026752997,-0.45140186915887837,-0.0012211146653216699,-0.0023071592044612045,-0.6177570093457943,-0.09415267473643107,-0.06901600937133934,0.024102547572231403,-0.1282051282051282,0.05583756345177665,-0.14,0.0
2021Q3,2021,Q3,2021-11-05,2021-09-30,4471408000.0,7432408000.0,39.700103412616336,0.3800910545096592,0.0110473457675753,21.09154716981132,15.106108108108108,1.1647324824172962,0.0,0.0,0.0,1.4512820512820512,44.71408,0.0,0.1,Oil & Gas Midstream,Energy,DTM,0.009105450965916083,0.01927585308674134,1.5897435897435896,0.5,0.3490566037735849,1.0778848658504818,0.02608588655100283,0.0014991418807402002,0.002683920440929688,0.000594812668043742,0.001521283896140816,-0.09249940091061593,0.08653846153846156,0.022133526850507956,0.031148573422283388,0.08823529411764706,0.019230769230769232,0.23255813953488372,0.0
2021Q4,2021,Q4,2022-02-25,2021-12-31,4639666000.0,7590666000.0,40.04136504653568,0.3775410237570414,0.0159668694046328,20.80567713004484,13.032769662921348,1.198260847107438,0.651685393258427,0.0,0.0125008998492563,1.7514124293785311,72.49478125,1.0,0.1948051948051948,Oil & Gas Midstream,Energy,DTM,0.010898848885623317,0.022985537190082644,2.0338983050847457,0.6412556053811659,0.3991031390134529,1.0705061983471074,0.02730835170217977,0.004919523637057501,0.3001303780964799,0.0017933979197072344,0.0037096841033413055,0.444154715341156,0.14125560538116588,0.05004653523986802,-0.007378667503374459,0.20270270270270271,0.05188679245283019,0.3490566037735849,0.0
2022Q1,2022,Q1,2022-05-05,2022-03-31,5246942000.0,8043942000.0,40.22750775594623,0.3748629886737303,0.0154062413618278,24.40438139534884,15.615898809523808,1.3488282776349614,0.6904761904761905,0.0,0.01105405777308,2.154255319148936,24.518420560747664,1.0,-0.0543478260869565,Oil & Gas Midstream,Energy,DTM,0.010230179028132993,0.021593830334190232,2.351063829787234,0.6511627906976745,0.39069767441860465,1.0727506426735218,0.02618438679819754,-0.0005606280428050014,0.40284288977040505,-0.0006686698574903237,-0.001391706855892412,0.31716552470248827,0.009907185316508582,-0.008405464594848255,0.002244444326414463,-0.056179775280898875,-0.03587443946188341,-0.02097902097902098,-0.03587443946188341
2022Q2,2022,Q2,2022-08-03,2022-06-30,4740234000.0,7492234000.0,40.568769389865565,0.3735826296743064,0.0143628292922308,20.882088105726872,13.02262087912088,1.2083186336987,0.6813186813186813,4.846153846153846,0.0130795230783965,2.6777777777777776,43.093036363636365,0.7224669603524229,0.0689655172413793,Oil & Gas Midstream,Energy,DTM,0.01097708082026538,0.023196533265358144,2.861111111111111,0.6035242290748899,0.4008810572687225,1.075452459852154,0.027382388419782872,-0.0010434120695970005,0.5235224586288414,0.0007469017921323869,0.0016027029311679111,0.5100472813238772,-0.04763856162278457,0.010183382850117828,0.00270181717863216,0.08333333333333333,0.05581395348837209,-0.02142857142857143,-0.2372093023255814
