Year,Date,FillingDate,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Price,MarketCap,AvgVolume,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2008,2008-12-31,2009-03-10,349071200.0,13.76223908918406,0.1254781267075954,0.0,5.998452304786278,42.25047210300429,0.6786686337501896,1.0881974248927038,0.0,0.0257558642715219,0.0,15.85370802802158,1.0,1.431372549019608,Banks—Regional,Financial Services,11.35,103830822,8632,FFNW,0.0037446562309151102,0.01606298344064969,0.0,0.0,0.1419736160619078,3.289574916927489,0.02637571919899714,0.0,0.0,-0.03469344946518108,-0.1942029030089969,0.0,0.0,-1.3642892538231377,1.466381970306284,2.1696787148594376,0.034889740757516594,0.0,0.3501851090086384
2009,2009-12-31,2010-03-11,157240730.7,12.237571809388266,0.1063608178607106,0.0,3.6725537683161193,-3.0045870762503686,0.5352369000993362,-0.1571926893976614,0.0,0.0523175682409687,0.0,20.35797781291611,1.0,-10.90909090909091,Banks—Regional,Financial Services,11.35,103830822,8632,FFNW,-0.030948793234265973,-0.1781399195683472,0.0,0.0,-1.2223156377612299,4.755956887233773,0.025319804703596197,0.0,0.0,-0.03469344946518108,-0.1942029030089969,0.0,0.0,-1.3642892538231377,1.466381970306284,-9.735622317596567,0.014654358224415806,0.0,0.014654358224415806
2010,2010-12-31,2010-12-31,64267296.0,10.02339623534662,0.0779670558903806,0.0,2.046326221125022,-1.2861736367666616,0.3990663350107176,-0.0262302349637948,0.0,0.02039400763161,0.0,2.8944253408713,1.0,-0.4266055045871558,Banks—Regional,Financial Services,11.35,103830822,8632,FFNW,-0.0453530240655196,-0.3102740746684396,0.0,0.0,-1.591018632810204,5.841309506069533,0.028505652372790197,0.0,0.0,-0.014404230831253629,-0.13213415510009238,0.0,0.0,-0.3687029950489742,1.0853526188357598,-0.3298614522943893,0.021679077588277685,0.0,0.021679077588277685
2011,2011-12-31,2012-03-09,22587500.0,10.258557284299858,0.0784092732610275,0.0,2.971011396011396,24.583333333333336,0.5751296051180235,0.0,0.0,0.0,0.0,5.11891321421559,1.0,1.0771704180064308,Banks—Regional,Financial Services,11.35,103830822,8632,FFNW,0.004004191091099595,0.02339510258107214,0.0,0.0,0.12085470085470086,4.842653871608206,0.03313227423328519,0.0,0.0,0.0493572151566192,0.33366917724951173,0.0,0.0,1.711873333664905,-0.9986556344613264,1.078358208955224,0.03156409804267325,0.0,0.03156409804267325
2012,2012-12-31,2013-03-14,131879335.85,10.345576661526415,0.0881191952517092,0.0,4.453391248410136,50.33333426096572,0.7297804894798442,0.0,0.0,0.0,0.0,10.508221304347826,1.0,-0.375,Banks—Regional,Financial Services,11.35,103830822,8632,FFNW,0.0028780412770313636,0.014498949854903617,0.0,0.0,0.08847797019208818,4.03778384647039,0.032528337514785365,0.0,0.0,-0.0011261498140682311,-0.008896152726168522,0.0,0.0,-0.03237673066261268,-0.8048700251378165,-0.36044318717586044,-0.1264102564102564,0.0,-0.1264102564102564
2013,2013-12-31,2014-03-13,234845299.85,11.152479325219195,0.129210329442908,0.0,5.214147093624528,7.006756584917228,0.9298380833175124,0.0774575924790517,0.0,0.0110547000656176,0.0,11.349331293034956,1.0,8.8,Banks—Regional,Financial Services,11.35,103830822,8632,FFNW,0.026564123611939036,0.13270592064223916,0.0,0.0,0.7441598734639251,3.9956822434976,0.03569679656105079,0.0,0.0,0.02368608233490767,0.11820697078733554,0.0,0.0,0.655681903271837,-0.042101602972790086,8.017692591227423,0.07217167269999673,0.0,0.07217167269999673
2014,2014-12-31,2015-03-11,210161394.24,12.222011424062538,0.1446109219133038,0.0,5.438539082166767,16.722222722934404,0.9851078993671862,0.2749134462430991,0.0,0.0164400062598172,0.0,9.789132024539876,1.0,-0.5170068027210885,Banks—Regional,Financial Services,11.35,103830822,8632,FFNW,0.01140558614381903,0.05891010517496086,0.0,0.0,0.3252282410225198,4.165022159504333,0.035069482613071336,0.0,0.0,-0.015158537468120006,-0.07379581546727829,0.0,0.0,-0.4189316324414053,0.16933991600673304,-0.5631718781933375,-0.000486677211339579,0.0,-0.000486677211339579
2015,2015-12-31,2016-03-10,208645366.28,12.615910847652046,0.1280725941996891,0.0,5.855829781402127,20.61750723580786,1.106539208193446,0.3533842794759825,0.0,0.0171400099650376,0.0,12.646067113968126,1.0,-0.0563380281690139,Banks—Regional,Financial Services,11.35,103830822,8632,FFNW,0.009347768628439463,0.053669883344172775,0.0,0.0,0.28402220086198876,4.74146467220943,0.03291210546242371,0.0,0.0,-0.002057817515379567,-0.005240221830788087,0.0,0.0,-0.04120604016053103,0.5764425127050972,-0.14288387760830917,-0.01853317102860621,0.0,-0.01853317102860621
2016,2016-12-31,2017-03-10,374427807.72,11.638166884867376,0.1652878224799149,0.0,6.372186469020289,26.347256828609986,1.696143404307692,0.3152271704903284,0.0,0.0119643260222836,0.0,15.177494669603522,1.0,0.1044776119402984,Banks—Regional,Financial Services,11.35,103830822,8632,FFNW,0.008569908556801184,0.0643764705882353,0.0,0.0,0.24185388674318664,6.51192036199095,0.03543423954108776,0.0,0.0,-0.0007778600716382787,0.010706587244062524,0.0,0.0,-0.04216831411880212,1.77045568978152,-0.02925764192139738,0.1399956590493318,0.0,0.1399956590493318
2017,2017-12-31,2018-03-09,359452149.99,13.862700041568468,0.1784786185093895,0.0,4.0066068287722825,18.82098714353108,1.118829661861828,0.3275150371506073,0.0,0.0174015865721037,0.0,17.18905105450237,1.0,0.0945945945945946,Banks—Regional,Financial Services,11.35,103830822,8632,FFNW,0.007006112066394046,0.05944585442461124,0.0,0.0,0.2128797388902837,7.4848563456118455,0.03291112673717123,0.0,0.0,-0.0015637964904071386,-0.0049306161636240575,0.0,0.0,-0.02897414785290295,0.9729359836208955,-0.04644624381466487,0.08333786650709896,0.0,0.08333786650709896
