Year,Date,FillingDate,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Price,MarketCap,AvgVolume,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2008,2008-03-31,2008-03-31,1037468100.0,5.64020643684135,0.0,0.0,0.5403131857318096,-25.39211450752062,0.0,-0.2108199902959728,0.0,0.008302577173458,0.0,32.777357237923745,0.4077438854807309,0.0,Real Estate Services,Real Estate,154.945,6904163266,60952,FSV,-0.03266470535793884,-0.1986099232687281,1.1908585989165885,0.050410624418844,-0.021278778715800927,4.091499331462231,1.5350836527889216,-0.0323936817999759,1.0233410067191446,-0.01176587124701594,-0.07153956418564875,0.0,-0.010624853685492743,-0.005056014986957728,0.0,0.0,0.0868837275908272,0.0,0.0
2009,2009-12-31,2009-12-31,1037468100.0,5.64020643684135,0.3100393252305528,-0.0323936817999759,0.4839369735712667,-18.376334329156823,4.964357300311985,-0.2251973068176751,112.32882216113344,0.0122547458477812,1.0233410067191446,14.50764938836575,0.3762375075004902,-3.2,Real Estate Services,Real Estate,154.945,6904163266,60952,FSV,-0.04443057660495478,-0.27014948745437684,1.1908585989165885,0.03978577073335126,-0.026334793702758656,4.091499331462231,1.6871435222331184,-0.0323936817999759,1.0233410067191446,-0.01176587124701594,-0.07153956418564875,0.0,-0.010624853685492743,-0.005056014986957728,0.0,-0.360201358563804,0.09905640592806539,-0.1325874913596682,0.014132296015420502
2010,2010-12-31,2010-12-31,1059638304.0,6.623800082830745,0.2813001033163028,0.1161165876755526,0.4240394709483248,62.09505337658508,4.22718071950534,0.7446918313181953,133.62396061269146,0.0119927722229643,0.8988113735239279,10.197930815706313,0.3851176400400549,1.0588235294117647,Real Estate Services,Real Estate,154.945,6904163266,60952,FSV,0.012008417578467713,0.0680759656307717,1.018756797700435,0.04866455785741221,0.006828876824964972,3.7939402152091866,1.7584762306104869,0.14851026947552848,-0.1245296331952167,0.05643899418342249,0.3382254530851485,-0.17210180121615348,0.008878787124060948,0.03316367052772363,-0.2975591162530442,1.3024033531011727,0.16618444336674842,0.4264358656513783,0.19370927067988314
2011,2011-12-31,2011-12-31,1138237108.0,8.095372801888082,0.3188856772779517,0.2189092680429645,0.3788472684878995,11.369870570773177,3.458765974739244,0.1345432465254351,121.39413405460232,0.0118333138172465,0.6621438788388725,19.680971364506934,0.3542699729472239,17.454545454545453,Real Estate Services,Real Estate,154.945,6904163266,60952,FSV,0.06007045370173735,0.30420451606812277,0.7576003365586874,0.046179003323035865,0.03332027978064636,3.4836979053357906,1.8028196070739018,0.10279268036741192,-0.23666749468505544,0.04806203612326964,0.23612855043735106,-0.2611564611417476,-0.0024855545343763427,0.02649140295568139,-0.31024230987339596,4.463727514007667,0.11977217610285806,0.06257953052420315,0.030079168780100085
2012,2012-12-31,2012-12-31,1146260732.0,7.990796371688545,0.3142892913780152,0.080110308899662,0.3646611318751336,143.71619350427352,3.504031225123471,1.6415384615384616,101.75854672208072,0.0114220841890698,0.939612778025933,14.348073793433,0.3415703152888025,-1.059113300492611,Real Estate Services,Real Estate,154.945,6904163266,60952,FSV,0.004438846355213937,0.024381603350907537,1.0911397166470398,0.03400379174136004,0.0025373698188317947,3.859403588471878,1.749388805001859,-0.1387989591433025,0.2774688991870605,-0.055631607346523414,-0.2798229127172152,0.3335393800883524,-0.012175211581675824,-0.030782909961814566,0.3757056831360872,-0.921063284307111,0.03658261887237987,-0.23671502287995327,-0.0005761735729233956
2013,2013-12-31,2013-12-31,1152065964.0,7.347033181442027,0.2582550462033195,0.0995257094548412,0.3933958817801756,-51.11014823438106,3.811062140120122,-0.5225899440102001,95.53796507213364,0.0102247784845722,0.9323913821286508,11.319116103765362,0.3557517940087915,-4.333333333333334,Real Estate Services,Real Estate,154.945,6904163266,60952,FSV,-0.012496614158118643,-0.07456566399775133,1.0790930328817674,0.038501745579727895,-0.007697020951223613,4.0194484976500595,1.6235650438410236,0.019415400555179194,-0.007221395897282212,-0.01693546051333258,-0.09894726734865887,-0.012046683765272403,0.004497953838367853,-0.010234390770055408,0.1600449091781817,-4.0835897435897435,0.016524132989407674,0.1509879204561399,0.05872866516064066
2014,2014-12-31,2014-12-31,1179743940.0,4.413298024873366,0.3888544117073678,0.078094267170476,0.8897307071895633,77.65435158057055,6.344461634403996,0.0,84.31299399304457,0.0,1.5718035751106318,44.29487817750022,0.2932468317193786,1.5625,Real Estate Services,Real Estate,154.945,6904163266,60952,FSV,0.02107079266469984,0.08170130205544601,1.9883816835059558,0.04030116554564391,0.011457576930076095,2.3676936547631797,1.8390269420220162,-0.021431442284365193,0.639412192981981,0.03356740682281849,0.15626696605319734,0.9092886506241884,0.0017994199659160173,0.01915459788129971,-1.6517548428868798,1.7189977271467376,-0.5169885741544968,-0.49441452224217036,-0.6018528291386408
2015,2015-12-31,2016-02-23,1611644590.0,4.637936300780273,0.3350619418035148,0.1191198597032538,1.1518329896042725,68.05354475344707,8.717239172344426,0.3363402664173872,54.71761064685856,0.0049422887174492,1.3044604493501104,21.60373894593151,0.3007047830155916,0.6388888888888888,Real Estate Services,Real Estate,154.945,6904163266,60952,FSV,0.03562965146390489,0.12809382970316,1.7695908500449657,0.055967318446581975,0.016925392994255887,2.1307940081184964,2.105100394182683,0.041025592532777794,-0.26734312576052144,0.01455885879920505,0.04639252764771398,-0.21879083346099004,0.015666152900938063,0.005467816064179792,-0.23689964664468333,0.6495759444872783,0.1166738221310563,0.5507551346967405,0.14507344346841147
2016,2016-12-31,2017-02-22,1915190680.0,5.03330923650114,0.3254483996658728,0.1393034753866202,1.151580246397404,50.827921540613744,9.433157743553483,0.4604875435306724,35.34218497576737,0.0090597358611786,1.1488715800067826,21.377084986793182,0.2918640572558026,0.5593220338983053,Real Estate Services,Real Estate,154.945,6904163266,60952,FSV,0.0435779102526188,0.1855900744636189,1.661681854481408,0.061063235346678006,0.022656449673576377,2.6934175928585633,1.9234218458968253,0.020183615683366393,-0.15558886934332783,0.007948258788713906,0.05749624476045889,-0.10790899556355771,0.005095916900096031,0.0057310566793204905,0.5626235847400669,0.570320168263613,0.1731002146230016,0.2799129291701415,0.13861104826446802
2017,2017-12-31,2018-02-22,2723195280.0,5.659667492829096,0.3218507567446907,0.175780696811467,1.472191179367864,47.30316289234712,12.354082653899711,0.3229398244093598,31.335572768468754,0.0068270239168638,1.1960505614397954,31.63039230013354,0.3026070446848233,0.576086956521739,Real Estate Services,Real Estate,154.945,6904163266,60952,FSV,0.06335908935185793,0.2611682157917267,1.5748888638379839,0.06310746216847576,0.03112246812582676,2.5428547529190633,2.0357989956227103,0.0364772214248468,0.0471789814330128,0.019781179099239127,0.07557814132810783,-0.08679299064342416,0.002044226821797758,0.008466018452250382,-0.15056283993950004,0.5798434384022383,0.15009012812152495,0.18859193815571507,0.1924228631106141
