Year,Date,FillingDate,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Price,MarketCap,AvgVolume,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2013,2013-04-30,2013-04-30,506123000.0,0.0,0.0,0.0,0.7441036887681752,-4.732916194812377,0.0,0.0,0.0,0.0,0.0,-239.6335697005822,0.2903547662296296,0.0,Building Products & Equipment,Industrials,69.79,2845589544,368963,GMS,-0.16271825837015336,-0.6099073585497973,2.7361859460066227,0.02613872125756493,-0.15721886003047494,2.74824168264125,1.034979253370826,0.0082180826629348,1.623351293708256,0.07521265629023362,0.28191521336922326,0.0,-0.008196015355185639,0.08531332152782366,0.0,0.0,0.16933400936732862,0.0,0.0
2014,2013-04-30,2013-04-30,506123000.0,0.0,0.4800503585776642,0.0082180826629348,0.0,0.0,0.0,0.0,3.6961105126589566,0.0,1.623351293708256,0.0,0.0,0.0,Building Products & Equipment,Industrials,69.79,2845589544,368963,GMS,-0.08750560207991974,-0.327992145180574,2.7361859460066227,0.017942705902379293,-0.07190553850265129,2.74824168264125,1.2169521834078645,0.0082180826629348,1.623351293708256,0.07521265629023362,0.28191521336922326,0.0,-0.008196015355185639,0.08531332152782366,0.0,0.0,0.17582278045127023,-0.1928663175575536,0.21005161898606198
2015,2015-04-30,2015-04-30,1409058285.9099998,7.540404975858166,0.4824143235265586,0.0164361653258696,0.550516873869886,-62.64827759005581,2.905679478774473,0.0,7.392221025317913,0.0,1.020427112349118,25.36039333127952,0.3050605540464369,0.0,Building Products & Equipment,Industrials,69.79,2845589544,368963,GMS,-0.011949841327032607,-0.04638083584337349,2.0648599504797276,0.01187897470519112,-0.008787422337007232,2.8812930292598966,1.3598801638003908,0.0082180826629348,-0.602924181359138,0.07555576075288713,0.2816113093372005,-0.6713259955268951,-0.006063731197188173,0.06311811616564406,0.1330513466186467,0.0,0.14953170101347332,-0.23895213612437263,0.17358897396630935
2016,2016-04-30,2016-07-12,1346221548.55,9.459790796829894,0.5149213850419495,0.0307956653664825,0.38784335901973,57.36099558659662,2.3161188730878,0.0,7.631347803530278,0.0,1.3328709055876686,17.992349233553863,0.3192173855951677,2.085714285714286,Building Products & Equipment,Industrials,69.79,2845589544,368963,GMS,0.010036258019061222,0.04037794060933282,2.18832596622464,0.031705182807712055,0.006761447479310422,3.023206710374084,1.484335720978607,0.0143595000406129,0.31244379323855065,0.02198609934609383,0.08675877645270631,0.12346601574491256,0.019826208102520934,0.015548869816317656,0.14191368111418745,1.9106327462491848,0.18349133964084746,2.158758243525816,0.23841318159136984
2017,2017-04-30,2017-06-30,2051876802.75,12.781937985969092,0.4269970177963273,0.0642076307866785,0.6345084797378,30.101006479360144,2.859503781048025,0.0,7.793756305123006,0.0,1.656972380309926,26.454252633707863,0.3270906618212049,2.131578947368421,Building Products & Equipment,Industrials,69.79,2845589544,368963,GMS,0.03508736672492311,0.09499694912224109,2.637438124103334,0.044953185353574114,0.021079311091237896,1.70744025526325,1.6645404858372241,0.033411965420196005,0.3241014747222575,0.025051108705861885,0.05461900851290827,0.44911215787869363,0.013248002545862059,0.014317863611927474,-1.3157664551108341,2.89095829353709,0.2480725784664796,0.7695793869029433,0.2788554261553297
2018,2018-04-30,2018-06-28,1837476400.0,14.12778251859076,0.4096813293264884,0.0761408451085805,0.5088764384509623,20.295491575487127,2.20558321583706,0.0,7.076631427580124,0.0,1.6368218330119997,19.69984431599229,0.3259351399519564,0.2521008403361345,Building Products & Equipment,Industrials,69.79,2845589544,368963,GMS,0.04329358801686615,0.10867355479583261,2.7096156394680255,0.047449918752729976,0.025073373392225824,1.5101535764024914,1.7266758381339158,0.011933214321902003,-0.020150547297926424,0.008206221291943039,0.013676605673591524,0.07217751536469175,0.002496733399155862,0.003994062300987929,-0.19728667886075857,0.2881192979585157,0.08292837104692848,0.14307501942390147,0.07910268122562028
2019,2019-04-30,2019-06-27,1814761680.0,15.378012416287824,0.5308985026661345,0.0664805681483352,0.2313534264089714,12.87283811292454,1.1457917657380448,0.0,7.261700174329245,0.0,1.3751906853517395,4.123107209242472,0.3222428396114032,-0.1208053691275167,Building Products & Equipment,Industrials,69.79,2845589544,368963,GMS,0.026052846311374358,0.08900848093379277,2.2374844872063027,0.04723956621754847,0.01797221594643444,2.416458987628263,1.4496179207407676,-0.00966027696024531,-0.2616311476602602,-0.01724074170549179,-0.019665073862039847,-0.47213115226172286,-0.0002103525351815072,-0.007101157445791383,0.9063054112257718,-0.11066999094821425,0.24072086894164332,0.23522056910773775,0.22666557534059148
2020,2020-04-30,2020-06-25,1778474140.0,15.147803024872768,0.533089215137134,0.0419805079625713,0.2373296142574585,32.900993969462384,1.2133772778679488,0.0,7.264789953804846,0.0,1.440060485237442,2.768250793490856,0.3280201474281825,-0.5801526717557252,Building Products & Equipment,Industrials,69.79,2845589544,368963,GMS,0.01021547705286043,0.03687965412212669,2.1757624341802355,0.050726142262982186,0.007213448155327465,2.6101744374042757,1.4161711338170258,-0.024500060185763894,0.0648697998857024,-0.01583736925851393,-0.05212882681166608,-0.06172205302606715,0.0034865760454337175,-0.010758767791106976,0.19371544977601252,-0.5824970536766544,0.04020337403466973,0.11697690217391304,0.05885258619745269
2021,2021-04-30,2021-06-24,2804437150.0,19.23212907751666,0.4437344045528439,0.0717761154385465,0.5666439666511359,17.70801582038651,2.2727592885750347,0.0,6.262694158306586,0.0,1.2900830398523735,15.144154628901978,0.3221461109007667,3.436363636363636,Building Products & Equipment,Industrials,69.79,2845589544,368963,GMS,0.042497719310535295,0.12834635521154777,1.9595556274566623,0.05788397861904079,0.03199929186864527,2.0200763074768195,1.3280831177447705,0.029795607475975205,-0.1499774453850684,0.03228224225767486,0.09146670108942109,-0.21620680672357317,0.007157836356058607,0.02478584371331781,-0.5900981299274561,3.5147769556477484,0.017744693730029275,0.16135604765872558,-0.0004806182010394897
2022,2022-04-30,2022-06-23,3298296250.0,24.71266395821242,0.4299595509468982,0.1231413371238941,0.4456314895223712,7.553507690844859,1.9403007333033973,0.0,5.711194965813781,0.0,1.2361643533498357,14.909847396574005,0.3211035896329459,1.5532786885245904,Building Products & Equipment,Industrials,69.79,2845589544,368963,GMS,0.0880821054252369,0.25687413222006994,2.064902974181585,0.09038388306049246,0.05899662881954745,1.9163032715890496,1.493002349246988,0.0513652216853476,-0.05391868650253784,0.0455843861147016,0.12852777700852216,0.10534734672492285,0.03249990444145166,0.02699733695090218,-0.10377303588776998,1.5903940886699508,0.40500869552564656,1.1938737568670168,0.40046184117293354
