Year,Date,FillingDate,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Price,MarketCap,AvgVolume,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2008,2008-12-31,2009-03-04,3373712000.0,1.66307789740342,0.638919548072485,0.0616409023645804,0.0882512134137373,-3.610952858575727,0.6854760091393753,0.0,6.76109022556391,0.0,0.7871936989498249,400.01333333333326,0.118277197627102,0.1351351351351351,Packaging & Containers,Consumer Cyclical,24.08,7395931200,4237347,GPK,-0.020007625775119907,-0.18983244478293984,1.646149358226371,0.036745599843114186,-0.024439868608128645,8.488004569687739,0.8186470269510947,-0.005909423506861897,0.038663820839093255,0.032003031789837676,0.26721993106175435,-0.06101820814100711,0.0322763250555625,0.038210072231352435,-3.036577566394654,-0.3364611260053619,0.06755381195737327,-0.0085978835978835,0.3421418636995827
2009,2009-12-31,2010-02-23,3840957000.0,2.1241620518799182,0.5955591475605088,0.0557314788577185,0.2906775233165682,21.10916666666667,1.6335853457738752,0.0,8.172279495990836,0.0,0.8258575197889182,3.1918418230563,0.1290590360857463,1.5,Packaging & Containers,Consumer Cyclical,24.08,7395931200,4237347,GPK,0.011995406014717767,0.07738748627881449,1.585131150085364,0.06902192489867669,0.01377020362322379,5.451427003293085,0.8711131906929261,-0.005909423506861897,0.038663820839093255,0.032003031789837676,0.26721993106175435,-0.06101820814100711,0.0322763250555625,0.038210072231352435,-3.036577566394654,1.5656970912738215,0.004020199048879737,0.885923949299533,0.0955440414507772
2010,2010-12-31,2011-03-08,3777782000.0,2.1727748691099475,0.5751014583240422,0.0164081466618628,0.326589010989011,124.98897196261682,1.7903373493975905,0.0,8.391564821471363,0.0,0.874433439650831,6.2117138875987,0.1448595848595848,-0.8125,Packaging & Containers,Consumer Cyclical,24.08,7395931200,4237347,GPK,0.0023859430049502743,0.014323962516733601,1.701527614571093,0.0536019536019536,0.002612942612942613,5.003480589022757,0.9131249163805022,-0.0393233321958557,0.048575919861912786,-0.009609463009767493,-0.0630635237620809,0.11639646448572893,-0.015419971296723088,-0.011157261010281177,-0.44794641427032733,-0.8102836879432624,-0.0001953220372088481,-0.2235585426246905,0.1222096102913356
2011,2011-12-31,2012-02-23,3697038000.0,3.1036407121977145,0.5088070198077296,0.3396588349158851,0.3811040581984166,5.78923076923077,1.3725815566401232,0.0,7.448966812773951,0.0,1.0105344694035632,7.0401317523056655,0.1515583767206333,23.33333333333333,Packaging & Containers,Consumer Cyclical,24.08,7395931200,4237347,GPK,0.059552229176075874,0.2370922167993835,2.0357862122385746,0.04524166131754749,0.06582982668853862,2.969603561948797,0.9046390089683205,0.3232506882540223,0.1361010297527322,0.057166286171125597,0.2227682542826499,0.33425859766748167,-0.008360292284406108,0.06321688407559602,-2.0338770270739603,24.878504672897197,0.02717948717948718,-0.13302961275626424,0.07467970330411329
2012,2012-12-31,2013-02-07,4817564000.0,2.475851550584647,0.5037439404432132,0.0572923965011841,0.5859592815475779,20.72890701468189,2.6092032854209446,0.0,6.810052710843373,0.0,0.6810997476424492,9.579208443271767,0.1659173180235641,-0.5753424657534246,Packaging & Containers,Consumer Cyclical,24.08,7395931200,4237347,GPK,0.026532202216066482,0.12587268993839837,1.5979545756408553,0.07433538539577136,0.028267736505960202,3.745893223819302,0.9386037049861495,-0.282366438414701,-0.329434721761114,-0.03302002696000939,-0.11121952686098513,-0.4378316365977193,0.029093724078223873,-0.03756209018257842,0.7762896618705049,-0.5572408811845432,0.03109621282362171,0.6941671045717288,0.1287843137254902
2013,2013-12-31,2014-02-06,5532280000.0,3.05873884249928,0.4935845414866317,0.0703081338983689,0.7445300462249614,22.742701227830832,3.138548432646145,0.0,6.735774546760007,0.0,0.6538245219347582,13.40064308681672,0.1620330050691141,0.3548387096774193,Packaging & Containers,Consumer Cyclical,24.08,7395931200,4237347,GPK,0.032154058737086835,0.13800244751953308,1.732564679415073,0.07628235189031063,0.032737098322949465,3.291913772004142,0.9821902485030597,0.013015737397184805,-0.02727522570769103,0.005621856521020353,0.012129757581134715,0.13461010377421778,0.001946966494539265,0.0044693618169892625,-0.45397945181515986,0.19575856443719414,0.03251020266998686,0.05955334987593052,0.008337965536409116
2014,2014-12-31,2015-02-05,6366732000.0,3.0806451612903225,0.4554752614688431,0.0501518986486258,1.0554255394411036,49.89444816053511,4.421151832460732,0.0,6.618052893829053,0.0,0.7239544850007389,13.76239852398524,0.1856384860275911,-0.3571428571428571,Packaging & Containers,Consumer Cyclical,24.08,7395931200,4237347,GPK,0.02070971763673724,0.08861009582139683,1.8041968375942072,0.053720080179224146,0.02115316590024761,3.278672330336857,0.9790363170410731,-0.020156235249743103,0.07012996306598074,-0.011444341100349597,-0.04939235169813626,0.07163215817913415,-0.022562271711086483,-0.011583932422701854,-0.013241441667285248,-0.38813096862210095,-0.05305821665438467,-0.3331381733021077,0.08489525909592062
2015,2015-12-31,2016-02-12,6047085000.0,3.343550834597876,0.4404266817039073,0.0913678600861274,1.0161735012739772,18.37238157322903,3.837237905055823,0.2142546718817905,6.051157781367798,0.0116617799944884,0.6539196940726577,12.250028977108084,0.1896783808470746,1.5925925925925923,Packaging & Containers,Consumer Cyclical,24.08,7395931200,4237347,GPK,0.054063579333192356,0.2088590360352183,1.4569789674952198,0.10266333349358205,0.05530984087303495,2.8632114005627667,0.9774676346890345,0.04121596143750161,-0.07003479092808118,0.033353861696455114,0.12024894021382147,-0.3472178700989874,0.0489432533143579,0.034156674972787335,-0.4154609297740901,1.565217391304348,-0.018936446173800258,0.8748902546093064,0.002413617886178862
2016,2016-12-31,2017-02-08,6081032000.0,3.2923028980990963,0.4638528044488856,0.0873752502223564,0.9317679905074336,17.565052631578947,3.790659725508756,0.2824561403508772,6.015096929147367,0.0160805746658037,0.6231084893562452,11.54795847750865,0.1842442009259905,0.0142857142857143,Packaging & Containers,Consumer Cyclical,24.08,7395931200,4237347,GPK,0.04952860928878655,0.21580690960719356,1.4297255706591434,0.09213373351015565,0.05304669505130174,3.3572172266919074,0.9336794543163749,-0.003992609863771007,-0.03081120471641252,-0.004534970044405805,0.006947873571975266,-0.027253396836076416,-0.010529599983426396,-0.0022631458217332104,0.4940058261291407,-0.009126466753585397,0.033147444834382964,-0.07281667056895341,0.003548346217209479
2017,2017-12-31,2018-02-07,6985795000.0,4.152684024429444,0.4619987661937076,0.1133026447855792,1.0914674024116084,16.01097601598934,3.7204853316820174,0.3111259160559627,5.811041009463723,0.0194320393550809,0.5757575757575758,18.768039828192112,0.1633853350591548,0.352112676056338,Packaging & Containers,Consumer Cyclical,24.08,7395931200,4237347,GPK,0.0617314414970183,0.23237092654230204,1.3740897345548508,0.07782092331448555,0.06816994799827418,2.7642232370926543,0.9055521283158544,0.025927394563222808,-0.047350913598669386,0.012202832208231748,0.016564016935108478,-0.05563583610429257,-0.0143128101956701,0.015123252946972442,-0.5929939895992531,0.31666666666666665,0.024568995602708175,-0.1345959595959596,-0.09142568506124511
