Year,Date,FillingDate,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Price,MarketCap,AvgVolume,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2008,2008-12-31,2009-03-16,67113760.0,6.353284765236368,0.0,-0.0164434998336542,0.4504358933617469,-116.31356395816572,0.7303308715814146,0.0,10.858452796073871,0.0,4.021184411556792,9.091797258206515,0.2141675468030021,-1.0330578512396695,Communication Equipment,Technology,0.7105,78156421,1480529,INSG,-0.00476736559902735,-0.006278982835089562,4.948486990627779,-0.01789247070625878,-0.0038725998760020313,0.3170760044857094,1.2310503929337133,0.0279109469709214,-0.7864518882807938,0.01861481008712853,0.024805657552714057,-1.0001675965927466,0.02604250241729126,0.015466390440932593,0.020836903094030634,-1.0320674887776689,0.0020457107893759466,-1.1074522424083673,-0.4746142264274959
2009,2009-12-31,2010-03-12,144423560.0,6.889682850430697,0.0,0.0114674471372672,0.72391414904778,62.43981595092024,1.1568021595510407,0.0,10.00136147038802,0.0,3.2347325232759983,8.189926571668064,0.2597874471729762,4.25,Communication Equipment,Technology,0.7105,78156421,1480529,INSG,0.01384744448810118,0.018526674717624494,3.9483193940350323,0.008150031711032476,0.011593790564930562,0.33791290757974,1.1943845639223098,0.0279109469709214,-0.7864518882807938,0.01861481008712853,0.024805657552714057,-1.0001675965927466,0.02604250241729126,0.015466390440932593,0.020836903094030634,4.14722445695897,0.05124730117486517,1.478843809855476,0.27517383841028775
2010,2010-12-31,2011-03-16,283447700.0,5.88693084397028,0.0,-0.1764474669120878,0.8873721757704858,-8.991560538116591,1.6222375042475043,0.0,6.326820439040238,0.0,1.355435902869417,-64.21172075149445,0.1955909860684128,-9.076923076923078,Communication Equipment,Technology,0.7105,78156421,1480529,INSG,-0.1107219934592927,-0.18041779259235288,1.8396728922451575,-0.07376483292126676,-0.09868945129255152,0.6294666213599565,1.1219232857123942,-0.18791491404935498,-1.8792966204065813,-0.12456943794739389,-0.1989444673099774,-2.108646501789875,-0.08191486463229923,-0.11028324185748209,0.29155371378021644,-9.550613496932515,0.004504744800279768,-10.091636363636363,-0.24371991147413813
2011,2011-12-31,2012-03-06,53225590.0,5.181318852791561,0.0,-0.1470173878984898,0.2489552005401353,-4.029189699501848,0.6040932992019274,0.0,7.527850706024267,0.0,1.4187343501024356,-12.854984619328375,0.2099776101990259,0.2571428571428572,Communication Equipment,Technology,0.7105,78156421,1480529,INSG,-0.09989605865662837,-0.149929227525975,2.0257859726332295,-0.08371849417418371,-0.06178790752168236,0.5008522812829393,1.616757431404733,0.02943007901359798,0.0632984472330187,0.010825934802664333,0.03048856506637787,0.18611308038807195,-0.009953661252916954,0.03690154377086916,-0.1286143400770171,0.2558445440956651,0.1885868378660656,-0.3489720822334213,0.2760129121790811
2012,2012-12-31,2013-03-04,27649160.0,2.6009679775964933,0.0,-1.0457313479211183,0.1269087508132726,-0.4894714672999798,0.5113480871183307,0.0,6.967526143120771,0.0,1.31588968068324,-1.2641965164053006,0.21041395575797,-2.4871794871794872,Communication Equipment,Technology,0.7105,78156421,1480529,INSG,-0.5526245736112573,-1.0446943719498636,1.9138742316270467,-0.25775803978064876,-0.2592771168324194,0.8904233033342306,2.1314051172839887,-0.8987139600226285,-0.10284466941919557,-0.4527285149546289,-0.8947651444238885,-0.11191174100618273,-0.17403954560646506,-0.19748920931073702,0.38957102205129124,-2.586132090631528,-0.14539470091495352,-1.6312153467548256,-0.14361878191791186
2013,2013-12-31,2014-03-12,80111760.0,1.3230823612583953,0.0230206791369488,-0.9120043639066576,0.2401314418912828,-1.85328726418354,1.7912717071867486,0.0,9.59806426078509,0.0,1.134787298221239,-2.5430419116252607,0.2038304387664041,0.5294117647058824,Communication Equipment,Technology,0.7105,78156421,1480529,INSG,-0.3894765172924236,-0.9665375367352391,1.7482130125591855,-0.12899750188776105,-0.12957054555547928,1.4816323804434945,3.005903198313372,0.1337269840144607,-0.18110238246200105,0.16314805631883367,0.07815683521462446,-0.16566121906786124,0.12876053789288772,0.1297065712769401,0.591209077109264,0.5136670176775032,-0.026823473371131147,0.5129644028261384,-0.05727261433126734
2014,2014-12-31,2015-03-10,109532980.0,0.8047103453726389,0.0542833087770995,-0.9994902589227374,0.659817970795433,-3.115755690942925,4.001439795717934,0.0,3.920270877972648,0.0,0.7205056179775281,-6.62446371470381,0.1999892034872736,0.1796874999999999,Communication Equipment,Technology,0.7105,78156421,1480529,INSG,-0.4128499263312987,-1.2842598048844367,1.5035112359550562,-0.19203217360792463,-0.21176819887176443,2.1107182609834347,1.9495369395916649,-0.08748589501607973,-0.4142816802437109,-0.02337340903887508,-0.3177222681491976,-0.24470177660412928,-0.06303467172016358,-0.08219765331628515,0.6290858805399402,0.0963766613687144,-0.447117321737158,0.1769510191804909,-0.4575365332240021
2015,2015-12-31,2016-03-15,157206670.0,0.6049979125663506,0.4316367918356666,-0.3263364759090452,0.380202360800572,-1.6065996633898176,2.760340102523659,0.0,2.901105002059566,0.0,0.764654581698125,-2.7937564852999865,0.266825682758371,0.0095238095238095,Communication Equipment,Technology,0.7105,78156421,1480529,INSG,-0.2631165772602381,-1.7181256572029442,1.7282750887684546,-0.17104488960903766,-0.23665034262385604,5.530034174553102,1.1118368743646776,0.6731537830136922,0.044148963720596845,0.14973334907106056,-0.4338658523185075,0.2247638528133984,0.02098728399888697,-0.024882143752091607,3.4193159135696676,-0.3328405006500293,0.1927015573969608,-0.0623506592078261,0.591302939509272
2016,2016-12-31,2017-03-31,215795498.8,-0.3294858384898,0.5931727110058217,-0.5929184177189042,0.5400977142739832,-2.171652366565961,-7.405477610763947,0.0,5.369822105195556,0.0,0.5145646632572903,-12.031784395865728,0.3133912258011537,-0.0769230769230769,Communication Equipment,Technology,0.7105,78156421,1480529,INSG,-0.3816439426396835,3.410065867252153,1.09731150904981,-0.18477961856664818,-0.24870357824721315,-5.300118223273096,1.5345333803775296,-0.266581941809859,-0.2500899184408346,-0.11852736537944536,5.128191524455097,-0.6309635797186446,-0.01373472895761052,-0.012053235623357111,-10.830152397826199,-0.1584936694335003,0.1023481275628898,-0.1908655499986769,0.2947263073974183
2017,2017-12-31,2018-03-16,205358757.63,-0.7759907557557303,0.8344763506039555,-0.2581480597468461,0.43109006338436,-2.067054938887067,-2.0747669840886647,0.0,7.448022349654463,0.0,0.6148920203452014,-4.907176622372178,0.3070493440402742,0.3035714285714286,Communication Equipment,Technology,0.7105,78156421,1480529,INSG,-0.28908328961423957,1.0037309338307911,1.107929625614942,-0.10129641536363927,-0.2085527845798164,-2.8973993196532426,1.386139677763942,0.33477035797205806,0.10032735708791107,0.09256065302544392,-2.4063349334213617,0.010618116565132008,0.08348320320300891,0.04015079366739674,2.4027189036198537,0.2449606260214947,-0.09959967974379504,0.5063994311616745,-0.11782045907137617
