Year,Date,FillingDate,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Price,MarketCap,AvgVolume,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2009,2009-03-31,2009-05-08,4820348298666.67,6565.796873242605,0.6275003178116968,0.0,0.0298959594886534,1.32208076385101,0.0248261703482304,1.073207443897099,0.0,0.8117563413985522,0.5898532876556406,-0.0528594095831098,0.0,-0.8716050208843129,Credit Services,Financial Services,90.65,20831642494,24568,IX,0.002619437458959279,0.01877810420288986,0.0,0.0,0.022612808767878342,6.131528097779072,0.11583865966620692,0.0,1.7424970138099776,0.0022588539697598097,0.01029517305316319,0.0,0.0,0.020847835849813708,-1.1854911865674147,-0.8694324270530976,0.0460767486163536,0.0,0.0
2010,2010-03-31,2010-05-10,3854477596841.878,6372.282902032365,0.5697608465335021,0.0,0.0970087317736574,2.2321052213332093,0.064894613964504,0.1658235558969197,0.0,0.0742902056372931,2.332350301465618,-0.4679437032452609,0.0,0.3511398143791969,Credit Services,Financial Services,90.65,20831642494,24568,IX,0.004878291428719089,0.029073277256053052,0.0,0.0,0.04346064461769205,4.946036911211658,0.11224618207188816,0.0,1.7424970138099776,0.0022588539697598097,0.01029517305316319,0.0,0.0,0.020847835849813708,-1.1854911865674147,0.7221766101076446,-0.10394218283122185,0.0,0.0
2011,2011-03-31,2011-05-10,4356744839220.012,6137.097749537162,0.5837969036478355,0.0,0.0993599618477192,1.250372935265879,0.0637582241588884,0.1198216276477146,0.0,0.0958287117932825,2.7964487277566548,-0.2406565196444803,0.0,0.4736792124339209,Credit Services,Financial Services,90.65,20831642494,24568,IX,0.007839463632696162,0.050991366144158334,0.0,0.0,0.07946426145779564,5.46231186630295,0.09865395448065403,0.0,0.4640984262910366,0.0029611722039770737,0.021918088888105283,0.0,0.0,0.03600361684010359,0.5162749550912924,0.7817888073734671,-0.025502927725973595,0.0,0.0
2012,2012-03-31,2012-06-27,3999846101897.436,6493.116855333042,0.5655923715905231,0.0,0.0990404061834598,0.9907730922511384,0.0611366233381362,0.1123389437028438,0.0,0.1133851379104354,3.085182740587731,-0.3160527496887263,0.0,0.4057995918805714,Credit Services,Financial Services,90.65,20831642494,24568,IX,0.010311346406899733,0.061705978711258276,0.0,0.0,0.09996275328635529,4.9288637146641054,0.10315188475613157,0.0,0.288734012831076,0.002471882774203571,0.010714612567099942,0.0,0.0,0.020498491828559645,-0.5334481516388445,0.28056484578223706,0.017970557767653706,0.0,0.0
2013,2013-03-31,2013-05-09,4883085505209.432,7554.10278495022,0.5310917081274119,0.0,1.536365462931859,11.040019169230645,0.7516917205988771,0.0864631084184471,0.0,0.0078317897000963,1.4056850151571323,-3.58037814236988,0.0,0.3374180634712055,Credit Services,Financial Services,90.65,20831642494,24568,IX,0.013259815799358034,0.06808789994621549,0.0,0.0,0.13916329667377972,4.108148839495837,0.09528242084147441,0.0,-1.6794977254305985,0.0029484693924583007,0.006381921234957212,0.0,0.0,0.03920054338742443,-0.8207148751682682,0.29900174114915845,-0.06691064617826671,0.0,0.0
2014,2014-03-31,2014-05-08,5189465505476.918,7565.526176955573,0.4596190130496068,0.0,1.563615174249702,9.93505950660577,0.9672021771980144,0.0850027302804158,0.0,0.0085558350429504,1.4274574857488938,-4.780845558398556,0.0,0.5674625842568263,Credit Services,Financial Services,90.65,20831642494,24568,IX,0.020596088469877583,0.09735242919832807,0.0,0.0,0.15738357412052362,3.6347884549235436,0.13086555306022718,0.0,0.02177247059176146,0.007336272670519549,0.02926452925211258,0.0,0.0,0.0182202774467439,-0.47336038457229357,0.6691597637366075,0.4759213386457354,0.0,0.0
2015,2015-03-31,2015-05-12,5793626401434.88,8219.867333158156,0.3860427829356214,0.0,1.7419094325549154,9.378306695246948,1.0237972535216926,0.1281858113284641,0.0,0.0136683321940655,1.894445330510809,-3.013488262099389,0.0,0.3045918367346939,Credit Services,Financial Services,90.65,20831642494,24568,IX,0.020530901563734858,0.10916653579271052,0.0,0.0,0.18573816032671853,4.2401103430074745,0.11053679829508614,0.0,0.46698784476191535,-6.518690614272515e-05,0.01181410659438245,0.0,0.0,0.02835458620619491,0.6053218880839308,0.25779200616722164,0.06577884201400153,0.0,0.0
2016,2016-03-31,2016-05-10,5646101077128.992,8824.25890052676,0.3901579226011389,0.0,1.8994291463723043,8.017831014183058,0.9028579849945711,0.2922485000134528,0.0,0.0364498203437416,1.664487529228371,-3.6463020764939977,0.0,0.1091122409073132,Credit Services,Financial Services,90.65,20831642494,24568,IX,0.02365838173027941,0.1126062626410397,0.0,0.0,0.23690062100489884,3.689392585192979,0.09986627147672264,0.0,-0.22995780128243815,0.003127480166544551,0.0034397268483291887,0.0,0.0,0.05116246067818031,-0.5507177578144953,0.10734715766893099,-0.13180209053063302,0.0,0.0
2017,2017-03-31,2017-05-15,5272209410885.969,9585.232072348932,0.3684552784725997,0.0,1.783021820638658,7.955044524705364,0.8667823680865754,0.2243420595156621,0.0,0.0282012324153485,2.4722185376643804,-5.354476730614341,0.0,0.0511787225468467,Credit Services,Financial Services,90.65,20831642494,24568,IX,0.024327061462023996,0.10896009009059304,0.0,0.0,0.224137252167636,3.423167382994284,0.10853644910320119,0.0,0.8077310084360094,0.000668679731744587,-0.0036461725504466636,0.0,0.0,-0.01276336883726284,-0.26622520219869505,0.05023657699418455,0.11004170384804501,0.0,0.0
2018,2018-03-31,2018-05-09,5263845947582.307,10468.094140198777,0.3617420367019657,0.0,1.888339114207282,7.829942189733841,0.9140348235708844,0.2323502642630175,0.0,0.0296745823446387,2.839820404003128,-4.858628129658933,0.0,0.1699731646540156,Credit Services,Financial Services,90.65,20831642494,24568,IX,0.02740552190612588,0.11673583296302151,0.0,0.0,0.24116897270112175,3.216161203448821,0.11363618461852994,0.0,0.3676018663387475,0.0030784604441018854,0.007775742872428465,0.0,0.0,0.017031720533485756,-0.2070061795454632,0.14601136733775194,0.06507829739063384,0.0,0.0
