Year,Date,FillingDate,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Price,MarketCap,AvgVolume,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2008,2008-12-31,2009-02-13,4215569000.0,5.521257498139148,0.5238253362111904,0.0246829710144927,0.4786213105076741,-21.336434210526317,1.2859389373513084,0.0,38.36666666666667,0.0,0.6077705827937095,-2.2521791666666666,0.660271546635183,-4.4,Airlines,Industrials,8.98,2944550908,10681022,JBLU,-0.012618296529968454,-0.06026962727993656,0.8899167437557817,0.03217237308146399,-0.02243211334120425,3.776367961934972,0.5625103768885937,0.009067709442774501,0.4332901528778045,0.021467854052092346,0.09795643689657074,0.4257376617189831,0.05273328729589449,0.040082752416067305,-0.5177584752553099,-5.222222222222222,0.1318593139096572,-0.3550295857988165,1.7617283950617284
2009,2009-12-31,2010-02-05,3827648700.0,5.908187004291977,0.5041196216051267,0.0337506804572672,0.4320294278758368,24.47670172413793,0.9224487979207278,0.0,18.875,0.0,1.041060735671514,70.982435,0.7702373706634206,1.588235294117647,Airlines,Industrials,8.98,2944550908,10681022,JBLU,0.008849557522123894,0.037686809616634176,1.3156544054747648,0.08490566037735849,0.017650639074863056,3.258609486679662,0.5013732072017089,0.009067709442774501,0.4332901528778045,0.021467854052092346,0.09795643689657074,0.4257376617189831,0.05273328729589449,0.040082752416067305,-0.5177584752553099,1.763157894736842,-0.03010625737898465,1.5596330275229358,0.1314260169870362
2010,2010-12-31,2011-02-25,4388156040.0,6.006594907104778,0.4600333687244046,0.0428050627677718,0.4816501825879862,18.76449525773196,1.1004570979443773,0.0,19.040816326530614,0.0,0.9622119815668204,8.125696607142856,0.7531092881714739,0.5499999999999999,Airlines,Industrials,8.98,2944550908,10681022,JBLU,0.01471257394205976,0.058645707376058044,1.2534562211981566,0.08811854988092088,0.025668166181529506,2.9860943168077387,0.5731836796602457,0.009054382310504601,-0.07884875410469361,0.005863016419935866,0.020958897759423868,-0.06219818427660817,0.0032128895035623967,0.00801752710666645,-0.2725151698719235,0.6724137931034483,0.15003043213633596,0.1935483870967742,0.12445673646779928
2011,2011-12-31,2012-02-28,3912182800.0,6.304518656997585,0.4435016263611936,0.0390311282127176,0.3217546181172291,16.850962790697675,0.8248052361980649,0.0,40.88,0.0,0.939801699716714,16.850962790697675,0.5461811722912966,-0.096774193548387,Airlines,Industrials,8.98,2944550908,10681022,JBLU,0.012162353273935795,0.048947068867387596,1.1529745042492918,0.07149200710479574,0.019094138543516874,3.0244735344336937,0.6369678970442653,-0.0037739345550542036,-0.022410281850106406,-0.0025502206681239648,-0.009698638508670449,-0.10048171694886476,-0.016626542776125144,-0.006574027638012632,0.038379217625954976,-0.1134020618556701,0.1918496956866896,-0.03303303303303303,-0.13562895291637386
2012,2012-12-31,2013-02-21,4283853240.0,6.68751793197009,0.4032531824611032,0.0485920050562824,0.3241375431553593,12.6160409375,0.8553248093220339,0.0,107.02777777777776,0.0,0.5205223880597015,-12.421948,0.2266158169409875,0.4285714285714285,Airlines,Industrials,8.98,2944550908,10681022,JBLU,0.018104667609618104,0.06779661016949153,0.6840796019900498,0.07547169811320754,0.025692492974708953,2.7447033898305087,0.7046676096181047,0.009560876843564804,-0.4192793116570125,0.005942314335682309,0.01884954130210393,-0.468894902259242,0.0039796910084118065,0.006598354431192079,-0.27977014460318506,0.4883720930232558,0.10612788632326821,0.16770186335403728,-0.5410569105691057
2013,2013-12-31,2014-02-19,4774727700.0,7.547169811320755,0.3517006802721088,0.0546133566661425,0.4438021870979598,14.373379166666664,1.1315499999999998,0.0,87.27083333333333,0.0,0.4034151547491996,19.956427272727268,0.2301047601543834,0.3,Airlines,Industrials,8.98,2944550908,10681022,JBLU,0.022857142857142857,0.07872539831302718,0.5635005336179295,0.07866201065980519,0.030876677081418856,2.444236176194939,0.7402721088435374,0.006021351609860094,-0.11710723331050193,0.004752475247524753,0.01092878814353565,-0.12057906837212029,0.003190312546597643,0.005184184106709903,-0.3004672136355695,0.3125,0.09213167402649539,0.13829787234042554,0.10894596988485385
2014,2014-12-31,2015-02-12,6566449520.0,8.5806766825455,0.2848577624697028,0.069610405544698,0.8035842392986076,11.656981346633415,1.848339074733096,0.0,95.41304347826087,0.0,0.4359504132231405,84.98999127272727,0.2454873646209386,1.2884615384615383,Airlines,Industrials,8.98,2944550908,10681022,JBLU,0.05115448399030489,0.15856069592724398,0.6198347107438017,0.08853360838920406,0.06893587760013753,2.099644128113879,0.7420589360887868,0.014997048878555498,0.0325352584739409,0.02829734113316203,0.0798352976142168,0.05633417712587219,0.00987159772939887,0.038059200518718674,-0.34459204808106003,1.3869047619047619,0.06910494394412792,0.20327102803738317,0.14057507987220447
2015,2015-12-31,2016-02-17,8662037650.0,10.187209815265582,0.2128175519630485,0.1485136315312924,1.112381179862843,10.542153101920237,2.2233762149532708,0.0,95.1590909090909,0.0,0.4448351648351648,10.86307100456621,0.3474127182044887,0.6638655462184875,Airlines,Industrials,8.98,2944550908,10681022,JBLU,0.07817551963048498,0.21090342679127727,0.6035164835164836,0.18952618453865336,0.10551745635910224,1.6978193146417446,0.7408775981524249,0.07890322598659441,0.008884751612024289,0.027021035640180095,0.05234273086403329,-0.016318227227318127,0.1009925761494493,0.036581578758964714,-0.4018248134721345,0.6882793017456359,0.10297404160220044,1.3611650485436892,0.5609243697478992
2016,2016-12-31,2017-02-17,8271130000.000001,12.290964777947933,0.1458838410456414,0.1517363447529329,1.103759047044632,9.644440052700924,1.8241041614752056,0.0,89.25531914893617,0.0,0.5141700404858299,11.78764895330113,0.3674607961399276,0.1212121212121213,Airlines,Industrials,8.98,2944550908,10681022,JBLU,0.08000421629598398,0.18913531024171443,0.7049032838506523,0.19782870928829915,0.11444511459589868,1.364066782955395,0.6990618741435649,0.0032227132216404997,0.06933487565066515,0.001828696665498994,-0.021768116549562844,0.10138680033416869,0.008302524749645795,0.008927658236796435,-0.33375253168634966,0.12112259970457903,0.03366583541147132,0.07894736842105263,0.09331538806639748
2017,2017-12-31,2018-02-16,8238152052.14,14.708434152970716,0.1225846028013495,0.2064288829101901,1.0466360730064148,6.401178772571926,1.5188564443814645,0.0,87.54545454545455,0.0,0.3916492693110647,37.45995944969388,0.3136136849607983,0.536036036036036,Airlines,Industrials,8.98,2944550908,10681022,JBLU,0.117268172988447,0.23727761688043028,0.5035490605427975,0.14255167498218105,0.16350677120456164,1.0233760860570955,0.7172068295675289,0.05469253815725719,-0.12252077117476523,0.03726395669246302,0.048142306638715854,-0.2013542233078548,-0.055277034306118106,0.04906165660866296,-0.34069069689829945,0.5111989459815547,0.0577503015681544,-0.23780487804878048,-0.09725071809601969
