Year,Date,FillingDate,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Price,MarketCap,AvgVolume,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2008,2008-12-31,2009-02-27,9391428080.0,15.419613592903328,0.484896745788908,0.0618367391161527,6.211625456040828,18.858532864883035,1.185503118470694,1.876831718033469,0.0,0.0995216187537242,0.9464104709423656,-53.80505856832972,0.7152117294755267,-1.7393939393939395,REIT—Retail,Real Estate,20.175,12506320454,4140750,KIM,0.026593390525869183,0.0628629558282474,1.5929469240164258,0.7152117294755267,0.3293801008034754,1.3638563787906763,0.08073769623908193,-0.059387982370761,-0.07256150913367543,-0.026981298465140236,-0.06367524141071407,0.045415128030518614,-0.454690060789505,-0.3340488969717937,-0.3244467220709708,-0.4356705733577219,0.06546497164586589,1.6822437297954584,0.0
2009,2009-12-31,2010-03-01,9258459810.0,13.862587373634945,0.4363603174704702,0.0024487567453917,5.609829592492973,-1201.5580441400302,0.9760082757517916,-83.97361745306951,0.0,0.0698872749948342,0.8738489618086902,-41.475121363899056,0.7198449893347262,0.9907701804432064,REIT—Retail,Real Estate,20.175,12506320454,4140750,KIM,-0.0003879079392710539,-0.0008122855824666653,1.6383620520469444,0.26052166868602167,-0.004668796168318274,1.0394096567197055,0.0830852162498198,-0.059387982370761,-0.07256150913367543,-0.026981298465140236,-0.06367524141071407,0.045415128030518614,-0.454690060789505,-0.3340488969717937,-0.3244467220709708,-1.015774183479924,0.11285692443957064,-0.5946328464489877,0.12006619563094093
2010,2010-12-31,2011-02-28,11448690080.0,12.162428818191003,0.4096791956375284,0.0316263320195078,8.14474864163689,51.24393902063443,1.4832563684169793,2.1485847075622253,0.0,0.0419285626481027,1.752118551203191,28.656553910708556,0.7185952233678505,20.537529173008625,REIT—Retail,Real Estate,20.175,12506320454,4140750,KIM,0.014528148873155292,0.028945010800588835,2.289237029352892,0.3279106350597858,0.1589407215233247,0.9274059015665412,0.09140608356319355,0.0291775752741161,0.8782695893945007,0.014916056812426345,0.0297572963830555,0.6508749773059477,0.06738896637376413,0.16360951769164297,-0.1120037551531643,37.24251648909184,0.06460396362081605,0.3399843612194612,0.06275564096573465
2011,2011-12-31,2012-02-27,10591962200.0,11.527774088013183,0.4232409618955338,0.0248952184415797,7.205209715722567,39.05358264665692,1.408771535251257,2.0926465977722697,0.0,0.0535839852826256,1.0487504381166823,97.92706992197928,0.7205878501082629,0.2272727272727273,REIT—Retail,Real Estate,20.175,12506320454,4140750,KIM,0.01758289236816497,0.03607278615120479,1.5983735692613796,0.31419815603827617,0.18449548613536354,0.9899523854842516,0.09530256125217328,-0.006731113577928098,-0.7033681130865086,0.0030547434950096777,0.007127775350615952,-0.6908634600915124,-0.013712479021509627,0.025554764612038844,0.06254648391771034,0.1832670717025506,0.019370858716886423,-0.023256918551591003,0.0221975204666774
2012,2012-12-31,2013-02-27,11933845040.0,11.736934016753818,0.4306950132571151,0.0254157374132225,8.504638427243078,29.48011275101194,1.6460857641716125,1.4384097597275936,0.0,0.0487925460759378,1.9684979294526368,16.373648983204397,0.732376743459857,0.5555555555555554,REIT—Retail,Real Estate,20.175,12506320454,4140750,KIM,0.027315293281141902,0.05583715971761704,1.9684979294526366,0.2792029526056485,0.28848731004094097,1.0090588773514426,0.09468455744991149,0.0005205189716427985,0.9197474913359545,0.009732400912976932,0.019764373566412252,0.37012436019125694,-0.034995203432627686,0.10399182390557743,0.019106491867191044,0.5739214793168925,0.006565621289376266,-0.10554505793758857,0.023033141188551282
2013,2013-12-31,2014-02-26,12186111250.0,11.364241188722152,0.4368338812640798,0.0001079992854212,8.504216609114234,34.07261798451843,1.7379075005553255,1.6943977721441843,0.0,0.0497290162121991,1.7750343115400418,14.123189365565272,0.740078147364507,0.0238095238095238,REIT—Retail,Real Estate,20.175,12506320454,4140750,KIM,0.024450542911928542,0.051005986723561374,1.7750343115400418,0.238204744404879,0.24959093583528844,1.056490380723497,0.09796246338073789,-0.025307738127801297,-0.19346361791259503,-0.0028647503692133605,-0.004831172994055666,-0.1934636179125948,-0.04099820820076949,-0.038896374205652534,0.047431503372054484,-0.11196927159087919,0.026421873915758794,-0.12429808551124229,0.03721534803708211
2014,2014-12-31,2015-02-27,14807683320.0,11.671779665988735,0.4491950399621689,0.0257712804685477,10.347623868469269,24.255773736382697,2.153913175148201,1.009132053933835,0.0,0.041603787407539,2.177235177767066,16.341601193625735,0.7397949686939391,1.0697674418604652,REIT—Retail,Real Estate,20.175,12506320454,4140750,KIM,0.04122226448142514,0.08880001926788327,2.177235177767066,0.3122204815991999,0.4266045676765299,1.1275822890454754,0.09662874616167179,0.0256632811831265,0.4022008662270242,0.016771721569496596,0.03779403254432189,0.4022008662270242,0.07401573719432092,0.17701363184124144,0.07109190832197831,0.794477761648207,0.04988417331010814,0.37610752897978733,0.04948245248439936
2015,2015-12-31,2016-02-26,16077841740.0,12.268579861372803,0.4739270943641452,0.0212101672276946,9.327896730201092,12.172372390576156,2.156728838951311,0.5098147330041438,0.0,0.0418829392205287,1.493641631572796,22.044720873565176,0.7390426039773083,1.247191011235955,REIT—Retail,Real Estate,20.175,12506320454,4140750,KIM,0.07881712996039993,0.17718229197629948,1.493641631572796,0.2944644569747739,0.7663170687599687,1.221136278065117,0.10285185228607714,-0.0045611132408531,-0.6835935461942699,0.03759486547897479,0.08838227270841621,-0.6835935461942699,-0.017756024624425992,0.33971250108343887,0.09355398901964151,1.1087568189697665,0.17393351624967174,0.10717174483992073,0.17273963660102273
2016,2016-12-31,2017-02-27,15458977320.0,12.562413659590538,0.4511217566292095,-0.0019364029532093,8.991344594086739,27.78670798469051,2.002799834631466,1.2512735911310544,0.0,0.0450313722597315,1.3157569523583998,17.77920188618062,0.7450290060061907,-0.605,REIT—Retail,Real Estate,20.175,12506320454,4140750,KIM,0.03373372749452389,0.07207762199591754,1.3157569523583998,0.25693974676970804,0.3235843770712475,1.1087465533160368,0.10425017363275337,-0.0231465701809039,-0.1778846792143962,-0.045083402465876034,-0.10510466998038194,-0.1778846792143962,-0.03752471020506587,-0.44273269168872126,-0.11238972474908016,-0.5762849297909106,0.0034479832768954267,-0.12442515688123595,0.01157612502493355
2017,2017-12-31,2018-02-23,12942273100.0,12.733866208387823,0.4657475871165309,0.0312244281424173,6.402711865253648,18.04516599190283,1.4253330216430695,1.1879880302763597,0.0,0.0658341425514971,1.472923831986624,12.51844993576812,0.7409067364848098,0.10126582278481,REIT—Retail,Real Estate,20.175,12506320454,4140750,KIM,0.03621939171313579,0.07898697203908463,1.472923831986624,0.2810371791604835,0.3548159029474515,1.1570813259466943,0.10207939219257572,0.0331608310956266,0.15716687962822418,0.002485664218611898,0.0069093500431670896,0.15716687962822418,0.024097432390775442,0.031231525876204036,0.04833477263065755,0.12465355681668207,0.02565955353299305,0.12185238495726723,0.019984546140318294
