Year,Date,FillingDate,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Price,MarketCap,AvgVolume,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2009,2009-01-31,2009-04-15,65025672.59,12.56682780124246,0.2545976853471167,0.0499701845654844,0.4098074702161597,9.212119217016143,0.6135199846724824,0.0,1.301799392886726,0.0,2.16165291753689,-57.02352984635981,0.2734888314418593,0.4067796610169492,Apparel Manufacturing,Consumer Cyclical,15.12,111147876,23608,LAKE,0.044771742613112404,0.06659922328612732,10.515604846306575,0.06133201327393066,0.044485688967114634,0.4875280567395704,1.0064302397611338,-0.028889094398839004,-0.8487709416154074,-0.033332199827795825,-0.052380248910180206,-6.44383321039709,-0.03522742839667354,-0.03354684213171585,-0.24456103936907628,0.3824548097124705,0.018407254560655385,0.258621997425892,0.2510062124969613
2010,2010-01-31,2010-04-16,51957531.8,13.345618509968334,0.1243561388614873,0.0210810901666454,0.4871035251987769,44.52969609396849,0.6331666077288499,0.0,1.7818143923575065,0.0,1.3128819759214827,2.6225406735128125,0.2698695769791422,-0.7710843373493975,Apparel Manufacturing,Consumer Cyclical,15.12,111147876,23608,LAKE,0.011439542785316583,0.014218974375947107,4.071771635909485,0.02610458487725712,0.010938846835398787,0.24296701737049411,1.0457722790575614,-0.028889094398839004,-0.8487709416154074,-0.033332199827795825,-0.052380248910180206,-6.44383321039709,-0.03522742839667354,-0.03354684213171585,-0.24456103936907628,-0.7736456218617209,-0.0794705681755679,-0.6081974583526644,-0.09165252908646979
2011,2011-01-31,2011-04-07,55250925.4,13.632771814532996,0.1299934028753141,0.0236409754849116,0.4755923469169786,49.53422935620304,0.6491709918129488,0.0,1.556433690439051,0.0,1.917606080222798,-18.990641944406864,0.2940481393412888,-0.0526315789473684,Apparel Manufacturing,Consumer Cyclical,15.12,111147876,23608,LAKE,0.00958805992539673,0.013105503007722777,6.803818557719887,0.034117842582689566,0.009601286889858951,0.3668566018250564,0.9986223758737807,0.0025598853182661994,0.6047241043013154,-0.0018514828599198539,-0.0011134713682243308,2.7320469218104018,0.008013257705432444,-0.001337559945539836,0.1238895844545623,-0.05612104191914484,0.07537119472053881,0.405475142085048,0.17171747348621136
2012,2012-01-31,2012-04-18,61674989.84,14.023567379557138,0.1774402998514113,0.0204882869963107,0.5109189060191635,-130.60513458501958,0.6717263692640726,0.0,1.4789495045310916,0.0,1.934521983483244,-10.092562274026015,0.2988341927722873,-1.3888888888888888,Apparel Manufacturing,Consumer Cyclical,15.12,111147876,23608,LAKE,-0.0036797572115087433,-0.005143185001098109,7.797152981618476,0.014923823685592415,-0.003911935833476534,0.39769683309876386,0.9406486630018535,-0.0031526884886009,0.016915903260445786,-0.013267817136905473,-0.018248688008820887,0.9933344238985891,-0.01919401889709715,-0.013513222723335485,0.03084023127370744,-1.3876804400004528,-0.04849381879478537,-0.5837922503557506,-0.03300669674267837
2013,2013-01-31,2013-05-21,38064912.5668,8.69342415561065,0.21707465792237,-0.0199821624798715,0.2808698358648661,-1.0162419241080634,0.5808873361759123,0.0,1.726227165690429,0.0,0.735416055309372,33.2766768308268,0.2873017246587929,-69.99999999999999,Apparel Manufacturing,Consumer Cyclical,15.12,111147876,23608,LAKE,-0.31552207270258265,-0.5716033971790194,2.289118217661308,-0.010830473652183117,-0.27638087860956956,0.8116114422138196,1.1416204850709155,-0.040470449476182196,-1.1991059281738718,-0.3118423154910739,-0.5664602121779213,-5.508034763957168,-0.025754297337775532,-0.272468942776093,0.4139146091150558,-68.76360114111326,-0.012555671183701175,-1.7166052086615788,-0.05066265663366359
2014,2014-01-31,2014-04-28,50426246.8,8.262235838593272,0.2108668079012985,-0.0002233138498801,0.408398242178299,-312.3099287872068,0.7939739470226628,0.0,1.6702850587771518,0.0,0.6809419430730039,-7.92340240512854,0.2717450772254588,0.9959758551307848,Apparel Manufacturing,Consumer Cyclical,15.12,111147876,23608,LAKE,-0.0014268857047248925,-0.0025422629056524137,2.4298526265791667,-0.00392854624070256,-0.0013076697361631506,0.7816864358750928,1.0911667260202371,0.019758848629991402,-0.05447411223636811,0.31409518699785777,0.569061134273367,0.14073440891785882,0.006901927411480557,0.2750732088734064,-0.029925006338726856,0.9954542772781688,-0.03924453932728432,0.6515044148138944,-0.09126696971501129
2015,2015-01-31,2015-05-18,55850023.5,10.179084283466706,0.1050387970616548,9.29171472184559,0.5296259157783147,6.289253139532004,0.8350456449020719,0.0,1.6379216178315743,0.0,0.8784201985946204,21.789200312349305,0.338019487165748,67.5,Apparel Manufacturing,Consumer Cyclical,15.12,111147876,23608,LAKE,0.0901074023892639,0.1327734194149815,2.804615294016268,0.049706366182342455,0.084211257525838,0.47350179779237717,1.0700161122949248,9.29193803569547,0.19747825552161646,0.0915342880939888,0.1353156823206339,0.3747626674371012,0.053634912423045016,0.08551892726200115,-0.3081846380827156,71.28145371168442,0.0913615677110921,14.808573044129814,0.35752772854848647
2016,2016-01-31,2016-04-21,105017518.75,9.413877507768094,0.1521074099252209,0.1042286270754824,0.9896485433434358,25.587576219512197,1.4606096147579837,0.0,1.5502313851276903,0.0,0.9268463773925244,-72.61746594256259,0.3646207574814845,-0.6015037593984962,Apparel Manufacturing,Consumer Cyclical,15.12,111147876,23608,LAKE,0.0436664400634489,0.05708276556668049,3.190299629221365,0.11853963029123096,0.0386769162836441,0.30724568991053974,1.1290052118740086,-9.187486094770108,0.04842617879790401,-0.046440962325815,-0.07569065384830101,0.38568433520509693,0.06883326410888851,-0.045534341242193896,-0.16625610788183742,-0.5411196775121495,-0.0008797824736229696,1.3826996479204228,0.07774842682634575
2017,2017-01-31,2017-04-26,74163450.05,9.852769934990484,0.0684059890720722,0.0549769342125502,0.9136888951417332,20.22718984073979,1.1012131686408324,0.0,1.5349936682144365,0.0,1.7094523326572009,7.10689982400722,0.3670909576134504,0.0,Apparel Manufacturing,Consumer Cyclical,15.12,111147876,23608,LAKE,0.046041582893772026,0.05444222243976114,4.875131845841785,0.07944722277015188,0.045171321490317114,0.18245766148768652,1.0192657946401116,-0.049251692862932205,0.7826059552646765,0.0023751428303231265,-0.0026405431269193452,1.68483221662042,-0.03909240752107908,0.006494405206673014,-0.12478802842285322,0.010119356512714063,-0.1351082833229633,-0.42033525228581103,-0.1292488921916715
2018,2018-01-31,2018-04-16,93592522.4,10.845396283762907,0.0177825263670118,0.0052894192245401,1.1220219654744912,244.77164181818185,1.3000908063737324,0.0,1.3929495095412288,0.0,2.881491473166972,-419.0642894941634,0.3771656578495004,-0.8867924528301887,Apparel Manufacturing,Consumer Cyclical,15.12,111147876,23608,LAKE,0.004654557764119707,0.005311443746982134,7.370652278639561,0.08831404252659214,0.004583954077114609,0.14112747464992756,1.015402354783087,-0.0496875149880101,1.172039140509771,-0.04138702512965232,-0.04913077869277901,2.4955204327977762,0.008866819756440256,-0.040587367413202506,-0.041330186837758964,-0.8869766247110198,0.11375793369922142,0.2380604644369797,0.14432468312419003
