Quarters,Year,Quarter,FillingDate,Date,MarketCap,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2019Q1,2020.0,Q1,2020-05-05,2020-03-31,0.0,652504485.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real Estate—Development,Real Estate,LSEA,-0.02389520423068962,-0.02627219578777204,0.015679664263609578,-0.021460801936974944,-0.019252357019699917,0.0994756744547741,1.2411573401760068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11536315999409785,0.0,0.0
2019Q2,2020.0,Q1,2020-05-05,2020-03-31,0.0,652504485.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real Estate—Development,Real Estate,LSEA,-0.02389520423068962,-0.02627219578777204,0.015679664263609578,-0.021460801936974944,-0.019252357019699917,0.0994756744547741,1.2411573401760068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019Q3,2020.0,Q1,2020-05-05,2020-03-31,0.0,652504485.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real Estate—Development,Real Estate,LSEA,-0.02389520423068962,-0.02627219578777204,0.015679664263609578,-0.021460801936974944,-0.019252357019699917,0.0994756744547741,1.2411573401760068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019Q4,2020.0,Q1,2020-05-05,2020-03-31,0.0,652504485.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real Estate—Development,Real Estate,LSEA,-0.02389520423068962,-0.02627219578777204,0.015679664263609578,-0.021460801936974944,-0.019252357019699917,0.0994756744547741,1.2411573401760068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020Q1,2020.0,Q1,2020-05-05,2020-03-31,336968086.05,652504485.5,0.5400997111788025,0.0,0.0,2.472343710701053,-32.1044289300686,0.0,0.0,0.0,0.0,0.0,-35.34753866044267,0.1227264389742837,0.0,Real Estate—Development,Real Estate,LSEA,-0.02389520423068962,-0.02627219578777204,0.015679664263609578,-0.021460801936974944,-0.019252357019699917,0.0994756744547741,1.2411573401760068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020Q2,2020.0,Q2,2020-08-07,2020-06-30,348363142.1,652504485.5,1.080199422357605,0.0,0.0,3.664743021102905,-4.291877859501281,0.0,0.0,0.0,0.0,0.0,-5.273435393581592,0.0603526268173115,-6.692307692307692,Real Estate—Development,Real Estate,LSEA,-0.18478715100958604,-0.2031689774868408,0.015679664263609578,-0.12812177828273263,-0.21346967114814114,0.0994756744547741,0.8656365563113163,0.0,0.0,-0.16089194677889643,-0.17689678169906875,0.0,-0.10666097634575769,-0.19421731412844123,0.0,-6.733231707317073,-0.3025569536666789,-3.163760683760684,-0.6570215818736175
2020Q3,2020.0,Q3,2020-11-09,2020-09-30,343153973.61999995,652504485.5,1.6202991335364074,0.0,0.0,1.5703765547760584,26.943622300565323,0.0,0.0,0.0,0.0,0.0,13.579500341115946,0.1363417949175579,1.161290322580645,Real Estate—Development,Real Estate,LSEA,0.028994790499434354,0.031879066840040465,0.015679664263609578,0.020620821263334203,0.014570948713372415,0.0994756744547741,1.9899040940844526,0.0,0.0,0.21378194150902038,0.23504804432688126,0.0,0.14874259954606683,0.22804061986151355,0.0,1.156909126749458,1.2987754844410782,1.369981115034075,4.193132299111034
2020Q4,2020.0,Q4,2021-03-12,2020-12-31,490973485.5,652504485.5,2.16039884471521,2.4342237605569403,0.0155472978943051,1.7242991293750745,7.003699543893314,4.915758970145144,0.0,0.3520170277354943,0.0,28.830242932166527,10.224978236385065,-2.430283277960792,1.3,Real Estate—Development,Real Estate,LSEA,0.15959432973360216,0.17547008332300984,0.015679664263609578,0.02784185812922757,0.06154958242313987,0.0994756744547741,2.5929392767675687,0.0155472978943051,28.830242932166527,0.1305995392341678,0.14359101648296937,0.0,0.0072210368658933675,0.04697863370976745,0.0,4.504241520100503,0.30304736015962147,0.7593508655126499,-24.226731111334878
2021Q1,2021.0,Q1,2021-05-17,2021-03-31,422990297.32,551733297.3199999,12.55188989827678,0.3235102613668928,-0.0044446255866382,2.636784279418273,-14.923451076771098,0.7616382933148952,0.0,0.1954911193105818,0.0,2.216974689263162,-10.985904924811054,0.1171806332167636,-1.6956521739130437,Real Estate—Development,Real Estate,LSEA,-0.0071754128191392945,-0.012759084500575293,2.0800298391418095,-0.038143860764622645,-0.04417182503319432,0.7758463291973444,0.1624432047746975,-0.0199919234809433,-26.613268242903366,-0.16676974255274146,-0.18822916782358512,2.0643501748782,-0.06598571889385021,-0.10572140745633418,0.6763706547425703,-1.4043250108912697,-0.4366083908716083,-1.7718569283273007,1.027164975418862
2021Q2,2021.0,Q2,2021-08-12,2021-06-30,379002731.67,623559731.67,12.505573242482166,0.3533886053539847,0.0158974903744014,1.514351197767247,8.885097797965114,0.6693015855975812,0.0,0.2366112568531342,0.0,1.2705866712545162,-7.843274940399817,0.1700416343687318,2.4375,Real Estate—Development,Real Estate,LSEA,0.00961743981659766,0.01883213895942896,8.227685064985845,0.08513469237715464,0.04260930020697316,0.9558723285523059,0.22571222174223204,0.0203421159610396,-0.9463880180086459,0.016792852635736953,0.03159122346000426,6.147655225844035,0.12327855314177728,0.08678112524016748,0.18002599935496144,2.504939316963026,0.5601269176344448,4.482104919104429,1.2639110543674859
