Year,Date,FillingDate,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Price,MarketCap,AvgVolume,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2008,2008-12-31,2009-05-08,1783773.0,-15041.65671641791,15.497552401292786,2.0682441285405866,0.0,-0.2196782333206887,-0.3191137845049221,0.0,0.0,0.0,0.0111335696792426,-1.3504566609511146,0.0,-4865.400890868596,Biotechnology,Healthcare,5.15,45313975,893039,MRKR,-83.00814606210663,1.452641801061265,0.01422821444848034,0.0,0.0,-0.2712070260599667,0.0,34.8774086049536,0.13330153621083932,58.00866432019916,12.72611597633519,0.3476756881097316,0.0,0.0,-0.2658559621126708,0.4356959467915365,2.284071791998761,0.0926749745951955,0.0
2009,2009-12-31,2010-04-15,8664676590.0,-0.3835393053016453,0.94693037132492,36.945652733494185,0.0,-970.92539842267,-13766.516044157182,0.0,0.0,0.0,0.1444351058900819,-7724.239252723036,0.0,0.9997510313435064,Biotechnology,Healthcare,5.15,45313975,893039,MRKR,-24.99948174190747,14.178757777396456,0.3619039025582119,0.0,0.0,-0.5370629881726375,0.0,34.8774086049536,0.13330153621083932,58.00866432019916,12.72611597633519,0.3476756881097316,0.0,0.0,-0.2658559621126708,-1.031918919423536,2.284071791998761,-1.3621419837988096,0.0
2010,2010-12-31,2011-04-18,7660935.0,-986.8784680337756,7.8999166902854,1.7498872892511197,0.0,-1.3537909063236906,-2.0671238314322826,0.0,0.0,0.0,0.0072586503908912,-7.31280018939701,0.0,-276.0,Biotechnology,Healthcare,5.15,45313975,893039,MRKR,-42.91577989058085,1.5269151401272854,0.03435694300429458,0.0,0.0,-0.2810738248470812,0.0,-35.195765444243065,-0.13717645549919072,-17.91629814867338,-12.651842637269171,-0.3275469595539173,0.0,0.0,0.2559891633255563,0.4400664952924381,2.284071791998761,0.2677000028983504,0.0
2011,2011-12-31,2012-04-16,7753156.0,-903.016701461378,3.250296873714037,0.4093829335682936,0.0,-9.299804636149997,-1.9933186142482284,0.0,0.0,0.0,0.0661200471928962,-5.265878138772868,0.0,0.8715557974092164,Biotechnology,Healthcare,5.15,45313975,893039,MRKR,-2.180090649359811,0.2143398374735576,0.08101964651636648,0.0,0.0,-0.3195592366112196,0.0,-1.340504355682826,0.058861396802005,40.73568924122104,-1.3125753026537277,0.0466627035120719,0.0,0.0,-0.03848541176413839,0.8515667886710989,2.284071791998761,0.3310035161642324,0.0
2012,2012-12-31,2013-05-15,9265893.0,-1037.8382783882785,13.95397842858788,1.1973479396590845,0.0,-1.655934460176402,-1.3874994110221708,0.0,0.0,0.0,0.0089685865534624,-5.0235831877620445,0.0,-3.4928958925342286,Biotechnology,Healthcare,5.15,45313975,893039,MRKR,-45.5611062065789,0.8378951247106509,0.018058473257389043,0.0,0.0,-0.2566217431731954,0.0,0.7879650060907909,-0.0571514606394338,-43.38101555721909,0.6235552872370933,-0.06296117325897743,0.0,0.0,0.06293749343802418,-5.4015893368280405,2.284071791998761,-1.3599300227505702,0.0
2013,2013-12-31,2014-04-15,5705610.0,-926.164888560262,45.20353878907467,0.6789467038360553,0.0,-0.378753730726248,-0.2591331230155829,0.0,0.0,0.0,0.0054933643563875,-3.271142541640092,0.0,0.2713201471941123,Biotechnology,Healthcare,5.15,45313975,893039,MRKR,-77.87454564336899,0.6841731235721521,0.00870906672500448,0.0,0.0,-0.3971393486065185,0.0,-0.5184012358230292,-0.0034752221970749,-32.31343943679009,-0.15372200113849877,-0.009349406532384563,0.0,0.0,-0.1405176054333231,-0.2634402510186364,2.284071791998761,0.4681043800554027,0.0
2014,2014-12-31,2015-04-15,4241231.773209344,-7.942797728048667,0.2358764613629883,6.501628795704178,0.0,-0.0748919853542247,-4.230247639990528,0.0,0.0,0.0,0.1137295246153303,-1.979856741646916,0.0,0.2919704573430546,Biotechnology,Healthcare,5.15,45313975,893039,MRKR,-257.60854184488164,56.48465079383687,0.1798340496312748,0.0,0.0,-0.0517195565611213,0.0,5.822682091868123,0.1082361602589428,-179.73399620151264,55.80047767026472,0.17112498290627032,0.0,0.0,0.3454197920453972,-8.638496627343455,2.284071791998761,-0.0184441787751153,0.0
2015,2015-12-31,2016-04-14,19844565.05472512,-58.32593167023461,0.0079754812638639,0.5257548417980161,0.0,-0.4255470665731642,-1.2344423966868867,0.0,0.0,0.0,0.2348292882851123,-6.070854000848902,0.0,0.622890894906943,Biotechnology,Healthcare,5.15,45313975,893039,MRKR,-9.324224982608184,2.9008363437388405,0.23728603614339827,0.0,0.0,-0.0024812320543721,0.0,-5.975873953906162,0.12109976366978199,248.28431686227347,-53.58381445009803,0.057451986512123465,0.0,0.0,0.049238324506749205,-0.0716567782875192,2.284071791998761,-0.827081393337797,0.0
2016,2016-12-31,2017-03-14,18886530.2,8.976321828069825,0.0006312021927459,2.001285201897115,0.0,7.464113067488071,4.322483166620503,0.0,0.0,0.0,4.520509210878596,-4.106466606891235,0.0,1.0285477865122052,Biotechnology,Healthcare,5.15,45313975,893039,MRKR,0.45213101434697334,0.5791020483663663,4.560898891930873,0.0,0.0,0.28082796797910675,0.0,1.4755303600990985,4.285679922593483,9.776355996955157,-2.321734295372474,4.3236128557874745,0.0,0.0,0.28330920003347887,1.0578008320043526,2.284071791998761,-0.3788483376571167,0.0
2017,2017-12-31,2018-03-23,31933352.6,3.869608863614246,0.0009651691680955,-2.986507782089613,0.0,-3.597393403207068,10.130222816211685,0.0,0.0,0.0,3.3694071911671197,-4.391013939690455,0.0,-3.256728778467909,Biotechnology,Healthcare,5.15,45313975,893039,MRKR,-1.9884893925012919,-2.8159897127683102,3.403007399271634,0.0,0.0,0.4161452021758676,0.0,-4.987792983986727,-1.1511020197114763,-2.4406204068482653,-3.3950917611346765,-1.157891492659239,0.0,0.0,0.13531723419676084,-3.876232826014301,2.284071791998761,-0.3733792464652262,0.0
2018,2018-12-31,2019-03-15,44213408.0,31.08159786967471,0.0,-2.4933562720488207,514.384671398196,-0.7171866328656301,1.7856224841693071,0.0,0.0,0.0,22.062898687816823,-7.243858999544969,1.0,-6.1,Biotechnology,Healthcare,5.15,45313975,893039,MRKR,-2.377437081528462,-2.4897598509812937,22.113447416367407,-719.3007223511364,-717.2256813305241,0.04724531737370708,0.003314768480010479,0.4931515100407924,18.693491496649703,-0.3889476890271699,0.3262298617870165,18.710440017095774,-719.3007223511364,-717.2256813305241,-0.3688998848021605,-13.34235803273545,2.284071791998761,-11.70430303900179,0.0
2019,2019-12-31,2020-03-12,87873092.4,9.670633523538022,0.0104483714825436,-0.4739206197486423,615.8365732619117,-6.464713856167687,2.978088243123028,0.0,0.0,0.0,22.059350304996155,-7.03632136638099,1.0,0.9424990308825428,Biotechnology,Healthcare,5.15,45313975,893039,MRKR,-0.43808102981405106,-0.46066822281418845,22.825324215229536,-105.67279566967176,-95.26122686379541,0.0515593953240222,0.004598733863048181,2.0194356523001784,-0.003548382820667939,1.9393560517144106,2.029091628167105,0.7118767988621286,613.6279266814647,621.9644544667287,0.004314077950315118,0.8625386053259747,0.03495247434391293,0.8479546621450814,0.03495247434391293
2020,2020-12-31,2021-03-09,59112647.0,5.813064282079071,0.2687116455476143,-0.5529171404923904,146.12251250575747,-2.393648425454166,2.4943814993929507,0.0,0.0,0.0,3.4916639096304447,-2.328898517999679,1.0,-0.3617977528089886,Biotechnology,Healthcare,5.15,45313975,893039,MRKR,-0.6246945866162122,-1.0420834876448792,3.8131240235171284,-61.88247694334651,-61.045937637241984,0.6681487401540335,0.010233188493694428,-0.07899652074374808,-18.567686395365712,-0.18661355680216118,-0.5814152648306907,-19.012200191712406,43.790318726325246,34.21528922655343,0.6165893448300113,-0.4030802513274577,1.1894846946912203,-0.282172344153525,1.1894846946912203
2021,2021-12-31,2022-03-17,42212982.634,5.749324853961804,0.1741897212677383,-0.616357140719052,58.54481934912339,-1.6417367433016272,1.6527157955689813,0.0,0.0,0.0,3.282648517171024,-2.390448727127277,1.0,0.0445544554455444,Biotechnology,Healthcare,5.15,45313975,893039,MRKR,-0.6498812639012349,-1.0066874621111752,3.5640727665406176,-31.79324882621546,-35.660296687632375,0.5490329049771863,0.018224224817698313,-0.06344000022666163,-0.2090153924594209,-0.025186677285022663,0.03539602553370402,-0.24905125697651087,30.08922811713105,25.38564094960961,-0.1191158351768472,-0.5539300688168952,1.6601326092312307,-0.3666915439316713,1.6601326092312307
2022,2022-12-31,2023-03-22,18039680.977,2.3471476420257544,0.2212682379479466,-0.8592350214315126,2.466016213727979,-0.742265348703461,1.1328643977867088,0.0,0.0,0.0,1.822735047853269,-0.6957143815378555,1.0,0.3816925734024179,Biotechnology,Healthcare,5.15,45313975,893039,MRKR,-0.8690792251880357,-1.5262256277563273,2.1356544474427475,-3.3256353191116026,-3.3222838948840194,0.7561409633582141,0.2615908973120358,-0.24287788071246064,-1.459913469317755,-0.2191979612868008,-0.5195381656451521,-1.42841831909787,28.46761350710386,32.33801279274836,0.20710805838102786,0.3243953042459795,6.251717389728681,0.2414563353584699,6.251717389728681
