Year,Date,FillingDate,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Price,MarketCap,AvgVolume,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2008,2008-12-31,2009-04-15,1615200.0,-9.347038772901575,1.2513966480446927,-135.52118949758517,0.1933809393023894,-0.2373104145601617,-1.3373219373219372,0.0,0.0,0.0,0.0165853658536585,-0.0907930367504835,-1.1229057951112331,1.1332671940761043,Electronic Components,Technology,4.375,67197813,75439,NEON,-33.150837988826815,5.635327635327635,0.06146341463414634,-2.9339467179346332,-0.8148860203240867,-0.2127255460588794,40.68156424581006,138.364002012079,-0.004993562914308499,-63.33935808960455,-2.479491808051021,-0.033932882653190014,2.9339467179346332,0.8148860203240867,0.14709921001783627,0.8775004644825665,0.960529274226372,-1.884789000704021,-11.033128834355828
2009,2009-12-31,2010-03-29,5230020.0,-4.724279037450868,2.0065359477124183,2.8428125144938354,0.0,-0.3353667953667953,-1.0583625480974777,0.0,0.0,0.0,0.01159180293935,-2.684934924078091,0.0,-1.057214121258634,Electronic Components,Technology,4.375,67197813,75439,NEON,-96.49019607843137,3.155835827276614,0.027530531980956324,0.0,0.0,-0.0656263360410431,0.0,138.364002012079,-0.004993562914308499,-63.33935808960455,-2.479491808051021,-0.033932882653190014,2.9339467179346332,0.8148860203240867,0.14709921001783627,-1.487866531850354,-1.0,0.5610109992979172,1.0
2010,2010-12-31,2011-03-31,40591750.0,-5.392226534740065,7.585931254996003,24.16004529224317,72.75625,-1.012228862328464,-3.245412611516626,0.0,0.0,0.0,0.0955465587044534,-9.975927080087256,0.3909090909090909,-0.1596244131455398,Electronic Components,Technology,4.375,67197813,75439,NEON,-25.280575539568346,3.206204379562044,0.11039136302294197,-20.506818181818183,-71.87727272727273,-0.9620843471208436,0.3517186250999201,21.317232777749332,0.0839547557651034,71.20962053886302,0.050368552285430024,0.08286083104198565,-20.506818181818183,-71.87727272727273,-0.8964580110798005,-1.1422475106685632,0.960529274226372,0.0379571382876639,0.0
2011,2011-12-31,2012-03-30,114284000.0,5.104913381123058,0.0,-0.1501749094052599,20.96983682215263,-7.420472440944882,9.30476120822058,0.0,0.0,0.0,5.550440081245768,-35.666947014297726,0.8503378935223339,0.6298438403701562,Electronic Components,Technology,4.375,67197813,75439,NEON,-1.0311541468695495,-1.2539311050976376,5.592078537576168,-0.3369045656832042,-2.8259436294709084,0.21604622248226432,0.36488843447404823,-24.310220201648427,5.454893522541315,24.249421392698796,-4.4601354846596815,5.481687174553226,20.169913616134977,69.05132909780181,1.178130569603108,0.4578827546955037,12.788636363636364,0.773467804499612,28.99418604651163
2012,2012-12-31,2013-03-14,151297580.0,2.4543223343332423,0.0,-1.1465432098765431,22.473669609079444,-17.27087111015398,19.8018,0.0,0.0,0.0,2.808259587020649,-39.56452392698569,0.7947316799775817,0.5609375,Electronic Components,Technology,4.375,67197813,75439,NEON,-0.7632314266929652,-1.1465432098765431,2.893313667649951,-1.2837326607818411,-1.301247022558498,0.5022222222222222,0.5865384615384616,-0.9963683004712832,-2.7421804942251193,0.26792272017658436,0.10738789522109449,-2.6987648699262174,-0.946828095098637,1.5246966069124104,0.2861759997399579,0.4583260425780111,0.17636393604746992,-3.4823874755381605,0.09943787555727854
2013,2013-12-31,2014-03-06,214066120.0,1.8000340271082629,0.0,-2.060491493383743,59.96263653483992,-17.039840978593276,35.110447385003155,0.0,2.2309782608695654,0.0,1.9586179972672264,-24.886234926306383,0.5582458972289481,-0.3202846975088967,Electronic Components,Technology,4.375,67197813,75439,NEON,-1.1402667596547815,-2.060491493383743,2.1737263322272105,-3.4896421845574386,-3.518966908797417,0.8070258349086327,0.3240345218376776,-0.9139482835071999,-0.8496415897534226,-0.37703533296181635,-0.9139482835071999,-0.7195873354227404,-2.2059095237755972,-2.2177198862389194,0.30480361268641043,-0.4084203725637989,-0.4791929382093317,-0.4157389216328312,-0.6341678420310296
2014,2014-12-31,2015-03-12,127917160.0,0.82717798239401,0.0497558707277377,-3.4425527328570604,28.189485232067508,-9.387253056062947,40.86182262996941,0.0,0.0,0.0,1.4847935548841893,-11.191738001507662,0.6816455696202531,0.0296495956873315,Electronic Components,Technology,4.375,67197813,75439,NEON,-1.6547314578005115,-4.352905198776758,1.6008056394763344,-2.993881856540084,-3.0029535864978905,1.6305810397553517,0.5510346431062544,-1.3820612394733174,-0.4738244423830371,-0.5144646981457299,-2.2924137053930154,-0.5729206927508761,0.49576032801735437,0.5160133222995267,0.8235552048467191,-0.0882262996941896,0.27522195318805487,-0.0940559710122581,0.5571084337349398
2015,2015-12-31,2016-03-11,101499060.0,0.4477937964176496,0.0573646026657668,-3.084533635487031,9.378412955465588,-13.304538608806636,56.499219512195126,0.0,23.924050632911392,0.0,1.2503279979008135,-12.618455392809588,0.659919028340081,0.4722222222222222,Electronic Components,Technology,4.375,67197813,75439,NEON,-1.321916652606715,-4.246612466124661,1.3993702440304383,-0.6923976608187135,-0.7049032838506523,2.218970189701897,1.8753163489117597,0.35801909737002946,-0.2344655569833758,0.33281480519379647,0.10629273265209704,-0.20143539544589606,2.301484195721371,2.2980503026472383,0.5883891499465452,0.4495573977799634,1.3449367088607596,0.4576844478895074,1.2701949860724233
2016,2016-12-31,2017-03-15,81781600.0,0.985992558546728,0.1224363598886942,-0.799507569614919,8.231626358562616,-15.889170289170288,18.66139844617092,0.0,1.922413793103448,0.0,1.1438802083333333,-11.613427268959802,0.868990502300989,0.3473684210526315,Electronic Components,Technology,4.375,67197813,75439,NEON,-0.545295269504277,-1.174472807991121,1.6642795138888888,-0.5036717908547929,-0.5180652110055811,1.2359600443951166,1.052561063588581,2.285026065872112,-0.10644778956748024,0.776621383102438,3.0721396581335405,0.26490926985845054,0.1887258699639206,0.18683807284507115,-0.9830101453067803,0.3246968730057434,-0.08115159694107063,0.3316008316008316,0.20995228357191548
2017,2017-12-31,2018-03-08,35754815.9,1.7060258276768323,0.171326274091567,-0.4009138836202021,3.837693184259349,-8.353202104144527,4.355737105175662,0.0,2.030329289428076,0.0,1.993301702483952,-6.301397450697451,0.7712137486573577,0.1612903225806451,Electronic Components,Technology,4.375,67197813,75439,NEON,-0.3584215738554125,-0.5214451956112158,2.7343008651967624,-0.534713406893858,-0.4594277902548579,0.5833979829325058,0.7801477870038851,0.3985936859947169,0.8494214941506188,0.18687369564886447,0.6530276123799053,1.0700213513078736,-0.03104161603906519,0.0586374207507232,-0.6525620614626109,0.1107541107541107,0.0027416038382453737,-0.0645412130637636,-0.11008450704225352
