Year,Date,FillingDate,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Price,MarketCap,AvgVolume,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2012,2012-05-31,2012-08-15,16454234000.0,0.0,0.834300110744469,-0.0089914717894623,0.0,0.0,0.0,0.0,0.0,0.0,0.082250478729404,0.0,1.0,0.0,0.0,Industrials,24.33,0,25785,NRUC,-0.007719333067185729,-0.3187557822101444,0.08225047872940405,-0.7601251110787567,-0.7732135774639401,40.2931764228635,0.00998344221075933,0.0089914717894623,-0.082250478729404,0.007719333067185729,0.3187557822101444,-0.08225047872940405,0.7601251110787567,0.7732135774639401,-40.2931764228635,0.0,-0.06009795342094981,0.0,0.0
2013,2013-06-13,2013-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Industrials,24.33,0,25785,NRUC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0089914717894623,-0.082250478729404,0.007719333067185729,0.3187557822101444,-0.08225047872940405,0.7601251110787567,0.7732135774639401,-40.2931764228635,1.0,-1.0,1.0,-1.0
2014,2014-05-31,2014-08-28,18364610000.0,0.0,0.8412513471684533,0.0426383001372869,0.0,0.0,0.0,0.0,0.0,0.0,0.0618382622227853,0.0,1.0,0.0,0.0,Industrials,24.33,0,25785,NRUC,0.008373865518978023,0.19731499665619895,0.061838262222785344,2.7955362596364957,0.6146689337537349,22.56319148056727,0.013623375217353972,0.0426383001372869,0.0618382622227853,0.008373865518978023,0.19731499665619895,0.061838262222785344,2.7955362596364957,0.6146689337537349,22.56319148056727,0.0,-0.06009795342094981,0.0,0.0
2015,2015-05-31,2015-08-26,19166458000.0,0.0,0.8480838574716519,0.0310690503136681,0.0,0.0,0.0,0.0,0.0,0.0,0.1658073013327056,0.0,1.0,0.0,0.0,Industrials,24.33,0,25785,NRUC,-0.0008267545765913181,-0.021402837427995685,0.16580730133270566,1.9447732687871109,-0.0596516773193147,24.887776172027834,0.013859703762657181,-0.011569249823618802,0.10396903910992031,-0.009200620095569342,-0.21871783408419462,0.10396903910992031,-0.8507629908493848,-0.6743206110730495,2.324584691460565,-1.1016629604563473,0.04756590785281543,-0.2712388659377414,0.04756590785281543
2016,2016-05-31,2016-08-25,20207911000.0,0.0,0.8410499707460177,0.0298510660980543,0.0,0.0,0.0,0.0,0.0,0.0,0.1344663245953022,0.0,1.0,0.0,0.0,Industrials,24.33,0,25785,NRUC,-0.002122603027581149,-0.06510365326579821,0.13446632459530228,1.9113686794483442,-0.1557381509495565,29.671610480075625,0.013629306721823472,-0.0012179842156137995,-0.03134097673740341,-0.001295848450989831,-0.043700815837802526,-0.03134097673740338,-0.033404589338766666,-0.09608647363024181,4.7838343080477905,-1.7218259629101285,0.04252864868953519,0.0246215528124448,0.04252864868953519
2017,2017-05-31,2017-08-01,21131879000.0,0.0,0.844987473464327,0.0468350866511911,0.0,0.0,0.0,0.0,0.0,0.0,0.1084799196458047,0.0,1.0,0.0,0.0,Industrials,24.33,0,25785,NRUC,0.012382084173685848,0.291694121143639,0.1084799196458047,3.5719304432749173,1.0583358200857251,22.557756275275644,0.011699579602892871,0.0169840205531368,-0.0259864049494975,0.014504687201266998,0.3567977744094372,-0.025986404949497582,1.660561763826573,1.2140739710352817,-7.113854204799981,7.0582925692988585,-0.10849915050818354,0.6660203019672474,-0.10849915050818354
2018,2018-05-31,2018-07-31,22279871000.0,0.0,0.8434131863510672,0.0518635080748211,0.0,0.0,0.0,0.0,0.0,0.0,0.2504698452320225,0.0,1.0,0.0,0.0,Industrials,24.33,0,25785,NRUC,0.017136024887632932,0.3102175695721387,0.2504698452320225,4.3925838480511,1.6069172446262059,17.10323990577434,0.010663912497633963,0.005028421423630004,0.14198992558621779,0.004753940713947084,0.018523448428499678,0.14198992558621779,0.8206534047761824,0.5485814245404808,-5.454516369501302,0.46544525935680664,-0.03483940100916933,0.18690689116986978,-0.03483940100916933
2019,2019-05-31,2019-07-31,22640597000.0,0.0,0.8412552003047297,0.0285595350267344,0.0,0.0,0.0,0.0,0.0,0.0,0.2631148357141785,0.0,1.0,0.0,0.0,Industrials,24.33,0,25785,NRUC,-0.005574691277645064,-0.11843491405812483,0.26311483571417854,2.2947529060545446,-0.5049405431759061,20.24510724621789,0.011040292472024791,-0.023303973048086703,0.012644990482156004,-0.022710716165277995,-0.42865248363026354,0.01264499048215606,-2.097830941996555,-2.111857787802112,3.14186734044355,-1.3306119414733122,0.05213581522159215,-0.45034817704958946,0.05213581522159215
2020,2020-05-31,2020-08-05,23002637000.0,0.0,0.8407678493962821,0.0096389623644318,0.0,0.0,0.0,0.0,0.0,0.0,0.2112032250804218,0.0,1.0,0.0,0.0,Industrials,24.33,0,25785,NRUC,-0.020933243434588987,-0.941399505846314,0.21120322508042183,0.7107544889868775,-1.7850858729788581,43.97150710485673,0.011726743094805116,-0.0189205726623026,-0.05191161063375668,-0.015358552156943924,-0.8229645917881893,-0.05191161063375671,-1.583998417067667,-1.2801453298029521,23.726399858638835,-2.8980887507439985,0.10263773913798457,-0.6584796904490613,0.10263773913798457
2021,2021-05-31,2021-07-30,24890156000.0,0.0,65.08733540942511,0.0571117751331718,0.0,0.0,0.0,0.0,0.0,0.0,0.0869616734875878,0.0,1.0,0.0,0.0,Industrials,24.33,0,25785,NRUC,2.108759642843298,0.5934580798692023,0.06368320249049596,3.4951749498808447,1.8824362638909076,20.53785597709877,1.1202289731098736,0.04747281276874,-0.124241551592834,2.129692886277887,1.5348575857155162,-0.14752002258992586,2.7844204608939673,3.6675221368697657,-23.433651127757958,2.384344196936023,0.3127526900607819,5.455534771548731,0.3127526900607819
2022,2022-05-31,2022-08-08,26373056.0,0.0,0.8495586373885768,39.82905114852547,0.0,0.0,0.0,0.0,0.0,0.0,0.1720969400252592,0.0,1.0,0.0,0.0,Industrials,24.33,0,25785,NRUC,25.574473419248907,377.63510647303264,0.1720969400252592,2.5223801175530247,1.7631562678018644,13.766095093430211,14.504938607133631,39.7719393733923,0.08513526653767138,23.465713776405607,377.0416483931634,0.10841373753476323,-0.9727948323278199,-0.11927999608904316,-6.771760883668557,-0.02136955344165378,0.044836169766095224,-0.24596793622359234,0.044836169766095224
