Year,Date,FillingDate,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Price,MarketCap,AvgVolume,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2009,2009-06-30,2009-06-30,73145075.0036576,418.75,0.0,-4.567164179104478,0.0,-9562.09150374609,43671.64179322842,0.0,0.0,0.0,1.515384615384615,-88666.66667110012,0.0,0.0,Medical Devices,Healthcare,2.29,48530138,104945,NSPR,-1.5532994923857868,-4.567164179104478,1.5153846153846153,0.0,0.0,1.9402985074626866,0.0,18.018706986579488,-0.7944628446144514,-6.513995258623634,25.40679912043433,-0.7944628446144516,0.0,0.0,-1.9402985074626866,0.0,0.040204219277146264,0.0,0.0
2010,2010-06-30,2010-08-17,128006556.0064008,-328.7142857142857,0.0,13.451542807475011,0.0,-2669.59668014683,-55633.42025484606,0.0,0.0,0.0,0.7209217707701637,-6744.244244581465,0.0,-2.581850980392157,Medical Devices,Healthcare,2.29,48530138,104945,NSPR,-8.06729475100942,20.83963494132985,0.7209217707701637,0.0,0.0,0.0,0.0,18.018706986579488,-0.7944628446144514,-6.513995258623634,25.40679912043433,-0.7944628446144516,0.0,0.0,-1.9402985074626866,-5.268235294117647,0.040204219277146264,-3.046013071895425,0.0
2011,2011-12-31,2012-03-13,114449995005722.4,3.377,0.0089823220258002,-2.005092377995731,19062291.806416124,-7804295.943110973,16945513.770465266,0.0,1.386918470750806,0.0,2.178436501017146,-18633995.442156043,0.4985009993337775,0.9989299723077416,Medical Devices,Healthcare,2.29,48530138,104945,NSPR,-1.4013377926421404,-2.171305892804264,2.856727695437373,-2.2866422385076617,-2.4425383077948033,0.5494521764880071,0.5737219302436694,-15.456635185470741,1.4575147302469822,6.66595695836728,-23.010940834134114,2.135805924667209,-2.2866422385076617,-2.4425383077948033,0.5494521764880071,-304.82665999332664,0.040204219277146264,-886.1155337296459,0.0
2012,2012-06-30,2012-06-30,53117919736655.8,2.821372446306967,0.31335081803422,-1.6877133548156718,9930440.269705702,-3018578.4510232317,9862221.50067876,0.0,1.5766463752075264,0.0,3.451830985915493,-5988492.108529402,0.4673770798280052,-0.2578444747612552,Medical Devices,Healthcare,2.29,48530138,104945,NSPR,-1.098851005370301,-3.26717415521723,4.030704225352113,-3.280052346232941,-3.2897737894933634,1.9732640178239882,0.3340202322967403,0.3173790231800593,1.273394484898347,0.30248678727183953,-1.0958682624129659,1.1739765299147402,-0.9934101077252793,-0.8472354816985601,1.423811841335981,-0.1999318104330037,-0.10909393737508327,-0.2779517809017408,-0.16471767457400602
2013,2013-06-30,2013-09-17,75672750.0,3220400.0,0.4711496746203905,-0.5826682072157416,16.564487995074902,-2.7588608243899104,5.012964228046205,0.0,1.433145009416196,0.0,4.14172644076181,-7.686035993144163,0.5315001026061974,-634662.7744034707,Medical Devices,Healthcare,2.29,48530138,104945,NSPR,-1.4103639431188237,-1.817041361321575,4.675983180806332,-3.093166427252206,-6.004104247896573,0.2883492733821886,0.2348999758978067,1.10504514759993,0.6898954548463174,-0.31151293774852284,1.450132793895655,0.6452789554542191,0.1868859189807348,-2.71433045840321,-1.6849147444417996,-0.6626697732568051,-0.0889885959992522,0.1408948418352807,0.036
2014,2014-12-31,2015-03-12,33209062.5,-464500.0,0.7762457457020683,-3.881685887333424,10.86375532292406,-1.219926778242678,-10.984593649085038,0.0,1.0571725571725572,0.0,0.8396081671190841,-1.570354578096948,0.2782114975159688,0.285238225442614,Medical Devices,Healthcare,2.29,48530138,104945,NSPR,-2.189981673793525,9.004305705059203,1.1056296471143632,-8.409510290986516,-8.905251951738823,-3.191603875134553,0.24592023736800767,-3.2990176801176823,-3.3021182736427264,-0.7796177306747012,10.821347066380778,-3.5703535336919687,-5.31634386373431,-2.9011477038422493,-3.4799531485167416,0.1422858705311367,-0.4217114713728709,-0.5722152192662376,-0.6972972972972973
2015,2015-12-31,2016-03-28,8428500.0,-267818.1818181818,0.9229837313949464,-6.069844420472045,2.75,-0.4076034648700674,-2.1563136456211813,0.0,3.460823373173971,0.0,0.5497904321433733,-0.547063382707544,-0.1281385281385281,0.6612508834429169,Medical Devices,Healthcare,2.29,48530138,104945,NSPR,-2.69730010384216,5.290224032586558,0.6694609047550224,-6.270562770562771,-6.746753246753247,-1.8102511880515957,0.39979231568016615,-2.1881585331386213,-0.28981773497571084,-0.5073184300486351,-3.714081672472645,-0.4361687423593408,2.138947520423745,2.1584987049855755,1.3813526870829573,0.3789599521817095,-0.18026969481902058,0.3887669845556587,-1.3775510204081634
2016,2016-12-31,2017-02-16,-1161000.0,72232.14285714286,0.2848034006376195,-1.137383497236064,1.940337909186906,-0.434345822006855,0.9085290482076638,0.0,3.584,0.0,1.6804102134784429,-0.4871420996818664,0.0538542766631467,0.8933601416661663,Medical Devices,Healthcare,2.29,48530138,104945,NSPR,-0.8991498405951116,-2.091718170580964,1.7986605274173295,-4.038014783526927,-4.467265047518479,1.3263288009888752,0.20127523910733264,4.932460923235982,1.1306197813350696,1.7981502632470483,-7.381942203167522,1.1291996226623071,2.2325479870358436,2.279488199234768,3.136579989040471,0.4571061918511389,-0.1800865800865801,0.4720055229547808,1.3445945945945943
2017,2017-12-31,2018-02-13,6663139000.0,1.378665318503539,0.0,-3.028392150830824,2414.6501267656645,-790.0982460298649,2444.755775577558,0.0,4.082551594746716,0.0,1.837228041901692,-794.7131958517106,0.211879753712423,0.9999717385659832,Medical Devices,Healthcare,2.29,48530138,104945,NSPR,-1.3816931390207958,-3.094242757609094,2.0769540692989525,-2.981528431727635,-3.0561390800434625,1.2394572790612395,0.45210414278696576,-1.8910086535947601,0.1568178284232491,-0.4825432984256842,-1.0025245870281299,0.27829354188162303,1.0564863517992924,1.4111259674750167,-0.0868715219276357,0.0027183548043966,0.45776135163674764,-0.0763598326359832,4.735294117647059
2018,2018-12-31,2019-02-19,-5717104.425000001,284.79963599727,0.0,-0.8240315887429758,1.0182992432657594,-0.5338325192895618,0.4184520797672029,0.0,2.2980599647266318,0.0,3.4945205479452053,-0.4778959435683565,0.2763121355179117,-51.28103044496488,Medical Devices,Healthcare,2.29,48530138,104945,NSPR,-0.5590006510416666,-0.7838639735250486,3.9106164383561643,-2.113579561232991,-1.907525687309081,0.40225950017117423,0.2930501302083333,2.204360562087848,1.6572925060435133,0.8226924879791292,2.3103787840840457,1.8336623690572118,0.8679488704946441,1.1486133927343816,-0.8371977788900653,0.1859445366200521,0.30423759507424847,0.0754373177842565,0.7008547008547008
2019,2019-12-31,2020-03-10,-2603837.8000000003,38.634618283081295,0.1027327935222672,-1.395478764256583,0.6066009674818597,-0.224816952191235,0.4193130596321753,0.0,2.3988673139158574,0.0,2.0825040128410914,-0.2236142460867842,0.2031711905401773,0.6772083855939796,Medical Devices,Healthcare,2.29,48530138,104945,NSPR,-1.0161943319838056,-1.8651309678617871,2.507223113964687,-2.6380005374899222,-2.6981994087610857,0.8354077651866989,0.3766194331983806,-0.5714471755136071,-1.4120165351041138,-0.45719368094213897,-1.0812669943367386,-1.4033933243914776,-0.5244209762569314,-0.7906737214520048,0.43314826501552467,-0.4616392487989518,0.03332407664537628,-0.2897122585731178,-0.24020100502512562
2020,2020-12-31,2021-03-08,-3912143.1735,8.041977230156059,0.0786971930021938,-0.7131336638237334,3.112216026760564,-0.7334841451536419,0.6358510915481378,0.0,1.6975265017667844,0.0,3.668016194331984,-0.8434787682953431,0.0334004024144869,0.9032750485706356,Medical Devices,Healthcare,2.29,48530138,104945,NSPR,-0.5931259492602802,-0.8668913919263339,4.140080971659919,-4.177062374245473,-4.243058350100604,0.46156375894105073,0.13978736569724926,0.6823451004328495,1.5855121814908926,0.4230683827235254,0.9982395759354532,1.6328578576952322,-1.5390618367555509,-1.5448589413395184,-0.3738440062456482,-0.050199203187251,-0.33216877183552806,-0.0574572127139364,-0.8902116402116402
2021,2021-12-31,2022-03-07,11381986.44,4.564647369692059,0.0302427477840451,-0.4107676567637425,4.935480854282536,-1.4871287330741387,0.6616064189430991,0.0,3.272965879265092,0.0,8.15021854152289,-1.6367851881363435,0.1677419354838709,0.7087517934002869,Medical Devices,Healthcare,2.29,48530138,104945,NSPR,-0.37565471394037064,-0.4448884647500895,8.533241315850011,-3.2738598442714126,-3.3187986651835373,0.18430156268638911,0.11318996776792908,0.30236600705999095,4.482202347190905,0.21747123531990953,0.42200292717624444,4.393160344190092,0.9032025299740605,0.9242596849170668,-0.27726219625466164,-0.4148330804248862,0.8088531187122736,-0.4177263969171483,8.08433734939759
2022,2022-12-31,2023-03-30,3747824.133,2.209528832871305,0.0654687056342027,-0.9276991949634532,1.3084169663508027,-0.3658982279487318,0.3889969604438568,0.0,2.500925354719309,0.0,3.757396449704142,-0.422467944614424,0.2160123767163024,-0.1576354679802957,Medical Devices,Healthcare,2.29,48530138,104945,NSPR,-0.7500507037683041,-1.0631288449376186,4.2063116370808675,-3.6188358151228,-3.575904080448656,0.4174093025929972,0.20975134872023687,-0.5169315381997107,-4.392822091818747,-0.37439598982793343,-0.6182403801875291,-4.326929678769144,-0.34497597085138754,-0.2571054152651189,0.23310773990660807,-0.2395093176028958,0.15038932146829811,-0.2716091329165534,0.48143236074270557
