Quarters,Year,Quarter,FillingDate,Date,MarketCap,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2018Q2,2018,Q2,2018-04-30,2018-04-30,0.0,558199.0,0.0,0.0002609911135092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asset Management,Financial Services,NUV,0.0,0.0,0.0,0,0,0.032505087714209645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00854501845740107,0.0,,0.0,0.0
2018Q4,2018,Q4,2018-10-31,2018-10-31,0.0,-1439498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asset Management,Financial Services,NUV,0.0,0.0,0.0,0,0,0.041050106171610715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00854501845740107,0.0,,0.0,0.0
2019Q2,2019,Q2,2019-04-30,2019-04-30,0.0,-588442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asset Management,Financial Services,NUV,0.0,0.0,0.0,0,0,0.022155811751559645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01889429442005107,0.0,,0.0,0.0
2019Q4,2019,Q4,2019-10-31,2019-10-31,0.0,7965272.0,0.0,0.003561487832531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asset Management,Financial Services,NUV,0.0,0.0,0.0,0,0,0.022670369372413124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005145576208534786,0.0,,0.0,0.0
2020Q2,2020,Q2,2020-04-30,2020-04-30,0.0,-347757.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asset Management,Financial Services,NUV,0.0,0.0,0.0,0,0,0.02052963297758381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021407363948293123,0.0,,0.0,0.0
2020Q4,2020,Q4,2020-10-31,2020-10-31,0.0,277542.0,0.0,0.0001253617627287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asset Management,Financial Services,NUV,0.0,0.0,0.0,0,0,0.019724865009491003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008047679680928087,0.0,,0.0,0.0
2021Q2,2021,Q2,2021-04-30,2021-04-30,0.0,2192645.0,0.0,0.0009644843170971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asset Management,Financial Services,NUV,0.0,0.0,0.0,0,0,0.023582633381937362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038577683724463595,0.0,,0.0,0.0
2021Q4,2021,Q4,2021-10-31,2021-10-31,0.0,-965494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.942801351343165,0.0,0.0,0.0,Asset Management,Financial Services,NUV,0.0,0.0,3.942801351343165,0,0,0.01992379490629426,0.0,0.0,3.942801351343165,0.0,0.0,3.942801351343165,0.0,0.0,-0.0036588384756431024,0.0,,0.0,0.0
2022Q2,2022,Q2,2022-04-30,2022-04-30,0.0,-371966.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.846095956032296,0.0,0.0,0.0,Asset Management,Financial Services,NUV,0.0,0.0,5.846095956032296,0,0,0.014457386595348431,0.0,0.0,1.903294604689131,0.0,0.0,1.903294604689131,0.0,0.0,-0.005466408310945829,0.0,,0.0,0.0
2022Q4,2022,Q4,2022-10-31,2022-10-31,0.0,-398638.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0343149757105765,0.0,0.0,0.0,Asset Management,Financial Services,NUV,0.0,0.0,5.0343149757105765,0,0,0.016312804412324085,0.0,0.0,-0.8117809803217195,0.0,0.0,-0.8117809803217195,0.0,0.0,0.0018554178169756536,0.0,,0.0,0.0
