Year,Date,FillingDate,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Price,MarketCap,AvgVolume,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2008,2008-12-31,2009-03-12,598877588.3512001,145.46859278080575,0.2025561078314146,0.0,0.7042468389345862,19.34361714300385,0.570238554001777,0.0,0.0,0.0,0.176991144018583,3.0502053980303634,0.0,-0.5000000574715484,Mortgage Finance,Financial Services,30.035,229477312,43250,OCN,0.008005765831461136,0.029479416894270954,1.5910169860627177,0.0,0.03640719487612979,2.681605186087071,0.2198951569517947,0.0,0.033050062946723385,-0.007837907578430362,-0.029136306651910356,0.5998948842018044,0.0,-0.03562711040637711,-1.6378488105326936,-0.5357929372749177,0.11299102931131114,0.0,0.0
2009,2009-12-31,2010-03-08,966298372.3,165.92675316370529,0.1742685166869189,0.0,1.9669563896009752,2521.4659,0.8651407760529847,0.0,0.0,0.0,0.2100412069653064,3.886123205417608,0.0,-0.986912308868664,Mortgage Finance,Financial Services,30.035,229477312,43250,OCN,0.00016785825303077402,0.0003431102423605985,2.190911870264522,0.0,0.0007800844697526843,1.0437563755543773,0.2151795857235708,0.0,0.033050062946723385,-0.007837907578430362,-0.029136306651910356,0.5998948842018044,0.0,-0.03562711040637711,-1.6378488105326936,-0.9834235642127588,-0.22636387281357695,0.0,0.0
2010,2010-12-31,2011-02-28,1220146334.8,135.31540000251312,0.1339531712266238,0.0,2.659725952761597,25.184560204296545,1.0575292981977091,0.0,0.0,0.0,0.121386650261458,5.580636199654641,0.0,93.85090756127272,Mortgage Finance,Financial Services,30.035,229477312,43250,OCN,0.013001945294205638,0.04199117592759441,1.7893565056905567,0.0,0.10560938651244908,2.229335231839181,0.12311353870683632,0.0,-0.08865455670384839,0.012834087041174865,0.04164806568523381,-0.40155536457396535,0.0,0.1048293020426964,1.1855788562848038,126.89225589225589,-0.055322960223571686,0.0,0.0
2011,2011-12-31,2012-02-29,2045281541.2,192.805803101431,0.142753554505371,0.0,3.0559742261462404,19.31891002540501,1.1265221093253903,0.0,0.0,0.0,0.0836900206064174,1.546799514270849,0.0,0.9722222685187498,Mortgage Finance,Financial Services,30.035,229477312,43250,OCN,0.016535445204792665,0.05831188756736154,0.08369002060641743,0.0,0.15818564412420433,2.5264782317720913,0.10453189539633159,0.0,-0.0376966296550406,0.0035334999105870266,0.01632071163976713,-1.7056664850841392,0.0,0.052576257611755245,0.29714299993291027,1.0622104043807918,0.3767922928280483,0.0,0.0
2012,2012-12-31,2013-03-01,6447796392.900001,197.67945396913868,0.3589399426856905,0.0889328793990543,5.481690535806847,25.602391033201968,2.6247037291037936,0.0,0.0,0.0,0.6115522918872351,2.865314316175079,0.7903991214263567,0.8450704026977789,Mortgage Finance,Financial Services,30.035,229477312,43250,OCN,0.031898230604938536,0.10251791427214735,6.750408265341704,0.5693225846917064,0.2141085388742802,2.2139059856277843,0.14898159023759663,0.0889328793990543,0.5278622712808178,0.015362785400145872,0.04420602670478581,6.666718244735287,0.5693225846917064,0.05592289475007586,-0.312572246144307,1.3097241194418556,0.7064485120682413,0.0,0.0
2013,2013-12-31,2014-03-03,12106307519.25,205.26605618793772,0.6047207373342122,0.097713455419535,3.6910597938794254,25.576791079520923,4.05205816999994,0.0173891463170026,0.0,0.0006798799060811,0.4324433070362111,-50.35229072884248,0.6669778778407014,0.5419847386516227,Mortgage Finance,Financial Services,30.035,229477312,43250,OCN,0.037358088945956006,0.15842715207711816,5.774729157930352,0.3615703097671411,0.1443128570117938,3.240772388178273,0.25886875029369666,0.008780576020480699,-0.17910898485102406,0.005459858341017469,0.05590923780497081,-0.9756791074113522,-0.20775227492456527,-0.06979568186248639,1.0268664025504886,0.6258242456735739,1.4121402688264935,0.5319228986386908,1.0354832817281836
2014,2014-12-31,2015-05-11,7876534318.5,118.57157424200363,0.7284655239608491,0.0114222945979175,0.9394954914567866,-4.222180328863346,1.910238617037464,-0.00247552149851,0.0,0.0005863135407995,0.5469323752730773,6.225809678725447,0.5524440813233397,-3.069306913047652,Mortgage Finance,Financial Services,30.035,229477312,43250,OCN,-0.056826442754193095,-0.45242942466924885,5.946528808795343,0.03605176843925023,-0.22251429789350288,6.9589317734886755,0.25538333173264527,-0.0862911608216175,0.11448906823686616,-0.0941845317001491,-0.610856576746367,0.17179965086499127,-0.3255185413278909,-0.3668271549052967,3.7181593853104027,-2.597149743837307,0.035840145063983087,-0.8967175455474308,-0.14203487649349053
2015,2015-12-31,2016-02-29,6181849179.25,101.92933453908014,0.7516284349805646,0.08325914618079,0.5016697390095216,-3.53601646546594,1.025710610912652,0.0,0.0,0.0,0.9004579612122736,1.642646983847278,0.4049685887870757,0.5287081417168796,Mortgage Finance,Financial Services,30.035,229477312,43250,OCN,-0.033358996835705014,-0.2900751794936834,5.496600035075064,0.16152680664729957,-0.1418742655496704,7.6919484429789025,0.2351307103262218,0.07183685158287251,0.35352558593919636,0.02346744591848808,0.16235424517556546,-0.44992877372027973,0.12547503820804934,0.08064003234383249,0.7330166694902269,0.4742081736909323,-0.17535291819118326,2.6947593835805406,-0.39549327025546366
2016,2016-12-31,2017-02-23,6495976133.95,78.99239386181152,0.7947335194874696,0.0262420449049717,0.4817841406885852,-3.3455468705259253,1.0235162659007164,0.0,0.0,0.0,0.946259290236968,1.5770024421466442,0.3030905524440891,0.18274111829731,Mortgage Finance,Financial Services,30.035,229477312,43250,OCN,-0.02609336382753525,-0.3059339191801004,4.593835864956621,0.1319181667907809,-0.14400758959112953,10.721026467245979,0.18119436553045765,-0.0570171012758183,0.04580132902469436,0.007265633008169764,-0.01585873968641699,-0.9027641701184423,-0.02960863985651868,-0.0021333240414591337,3.0290780242670765,0.1913026228963998,-0.2032826411838966,-0.34932476158643694,-0.4037130011771547
2017,2017-12-31,2018-02-28,7164097804.05,64.3329183672819,0.8361117312478966,0.0249715129995353,0.3329790687658215,-3.108394448916118,0.7297974534896521,0.0,0.0,0.0,0.5634830157699751,0.9913142399826544,0.3879711295053642,0.3726708113113113,Mortgage Finance,Financial Services,30.035,229477312,43250,OCN,-0.015228311621670123,-0.2347827682371936,2.6843023034643387,0.1773817655804235,-0.10712252715607881,14.414153089681491,0.14215788243571112,-0.0012705319054364013,-0.3827762744669929,0.010865052205865127,0.07115115094290678,-1.9095335614922826,0.04546359878964262,0.036885062435050714,3.6931266224355124,0.3594076951572371,-0.13883516212586408,0.15795226020809652,0.10233424349960517
