Year,Date,FillingDate,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Price,MarketCap,AvgVolume,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2008,2008-12-31,2009-03-13,229424160.0,25.812653911725704,0.0327334643091028,0.115853585309628,0.901028241801425,13.791361289224309,1.7836213260925404,0.2409918856040401,3.769210113195076,0.0174741188016251,1.610531093962778,29.43147977718576,0.3235202526858998,0.264367816091954,Electrical Equipment & Parts,Industrials,161.86,801674775,16503,PLPC,0.09232743942370661,0.12932888122408542,3.1964934180662734,0.08892942144716062,0.06533279948988292,0.39536197849778004,1.4131866404715128,-0.031773386936497505,-0.027837956284745946,0.0069069639887638645,0.00728892582526941,-0.19780977542492684,-0.01327022220608537,0.02547767927033262,-0.017795678765669565,0.2446500459071968,0.07025548880269612,0.1044707399051521,0.0629095515334583
2009,2009-12-31,2010-03-15,212674600.0,32.676987767584095,0.0323317981748041,0.0840801983731305,0.8909652185407806,9.811260007706467,1.3403928266438945,0.1828573875069572,3.0772717538725107,0.0186375029673383,1.582693137678032,12.48973185088293,0.3295724049983282,0.3181818181818181,Electrical Equipment & Parts,Industrials,161.86,801674775,16503,PLPC,0.09923440341247047,0.13661780704935483,2.9986836426413466,0.07565919924107525,0.09081047876021554,0.3775662997321105,1.092763795183794,-0.031773386936497505,-0.027837956284745946,0.0069069639887638645,0.00728892582526941,-0.19780977542492684,-0.01327022220608537,0.02547767927033262,-0.017795678765669565,0.3253702547806843,-0.04647403815497772,-0.1887610471902618,-0.02863625425418543
2010,2010-12-31,2011-03-11,296029050.0,37.41701640595193,0.0423376835991301,0.1043561276030349,0.9068386515126884,13.273398087656297,1.5641279188334862,0.1879461774758793,3.146688365859329,0.0141596128010853,1.39249973478553,18.690632996222732,0.3198770340373332,-0.0045977011494251,Electrical Equipment & Parts,Industrials,161.86,801674775,16503,PLPC,0.08225881649518292,0.11783929846028347,2.9587679903815554,0.08418438982574895,0.06832000709419016,0.43598450086672785,1.2040223646607042,0.020275929229904413,-0.19019340289250208,-0.016975586917287552,-0.01877850858907136,-0.03991565225979121,0.0085251905846737,-0.022490471666025386,0.058418201134617376,-0.010446547073682408,0.3153075744733793,0.4635149023638232,0.2766138165345413
2011,2011-12-31,2012-03-14,312247940.0,40.47499524624453,0.093545706709679,0.1254840727184228,0.7392765855175729,10.126256777691712,1.4739964671283203,0.1413955589981926,3.199925518829066,0.0139632602749802,1.6346449307004352,-168.41220611916265,0.3318748173909765,0.3348729792147806,Electrical Equipment & Parts,Industrials,161.86,801674775,16503,PLPC,0.09465156347373438,0.1455618299523626,3.323306325101483,0.10686515678457319,0.07300590946362429,0.5378703173007358,1.2964918068844167,0.02112794511538789,0.24214519591490524,0.012392746978551458,0.027722531492079136,0.3645383347199278,0.022680766958824233,0.004685902369434128,0.1018858164340079,0.3405442824384545,0.254501115856993,0.5924859550561797,0.30155429880978785
2012,2012-12-31,2013-03-15,298022080.0,45.27967693463561,0.0293937501501212,0.1149068413241647,0.7203047414342703,10.802160759407224,1.3122885149065209,0.2216758860889162,3.391251323116572,0.0205214392774025,1.542073725597926,10.781544543657557,0.3288721106031075,-0.0570934256055363,Electrical Equipment & Parts,Industrials,161.86,801674775,16503,PLPC,0.08792904666970912,0.12148389050437841,3.3326064934841955,0.1004617570447549,0.06668154246889743,0.3816127332838316,1.3186414623015397,-0.010577231394258091,-0.09257120510250916,-0.006722516804025261,-0.024077939447984198,0.009300168382712304,-0.00640339973981828,-0.006324366994726854,-0.15625758401690415,-0.05480247869868319,0.034844157924996,-0.02716408696035631,0.02548118907482481
2013,2013-12-31,2014-03-14,382273760.0,47.06771124790152,0.0431821326931523,0.0756277361126084,0.9571345320370154,19.051379997085537,1.5543564379978598,0.1119638606887841,3.777002776461028,0.0058769422848062,1.7596093076702095,776.6549702970296,0.3194452578969974,-0.3082568807339449,Electrical Equipment & Parts,Industrials,161.86,801674775,16503,PLPC,0.061933298436249645,0.0815876035350533,3.5571004500622427,0.0760122603568779,0.05023964312209597,0.3173463321840447,1.2327575314525008,-0.03927910521155631,0.21753558207228352,-0.025995748233459473,-0.03989628696932511,0.22449395657804727,-0.024449496687877006,-0.01644189934680146,-0.06426640109978693,-0.2970361264768149,-0.06697754057450955,-0.2940483205657042,-0.09372187374513632
2014,2014-12-31,2015-03-12,297776510.0,45.178538218337366,0.0951331621309331,0.0461233753396173,0.7567152517485219,22.84002099370189,1.2092024698981167,0.3430526397636265,3.338918250309232,0.0150198040473878,1.763786216494659,38.68635717107863,0.3115730901503149,-0.3660477453580901,Electrical Equipment & Parts,Industrials,161.86,801674775,16503,PLPC,0.0363338955326344,0.05294226613152207,3.6268548809803534,0.05471102695879542,0.033131110166544304,0.4571040444581661,1.0966700285619846,-0.029504360772991095,0.004176908824449432,-0.025599402903615245,-0.02864533740353123,0.06975443091811062,-0.02130123339808248,-0.017108532955551668,0.13975771227412143,-0.37528537426531305,-0.05268976221154972,-0.31815846924361113,-0.07603456046936234
2015,2015-12-31,2016-03-11,227119000.0,40.93158878504673,0.0994445009289127,0.0280252475197828,0.6350622839516615,33.74307116104869,1.0285454645088226,0.6578277153558052,3.593288705801579,0.0194951939085843,1.8118556204351428,23.77150395778364,0.2916885182115004,-0.4811715481171548,Electrical Equipment & Parts,Industrials,161.86,801674775,16503,PLPC,0.02056548141712342,0.030481679026778213,3.6325567054017074,0.034818674471192614,0.01882052409872951,0.4821767800387243,1.09271566026749,-0.0180981278198345,0.04806940394048387,-0.01576841411551098,-0.02246058710474386,0.005701824421354029,-0.019892352487602807,-0.014310586067814796,0.02507273558055817,-0.48098903662234666,-0.0863480041732679,-0.4185422356154063,-0.1446572080563548
2016,2016-12-31,2017-03-10,315216920.0,43.271970576848624,0.1340599582914145,0.0580799131147204,0.8919120469114825,19.68193510324484,1.3431327306155862,0.2733529990167158,3.050588045754793,0.0138885225249853,1.6978090343521774,240.39064851881503,0.3250236161528544,1.3790322580645162,Electrical Equipment & Parts,Industrials,161.86,801674775,16503,PLPC,0.044744336930283304,0.06824190424213686,3.4100982778829683,0.06380520090068145,0.045316278213133554,0.5251517605114004,0.9873788999140604,0.030054665594937597,-0.11404658608296536,0.024178855513159885,0.03776022521535864,-0.22245842751873912,0.02898652642948884,0.026495754114404045,0.04297498047267617,1.2853932584269663,-0.05084220083120457,0.7393311199287391,0.057630591965355915
2017,2017-12-31,2018-03-09,355049100.0,46.75362602900823,0.1025890462359464,0.0464774930440537,0.9584494939346186,28.646838944207364,1.5196682275705655,0.323929192350245,3.332871119328249,0.0113076766683098,1.8832460649658616,16.041824135947248,0.3136547756284835,-0.1627118644067796,Electrical Equipment & Parts,Industrials,161.86,801674775,16503,PLPC,0.03517100490570758,0.05304837404679358,3.296516161889453,0.06903006779266654,0.03345742599388703,0.5082985029576125,1.0512166988618203,-0.011602420070666697,0.1854370306136841,-0.009573332024575727,-0.01519353019534328,-0.11358211599351531,0.005224866891985092,-0.011858852219246527,-0.01685325755378797,-0.1705014749262537,0.12351099413606469,0.21551282648167977,0.08421225802913704
