Year,Date,FillingDate,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Price,MarketCap,AvgVolume,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2008,2008-06-30,2008-06-30,223261000.0,3.8393620268620263,0.2345810198836135,0.136495915025192,1.0235900640524918,15.27628817906272,3.906899087674664,0.0,0.0,0.0,1.314550231452521,9.273447820343462,0.3184971098265896,-0.397919580581517,Advertising Agencies,Communication Services,9.165,495988720,653237,QNST,0.07158434680048513,0.2557492397288863,1.4259226823470537,0.11107639431338853,0.0670051554444618,2.5726978195623222,1.0683408810209962,0.027146672771800495,-0.11674240518741152,0.009560722206175959,-0.01972049106110832,-0.08939328263388013,0.022195780931403758,-0.0007010871521158923,-0.6639721069943447,-0.1757206918641896,0.09377861032908152,-0.1259629568923127,0.0468292682926829
2009,2009-06-30,2009-06-30,231468000.0,5.505190311418685,0.2083352906359511,0.1636425877969925,0.7654101110441528,11.543938867662384,2.7247014456316783,0.0,0.0,0.0,1.1978078262651095,6.611079799754666,0.3029781941986819,0.5,Advertising Agencies,Communication Services,9.165,495988720,653237,QNST,0.08114506900666109,0.23602874866777798,1.3365293997131735,0.1332721752447923,0.0663040682923459,1.9087257125679775,1.223832429842445,0.027146672771800495,-0.11674240518741152,0.009560722206175959,-0.01972049106110832,-0.08939328263388013,0.022195780931403758,-0.0007010871521158923,-0.6639721069943447,0.34250408020517603,0.3566994740405145,0.6278012189404595,0.29059367897843397
2010,2010-06-30,2010-09-13,232678160.0,11.321908182386007,0.2153739962726917,0.0570868722150142,0.8805535860946436,14.323754372328022,1.0166130845246222,0.0,0.0,0.0,3.252138160475809,8.574673840337356,0.2810488748189407,0.1794871794871795,Advertising Agencies,Communication Services,9.165,495988720,653237,QNST,0.04735982329797759,0.07097392611594983,3.4349763821540105,0.1171233592665044,0.061475054877775624,0.4986104502417058,0.7703909072084302,-0.10655571558197831,2.0543303342106993,-0.0337852457086835,-0.16505482255182816,2.098446982440837,-0.016148815978287892,-0.004829013414570281,-1.4101152623262716,0.1916174597661225,0.28522187719507,0.12948935802540248,0.1921985456203917
2011,2011-06-30,2011-08-30,573719560.0,7.688741292025442,0.2020254360631253,0.0641915672232283,1.488660789388146,22.04606305578012,1.6881826955814616,0.0,0.0,0.0,3.1175134212163744,8.454092183691012,0.2754943290796261,0.1956521739130435,Advertising Agencies,Communication Services,9.165,495988720,653237,QNST,0.05184369546829636,0.0765752457166654,3.3494146757926115,0.12180258596946561,0.06752501730679046,0.47704065123006056,0.7677701914943877,0.007104695008214104,-0.13462473925943463,0.004483872170318773,0.005601319600715568,-0.08556170636139893,0.004679226702961212,0.0060499624290148366,-0.02156979901164524,0.3220948309366498,0.20364059910104976,0.25172756712650124,0.1798522926518251
2012,2012-06-30,2012-08-23,463598960.0,7.380294900318457,0.2121539553592554,0.0344325897010546,1.1459396223155576,32.65394661949081,1.254692410678662,0.0,0.0,0.0,2.248442699889069,9.854548746518104,0.2348434952546508,-0.4909090909090909,Advertising Agencies,Communication Services,9.165,495988720,653237,QNST,0.025634908115782003,0.038423913204101,2.4680149045709245,0.07693511990239373,0.03509344936674692,0.49889022541280365,0.7304755895575361,-0.0297589775221737,-0.8690707213273052,-0.02620878735251436,-0.0381513325125644,-0.881399771221687,-0.044867466067071884,-0.03243156794004354,0.02184957418274308,-0.5222679503196884,-0.08077246595090579,-0.4193811240807513,-0.21640997928487796
2013,2013-06-30,2013-08-20,373346560.0,6.513803251121076,0.2157552025738743,-0.1713717562928209,1.2152911986522497,-5.503570622810663,1.329484429624052,0.0,0.0,0.0,2.494414538693377,8.140388592504776,0.1753845447900859,-6.607142857142857,Advertising Agencies,Communication Services,9.165,495988720,653237,QNST,-0.15684430341732103,-0.24156761505225982,2.6649922778185964,-0.29111343456756944,-0.22081867971589736,0.5401746176876603,0.7102854868035395,-0.20580434599387548,0.24597183880430773,-0.18247921153310304,-0.2799915282563608,0.19697737324767184,-0.36804855446996315,-0.25591212908264427,0.04128439227485664,-6.182062918237059,-0.17644438925899134,-4.11623745702056,-0.38495666766281234
2014,2014-06-30,2014-09-12,232925280.0,3.33465815107517,0.2790859801403684,-0.6450066788423118,0.8488413691076592,-1.638201688478457,1.6523432838905692,0.0,0.0,0.0,2.487561137612463,31.50805044666316,0.143840537393514,0.2165605095541401,Advertising Agencies,Communication Services,9.165,495988720,653237,QNST,-0.528834032285447,-1.0086323897182934,2.666747177102832,-0.3821567232586206,-0.5181543732237595,0.9072758713339901,1.0206109600026008,-0.4736349225494909,-0.006853401080913812,-0.371989728868126,-0.7670647746660335,0.001754899284235556,-0.09104328869105116,-0.2973356935078621,0.36710125364632984,-1.173068930713056,-0.0739165063372457,-0.2157083506907305,-0.24047841524948607
2015,2015-06-30,2015-08-19,241309300.0,3.050006748549062,0.0733550082133822,-0.1257747374910638,1.0162624937974056,-14.330682726909236,2.114749419183538,0.0,0.0,0.0,2.384431064143524,644.3332584269663,0.1068193095626284,0.6341463414634146,Advertising Agencies,Communication Services,9.165,495988720,653237,QNST,-0.09752721139832222,-0.14756794630674486,2.424367166379946,-0.06796980222584532,-0.070915148507833,0.5130951063908249,1.3752662646902556,0.519231941351248,-0.1031300734689391,0.4313068208871248,0.8610644434115485,-0.24238001072288595,0.3141869210327753,0.4472392247159265,-0.39418076494316523,0.8633370672932433,-0.0014475365334862271,0.8223990072051715,-0.25845184784213376
2016,2016-06-30,2016-08-19,121739350.0,2.760183197999867,0.0776791540222266,-0.1359918813710843,0.5389523556797646,-8.26206745623069,1.2861465146851352,0.0,0.0,0.0,1.6362466454275804,-37.08953999075359,0.0898302351984844,0.111111111111111,Advertising Agencies,Communication Services,9.165,495988720,653237,QNST,-0.10056861140744269,-0.155668846992433,1.6946750576751048,-0.06339811760596024,-0.0652321417774583,0.5478870078235218,1.5417033484893994,-0.010217143880020513,-0.7481844187159437,-0.003041400009120468,-0.00810090068568814,-0.7296921087048411,0.00457168461988508,0.005683006730374696,0.03479190143269695,0.0293882447021191,0.055171191607003615,0.0158001772957188,-0.11264848364191386
2017,2017-06-30,2017-09-08,140555980.0,2.5898583146905296,0.0,-0.0829700472128772,0.634211117967877,-15.57396625163827,1.6101266916210768,0.0,0.0,0.0,1.834132511321688,12.515764597459022,0.1013259502643561,0.325,Advertising Agencies,Communication Services,9.165,495988720,653237,QNST,-0.0700369460954173,-0.1033857827611321,1.9000456673136203,-0.03557216004803442,-0.040722517804426504,0.47616063413560067,1.719857952589669,0.05302183415820712,0.19788586589410762,0.03053166531202539,0.0522830642313009,0.2053706096385155,0.027825957557925822,0.024509623973031795,-0.07172637368792117,0.3713697219361483,0.006983399729934902,0.4349899332414962,0.13584863328721536
