Year,Date,FillingDate,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Price,MarketCap,AvgVolume,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2007,2006-12-31,2006-12-31,31705281.0,57.045335244123,0.1275805827793837,0.1080879605029244,3.155048169293591,8.42044120169033,1.051795028344257,0.0,9.39001227287044,0.0,2.5032654955233653,-8.288765809695613,0.5385840012364675,0.5000000000000001,Oil & Gas E&P,Energy,36.5,736650300,81552,REPX,0.07525615250651764,0.08768820736762857,2.102229201196588,0.2378849017200232,0.2378849017200232,0.1651965247629985,0.3163553128524726,-0.09623557526748239,-1.3709995656640388,0.027140679095228243,0.03722152160632573,0.7550080499304546,-0.0873481740212704,0.13680427355267427,0.05466279139014471,0.6392925256985734,2.1331369748069577,-0.3413908144528441,-0.1170116518690869
2008,2007-12-31,2008-03-31,46616026.98747,57.876249405045215,0.2385797291171,0.011852385235442,2.354634484860718,216.51215350208065,1.285501440829619,0.0,12.378834833067026,0.0,1.1322659298593265,-4.747172899064429,0.6225888060990186,-0.9541666666666666,Oil & Gas E&P,Energy,36.5,736650300,81552,REPX,0.10239683160174588,0.1249097289739543,2.8572372511270427,0.1505367276987528,0.37468917527269746,0.21985931615314322,0.2732847340124567,-0.09623557526748239,-1.3709995656640388,0.027140679095228243,0.03722152160632573,0.7550080499304546,-0.0873481740212704,0.13680427355267427,0.05466279139014471,0.6392925256985734,0.040763830666738804,-0.3413908144528441,-0.11701165186908692
2009,2008-12-31,2009-03-16,36492888.0,54.22039622519553,0.2472676932044494,-0.0059813646996335,2.747290925906896,-13.24771456888008,0.9959351786313004,0.0,9.14802065404475,0.0,0.8215593929879644,40.02079041916168,0.4538074195868872,-13.363636363636363,Oil & Gas E&P,Energy,36.5,736650300,81552,REPX,0.003997068599617397,0.005937317698044446,1.5334456568867143,1.2427049626189228,0.010875299362066023,0.4854180132441988,0.36753642052001945,-0.0178337499350755,-0.31070653687136207,-0.09839976300212849,-0.11897241127590985,-1.3237915942403284,1.09216823492017,-0.3638138759106314,0.2655586970910556,-0.9516676817682252,0.6652044099539057,12.746530934070375,0.924932086961192
2010,2009-12-31,2010-03-31,47613801.793074,50.101000470739656,0.2438551913255679,0.0401180729241795,2.8799789492338075,-21.811920798323207,1.5089518630302097,0.0,10.433275563258231,0.0,0.7522701475595914,133.08322305270627,0.5444915254237288,0.1495098039215686,Oil & Gas E&P,Energy,36.5,736650300,81552,REPX,-0.049011512119298585,-0.07517788622732184,1.1360544217687074,-0.024663446716678656,-0.20737848114273968,0.5338822039265357,0.23633846602224706,0.046099437623813,-0.069289245428373,-0.05300858071891598,-0.08111520392536628,-0.3973912351180069,-1.2673684093356015,-0.2182537805048057,0.04846419068233693,-12.894236776650045,-0.37624489813709333,-1.012379407165665,-0.5453424628621701
2011,2010-12-31,2011-03-31,54826992.482465,59.49846296790519,0.2564620970021087,0.1350585110980217,2.5225632123187007,9.20897275266346,1.4319697140068777,0.0,7.538274605103281,0.0,0.8382288469969311,-63.10101388355051,0.6368744512730465,3.76657060518732,Oil & Gas E&P,Energy,36.5,736650300,81552,REPX,-0.04390047548365997,-0.06918014589280051,1.0028376844494893,0.1721398305084746,-0.1320369249394673,0.5758404693942277,0.33248635185790837,0.09494043817384219,0.08595869943733969,0.0051110366356386175,0.005997740334521329,-0.13321673731921813,0.19680327722515326,0.07534155620327238,0.04195826546769199,3.681948424068768,0.35813379919843796,1.5731868131868132,0.6295289855072463
2012,2011-12-31,2012-03-29,46781848.0,59.49645003593401,0.2342472886997079,0.1176653228212796,1.7739382205574743,8.592565504241282,1.210156235481516,0.0,7.549928673323823,0.0,1.011255924170616,81.39921428571428,0.4850902369022717,-0.1322916666666666,Oil & Gas E&P,Energy,36.5,736650300,81552,REPX,0.10174134220309138,0.1554972256371067,1.3678211310828583,0.34263974246414985,0.2739244951712028,0.5283583081370237,0.37142111785038806,-0.01739318827674209,0.17302707717368493,0.14564181768675133,0.2246773715299072,0.364983446633369,0.17049991195567527,0.40596142011067016,-0.04748216125720406,-0.0931623931623931,0.29275121065375304,1.5731868131868132,0.5120900500277932
2013,2012-12-31,2013-03-29,27131441.892982,64.93852289267836,0.0870517727639,0.0851592599784631,1.5113657256676432,8.417325964165308,0.7206816064687016,0.0,6.732641660015962,0.0,0.923406862745098,4.26617078262891,0.4626751592356687,-0.2797118847539016,Oil & Gas E&P,Energy,36.5,736650300,81552,REPX,0.09608984083138995,0.1408375920886706,1.9567535545023698,0.3579802500364839,0.20645035754244295,0.46568659985398553,0.4654379966943646,-0.0325060628428165,-0.08784906142551807,-0.005651501371701423,-0.01465963354843608,0.5889324234195115,0.015340507572334072,-0.06747413762875987,-0.06267170828303814,-0.09316239316239316,0.203219198127012,0.25708916979842844,-0.08354011579818031
2014,2013-12-31,2014-03-31,16672962.107018,63.44745156976676,0.0240082097815225,0.0617537636697763,1.1472992534825934,-20.07482500890609,0.4917455347389723,0.0,11.223880597014926,0.0,0.4497041420118343,6.179282073053906,0.3455178416013925,-1.2583333333333333,Oil & Gas E&P,Energy,36.5,736650300,81552,REPX,0.07098609991941983,0.08561883067577829,1.9620098039215685,0.33152866242038215,0.17955414012738855,0.20613515565679574,0.3953464947622885,-0.023405496308686803,-0.4737027207332637,-0.025103740911970124,-0.05521876141289232,0.005256249419198777,-0.02645158761610178,-0.026896217415054408,-0.2595514441971898,-0.33576814326107446,-0.2362698837378995,-0.2927028128821851,-0.2715603690332932
2015,2014-12-31,2015-03-30,8282059.2,14.713481572646335,0.0850620678163792,-2.908323919829736,1.1844677482154446,-0.2953383439181263,0.9786942627345844,0.0,12.730627306273062,0.0,0.356043956043956,-82.03437303370787,-0.1194029850746268,-30.45806451612903,Oil & Gas E&P,Energy,36.5,736650300,81552,REPX,-0.021280617894083018,-0.02449563244117007,1.0330374753451677,0.14918769944879606,-0.057151145923991876,0.15107712393919612,0.37235680142590943,-2.9700776834995124,-0.09366018596787828,-0.09226671781350285,-0.11011446311694836,-0.9289723285764009,-0.18234096297158608,-0.23670528605138041,-0.055058031717599626,-1.279531748847109,-0.12178343949044586,-0.6048030739673391,-0.34416299559471364
2016,2015-12-31,2016-03-30,6665697.2,6.458057105931443,0.2902319044272663,-0.3746415929137633,0.9126064212328768,-0.6088386691417964,1.300700793166565,0.0,7.272727272727272,0.0,0.7155499367888748,-2.9183416837782343,0.023972602739726,0.7169811320754716,Oil & Gas E&P,Energy,36.5,736650300,81552,REPX,-2.0595684412230275,-3.3138069705093836,1.0124542124542124,-2.8116482803374434,-4.010545100584037,0.6089812332439678,0.5135382820961426,2.5336823269159727,0.3595059807449188,-2.0382878233289445,-3.2893113380682135,-0.020583262890955245,-2.9608359797862396,-3.953393954660045,0.45790410930477166,0.7167185793454958,-0.5529445894981143,-9.425376762275159,-1.1544920235096559
