Year,Date,FillingDate,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Price,MarketCap,AvgVolume,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2008,2008-12-31,2009-04-02,39391590.0,3.4907493763237327,0.0042364903031444,-0.2497398543184183,4.72581304993715,-43.07873958333333,10.885914714398526,0.0,20.723214285714285,0.0,0.6783840503672612,-97.76735224586288,0.7347731687807108,0.8495726495726496,Gambling,Consumer Cyclical,3.08,8654584,26620,SBET,-0.09037845980041423,-0.2526980784416952,0.6979713186428821,-0.09736030167980803,-0.10970174837161467,1.7959989470913398,0.823856147618151,-0.021616982307910787,-0.08634337715548002,0.0017030300734172665,-0.02884285253743807,-0.06753653603418641,0.025119616005503317,0.033000681378436425,0.37896092449774543,0.8293636686811233,0.08836283849475067,0.8527480124438299,-0.0260527112996061
2009,2009-12-31,2010-03-26,39444044.0,2.095775951795135,0.0,-0.2713568366263291,3.639762462830156,-47.45387001140251,13.360206741573032,0.0,96.84615384615384,0.0,0.5920406732117812,97.23608411214953,0.66966940703166,0.3295454545454546,Gambling,Consumer Cyclical,3.08,8654584,26620,SBET,-0.08867542972699696,-0.28154093097913324,0.6304347826086957,-0.07224068567430471,-0.07670106699317825,2.174959871589085,1.1561172901921133,-0.021616982307910787,-0.08634337715548002,0.0017030300734172665,-0.02884285253743807,-0.06753653603418641,0.025119616005503317,0.033000681378436425,0.37896092449774543,0.0864583333333333,0.30659353216775226,0.0305164319248826,0.19082426127527216
2010,2010-12-31,2011-04-01,55249029.827304,2.262592609536932,0.0,0.0556000053135342,4.929377938594724,235.1353681446885,17.060074287036574,0.0,247.11764705882356,0.0,0.7117273252455228,-363.120441944962,0.6390583383452186,1.2711864406779665,Gambling,Consumer Cyclical,3.08,8654584,26620,SBET,0.025398147184344747,0.07255426702349094,0.715000962834585,0.01915972162556921,0.020964000343672136,1.8566755872732679,1.2115124388466743,0.3269568419398633,0.11968665203374163,0.1140735769113417,0.3540951980026242,0.08456618022588935,0.09140040729987392,0.09766506733685038,-0.31828428431581735,1.2782212086659066,0.017928983732726955,1.2699757869249395,-0.028601279874624526
2011,2011-12-31,2012-03-26,37159721.48635,2.578127628082215,0.0,0.1014473804139775,3.3682180693451635,85.83592672261148,10.550292663452504,0.0,788.2,0.0,0.8439688715953307,39.21311492371484,0.6716654169790885,1.0,Gambling,Consumer Cyclical,3.08,8654584,26620,SBET,0.04838709677419355,0.12291231732776618,0.8536964980544747,0.03307506456719154,0.03924018995251187,1.540187891440501,1.2331004725703718,0.045847375100443295,0.1322415463498079,0.0229889495898488,0.050358050304275245,0.13869553521988964,0.01391534294162233,0.018276189608839734,-0.3164876958327669,0.930327868852459,0.03127416444711745,0.7802690582959642,0.08389351976337725
2012,2012-12-31,2013-03-20,101805190.0,3.730348518645044,0.0,0.2452864068953133,8.075208746000305,77.5953074670571,19.03307416053152,0.0,299.6,0.0,1.1366982124079916,171.23617124394184,0.6576260856315709,1.8125,Gambling,Consumer Cyclical,3.08,8654584,26620,SBET,0.1227975548363898,0.24528640689531334,1.2574132492113566,0.16014017979582507,0.10406826146579308,0.9974860836775005,1.1799712333692916,0.1438390264813358,0.2927293408126609,0.07441045806219625,0.12237408956754715,0.4037167511568819,0.12706511522863354,0.06482807151328121,-0.5427018077630005,1.900212314225053,0.09355994334749645,4.2947103274559195,0.07070205904242123
2013,2013-12-31,2014-03-12,73769666.89385,4.610852663264813,0.0,0.193833127656657,6.425486441136145,60.11902992786946,11.190988254971373,0.0,0.0,0.0,1.661283282409428,38.43581145988009,0.6773572803078897,-0.0555555555555556,Gambling,Consumer Cyclical,3.08,8654584,26620,SBET,0.10555071660464012,0.18614718614718614,1.6750327367961588,0.14761064785118666,0.10687940987812701,0.7635805055159894,0.987568295193602,-0.05145327923865631,0.5245850700014363,-0.017246838231749675,-0.05913922074812719,0.4176194875848023,-0.012529531944638406,0.0028111484123339303,-0.23390557816151103,-0.024158125915080528,-0.04982477525521865,-0.1241674595623216,-0.021316033364226137
2014,2014-12-31,2015-03-25,25964321.243014,3.617245113315085,0.0,-0.2853976230829073,4.362909884377866,-18.241610202966864,5.47377862979652,0.0,0.0,0.0,1.2436582109479306,-20.241839292852266,0.5905745825077837,-2.2823529411764705,Gambling,Consumer Cyclical,3.08,8654584,26620,SBET,-0.1551597502754315,-0.3000710227272727,1.40231419670672,-0.22020945372204925,-0.23917350693461648,0.9339488636363636,0.6487330150569225,-0.4792307507395643,-0.4176250714614973,-0.2607104668800716,-0.4862182088744589,-0.27271854008943874,-0.3678201015732359,-0.34605291681274347,0.1703683581203742,-2.2678169542385596,-0.4334509300833868,-1.8451928299837046,-0.5060369318181818
2015,2015-12-31,2016-03-28,36735902.408339,2.5710165445688165,0.0,-0.7695118037602006,2.7310972273204865,-8.173291783632832,6.53437996557798,0.0,0.0,0.0,0.9085070422535212,134.38094450949498,0.4280859162588363,-0.8899082568807338,Gambling,Consumer Cyclical,3.08,8654584,26620,SBET,-0.2232110424990919,-0.7994795901772646,0.9506478873239437,-0.308931484502447,-0.3341489940184883,2.581720604976419,0.6679985470395932,-0.4841141806772933,-0.3351511686944094,-0.06805129222366041,-0.49940856744999185,-0.4516663093827764,-0.08872203078039775,-0.09497548708387182,1.6477717413400552,-1.9088757396449705,1.082083215397679,-1.9209511568123396,0.5092259765156961
2016,2016-12-31,2017-03-28,49769101.417423,0.6601777581854056,0.0,-2.8056983023163267,3.649096314931896,-9.872372240551211,27.56833409538871,0.0,0.0,0.0,0.7433675652545999,-41.519920176051016,0.5080415599202961,0.1067961165048543,Gambling,Consumer Cyclical,3.08,8654584,26620,SBET,-0.4226888020833333,-2.79247311827957,0.8339751818570817,-0.4076288072872189,-0.3696270993452889,5.606451612903226,1.1435546875,-2.036186498556126,-0.1651394769989213,-0.1994777595842414,-1.9929935281023052,-0.11667270546686193,-0.09869732278477189,-0.035478105326800624,3.024731007926807,-0.0565500406834825,-0.044861337683523655,-0.2602860286028602,0.13353445538266115
2017,2017-12-31,2018-04-30,124915286.391547,0.5722791585758138,0.0,-1.0325486669774704,14.63520593456376,-73.61124570935685,73.74023737824007,0.0,0.0,0.0,0.5273840769903761,-175.09471066788765,0.5929747275678182,0.6902173913043478,Gambling,Consumer Cyclical,3.08,8654584,26620,SBET,-0.19835762202174415,-1.001752336448598,0.721084864391951,-0.20600510085787155,-0.19881752840250405,4.050233644859813,0.9976867915799214,1.7731496353388563,-0.21598348826422376,0.22433118006158917,1.7907207818309718,-0.11289031746513079,0.20162370642934735,0.17080957094278487,-1.5562179680434127,0.6698113207547169,-0.3861372046683746,0.6897695530726257,-0.2835130970724191
