Year,Date,FillingDate,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Price,MarketCap,AvgVolume,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2008,2008-12-31,2009-02-25,14004160000.000004,3.537456445993032,0.0170875665215287,0.0,3.6044970873786415,15.316138613861389,4.571081014528441,0.2087458745874587,0.0,0.013629145037806,0.2852496201664847,-99.801935483871,0.0,-0.4670050761421319,Capital Markets,Financial Services,57.73,102132450353,15727447,SCHW,0.023454281567489115,0.2984486579660182,1.0944555006312726,0.0,0.23533980582524272,11.72469835016006,0.09966134494436381,0.0,0.23392899839290737,-0.013020905369374282,-0.14331362938332554,-0.017523499529136455,0.0,-0.05193267462039536,2.1444126295363724,-0.4964686331533028,0.11493711620222824,0.0,0.0
2009,2009-12-31,2010-02-25,-3346080000.0,4.38840830449827,0.0200448091633413,0.0,5.070128175250525,27.644116899618805,4.288570865365661,0.3545108005082592,0.0,0.0128240956944132,0.5191786185593921,16.774032382420973,0.0,-0.3523809523809523,Capital Markets,Financial Services,57.73,102132450353,15727447,SCHW,0.010433376198114833,0.15513502858269268,1.0769320011021362,0.0,0.18340713120484736,13.869110979696432,0.05688642600522332,0.0,0.23392899839290737,-0.013020905369374282,-0.14331362938332554,-0.017523499529136455,0.0,-0.05193267462039536,2.1444126295363724,-0.35066006600660066,-0.16679611650485437,0.0,0.0
2010,2010-12-31,2011-02-25,-5295990000.0,5.227539882451722,0.0216705556995938,0.0,4.955741731517509,44.8854845814978,3.2730501124317377,0.6343612334801763,0.0,0.0141328814737062,0.4657634826271287,-147.6667391304348,0.0,-0.4411764705882353,Capital Markets,Financial Services,57.73,102132450353,15727447,SCHW,0.004904502635900095,0.07292001284934146,0.34632055138438217,0.0,0.11040856031128404,13.86797301638291,0.044421398323394694,0.0,-0.05341513593226338,-0.0055288735622147376,-0.08221501573335122,-0.730611449717754,0.0,-0.07299857089356332,-0.0011379633135213396,-0.42312579415501905,-0.04171521789792589,0.0,0.0
2011,2011-12-31,2012-02-24,7138020000.0,6.286878565607172,0.0184333919836393,0.0,2.914772151898734,15.990763888888887,1.7910318900700024,0.3414351851851852,0.0,0.0213520246785977,0.2019547595463826,6.049045534150613,0.0,0.8421052631578946,Capital Markets,Financial Services,57.73,102132450353,15727447,SCHW,0.007959245714075152,0.11200414830178895,0.4343528270229841,0.0,0.18227848101265823,13.072206378014,0.04366530634805118,0.0,-0.2638087230807461,0.0030547430781750562,0.03908413545244749,0.08803227563860194,0.0,0.07186992070137418,-0.7957666383689102,0.9030837004405287,0.15272373540856032,0.0,0.0
2012,2012-12-31,2013-02-22,53291640000.0,7.52668759811617,0.0115013057760949,0.0,3.7343621147172894,19.71405172413793,1.9078777766190425,0.3631465517241379,0.0,0.0184206958978148,0.5970402657720532,16.363720930232557,0.0,-0.0142857142857143,Capital Markets,Financial Services,57.73,102132450353,15727447,SCHW,0.006944184619529023,0.09677755761810408,0.48324640236386934,0.0,0.18942641355378648,12.93648972781312,0.03665900910675936,0.0,0.39508550622567057,-0.001015061094546129,-0.01522659068368487,0.04889357534088523,0.0,0.007147932541128249,-0.1357166502008802,0.07407407407407407,0.03354430379746835,0.0,0.0
2013,2013-12-31,2014-02-24,79114000000.0,8.078599221789883,0.0126286183706715,0.0,6.148325358851674,31.19514472455649,3.218379732203064,0.3436041083099906,0.0,0.0110146662675845,0.5652848676652947,23.745557924662403,0.0,0.1304347826086958,Capital Markets,Financial Services,57.73,102132450353,15727447,SCHW,0.007456036535275198,0.10316925151719487,0.4539776487862028,0.0,0.19709238130290763,12.837009921972834,0.03783016109494437,0.0,-0.031755398106758426,0.0005118519157461757,0.006391693899090792,-0.029268753577666562,0.0,0.00766596774912115,-0.0994798058402857,0.1540948275862069,0.10920596040008165,0.0,0.0
2014,2014-12-31,2015-02-23,84573570000.0,9.058326937835764,0.0117432521565939,0.0,6.497781631978857,29.77862982588948,3.3328450393967635,0.2823618470855412,0.0,0.0094820295203796,0.5873013621891464,20.19382443531828,0.0,0.2179487179487178,Capital Markets,Financial Services,57.73,102132450353,15727447,SCHW,0.008542310627125878,0.11192069812759468,0.4715897406805982,0.0,0.2182028410967955,12.101923239854274,0.039148484887676055,0.0,0.022016494523851682,0.0010862740918506798,0.00875144661039981,0.017612091894395443,0.0,0.02111045979388787,-0.7350866821185598,0.2334267040149393,0.11409642988590357,0.0,0.0
2015,2015-12-31,2016-02-24,99785950000.0,10.191634980988594,0.0153223962812571,0.0,6.799018684251845,29.92601935038009,3.231081181913147,0.2674498963372494,0.0,0.0089370354675605,0.5740144834956209,44.18668367346939,0.0,0.0842105263157895,Capital Markets,Financial Services,57.73,102132450353,15727447,SCHW,0.00787620156979719,0.1079689598567378,0.4657405030417729,0.0,0.22719422201287487,12.708252499626921,0.03466726178164361,0.0,-0.013286878693525517,-0.0006661090573286885,-0.003951738270856889,-0.005849237638825333,0.0,0.008991380916079372,0.6063292597726466,0.09538228614685844,0.05203171456888008,0.0,0.0
2016,2016-12-31,2017-02-23,121603280000.0,12.402567975830816,0.0125703388350948,0.0,6.992945269637361,27.66452091053468,3.1824054564277446,0.2572789835892006,0.0,0.0092999616520099,0.523389206187486,22.564024179620034,0.0,0.2718446601941748,Capital Markets,Financial Services,57.73,102132450353,15727447,SCHW,0.008456328368765751,0.11503562511418305,0.4342016321012569,0.0,0.25277666265221466,12.603495524024115,0.03345375431433905,0.0,-0.05062527730813493,0.0005801267989685617,0.007066665257445259,-0.031538870940515995,0.0,0.025582440639339787,-0.10475697560280572,0.30545957152729786,0.17333961375412152,0.0,0.0
2017,2017-12-31,2018-02-22,74320430000.0,13.83495145631068,0.0811965109300624,0.0,7.981484103040149,29.22023364485981,3.7130596491228074,0.2514868309260832,0.0,0.0086065989061768,0.3922211063497184,79.70385863267671,0.0,0.2290076335877862,Capital Markets,Financial Services,57.73,102132450353,15727447,SCHW,0.009676332037126862,0.1270715249662618,0.29389203706312456,0.0,0.2731492225574379,12.132199730094467,0.03542507625146954,0.0,-0.13116809983776756,0.0012200036683611103,0.012035899852078757,-0.14030959503813234,0.0,0.020372559905223242,-0.4712957939296487,0.24616199047114876,0.15321825237521744,0.0,0.0
