Year,Date,FillingDate,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Price,MarketCap,AvgVolume,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2007,2007-11-30,2008-03-17,-1390.0,0.0,0.0,-6.064362831874556,0.0,0.0,0.0,0.0,0.0,0.0,0.1154485049833887,0.0,0.0,0.0,0.0,0.0,1.59,0,0,SURGW,-9.313155874072178,17.22030288689068,0.35830564784053154,0.0,0.0,0.0,0.0,0.0,0.7367791687206454,4.728870574686923,-7.294791319306114,1.5462190820633241,-121.78657047724751,-168.18068812430633,-2.636439856420468,-2.0381580595332527,142.5915043737067,-2.5660802665751947,0.0
2009,2009-04-30,2009-08-07,374534.0,0.0,1.2176896267970376,-6.064362831874556,0.0,0.0,0.0,0.0,0.0,0.0,0.8522276737040341,0.0,-3.14583795782464,0.0,0.0,0.0,1.59,0,0,SURGW,-4.584285299385256,9.925511567584564,1.9045247299038557,-121.78657047724751,-168.18068812430633,-2.636439856420468,0.027258095745195797,0.0,0.7367791687206454,4.728870574686923,-7.294791319306114,1.5462190820633241,-121.78657047724751,-168.18068812430633,-2.636439856420468,0.0,142.5915043737067,0.0,0.0
2010,2010-04-30,2010-07-29,507450.0,0.0,1.5705842355771746,-8.945689384325624,0.0,0.0,0.0,0.0,0.0,0.0,0.0264445948464428,0.0,-0.6463083037021543,0.0,0.0,0.0,1.59,0,0,SURGW,-8.218790670198725,9.318333560074093,0.436343988987958,-93.02489019033675,-186.24388203304747,-1.7807033149498903,0.04412918470385173,-2.8813265524510676,-0.8257830788575913,-3.6345053708134696,-0.6071780075104716,-1.4681807409158978,28.76168028691076,-18.06319390874114,0.8557365414705778,-0.7628732904465627,0.5918978912319645,-0.2159479156509131,0.6729466553767993
2011,2011-04-30,2011-07-01,37962.0,0.0,3.3097723772034917,6.835007264610195,0.0,0.0,0.0,0.0,0.0,0.0,0.0057302003969524,0.0,-0.8780487804878049,0.0,0.0,0.0,1.59,0,0,SURGW,-48.43547835016259,4.997236593505553,0.07506882642934887,-87.1766755482681,-116.01086288173806,-0.3414793494958769,0.4175081293855896,15.78069664893582,-0.0207143944494904,-40.21668767996387,-4.32109696656854,-0.36127516255860914,5.848214642068655,70.2330191513094,1.4392239654540133,0.7881114634993651,-0.659834065397755,0.681219346212421,0.537864077669903
2012,2012-04-30,2012-07-23,431172.0,0.0,150.92270024484085,1.875332945531327,0.0,0.0,0.0,0.0,0.0,0.0,0.0008852034931192,0.0,0.4536771728748806,0.0,0.0,0.0,1.59,0,0,SURGW,-217.9370409233998,0.8105500738244993,0.0008852034931192601,-311.33667621776505,-297.55587392550143,-0.5613107588638182,0.7324239244491081,-4.959674319078868,-0.0048449969038332,-169.5015625732372,-4.186686519681054,-0.07418362293622961,-224.16000066949695,-181.54501104376337,-0.21983140936794132,-0.1008185266520263,-0.5708136913301907,-0.5327659374375492,1.2217553688141924
2013,2013-04-30,2013-07-26,503188.0,0.0,180.2684323550465,0.1575738854865713,0.0,0.0,0.0,0.0,0.0,0.0,0.0008707155338769,0.0,0.1867677463818056,0.0,0.0,0.0,1.59,0,0,SURGW,-31.537222619899786,0.1060345149175153,0.0008707155338769509,-25.12818745692626,-60.727084769124744,-0.6060988949498377,0.51932712956335,-1.7177590600447556,-1.4487959242299943e-05,186.3998183035,-0.704515558906984,-1.4487959242309267e-05,286.2084887608388,236.82878915637667,-0.0447881360860195,0.8585820164922113,-0.30706781279847184,0.9440729884237636,-0.7147368421052631
2014,2014-12-31,2014-12-31,232276.0,0.0,0.8174664683308541,0.1592655448432595,0.0,0.0,0.0,0.0,0.0,0.0,0.9872971625779045,0.0,0.3726203767613718,0.0,0.0,0.0,1.59,0,0,SURGW,0.06638520481506019,-0.2658232600045048,1.0014636361038705,0.01695844946191369,0.00794285838208428,-3.273343844632981,8.357848223102788,0.001691659356688191,0.9864264470440276,31.603607824714846,-0.3718577749220201,1.0005929205699935,25.145145906388173,60.73502762750683,-2.6672449496831434,1.241082676048346,1842.196416264645,2.243931872411618,3676.361623616236
2015,2015-12-31,2016-04-14,1698107.0,0.0,0.6729025899346853,-1.1308640000409538,0.0,0.0,0.0,0.0,0.0,0.0,0.1326838423293266,0.0,0.1767331379355017,0.0,0.0,0.0,1.59,0,0,SURGW,-0.5457196773440769,2.362614071433398,0.1332467978535299,-0.4319182816757523,-0.5060301399331345,-2.913234016814257,1.07843314909303,-1.2901295448842132,-0.8546133202485778,-0.612104882159137,2.628437331437903,-0.8682168382503406,-0.448876731137666,-0.5139729983152188,0.3601098278187238,-68.48147625100033,0.05921716312491634,-27.977422555396316,-0.4976153085849894
2016,2016-12-31,2017-12-11,1890566.0,0.0,0.8290500864144006,-20.41910126002921,0.0,0.0,0.0,0.0,0.0,0.0,0.0468329961324113,0.0,0.2937077064148386,0.0,0.0,0.0,1.59,0,0,SURGW,-2.0569359328640284,2.6713901387786225,0.18691054495511458,-0.8181258677114137,-1.4707540493704856,-1.0767064690815509,1.3985587418538412,-19.288237259988254,-0.0858508461969153,-1.5112162555199515,0.30877606734522445,0.05366374710158467,-0.3862075860356614,-0.9647239094373511,1.8365275477327063,-2.3824022032648555,0.1637550554158652,-1.2043478012130169,0.9340109735368783
2017,2017-12-31,2018-04-10,878380.0,0.0,0.347846445965883,-0.9114807673933464,0.0,0.0,0.0,0.0,0.0,0.0,0.1093435422000542,0.0,0.4873436223661978,0.0,0.0,0.0,1.59,0,0,SURGW,-0.47180109272732645,-2.4448408952760303,0.12851975454319503,-1.4470316224109572,-1.0379586424519118,4.181931396434908,0.4545471018120887,19.507620492635862,0.06251054606764289,1.585134840136702,-5.116231034054653,-0.05839079041191955,-0.6289057546995435,0.43279540691857377,5.258637865516459,0.6939083103443724,-0.5662779097091769,0.2328691650532376,-0.28033316809187425
2018,2018-12-31,2019-04-01,817888.0,0.0,0.3091091340096437,2.23500633072226,0.0,0.0,0.0,0.0,0.0,0.0,0.3531395325785392,0.0,0.4378015705035799,0.0,0.0,0.0,1.59,0,0,SURGW,-0.37731587011589207,0.7750992967122062,0.6385220475226078,-0.10072509758658318,-0.10109304189048196,-0.6349859397766761,3.7323624164425984,3.1464870981156063,0.24379599037848498,0.09448522261143438,3.2199401919882367,0.5100022929794128,1.346306524824374,0.9368656005614299,-4.816917336211584,-0.0383587081611806,9.661202541206485,0.2578941263466195,8.577413147082755
2019,2019-12-31,2020-05-12,8155942.0,0.0,0.8513583460181189,-1.886425309711599,0.0,0.0,0.0,0.0,0.0,0.0,0.4930452030613581,0.0,0.2112224861953418,0.0,0.0,0.0,1.59,0,0,SURGW,-0.9441511948331992,2.006259236128917,0.5067794385241882,-0.2634662061339456,-0.3662614151195856,-1.8090805310647784,2.5778068774318763,-4.121431640433859,0.13990567048281888,-0.5668353247173071,1.2311599394167105,-0.1317426089984196,-0.16274110854736243,-0.26516837322910364,-1.1740945912881022,-5.118214652340764,0.6887089510700987,-3.417148766923982,-0.18526262321291176
2020,2020-12-31,2021-04-02,6994889.0,0.0,1.046936473380258,3.625380832939019,0.0,0.0,0.0,-0.4061798044061345,291.28148887605226,0.0,0.069729393509174,0.0,0.0453744301170655,0.0,0.0,0.0,1.59,0,0,SURGW,-1.7011054227324214,1.1617338708699991,0.08174704078978226,-0.15430848444866843,-0.2290287381052526,-0.7149830607331777,7.4274758565480115,5.511806142650618,-0.42331580955218406,-0.7569542278992222,-0.8445253652589177,-0.42503239773440593,0.10915772168527718,0.137232677014333,1.0940974703316007,-0.3215808505272124,1.113464347371965,-0.237826608447311,-0.5459894348272585
