Year,Date,FillingDate,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Price,MarketCap,AvgVolume,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2012,2013-12-31,2013-12-31,-994.0,0.0,0.0,0.9822126518614446,0.0,0.0,0.0,0.0,0.0,0.0,0.0809380343620226,0.0,0.0,0.0,Scientific & Technical Instruments,Technology,0.25,22763976,496903,WATT,-5554.407444668008,1.032925345344851,0.08093803436202264,0.0,0.0,0.0,0.0,0.0,0.172439009920018,5552.073805033996,0.0,0.1889346235006375,0.0,0.0,-0.1551513051599486,0.0,0.040403182364287984,0.0,0.0
2013,2013-12-31,2013-12-31,96231842.18,-0.5808669733200275,0.3505260439407625,0.9822126518614446,0.0,-17.63356201077289,-18.21415312963743,0.0,0.0,0.0,0.2533770442820406,-26.819687589530893,0.0,0.0,Scientific & Technical Instruments,Technology,0.25,22763976,496903,WATT,-2.3336396340115484,1.032925345344851,0.2698726578626601,0.0,0.0,-0.1551513051599486,0.0,0.0,0.172439009920018,5552.073805033996,0.0,0.1889346235006375,0.0,0.0,-0.1551513051599486,0.0,0.040403182364287984,0.0,0.0
2014,2014-12-31,2015-03-30,55459757.36,3.947742384441435,0.0,-0.6505217993686767,0.0,-1.9067635816943187,2.7762703167245117,0.0,0.0,0.0,12.555850037474684,-5.047820664401618,0.0,-8.583333333333334,Scientific & Technical Instruments,Technology,0.25,22763976,496903,WATT,-1.3480508971568501,-1.456011822009713,12.754132580650305,0.0,0.0,0.08008668298842521,0.0,-1.6327344512301214,12.302472993192644,0.9855887368546983,-2.488937167354564,12.484259922787645,0.0,0.0,0.23523798814837382,-7.259815423827327,0.040403182364287984,-3.593585121757108,0.0
2015,2015-12-31,2016-03-15,75359821.65,2.2004888108321623,0.0,-0.9420202976798104,42.09295426,-3.8180655770097216,3.5946558605806604,0.0,0.0,0.0,8.783847106548594,-5.001888946228132,1.0,0.64,Scientific & Technical Instruments,Technology,0.25,22763976,496903,WATT,-0.8434967600217508,-0.9414861500089702,9.01997411236949,-11.0309356,-11.0246808,0.11617044028087621,0.07650985777490726,-0.2914984983111337,-3.7720029309260905,0.5045541371350993,0.5145256720007427,-3.7341584682808158,-11.0309356,-11.0246808,0.036083757292451,0.3956179304437789,0.040403182364287984,-0.3535083617635962,0.0
2016,2016-12-31,2017-03-16,266127232.05,1.6177234953592023,0.0,-1.6052103967665412,204.81952713643324,-6.490676205853175,10.4158714689735,0.0,0.0,0.0,4.682388508638632,-8.695571303812581,1.0,-0.2560386473429953,Scientific & Technical Instruments,Technology,0.25,22763976,496903,WATT,-1.2994546631294077,-1.604743656690293,4.899357859015221,-31.565139354836045,-31.555961295947977,0.23493624073476643,0.04117937181321957,-0.6631900990867308,-4.101458597909962,-0.45595790310765694,-0.6632575066813229,-4.120616253354268,-20.534203754836046,-20.531280495947975,0.11876580045389022,-0.6623572085642606,-0.4192236,-0.6618978357556543,-0.4192236
2017,2017-12-31,2018-03-16,402326115.45,0.5509407978756127,0.0,-4.200098820195718,359.7210848875529,-8.407202145741302,35.303248688421284,0.0,0.0,0.0,3.5087068772854475,-11.777245825874935,1.0,0.1115384615384615,Scientific & Technical Instruments,Technology,0.25,22763976,496903,WATT,-3.205157332358786,-4.199167342051395,3.812293529930362,-42.79674421949915,-42.78725295903238,0.3101283046723583,0.07490916361065844,-2.594888423429177,-1.1736816313531846,-1.9057026692293784,-2.594423685361102,-1.0870643290848587,-11.231604864663108,-11.231291663084402,0.07519206393759187,-0.0776884211267013,-0.20519566566410066,-0.0776140545031804,-0.20519566566410066
2018,2018-12-31,2019-02-28,127459018.3,0.7207973155742288,0.0,-2.7723573230574017,286.63347072683234,-2.902540306649933,8.032771314342856,0.0,0.0,0.0,5.536403209685103,-4.419870058390069,1.0,0.1385281385281385,Scientific & Technical Instruments,Technology,0.25,22763976,496903,WATT,-2.3098469621019264,-2.7674969046731883,5.711610518790659,-98.92605808209812,-98.75262371727759,0.19812998440156698,0.023390233850544263,1.4277414971383164,2.0276963323996555,0.8953103702568597,1.431670437378207,1.8993169888602965,-56.12931386259897,-55.96537075824521,-0.11199832027079132,-0.0296342569269521,-0.553883028641891,-0.031213804340616,-0.553883028641891
2019,2019-12-31,2020-03-13,34005271.34,0.6282621986540369,0.0853755915353391,-1.582764605047801,267.63302408777724,-1.4703438076093576,2.817295078061318,0.0,0.0,0.0,4.8663427097498335,-1.9973967720293253,1.0,0.3969849246231156,Scientific & Technical Instruments,Technology,0.25,22763976,496903,WATT,-1.4640013287266735,-1.9160791261752432,4.967090163209931,-193.90086088446762,-182.02071019221256,0.3087960294692954,0.008043048107991111,1.1895927180096006,-0.6700604999352695,0.8458456333752529,0.8514177784979451,-0.744520355580728,-94.9748028023695,-83.26808647493498,0.11066604506772842,0.2834365936415337,-0.6112392025997284,0.2380060951030063,-0.6112392025997284
2020,2020-12-31,2021-03-24,25624380.8,1.1780164494087837,0.0263868576910067,-0.5922670991063447,228.96547670688864,-2.445526986972661,1.5279922456968864,0.0,0.0,0.0,14.47220797155551,-3.0067121156397483,0.6134443256453337,0.3833333333333333,Scientific & Technical Instruments,Technology,0.25,22763976,496903,WATT,-0.5767528779027782,-0.6248110341192354,14.653575771594081,-97.44665953872003,-93.6262318619215,0.08332538606692184,0.006160163305016529,0.9904975059414564,9.605865261805677,0.8872484508238954,1.2912680920560078,9.68648560838415,96.45420134574759,88.39447833029107,-0.22547064340237355,0.1587042783850781,0.6355805598996718,0.1780239590392677,0.0033376136062715158
2021,2021-12-31,2022-03-23,32755461.0,0.7236530635769135,0.0130174422084801,-0.906936471460414,107.2395688120794,-1.6725505058467438,1.7273470712905283,0.0,0.0,0.0,11.355420045720765,-2.7902705427509007,1.0,-0.0135135135135135,Scientific & Technical Instruments,Technology,0.25,22763976,496903,WATT,-0.9445702664388471,-1.0327622784796224,11.556710589768414,-49.43969222759724,-64.11738744940823,0.09336733875106051,0.014731889492287245,-0.31466937235406933,-3.116787925834746,-0.36781738853606893,-0.407951244360387,-3.0968651818256667,48.006967311122786,29.50884441251327,0.01004195268413867,-0.58322644137094,1.3118771956621353,-0.1729339677992815,2.7686829904736294
2022,2022-12-31,2023-03-30,40460801.444,0.3180646980813719,0.0662128244076329,-0.9189556276154124,76.09123872663777,-2.504546128112628,2.628396062319756,0.0,12.072887234102872,0.0,6.877042116755427,-2.72156853752841,-0.500685405387627,0.5599999999999999,Scientific & Technical Instruments,Technology,0.25,22763976,496903,WATT,-0.8692993246175955,-1.049450051175723,7.119898025559179,-31.34695960748061,-30.381248671182785,0.20723670369510022,0.02861302160507126,-0.012019156154998378,-4.478377928965338,0.0752709418212516,-0.016687772696100556,-4.4368125642092355,18.09273262011663,33.73613877822544,0.11386936494403971,0.4669768869121184,0.12490601789392872,0.286759647636937,-1.563224025592203
