Quarters,Year,Quarter,FillingDate,Date,MarketCap,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2007Q1,2007,Q1,2007-05-15,2007-03-31,4814606.8,4277447.8,0.1583996620450916,0.0,0.0533516141184209,1.8477168183977777,12.67361987091068,2.71465225650287,0.0,0.0,0.0,1.774269776947087,-17.75304038731706,0.23262754892532,0.0752688172043011,Information Technology Services,Technology,WAVD,0.02719669285832308,0.053549267773403034,1.989229079042616,0.034233716313352314,0.03644808738975157,0.9689624783557167,0.7461761317541785,-0.0452464763319611,0.1898859688472898,-0.02002988823579194,-0.04059027833457759,0.19528774515114877,-0.030043670020225094,-0.027239529713052442,-0.16076620102387473,-0.1062290021738925,0.09600800486786219,-0.2318297681788433,0.1284682920290718
2007Q2,2007,Q2,2007-08-14,2007-06-30,4590671.6,3669854.6,0.1622481860824024,0.0,0.0081051377864598,1.7956615497147506,48.74980460453657,2.526992812059974,0.0,0.0,0.0,1.9641557457943768,11.965530759165716,0.2162559871075498,-0.79,Information Technology Services,Technology,WAVD,0.007166804622531141,0.012958989438825445,2.1845168241937647,0.004190046293127221,0.009208557676699126,0.808196277331842,0.7782765634042413,-0.0452464763319611,0.1898859688472898,-0.02002988823579194,-0.04059027833457759,0.19528774515114877,-0.030043670020225094,-0.027239529713052442,-0.16076620102387473,-0.7521190233013594,-0.018870509566313313,-0.8799143526563008,-0.08791917632172416
2007Q3,2007,Q3,2007-11-13,2007-09-30,4702639.2,3439180.2,0.1731819740710705,0.0,0.0487417207904836,1.7845107909901663,12.35235193376551,2.42519466735978,0.0,0.0,0.0,1.9294120029355672,13.724643213616543,0.2330894858711911,3.7619047619047614,Information Technology Services,Technology,WAVD,0.02666959953709217,0.04908366196907085,2.1475828205499523,0.0331023119593026,0.03611682213555126,0.8404349079484724,0.7384259732763199,0.0406365830040238,-0.034743742858809545,0.01950279491456103,0.03612467253024541,-0.036934003643812385,0.028912265666175378,0.02690826445885213,0.03223863061663046,3.0428595701299805,0.03079128586152742,7.1434839432412245,0.11102871220150995
2007Q4,2007,Q4,2008-04-15,2007-12-31,3806898.4,2584156.4000000004,0.1713793097288858,0.0,0.0026159959278844,1.7658948227795843,-41.48394211489845,1.98390342765334,0.0,0.0,0.0,1.959428450030882,-93.49653461699046,0.2403963280282402,-1.2,Information Technology Services,Technology,WAVD,-0.00686797601866346,-0.0119558516290382,2.288017625979749,0.0019732905338646156,-0.01064203841747109,0.7408114991299671,0.6453628289283628,-0.0461257248625992,0.030016447095314813,-0.03353757555575563,-0.06103951359810905,0.14043480542979658,-0.031129021425437983,-0.04675886055302235,-0.09962340881850529,-1.2410456307721403,-0.18194223403133056,-0.9512340513337842,-0.1562979242979243
2008Q1,2008,Q1,2008-05-20,2008-03-31,3247060.4,2002274.4,0.1609515609872856,0.0,-0.0653562727397531,1.8563456454725904,-7.217550301855589,1.80178432704302,0.0,0.0,0.0,1.8582267984244352,147.29905643258937,0.2537772243718156,-4.0,Information Technology Services,Technology,WAVD,-0.03461459863180145,-0.06240982922487537,2.186724483449658,-0.07067188514768163,-0.06429971277773204,0.8029915611252425,0.5383320879123584,-0.0679722686676375,-0.1012016516064469,-0.027746622613137987,-0.05045397759583717,-0.10129314253009092,-0.07264517568154626,-0.05365767436026095,0.06218006199527537,-3.9024060674745007,-0.18861855746617248,-30.059003291020215,-0.1434555923464623
2008Q2,2008,Q2,2008-08-14,2008-06-30,1791481.6,729997.6000000001,0.1539221167552041,0.0,-0.0461712266386826,1.055419426750842,-5.6119187539940105,1.0394867441594635,0.0,0.0,0.0,1.9949179601166749,-9.773388179070606,0.2353164700143512,0.33,Information Technology Services,Technology,WAVD,-0.02668035558652018,-0.04630710055360563,2.2989734957777186,-0.04956368872141825,-0.047016870388568006,0.7356253144167819,0.5674634522889771,0.019185046101070496,0.13669116169223972,0.007934243045281269,0.016102728671269738,0.11224901232806062,0.02110819642626338,0.017282842389164034,-0.06736624670846059,0.2904215308835166,-0.029588924562992235,0.3194301754613038,-0.10018044645290933
2008Q3,2008,Q3,2008-11-14,2008-09-30,1567546.4,466560.40000000014,0.1476817400748073,0.0,-0.0427020906897407,0.982237166127575,-5.51479151714724,0.9479844964521936,0.0,0.0,0.0,1.882568331050554,39.68270973621589,0.3074540038373476,0.1343283582089553,Information Technology Services,Technology,WAVD,-0.024919187363982638,-0.042974629843422395,2.3198494951594233,-0.048073368281352016,-0.04452739342337273,0.7245598428115874,0.5596372356011836,0.0034691359489419024,-0.11234962906612078,0.001761168222537541,0.0033324707101832357,0.020875999381704702,0.0014903204400662368,0.0024894769651952753,-0.011065471605194555,0.1095893843898404,-0.059807518740294045,0.088077974563176,0.2284135603574102
2008Q4,2008,Q4,2009-03-31,2008-12-31,895740.8,-653594.2,0.1386296571508186,0.0,-0.0658197486738068,0.5425509697270712,-2.312902292914687,0.5770770962303255,0.0,0.0,0.0,1.6172580570941422,1.99786505601663,0.2073847048419726,-0.4827586206896552,Information Technology Services,Technology,WAVD,-0.030220448212757947,-0.06237586192012256,1.9023249139615934,-0.0654980678142679,-0.05864395692255509,1.0640283519616958,0.515320755941945,-0.0231176579840661,-0.26531027395641194,-0.005301260848775309,-0.019401232076700164,-0.41752458119782987,-0.01742469953291588,-0.01411656349918236,0.3394685091501084,-0.3624913806447981,0.034517330098364926,-0.4094890510948905,-0.302194577144441
2009Q1,2009,Q1,2009-05-15,2009-03-31,895740.8,-241217.19999999995,0.1331561987574977,0.0,-0.041621522344636,0.6423609004547309,-3.854704444520949,0.600798165962179,0.0,0.0,0.0,2.141346684203827,-2.1721405413008,0.2871610404381365,0.3953488372093023,Information Technology Services,Technology,WAVD,-0.023870865414405685,-0.03896525496372034,2.521440239297382,-0.047756428874159075,-0.04166084000083187,0.63233524580158,0.5729808955827352,0.024198226329170798,0.5240886271096847,0.006349582798352262,0.023410606956402222,0.6191153253357886,0.01774163894010882,0.016983116921723225,-0.4316931061601158,0.3999793431109275,-0.1553798350070867,0.3841643855885182,0.16952696940313328
2009Q2,2009,Q2,2009-08-14,2009-06-30,1119676.0,162129.0,0.1337776285282528,0.0,0.0033694316523868,0.7972117993008139,46.79354730859245,0.7475091396083522,0.0,0.0,0.0,2.7955665903269766,-6.240843649497522,0.3588284715448312,1.1346153846153846,Information Technology Services,Technology,WAVD,0.0027207097313810807,0.003993655015501951,3.063812846471608,0.002575312034973549,0.004259197288695541,0.46787250747057835,0.6387846223048168,0.0449909539970228,0.6542199061231497,0.026591575145786764,0.04295890997922229,0.5423726071742259,0.05033174090913262,0.045920037289527406,-0.1644627383310016,1.1029710469239509,0.007199249023450806,1.054314202480704,0.2585682462940025
