Year,Date,FillingDate,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Price,MarketCap,AvgVolume,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2008,2008-12-31,2009-03-10,321231480.0,16.85713667632934,0.188763619386544,0.0842152030721645,0.4053367026413056,11.01864373538508,1.12474617510953,0.0465917376983229,14.615033647170128,0.004228445788541,10.242757598220903,3.040466800804829,0.1141072505484991,0.3076923076923076,Electrical Equipment & Parts,Industrials,178.78,3141200356,256160,WIRE,0.07456983269552761,0.10207664410616525,12.209280948851001,0.05751841588261193,0.03678644235856491,0.368873181236028,2.027100962052278,-0.0744696141752139,-7.46666413412358,-0.06776795151518797,-0.09282435902585665,-9.089480310342996,-0.04774644395471024,-0.031189263730674148,-0.008619328661877423,0.2914339524613586,0.11579143867817457,0.2208697359379601,0.1080522746665469
2009,2009-12-31,2010-03-05,358502770.0,17.07809308591543,0.1878748423931547,0.0097455888969506,0.746354783540354,133.3448212321232,1.2337443000223929,0.506050605060506,14.084956417545756,0.003795052559106,2.7760934640973227,85.73682935455349,0.077145931500755,-0.9058823529411764,Electrical Equipment & Parts,Industrials,178.78,3141200356,256160,WIRE,0.006801881180339645,0.009252285080308613,3.1198006385080044,0.009771971927901689,0.00559717862789076,0.3602538525741506,1.215233894170511,-0.0744696141752139,-7.46666413412358,-0.06776795151518797,-0.09282435902585665,-9.089480310342996,-0.04774644395471024,-0.031189263730674148,-0.008619328661877423,-0.9085766010409595,-0.3991362756814154,-0.8979175042212753,-0.5937664653670004
2010,2010-12-31,2011-03-04,478202720.0,17.571471704623878,0.0,0.0424163010855052,0.6388053903333473,38.02843165467626,1.4273135694945958,0.1213211249182472,19.66114858445753,0.0031902742143016,5.049025845614156,-30.16782816229117,0.0905372535491341,3.125,Electrical Equipment & Parts,Industrials,178.78,3141200356,256160,WIRE,0.03203597080096213,0.037532801311807,5.882705965298437,0.02783496773314642,0.016798099804223584,0.17158307906435563,1.9071187321382177,0.03267071218855459,2.272932381516833,0.02523408962062248,0.02828051623149839,2.762905326790433,0.01806299580524473,0.011200921176332824,-0.18867077350979497,3.2051705170517053,0.4011757769625916,2.9911783238815377,0.644397884864811
2011,2011-12-31,2012-03-02,491172000.0,19.645622317596565,0.0,0.1096370850362805,0.5112099038182967,12.037860804691707,1.3183598656888251,0.0371626338991841,16.374273519081445,0.0030871460056009,7.321212121212121,519.3373493975904,0.1193207135438815,2.242424242424242,Electrical Equipment & Parts,Industrials,178.78,3141200356,256160,WIRE,0.0971256194952591,0.10951778618132882,8.85727037820061,0.06461641679528732,0.0424668395915539,0.12758906198456338,2.2870931868114837,0.0672207839507753,2.2721862755979654,0.06508964869429697,0.07198498486952182,2.974564412902173,0.0367814490621409,0.02566873978733032,-0.04399401707979225,2.2786788750817526,0.29690778733100276,2.010656772971266,0.7092186533024306
2012,2012-12-31,2013-02-26,623237800.0,18.9190036900369,0.0,0.0482508659416832,0.6127868938068612,33.169491696532226,1.602092821408022,0.0889909646156175,15.426998240542918,0.0026829161396199,5.111956258129947,-64.16568694463432,0.0842329169262217,-0.5747663551401869,Electrical Equipment & Parts,Industrials,178.78,3141200356,256160,WIRE,0.041930970840291494,0.04830019211827464,6.7652181581674276,0.02736611622346477,0.01847441315692294,0.1518977774743761,2.269678093919787,-0.0613862190945973,-2.2092558630821744,-0.0551946486549676,-0.06121759406305418,-2.0920522200331826,-0.03725030057182255,-0.023992426434630964,0.024308715489812727,-0.6048153836947199,-0.09159540997938116,-0.6152757020372847,-0.35872350999254554
2013,2013-12-31,2014-02-28,1083861200.0,22.08265621977172,0.0,0.102648873450639,0.9675262378135328,23.88913238115541,2.454414879287574,0.035259006608399,14.455778468493923,0.0014759433723182,5.269773362828165,413.0627349797272,0.1166171092301157,1.4835164835164831,Electrical Equipment & Parts,Industrials,178.78,3141200356,256160,WIRE,0.08921202070646944,0.10274190121796571,6.888142242998455,0.06097032424722772,0.04050068551575996,0.15165983691831242,2.2027286592903357,0.0543980075089558,0.15781710469821775,0.04728104986617795,0.05444170909969107,0.12292408483102779,0.033604208023762946,0.02202627235883702,-0.00023794055606368714,1.367876432285094,0.08010832304438485,1.4064267702582975,0.4953668338370587
2014,2014-12-31,2015-02-25,718589620.0,23.80935599111712,0.0,0.0751965903116072,0.6626114265980794,20.82950246477925,1.56787105094011,0.0446354012337365,13.31614931438576,0.0021428932980617,4.441049580370083,41.02576506791171,0.1070944721370307,-0.2123893805309733,Electrical Equipment & Parts,Industrials,178.78,3141200356,256160,WIRE,0.06481525130466817,0.07527165152366141,5.819458020155718,0.04807370141193629,0.03181119797357108,0.16132623122669495,2.037497970322182,-0.027452283139031794,-0.8287237824580815,-0.02439676940180127,-0.027470249694304297,-1.0686842228427373,-0.01289662283529143,-0.00868948754218888,0.009666394308382537,-0.20863355361330208,0.007534629769687426,-0.20558206714906754,-0.07473791755508173
2015,2015-12-31,2016-02-26,689093170.0000001,26.004876164727467,0.0,0.0881909046508102,0.7549415893131243,16.137909253229704,1.426270971838281,0.0348072681441025,9.24790559976484,0.0021568635439647,4.346025671689389,28.39358280666741,0.1343544066460827,0.2865168539325842,Electrical Equipment & Parts,Industrials,178.78,3141200356,256160,WIRE,0.07579014067465245,0.08838015813931037,5.9021765127959815,0.0709782217758657,0.0467806317080409,0.16611682406955308,1.6201179399983443,0.012994314339202992,-0.09502390868069455,0.010974889369984281,0.013108506615648954,0.08271849264026354,0.022904520363929412,0.014969433734469823,0.004790592842858127,0.28235864558360046,-0.12798602202781711,0.28748150656851035,0.09397729182169519
2016,2016-12-31,2017-02-24,801765400.0,27.681076120556416,0.0,0.0589888397337989,0.9540050383188596,26.523195129879728,1.5660518330718938,0.0489376163598215,8.798518343804275,0.0018450875213254,5.515290279470147,68.06600940391324,0.1276767397612644,-0.2882096069868996,Electrical Equipment & Parts,Industrials,178.78,3141200356,256160,WIRE,0.05142986546376398,0.059044614549762786,7.397154199913525,0.05396103274907259,0.03596870715037362,0.14806084008452144,1.4298502653640626,-0.0292020649170113,1.1692646077807582,-0.024360275210888474,-0.029335543589547583,1.4949776871175438,-0.01701718902679311,-0.010811924557667281,-0.018055983985031637,-0.28917130553513287,-0.07550151234937924,-0.29715211341704856,-0.12145082722604994
2017,2017-12-31,2018-02-26,886952550.0,30.882891125343093,0.0,0.1039358558369765,0.867782937999464,15.07549651580942,1.57530588061028,0.0247847561066595,10.914015048990418,0.0016440424420295,4.917521743379263,38.47498191096386,0.1341423820354426,0.9693251533742332,Electrical Equipment & Parts,Industrials,178.78,3141200356,256160,WIRE,0.09130692462277326,0.10449446085959975,6.240091580460974,0.06824061540152958,0.05756247809745003,0.14443084455324356,1.5862229639974113,0.0449470161031776,-0.597768536090884,0.039877059159009284,0.045449846309836964,-1.1570626194525513,0.01427958265245699,0.02159377094707641,-0.0036299955312778798,0.980466325837052,0.23752165733054134,0.5650041366268762,0.3001906474520676
