Year,Date,FillingDate,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Price,MarketCap,AvgVolume,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2009,2009-04-30,2009-04-30,2699976100.0,8.790222359163971,0.3698327298368311,0.1275302257721048,1.2290035931711132,15.440784200595672,3.856557731404669,0.2376304012225358,4.641268300574295,0.0153897883770287,0.4713459872991304,6.707640747038063,0.6795189246551114,-0.1365461847389559,Publishing,Communication Services,33.055,1827230917,513430,WLY,0.057677536798896256,0.24976436956200002,0.7363371844674831,0.1355835645002141,0.07959463568720174,3.3303577687939616,0.7246410050240409,-0.0007068375406995009,0.03289796114475513,0.004295900751023832,-0.05107133654592663,-0.016090792268518728,0.007196392911581334,0.00488903824582719,-1.1242578512926191,-0.1306664136210823,0.016837771207924776,-0.0202340912148526,-0.036865743322526
2010,2010-04-30,2010-06-23,2960123890.0,12.390210437854805,0.2802000861755581,0.1268233882314053,1.4505867884750527,17.170024940261804,3.4115643323422424,0.2297987362671812,5.456952491901448,0.01338371592742,0.5042439484438855,11.446816201605111,0.6857083496658745,0.1209302325581396,Publishing,Communication Services,33.055,1827230917,513430,WLY,0.06197343754992009,0.19869303301607338,0.7202463921989644,0.14277995741179544,0.08448367393302893,2.2060999175013425,0.7335551907821511,-0.0007068375406995009,0.03289796114475513,0.004295900751023832,-0.05107133654592663,-0.016090792268518728,0.007196392911581334,0.00488903824582719,-1.1242578512926191,0.11917385270314522,0.054407685290339396,0.11037266910169445,0.0640117994100295
2011,2011-04-30,2011-06-24,3344306383.26,16.107548837685375,0.1869027352733853,0.1289033150365623,1.7743867371801456,17.988116652374497,3.161871524539084,0.2255176305639104,5.065098709865349,0.0125370340276363,0.4893973147884949,9.6254953934613,0.69065869521179,0.1618257261410787,Publishing,Communication Services,33.055,1827230917,513430,WLY,0.07073210978293029,0.17577557371030864,0.6974013868965381,0.14240501425783234,0.09864216312750675,1.4850887984219068,0.7170575699105525,0.0020799268051570063,-0.014846633655390629,0.008758672233010203,-0.022917459305764748,-0.02284500530242628,-0.00037494315396310873,0.014158489194477819,-0.7210111190794357,0.19747392767324076,0.025595887613283092,0.022902651365255242,0.03299998884178597
2012,2012-04-30,2012-06-26,2904688550.1,17.09744590469185,0.1875286721469782,0.1468974145071055,1.508641491646015,12.641922997847196,2.6430848357063117,0.2268291765767629,5.36756324268795,0.0179426165319461,0.6730703821010094,8.612770798761332,0.6951908913348089,0.2392857142857144,Publishing,Communication Services,33.055,1827230917,513430,WLY,0.08399152607280218,0.20907300544042265,0.896509759256081,0.15729645680642515,0.11933639303948636,1.489215462750401,0.7038215579803122,0.0179940994705432,0.18367306731251454,0.013259416289871886,0.03329743173011401,0.19910837235954293,0.014891442548592815,0.02069422991197961,0.0041266643284942894,0.2376940932811291,0.023064461241019633,0.13004739107306929,0.029777949128713725
2013,2013-04-30,2013-04-30,2578326611.69,16.845774044173243,0.239811144269743,0.092619275690988,1.2718619903758452,15.527589611301789,2.2658501710820795,0.3981695267810712,6.489288805979248,0.0256427131801102,0.7432464637895346,8.045997462356242,0.6977290720352026,-0.3112391930835735,Publishing,Communication Services,33.055,1827230917,513430,WLY,0.0513919201817291,0.14592414069424378,0.9517393643889329,0.11326072906408417,0.08190981486592859,1.839437409192639,0.6274207830386175,-0.0542781388161175,0.07017608168852518,-0.03259960589107308,-0.06314886474617887,0.05522960513285191,-0.04403572774234098,-0.03742657817355777,0.35022194644223803,-0.322078911001852,-0.0123203469711265,-0.28882493696932093,-0.008714273495859914
2014,2014-04-30,2014-04-30,3606876030.02,20.020308391337007,0.2274998253375859,0.0901288099612351,1.9114255222778345,21.1398232510124,2.8700856588634536,0.3672855273814716,6.714073779720511,0.017374105876873,0.8718768289456912,11.673959368402944,0.7144657347502669,0.1297071129707113,Publishing,Communication Services,33.055,1827230917,513430,WLY,0.05215825877008415,0.13576677651389557,1.0823411053102645,0.11642270285799589,0.09041823574311554,1.602977547857979,0.5768555241253475,-0.002490465729752908,0.12863036515615656,0.0007663385883550505,-0.01015736418034821,0.1306017409213316,0.0031619737939117126,0.00850842087718695,-0.23645986133466002,0.11291384988732883,0.008187857867374535,0.036334097188444894,0.03237160024940051
2015,2015-04-30,2015-06-26,3639367579.28,17.931198509350153,0.249676873674999,0.1033165233764182,1.8363943829591096,18.922125988194587,3.1721248287079167,0.3872831716308207,7.834600730648018,0.0204672123984611,0.7523165228081221,11.701772298977977,0.7258164877856061,0.1,Publishing,Communication Services,33.055,1827230917,513430,WLY,0.05887273432941343,0.1676410373066424,0.9219045320107555,0.1304509339127763,0.09705010864555212,1.8475157340006065,0.6066220342362452,0.0131877134151831,-0.11956030613756907,0.006714475559329282,0.03187426079274683,-0.160436573299509,0.014028231054780405,0.006631872902436581,0.24453818614262746,0.10191265341723257,0.026613977619360126,0.15031474841900005,0.04292384547699469
2016,2016-04-30,2016-04-30,3095811116.11,18.01650118513704,0.2071164384874718,0.0955422881592932,1.6528945912044737,19.581362007037907,2.7524767151188017,0.4794556255230413,8.063777497014486,0.0244853052280385,0.6797636756897802,11.139854971317298,0.7302217613172155,-0.164983164983165,Publishing,Communication Services,33.055,1827230917,513430,WLY,0.049906610395550166,0.14056615235086867,0.8578575019154344,0.10892239135583083,0.08441162522864304,1.8165838400317806,0.5912291140037849,-0.007774235217124989,-0.07255284711834187,-0.008966123933863264,-0.02707488495577373,-0.06404703009532109,-0.02152854255694546,-0.012638483416909083,-0.030931893968825896,-0.17575819255037656,-0.05234904852834661,-0.2087415190608188,-0.04659737200407936
2017,2017-04-30,2017-04-30,3333483321.7000003,17.547445012366023,0.1400497349223031,0.0895995263259137,1.761388699469896,26.6360384863124,3.017533319676176,0.6295592337407495,9.628772047145365,0.0236356181143177,0.3137565748055482,14.852720652499253,0.7318894636695316,-0.2137096774193548,Publishing,Communication Services,33.055,1827230917,513430,WLY,0.04360458089253504,0.11328761674626696,0.456599937044333,0.11995891837791602,0.06612802802395071,1.5980668642468576,0.6593963587836316,-0.005942761833379509,-0.36600710088423205,-0.006302029503015123,-0.02727853560460171,-0.4012575648711014,0.011036527022085185,-0.01828359720469233,-0.21851697578492302,-0.22045931596493396,-0.004925777502161216,0.0958998049044989,-0.002653197158081705
2018,2018-04-30,2018-06-29,3976471832.05,20.737495231518917,0.1267850721847286,0.1387807629091858,2.1080332431102224,19.70093988141696,3.180229784924199,0.3826605475945178,12.287472460685256,0.0194234665908231,0.4370870319600233,15.715124027933426,0.7298484552389256,0.7025641025641025,Publishing,Communication Services,33.055,1827230917,513430,WLY,0.0676842107858174,0.16142528245182716,0.5489705608187475,0.13336373248082098,0.10700165859084919,1.3849769477647857,0.6325529125172437,0.049181236583272114,0.1233304571544751,0.024079629893282363,0.048137665705560204,0.09237062377441452,0.013404814102904963,0.04087363056689848,-0.21308991648207187,0.6911380375386077,0.04513915963061454,0.16192827657128445,0.0422245967876582
