Year,Date,FillingDate,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Price,MarketCap,AvgVolume,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2008,2008-12-31,2009-04-14,190563068.0,5.120557035657448,0.2575111303897293,-0.4919155968640297,0.1612532548525315,-1.0716550474464737,0.878810638894139,-0.0437906315070017,8.776362814330003,0.040862618630263,0.4015077821011673,7.468819541375872,0.0250223328266841,-9.0,Farm & Heavy Construction Machinery,Industrials,23.8853,1134074044,645985,WNC,-0.3790236584792785,-0.8200499227696058,0.9839968681787985,-0.12410354778029042,-0.15047123161204143,1.1635850544523159,2.5189111195455065,-0.2186600504145741,-0.2388067426893921,-0.07573710781931342,-1.0826330724627025,-0.2964197173478058,-0.07147424052186443,-0.15075124056413666,2.0203356709847227,-8.726496776174393,0.15343245340879813,-4.921144109423411,-0.7718733986764209
2009,2009-12-31,2010-03-26,88071930.0,1.768859344511691,0.143142503474441,-0.7105756472786038,0.1691567901965427,-0.5615676313074239,1.0684851827615218,0.0,6.96415127121098,0.0,0.1627010394117752,-7.147958724202627,-0.0678131659957376,0.1634615384615385,Farm & Heavy Construction Machinery,Industrials,23.8853,1134074044,645985,WNC,-0.4547607662985919,-1.902682995232308,0.6875771508309927,-0.19557778830215486,-0.3012224721761781,3.1839207254370385,1.5097172631682434,-0.2186600504145741,-0.2388067426893921,-0.07573710781931342,-1.0826330724627025,-0.2964197173478058,-0.07147424052186443,-0.15075124056413666,2.0203356709847227,0.191224389235929,-0.5959881035095125,0.363307862050358,-2.0949149302236667
2010,2010-12-31,2011-02-25,628959150.0,2.5898753487625203,0.1974811282748964,-0.079693952047686,0.9218940709462624,-4.1644691732505645,4.575509784925402,0.0,5.523581416328372,0.0,0.5337834784102106,-18.17987712869153,0.0438541972478496,0.0344827586206896,Farm & Heavy Construction Machinery,Industrials,23.8853,1134074044,645985,WNC,-0.46811124246286745,-1.0987018019763612,1.5552422015529102,-0.02407506886622151,-0.22137132791564904,1.3470955241232319,2.114597436219183,0.6308816952309177,0.3710824389984354,-0.013350476164275538,0.8039811932559469,0.8676650507219175,0.17150271943593334,0.07985114426052906,-1.8368252013138067,-0.3930133149904191,0.8954889888704712,0.7666707025456306,2.2257965953731995
2011,2011-12-31,2012-02-29,580325240.0,2.1494286637487883,0.1713877077696173,0.0898938446986626,0.4496078649376202,35.48691929264725,3.647480901425389,0.0,5.912025874122184,0.0,0.4284162928149256,-63.31327719131776,0.0561973781295167,1.0654761904761905,Farm & Heavy Construction Machinery,Industrials,23.8853,1134074044,645985,WNC,0.038763045999226906,0.10278381370177525,1.5668838567257708,0.016668856612457084,0.012669678684415335,1.6515928006231806,3.0595129493621958,0.1695877967463486,-0.10536718559528496,0.5068742884620944,1.2014856156781364,0.011641655172860643,0.0407439254786786,0.23404100660006438,0.30449727649994873,1.1061089164785554,0.8539911176628585,2.28364792112603,1.3758145497275933
2012,2012-12-31,2013-02-28,952796250.0,3.933069886571533,0.4668267920489771,0.220133937790011,0.4192451845396325,5.802039647451979,2.280661228681897,0.0,6.850237747180546,0.0,0.9051618512097532,10.030527323611723,0.112065226759991,5.954545454545455,Farm & Heavy Construction Machinery,Industrials,23.8853,1134074044,645985,WNC,0.11702632097901013,0.39307922166362147,2.1256221624562133,0.0482154852673386,0.07225824193113677,2.358895831085079,1.6195567156275135,0.1302400930913484,0.47674555839482763,0.07826327497978322,0.2902954079618462,0.5587383057304425,0.03154662865488152,0.05958856324672143,0.7073030304618984,6.022403935646856,0.2313003898103507,2.5615967660434564,1.455380695443645
2013,2013-12-31,2014-02-27,1095963000.0,4.709012562080047,0.393845194359719,0.0890534946385073,0.5168968860771567,18.17105461110275,2.6226305063295063,0.0,7.713199003111205,0.0,1.0797594782841795,7.664104353816728,0.1315185188355222,-0.5620915032679739,Farm & Heavy Construction Machinery,Industrials,23.8853,1134074044,645985,WNC,0.05037945106548387,0.14433012075848614,2.1174507656114954,0.06308729181517723,0.028446168763442373,1.864860924563945,1.7710452147154903,-0.1310804431515037,0.17459762707442628,-0.06664686991352625,-0.24874910090513533,-0.008171396844717904,0.014871806547838637,-0.04381207316769439,-0.494034906521134,-0.5595137790989387,0.11891201173304584,0.464034390783724,0.3131428431905166
2014,2014-12-31,2015-02-27,1032160200.0,5.672864503955294,0.351834004378394,0.1044878745390145,0.4570038882314584,13.975745937961594,2.1787934457772136,0.0,9.20539786840085,0.0,1.5055309675313209,11.716643275819369,0.1248495289309644,0.2686567164179103,Farm & Heavy Construction Machinery,Industrials,23.8853,1134074044,645985,WNC,0.06561130069315599,0.1558981864330454,2.599094494720562,0.06568186270169027,0.03269978506049702,1.3760874237524052,2.006474983605251,0.015434379900507195,0.42577148924714137,0.015231849627672121,0.011568065674559258,0.4816437291090665,0.002594570886513034,0.0042536162970546465,-0.4887735008115397,0.30950589954651936,0.13916424056940024,0.1860142841914508,0.08139994328825835
2015,2015-12-31,2016-02-26,929892830.0,6.544709156113749,0.3302277803154529,0.152306898628895,0.3921046328734706,7.622930798070746,1.807566954896535,0.0,10.324741588913776,0.0,1.5713554769112694,7.165409290838952,0.1496644371436787,0.7647058823529412,Farm & Heavy Construction Machinery,Industrials,23.8853,1134074044,645985,WNC,0.10976333665219139,0.23712230935560957,2.508596388995485,0.08896176502067335,0.05143751704694822,1.1603052220158205,2.133915922730248,0.047819024089880494,0.06582450937994855,0.0441520359590354,0.08122412292256417,-0.09049810572507688,0.02327990231898308,0.0187377319864512,-0.2157822017365847,0.7116198916789759,0.08810855920764873,0.4737715098132139,0.30437941143598957
2016,2016-12-31,2017-02-27,1081152780.0,7.412496665568265,0.2630670065525579,0.1835562999445818,0.5463144804177206,8.441492552309663,2.1342336750700164,0.0,10.860145906125627,0.0,1.9032074135426795,6.36453196808242,0.1763987419829591,0.2133333333333333,Farm & Heavy Construction Machinery,Industrials,23.8853,1134074044,645985,WNC,0.13289041350434444,0.2528265779830691,2.8893430323982376,0.10974703106677851,0.06471775897832717,0.9025193113331964,2.0533840417565616,0.03124940131568682,0.3318519366314101,0.023127076852153053,0.01570426862745955,0.38074664340275266,0.020785266046105158,0.013280241931378951,-0.25778591068262413,0.14521186318787216,-0.0897884032909673,0.12287588221922836,0.07280115211094011
2017,2017-12-31,2018-02-28,1646948600.0,8.525607331783416,0.4072480249912505,0.1124530979177969,0.7288914818740341,11.560271759616592,2.545273216971009,0.1374504137423489,8.334224140315932,0.0118898946841806,1.2309389850106462,10.88603737227758,0.1476237875326583,-0.0219780219780219,Farm & Heavy Construction Machinery,Industrials,23.8853,1134074044,645985,WNC,0.08244241823793037,0.22017416803836676,2.0319211190546693,0.07402607911786192,0.0630514141043176,1.670641797562754,1.3075427317384294,-0.07110320202678491,-0.6722684285320333,-0.05044799526641407,-0.032652409944702365,-0.8574219133435683,-0.035720951948916585,-0.0016663448740095732,0.7681224862295577,-0.06707526395552318,-0.042419602003637064,-0.35409713033002194,-0.1986244140397009
