date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,4.59,4.65,4.57,4.63,4.63,387563,387563,0.04,0.87146,4.61,"July 11, 23",0.0087146,AAIC
2023-07-10,4.51,4.6,4.49,4.57,4.57,371088,371100,0.06,1.33,4.57,"July 10, 23",0.0133,AAIC
2023-07-07,4.34,4.51,4.34,4.51,4.51,342192,342200,0.17,3.92,4.49,"July 07, 23",0.0392,AAIC
2023-07-06,4.42,4.42,4.32,4.4,4.4,108249,108200,-0.02,-0.45249,4.37,"July 06, 23",-0.0045249,AAIC
2023-07-05,4.48,4.53,4.46,4.46,4.46,173662,173700,-0.02,-0.44643,4.5,"July 05, 23",-0.0044643,AAIC
2023-07-03,4.58,4.6127,4.51,4.54,4.54,209762,209800,-0.04,-0.87336,4.56,"July 03, 23",-0.0087336,AAIC
2023-06-30,4.6,4.645,4.58,4.63,4.63,963066,963000,0.03,0.65217,4.61,"June 30, 23",0.0065217,AAIC
2023-06-29,4.52,4.6,4.43,4.6,4.6,215883,215900,0.08,1.77,4.56,"June 29, 23",0.0177,AAIC
2023-06-28,4.47,4.54,4.465,4.51,4.51,283553,283600,0.04,0.89485,4.51,"June 28, 23",0.0089485,AAIC
2023-06-27,4.4,4.49,4.38,4.48,4.48,195645,195600,0.08,1.82,4.46,"June 27, 23",0.0182,AAIC
2023-06-26,4.28,4.43,4.28,4.39,4.39,129406,129400,0.11,2.57,4.38,"June 26, 23",0.0257,AAIC
2023-06-23,4.38,4.4,4.28,4.29,4.29,105990,106000,-0.09,-2.05,4.34,"June 23, 23",-0.0205,AAIC
2023-06-22,4.37,4.43,4.36,4.36,4.36,177062,177100,-0.01,-0.22883,4.4,"June 22, 23",-0.0022883,AAIC
2023-06-21,4.26,4.43,4.26,4.41,4.41,310829,310800,0.15,3.52,4.4,"June 21, 23",0.0352,AAIC
2023-06-20,4.28,4.36,4.28,4.29,4.29,432205,432200,0.01,0.23364,4.33,"June 20, 23",0.0023364,AAIC
2023-06-16,4.44,4.46,4.16,4.21,4.21,1463664,1462800,-0.23,-5.18,4.28,"June 16, 23",-0.0518,AAIC
2023-06-15,4.34,4.46,4.34,4.43,4.43,303908,303800,0.09,2.07,4.43,"June 15, 23",0.0207,AAIC
2023-06-14,4.4,4.43,4.34,4.37,4.37,258671,258700,-0.03,-0.68182,4.39,"June 14, 23",-0.0068182,AAIC
2023-06-13,4.38,4.43,4.37,4.39,4.39,275021,275000,0.01,0.22831,4.39,"June 13, 23",0.0022831,AAIC
2023-06-12,4.28,4.39,4.28,4.37,4.37,290950,291000,0.09,2.1,4.35,"June 12, 23",0.021,AAIC
2023-06-09,4.31,4.315,4.2699,4.29,4.29,195203,195200,-0.02,-0.46404,4.29,"June 09, 23",-0.0046404,AAIC
2023-06-08,4.24,4.335,4.24,4.31,4.31,403106,403100,0.07,1.65,4.3,"June 08, 23",0.0165,AAIC
2023-06-07,4.25,4.32,4.24,4.28,4.28,327183,327200,0.03,0.70588,4.29,"June 07, 23",0.0070588,AAIC
2023-06-06,4.13,4.27,4.13,4.23,4.23,480813,480700,0.1,2.42,4.22,"June 06, 23",0.0242,AAIC
2023-06-05,4.16,4.18,4.13,4.14,4.14,485318,464900,-0.02,-0.48077,4.16,"June 05, 23",-0.0048077,AAIC
2023-06-02,4.1,4.2,4.1,4.15,4.15,1466075,1466100,0.05,1.22,4.16,"June 02, 23",0.0122,AAIC
2023-06-01,4.06,4.17,4.06,4.13,4.13,1216711,1216700,0.07,1.72,4.13,"June 01, 23",0.0172,AAIC
2023-05-31,4.07,4.14,4.04,4.07,4.07,707248,707200,0.0,0.0,4.09,"May 31, 23",0.0,AAIC
2023-05-30,4.14,4.23,3.9877,4.06,4.06,5148039,5148000,-0.08,-1.93,4.11,"May 30, 23",-0.0193,AAIC
2023-05-26,2.69,2.8,2.69,2.75,2.75,65071,65100,0.06,2.23,2.76,"May 26, 23",0.0223,AAIC
2023-05-25,2.7,2.75,2.66,2.7,2.7,594030,594000,0.0,0.0,2.71,"May 25, 23",0.0,AAIC
2023-05-24,2.75,2.7503,2.7,2.71,2.71,135268,135300,-0.04,-1.45,2.72,"May 24, 23",-0.0145,AAIC
2023-05-23,2.64,2.76,2.64,2.73,2.73,164077,164100,0.09,3.41,2.74,"May 23, 23",0.0341,AAIC
2023-05-22,2.56,2.66,2.56,2.66,2.66,1195566,1195600,0.1,3.91,2.66,"May 22, 23",0.0391,AAIC
2023-05-19,2.58,2.6,2.56,2.59,2.59,109383,109400,0.01,0.3876,2.59,"May 19, 23",0.003876,AAIC
2023-05-18,2.59,2.5969,2.56,2.58,2.58,68325,68300,-0.01,-0.3861,2.58,"May 18, 23",-0.003861,AAIC
2023-05-17,2.5501,2.6,2.54,2.59,2.59,38051,38100,0.0399,1.56,2.56,"May 17, 23",0.0156,AAIC
2023-05-16,2.56,2.58,2.53,2.57,2.57,59139,59100,0.01,0.39062,2.56,"May 16, 23",0.0039062,AAIC
2023-05-15,2.57,2.5747,2.54,2.56,2.56,58378,58400,-0.01,-0.38911,2.56,"May 15, 23",-0.0038911,AAIC
2023-05-12,2.53,2.62,2.53,2.6,2.6,23654,23700,0.07,2.77,2.6,"May 12, 23",0.0277,AAIC
2023-05-11,2.63,2.63,2.56,2.56,2.56,16024,16000,-0.07,-2.66,2.58,"May 11, 23",-0.0266,AAIC
2023-05-10,2.67,2.67,2.59,2.61,2.61,18659,18600,-0.06,-2.25,2.62,"May 10, 23",-0.0225,AAIC
2023-05-09,2.59,2.63,2.58,2.63,2.63,29509,29500,0.04,1.54,2.61,"May 09, 23",0.0154,AAIC
2023-05-08,2.58,2.61,2.55,2.6,2.6,34606,34600,0.02,0.77519,2.59,"May 08, 23",0.0077519,AAIC
2023-05-05,2.56,2.6295,2.53,2.59,2.59,89544,89500,0.03,1.17,2.57,"May 05, 23",0.0117,AAIC
2023-05-04,2.57,2.6,2.54,2.57,2.57,78487,78500,0.0,0.0,2.57,"May 04, 23",0.0,AAIC
2023-05-03,2.56,2.59,2.56,2.57,2.57,43593,43600,0.01,0.39062,2.57,"May 03, 23",0.0039062,AAIC
2023-05-02,2.6,2.6,2.55,2.59,2.59,47160,47200,-0.01,-0.38462,2.57,"May 02, 23",-0.0038462,AAIC
2023-05-01,2.59,2.64,2.59,2.6,2.6,32605,32600,0.01,0.3861,2.61,"May 01, 23",0.003861,AAIC
2023-04-28,2.64,2.64,2.58,2.61,2.61,37593,37600,-0.03,-1.14,2.6,"April 28, 23",-0.0114,AAIC
2023-04-27,2.63,2.63,2.59,2.61,2.61,38806,38800,-0.02,-0.76046,2.6,"April 27, 23",-0.0076046,AAIC
2023-04-26,2.6,2.63,2.5799,2.6,2.6,53552,53600,0.0,0.0,2.6,"April 26, 23",0.0,AAIC
2023-04-25,2.59,2.61,2.57,2.58,2.58,26594,26600,-0.01,-0.3861,2.58,"April 25, 23",-0.003861,AAIC
2023-04-24,2.55,2.62,2.55,2.61,2.61,25862,25900,0.06,2.35,2.6,"April 24, 23",0.0235,AAIC
2023-04-21,2.61,2.638,2.58,2.6,2.6,34318,34300,-0.01,-0.38314,2.59,"April 21, 23",-0.0038314,AAIC
2023-04-20,2.63,2.66,2.61,2.63,2.63,19844,19800,0.0,0.0,2.63,"April 20, 23",0.0,AAIC
2023-04-19,2.61,2.6473,2.55,2.63,2.63,115269,115300,0.02,0.76628,2.61,"April 19, 23",0.0076628,AAIC
2023-04-18,2.6,2.67,2.575,2.58,2.58,60423,60400,-0.02,-0.76923,2.59,"April 18, 23",-0.0076923,AAIC
2023-04-17,2.6,2.61,2.57,2.61,2.61,36003,36000,0.01,0.38462,2.6,"April 17, 23",0.0038462,AAIC
2023-04-14,2.64,2.64,2.6,2.63,2.63,23054,23100,-0.01,-0.37879,2.62,"April 14, 23",-0.0037879,AAIC
2023-04-13,2.65,2.6501,2.53,2.61,2.61,118655,118700,-0.04,-1.51,2.6,"April 13, 23",-0.0151,AAIC
2023-04-12,2.72,2.72,2.66,2.67,2.67,24059,24100,-0.05,-1.84,2.69,"April 12, 23",-0.0184,AAIC
2023-04-11,2.71,2.73,2.68,2.69,2.69,48485,48500,-0.02,-0.73801,2.71,"April 11, 23",-0.0073801,AAIC
2023-04-10,2.73,2.74,2.71,2.72,2.72,19315,19300,-0.01,-0.3663,2.73,"April 10, 23",-0.003663,AAIC
2023-04-06,2.8,2.82,2.72,2.73,2.73,74303,74300,-0.07,-2.5,2.76,"April 06, 23",-0.025,AAIC
2023-04-05,2.75,2.85,2.7,2.81,2.81,152322,152300,0.06,2.18,2.78,"April 05, 23",0.0218,AAIC
