date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,79.66,80.13,78.68,79.05,79.050003,538759,538759,-0.61,-0.76575,79.24,"July 11, 23",-0.0076575,ACHC
2023-07-10,76.34,79.79,76.34,79.51,79.510002,681570,681600,3.17,4.15,79.33,"July 10, 23",0.0415,ACHC
2023-07-07,76.71,77.27,76.575,76.85,76.849998,520167,520200,0.14,0.18251,76.87,"July 07, 23",0.0018251,ACHC
2023-07-06,77.27,77.485,76.11,76.57,76.57,491153,491200,-0.7,-0.90591,76.54,"July 06, 23",-0.0090591,ACHC
2023-07-05,79.0,80.0,77.69,77.71,77.709999,773079,773000,-1.29,-1.63,78.31,"July 05, 23",-0.0163,ACHC
2023-07-03,79.12,79.45,78.24,79.19,79.190002,178522,178500,0.07,0.08847321,79.09,"July 03, 23",0.0008847321,ACHC
2023-06-30,80.0,80.17,79.471,79.64,79.639999,598336,598200,-0.36,-0.45,79.77,"June 30, 23",-0.0045,ACHC
2023-06-29,79.43,80.13,79.29,79.7,79.699997,539228,539200,0.27,0.33992,79.8,"June 29, 23",0.0033992,ACHC
2023-06-28,79.02,79.63,78.28,79.32,79.32,446929,446900,0.3,0.37965,79.14,"June 28, 23",0.0037965,ACHC
2023-06-27,76.18,79.75,75.7,79.04,79.040001,1106085,1106100,2.86,3.75,78.88,"June 27, 23",0.0375,ACHC
2023-06-26,75.65,77.0,75.48,76.52,76.519997,551212,551200,0.87,1.15,76.38,"June 26, 23",0.0115,ACHC
2023-06-23,76.56,77.755,75.67,75.73,75.730003,842086,842100,-0.83,-1.08,76.15,"June 23, 23",-0.0108,ACHC
2023-06-22,74.69,77.09,74.32,76.89,76.889999,896825,896800,2.2,2.95,76.26,"June 22, 23",0.0295,ACHC
2023-06-21,72.94,75.2,72.92,74.78,74.779999,838742,838700,1.84,2.52,74.37,"June 21, 23",0.0252,ACHC
2023-06-20,73.13,73.86,72.44,72.92,72.919998,511203,511200,-0.21,-0.28716,72.96,"June 20, 23",-0.0028716,ACHC
2023-06-16,73.6,74.1,72.31,73.15,73.150002,1266318,1266300,-0.45,-0.61141,73.17,"June 16, 23",-0.0061141,ACHC
2023-06-15,73.01,73.82,72.33,73.48,73.480003,742656,742700,0.47,0.64375,73.32,"June 15, 23",0.0064375,ACHC
2023-06-14,70.51,73.53,70.51,73.06,73.059998,1418377,1418200,2.55,3.62,72.57,"June 14, 23",0.0362,ACHC
2023-06-13,70.19,70.855,69.79,69.91,69.910004,650926,650900,-0.28,-0.39892,70.13,"June 13, 23",-0.0039892,ACHC
2023-06-12,68.31,70.06,68.01,69.99,69.989998,722247,722200,1.68,2.46,69.42,"June 12, 23",0.0246,ACHC
2023-06-09,68.89,69.25,68.155,68.3,68.300003,328470,328500,-0.59,-0.85644,68.6,"June 09, 23",-0.0085644,ACHC
2023-06-08,68.51,69.31,68.16,68.95,68.949997,287447,287400,0.44,0.64224,68.78,"June 08, 23",0.0064224,ACHC
2023-06-07,68.46,69.8,67.875,68.64,68.639999,531707,531700,0.18,0.26293,68.91,"June 07, 23",0.0026293,ACHC
2023-06-06,68.88,69.22,67.2,68.06,68.059998,544408,544400,-0.82,-1.19,67.95,"June 06, 23",-0.0119,ACHC
2023-06-05,69.16,69.845,68.56,68.87,68.870003,684859,684900,-0.29,-0.41932,69.07,"June 05, 23",-0.0041932,ACHC
2023-06-02,70.73,71.54,69.365,69.49,69.489998,827597,827600,-1.24,-1.75,69.97,"June 02, 23",-0.0175,ACHC
2023-06-01,70.5,70.98,69.735,70.87,70.870003,421365,421300,0.37,0.52482,70.63,"June 01, 23",0.0052482,ACHC
2023-05-31,68.94,71.06,68.22,70.63,70.629997,807059,807100,1.69,2.45,70.25,"May 31, 23",0.0245,ACHC
2023-05-30,69.3,70.61,68.46,68.94,68.940002,628109,628100,-0.36,-0.51948,69.17,"May 30, 23",-0.0051948,ACHC
2023-05-26,67.89,69.68,67.72,69.37,69.370003,462461,462500,1.48,2.18,69.21,"May 26, 23",0.0218,ACHC
2023-05-25,70.02,70.16,67.82,67.86,67.860001,458026,458000,-2.16,-3.08,68.32,"May 25, 23",-0.0308,ACHC
2023-05-24,68.81,70.42,68.085,70.3,70.300003,828789,828800,1.49,2.17,69.91,"May 24, 23",0.0217,ACHC
2023-05-23,72.36,72.36,68.75,69.03,69.029999,1116836,1116800,-3.33,-4.6,69.76,"May 23, 23",-0.046,ACHC
2023-05-22,72.69,73.11,71.895,72.58,72.580002,318287,318300,-0.11,-0.15133,72.53,"May 22, 23",-0.0015133,ACHC
2023-05-19,72.5,73.4,72.28,72.54,72.540001,485016,485000,0.04,0.05517241,72.76,"May 19, 23",0.0005517241,ACHC
2023-05-18,71.84,72.295,71.375,71.95,71.949997,429028,429000,0.11,0.15312,71.83,"May 18, 23",0.0015312,ACHC
2023-05-17,70.93,71.85,70.47,71.78,71.779999,481333,481300,0.85,1.2,71.48,"May 17, 23",0.012,ACHC
2023-05-16,71.79,71.9,70.7,70.78,70.779999,545637,545600,-1.01,-1.41,70.95,"May 16, 23",-0.0141,ACHC
2023-05-15,71.2,71.87,70.54,71.8,71.800003,499985,500000,0.6,0.8427,71.43,"May 15, 23",0.008427,ACHC
2023-05-12,71.63,72.3,70.99,71.24,71.239998,480040,480000,-0.39,-0.54446,71.36,"May 12, 23",-0.0054446,ACHC
2023-05-11,69.64,71.56,69.585,71.4,71.400002,930694,930700,1.76,2.53,71.04,"May 11, 23",0.0253,ACHC
2023-05-10,69.42,70.41,69.07,69.83,69.830002,598429,598400,0.41,0.59061,69.88,"May 10, 23",0.0059061,ACHC
2023-05-09,68.82,68.92,67.391,68.68,68.68,461734,461700,-0.14,-0.20343,68.43,"May 09, 23",-0.0020343,ACHC
2023-05-08,68.89,69.47,68.34,68.9,68.900002,322730,322700,0.01,0.01451589,68.95,"May 08, 23",0.0001451589,ACHC
2023-05-05,68.96,70.33,68.83,69.18,69.18,457419,457400,0.22,0.31903,69.38,"May 05, 23",0.0031903,ACHC
2023-05-04,67.71,68.78,67.18,68.29,68.290001,648913,648900,0.58,0.85659,68.12,"May 04, 23",0.0085659,ACHC
2023-05-03,67.1,68.82,67.1,67.95,67.949997,638277,638300,0.85,1.27,68.08,"May 03, 23",0.0127,ACHC
2023-05-02,70.12,70.58,67.07,67.21,67.209999,869740,869700,-2.91,-4.15,67.67,"May 02, 23",-0.0415,ACHC
2023-05-01,72.4,72.724,70.41,70.51,70.510002,813349,813300,-1.89,-2.61,71.35,"May 01, 23",-0.0261,ACHC
2023-04-28,72.97,73.035,71.115,72.29,72.290001,1515653,1518600,-0.68,-0.93189,71.92,"April 28, 23",-0.0093189,ACHC
2023-04-27,72.71,74.54,71.1,72.82,72.82,1384174,1384200,0.11,0.15129,73.0,"April 27, 23",0.0015129,ACHC
2023-04-26,74.0,74.85,72.71,74.11,74.110001,1120228,1120200,0.11,0.14865,73.65,"April 26, 23",0.0014865,ACHC
2023-04-25,73.87,74.78,73.52,73.78,73.779999,462033,462000,-0.09,-0.12184,73.97,"April 25, 23",-0.0012184,ACHC
