date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,127.61,127.61,125.305,126.12,126.120003,96523,96523,-1.49,-1.17,126.29,"July 11, 23",-0.0117,ALGT
2023-07-10,123.37,126.98,123.37,126.91,126.910004,123429,123400,3.54,2.87,126.08,"July 10, 23",0.0287,ALGT
2023-07-07,122.09,125.17,122.09,123.45,123.449997,93464,93500,1.36,1.11,124.15,"July 07, 23",0.0111,ALGT
2023-07-06,123.33,124.0,120.75,122.07,122.07,175439,175400,-1.26,-1.02,121.79,"July 06, 23",-0.0102,ALGT
2023-07-05,128.22,128.22,125.01,126.03,126.029999,137951,137900,-2.19,-1.71,126.63,"July 05, 23",-0.0171,ALGT
2023-07-03,125.91,129.04,125.1,129.0,129.0,93765,93800,3.09,2.45,128.05,"July 03, 23",0.0245,ALGT
2023-06-30,126.48,127.45,124.135,126.28,126.279999,150176,150200,-0.2,-0.15813,126.1,"June 30, 23",-0.0015813,ALGT
2023-06-29,127.06,129.0,124.54,124.94,124.940002,133807,133800,-2.12,-1.67,125.94,"June 29, 23",-0.0167,ALGT
2023-06-28,124.36,127.635,124.29,127.13,127.129997,154255,154200,2.77,2.23,126.88,"June 28, 23",0.0223,ALGT
2023-06-27,120.15,126.62,120.11,124.93,124.93,225245,225200,4.78,3.98,124.75,"June 27, 23",0.0398,ALGT
2023-06-26,119.91,120.5,118.05,119.6,119.599998,225559,225600,-0.31,-0.25853,119.33,"June 26, 23",-0.0025853,ALGT
2023-06-23,119.83,120.5,118.22,119.12,119.120003,483941,483900,-0.71,-0.59251,119.12,"June 23, 23",-0.0059251,ALGT
2023-06-22,122.92,123.12,120.04,121.89,121.889999,161452,161300,-1.03,-0.83794,121.81,"June 22, 23",-0.0083794,ALGT
2023-06-21,123.74,125.74,122.27,123.74,123.739998,282883,282900,0.0,0.0,123.84,"June 21, 23",0.0,ALGT
2023-06-20,119.68,124.88,119.3,124.36,124.360001,281885,281900,4.68,3.91,122.79,"June 20, 23",0.0391,ALGT
2023-06-16,118.01,119.31,116.49,118.89,118.889999,313541,312500,0.88,0.7457,118.56,"June 16, 23",0.007457,ALGT
2023-06-15,116.73,119.0,115.49,117.09,117.089996,222918,222900,0.36,0.3084,117.07,"June 15, 23",0.003084,ALGT
2023-06-14,114.1,116.33,113.36,114.79,114.790001,187859,187900,0.69,0.60473,115.05,"June 14, 23",0.0060473,ALGT
2023-06-13,112.89,115.29,112.85,113.79,113.790001,214009,214000,0.9,0.79724,114.19,"June 13, 23",0.0079724,ALGT
2023-06-12,110.0,114.53,110.0,112.56,112.559998,214815,214800,2.56,2.33,112.35,"June 12, 23",0.0233,ALGT
2023-06-09,109.1,111.58,108.99,109.14,109.139999,440073,440100,0.04,0.03666361,109.43,"June 09, 23",0.0003666361,ALGT
2023-06-08,107.5,110.51,104.805,109.13,109.129997,150727,150700,1.63,1.52,108.94,"June 08, 23",0.0152,ALGT
2023-06-07,109.09,111.16,106.9,108.38,108.379997,280276,280300,-0.71,-0.65084,108.59,"June 07, 23",-0.0065084,ALGT
2023-06-06,102.95,108.47,101.53,108.23,108.230003,193004,193000,5.28,5.13,106.89,"June 06, 23",0.0513,ALGT
2023-06-05,103.45,104.35,102.16,102.96,102.959999,178398,178400,-0.49,-0.47366,103.31,"June 05, 23",-0.0047366,ALGT
2023-06-02,99.64,105.09,99.57,104.69,104.690002,198385,198400,5.05,5.07,103.91,"June 02, 23",0.0507,ALGT
2023-06-01,97.91,99.14,96.16,97.25,97.25,162430,162400,-0.66,-0.67409,97.63,"June 01, 23",-0.0067409,ALGT
2023-05-31,99.17,99.935,95.6568,97.49,97.489998,179859,179900,-1.68,-1.69,97.54,"May 31, 23",-0.0169,ALGT
2023-05-30,100.46,101.61,97.64,97.76,97.760002,194915,194900,-2.7,-2.69,98.5,"May 30, 23",-0.0269,ALGT
2023-05-26,98.8,101.03,98.8,99.86,99.860001,188297,188300,1.06,1.07,99.9,"May 26, 23",0.0107,ALGT
2023-05-25,98.29,100.55,97.88,98.95,98.949997,80129,80100,0.66,0.67148,99.03,"May 25, 23",0.0067148,ALGT
2023-05-24,99.29,100.29,97.49,98.29,98.290001,144674,144700,-1.0,-1.01,98.35,"May 24, 23",-0.0101,ALGT
2023-05-23,99.42,102.96,99.38,100.56,100.559998,120815,120800,1.14,1.15,100.94,"May 23, 23",0.0115,ALGT
2023-05-22,100.36,100.38,98.69,99.44,99.440002,152525,152500,-0.92,-0.9167,99.42,"May 22, 23",-0.009167,ALGT
2023-05-19,104.26,104.26,99.195,99.86,99.860001,248764,248800,-4.4,-4.22,100.27,"May 19, 23",-0.0422,ALGT
