date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,15.93,16.505,15.82,16.47,16.469999,364462,361494,0.54,3.39,16.24,"July 11, 23",0.0339,ALKT
2023-07-10,15.72,16.029,15.655,15.95,15.95,269082,269100,0.23,1.46,15.94,"July 10, 23",0.0146,ALKT
2023-07-07,15.77,16.08,15.68,15.81,15.81,168366,168400,0.04,0.25365,15.88,"July 07, 23",0.0025365,ALKT
2023-07-06,16.03,16.24,15.58,15.74,15.74,370989,371000,-0.29,-1.81,15.78,"July 06, 23",-0.0181,ALKT
2023-07-05,16.27,16.51,15.91,16.26,16.26,255159,255100,-0.01,-0.06146281,16.28,"July 05, 23",-0.0006146281,ALKT
2023-07-03,16.34,16.47,16.06,16.27,16.27,111314,111300,-0.07,-0.4284,16.27,"July 03, 23",-0.004284,ALKT
2023-06-30,16.64,16.68,16.35,16.39,16.389999,265770,265700,-0.25,-1.5,16.43,"June 30, 23",-0.015,ALKT
2023-06-29,16.64,16.87,16.28,16.48,16.48,249343,249300,-0.16,-0.96154,16.46,"June 29, 23",-0.0096154,ALKT
2023-06-28,16.68,16.86,16.38,16.61,16.610001,235380,235400,-0.07,-0.41966,16.66,"June 28, 23",-0.0041966,ALKT
2023-06-27,16.0,16.64,15.95,16.54,16.540001,501041,500900,0.54,3.37,16.36,"June 27, 23",0.0337,ALKT
2023-06-26,15.57,15.96,15.41,15.74,15.74,280576,280600,0.17,1.09,15.79,"June 26, 23",0.0109,ALKT
2023-06-23,15.41,15.69,15.04,15.61,15.61,745557,745600,0.2,1.3,15.58,"June 23, 23",0.013,ALKT
2023-06-22,15.76,15.89,15.52,15.66,15.66,208377,208400,-0.1,-0.63452,15.73,"June 22, 23",-0.0063452,ALKT
2023-06-21,15.69,15.94,15.415,15.84,15.84,231107,231100,0.15,0.95602,15.75,"June 21, 23",0.0095602,ALKT
2023-06-20,15.5,15.91,15.47,15.8,15.8,223070,223100,0.3,1.94,15.79,"June 20, 23",0.0194,ALKT
2023-06-16,15.66,15.86,15.23,15.6,15.6,573861,573900,-0.06,-0.38314,15.53,"June 16, 23",-0.0038314,ALKT
2023-06-15,15.15,15.59,15.02,15.47,15.47,388280,388300,0.32,2.11,15.37,"June 15, 23",0.0211,ALKT
2023-06-14,15.51,15.51,15.21,15.3,15.3,214021,214000,-0.21,-1.35,15.3,"June 14, 23",-0.0135,ALKT
2023-06-13,15.8,15.85,15.25,15.47,15.47,225123,225100,-0.33,-2.09,15.51,"June 13, 23",-0.0209,ALKT
2023-06-12,15.41,15.99,15.31,15.75,15.75,307034,307000,0.34,2.21,15.79,"June 12, 23",0.0221,ALKT
2023-06-09,15.05,15.7,15.05,15.35,15.35,314037,314000,0.3,1.99,15.38,"June 09, 23",0.0199,ALKT
2023-06-08,15.24,15.24,14.6,14.97,14.97,284073,284100,-0.27,-1.77,14.96,"June 08, 23",-0.0177,ALKT
2023-06-07,15.28,15.355,14.64,14.82,14.82,283966,284000,-0.46,-3.01,14.88,"June 07, 23",-0.0301,ALKT
2023-06-06,15.2,15.73,15.07,15.17,15.17,422415,422400,-0.03,-0.19737,15.36,"June 06, 23",-0.0019737,ALKT
2023-06-05,14.66,15.33,14.11,15.23,15.23,357345,357300,0.57,3.89,15.13,"June 05, 23",0.0389,ALKT
2023-06-02,15.88,15.88,14.33,14.83,14.83,586145,581200,-1.05,-6.61,14.74,"June 02, 23",-0.0661,ALKT
2023-06-01,14.93,16.12,14.8,15.9,15.9,611475,611500,0.97,6.5,15.68,"June 01, 23",0.065,ALKT
2023-05-31,14.22,15.08,14.22,15.0,15.0,1624988,1625000,0.78,5.49,14.95,"May 31, 23",0.0549,ALKT
2023-05-30,14.51,14.56,14.08,14.25,14.25,214824,214800,-0.26,-1.79,14.28,"May 30, 23",-0.0179,ALKT
