date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,109.35,111.61,109.01,110.38,110.379997,2025747,1988827,1.03,0.94193,110.4,"July 11, 23",0.0094193,APTV
2023-07-10,107.43,108.94,107.15,108.65,108.650002,1848126,1848100,1.22,1.14,108.43,"July 10, 23",0.0114,APTV
2023-07-07,105.14,108.32,105.14,107.55,107.550003,1699362,1699400,2.41,2.29,107.46,"July 07, 23",0.0229,APTV
2023-07-06,106.15,106.25,103.91,104.88,104.879997,2237226,2232400,-1.27,-1.2,104.78,"July 06, 23",-0.012,APTV
2023-07-05,103.57,104.15,102.5075,103.47,103.470001,1749676,1749700,-0.1,-0.09655306,103.48,"July 05, 23",-0.0009655306,APTV
2023-07-03,102.0,103.78,102.0,103.03,103.029999,943937,943900,1.03,1.01,103.13,"July 03, 23",0.0101,APTV
2023-06-30,101.71,102.48,100.63,102.09,102.089996,1143805,1143300,0.38,0.37361,102.02,"June 30, 23",0.0037361,APTV
2023-06-29,101.95,102.46,100.56,100.89,100.889999,1129703,1129700,-1.06,-1.04,101.13,"June 29, 23",-0.0104,APTV
2023-06-28,100.48,101.78,99.91,101.17,101.169998,1380100,1380100,0.69,0.6867,101.01,"June 28, 23",0.006867,APTV
2023-06-27,98.93,100.79,98.37,100.54,100.540001,1679118,1679100,1.61,1.63,100.18,"June 27, 23",0.0163,APTV
2023-06-26,97.52,99.24,97.08,97.87,97.870003,1122008,1122000,0.35,0.3589,98.22,"June 26, 23",0.003589,APTV
2023-06-23,96.64,98.01,95.86,97.4,97.400002,2778182,2778200,0.76,0.78642,97.36,"June 23, 23",0.0078642,APTV
2023-06-22,99.2,99.65,98.21,98.6,98.599998,1520183,1520200,-0.6,-0.60484,98.75,"June 22, 23",-0.0060484,APTV
2023-06-21,99.9,100.49,98.8,99.77,99.769997,1337311,1337300,-0.13,-0.13013,99.79,"June 21, 23",-0.0013013,APTV
2023-06-20,101.0,101.0,98.73,100.16,100.160004,2037518,2037500,-0.84,-0.83168,99.81,"June 20, 23",-0.0083168,APTV
2023-06-16,101.25,101.875,100.43,101.44,101.440002,3241062,3241100,0.19,0.18765,101.27,"June 16, 23",0.0018765,APTV
2023-06-15,100.15,101.77,99.73,101.28,101.279999,1409822,1409800,1.13,1.13,101.01,"June 15, 23",0.0113,APTV
2023-06-14,101.49,103.12,100.11,101.01,101.010002,2567243,2567200,-0.48,-0.47295,101.52,"June 14, 23",-0.0047295,APTV
2023-06-13,101.72,102.56,100.7,101.15,101.150002,2093394,2093300,-0.57,-0.56036,101.45,"June 13, 23",-0.0056036,APTV
2023-06-12,99.1,100.62,98.375,100.27,100.269997,1944093,1944100,1.17,1.18,99.97,"June 12, 23",0.0118,APTV
2023-06-09,97.6,98.39,96.51,97.99,97.989998,4740584,4740600,0.39,0.39959,97.65,"June 09, 23",0.0039959,APTV
2023-06-08,98.47,99.38,97.08,97.4,97.400002,3606759,3606700,-1.07,-1.09,97.78,"June 08, 23",-0.0109,APTV
2023-06-07,95.34,96.4,94.965,96.09,96.089996,3228002,3228000,0.75,0.78666,95.78,"June 07, 23",0.0078666,APTV
2023-06-06,91.92,95.53,91.92,95.45,95.449997,1862222,1862200,3.53,3.84,94.75,"June 06, 23",0.0384,APTV
2023-06-05,93.67,93.93,91.995,92.27,92.269997,1950907,1758300,-1.4,-1.49,92.63,"June 05, 23",-0.0149,APTV
2023-06-02,92.53,93.88,91.855,93.69,93.690002,2796434,2796400,1.16,1.25,93.15,"June 02, 23",0.0125,APTV
2023-06-01,88.99,90.87,88.065,90.21,90.209999,2029642,2029600,1.22,1.37,89.81,"June 01, 23",0.0137,APTV
2023-05-31,90.02,90.13,86.67,88.08,88.080002,4347923,4347900,-1.94,-2.16,87.85,"May 31, 23",-0.0216,APTV
2023-05-30,93.29,93.5,90.67,91.23,91.230003,1677854,1677900,-2.06,-2.21,91.35,"May 30, 23",-0.0221,APTV
2023-05-26,90.49,92.62,90.42,92.13,92.129997,2141846,2141800,1.64,1.81,91.92,"May 26, 23",0.0181,APTV
2023-05-25,90.0,91.09,88.66,89.71,89.709999,2649552,2649400,-0.29,-0.32222,89.89,"May 25, 23",-0.0032222,APTV
2023-05-24,91.61,91.9,89.56,90.5,90.5,3746854,3746800,-1.11,-1.21,90.47,"May 24, 23",-0.0121,APTV
2023-05-23,93.74,94.79,92.37,92.48,92.480003,1654007,1654000,-1.26,-1.34,93.01,"May 23, 23",-0.0134,APTV
2023-05-22,94.54,94.985,93.8,94.43,94.43,1298744,1298700,-0.11,-0.11635,94.54,"May 22, 23",-0.0011635,APTV
2023-05-19,95.5,95.88,94.36,94.37,94.370003,1714023,1713900,-1.13,-1.18,94.76,"May 19, 23",-0.0118,APTV
2023-05-18,93.55,95.21,93.3075,94.83,94.830002,2278500,2278500,1.28,1.37,94.46,"May 18, 23",0.0137,APTV
2023-05-17,91.72,93.91,90.85,93.86,93.860001,2392933,2392900,2.14,2.33,92.91,"May 17, 23",0.0233,APTV
2023-05-16,91.65,92.38,90.82,90.9,90.900002,1556179,1556200,-0.75,-0.81833,91.29,"May 16, 23",-0.0081833,APTV
2023-05-15,93.34,93.75,92.445,92.93,92.93,1872801,1872800,-0.41,-0.43925,93.06,"May 15, 23",-0.0043925,APTV
2023-05-12,94.61,95.12,91.86,92.69,92.690002,2272137,2272100,-1.92,-2.03,92.65,"May 12, 23",-0.0203,APTV
2023-05-11,94.19,94.61,93.31,94.29,94.290001,1727143,1727100,0.1,0.10617,93.94,"May 11, 23",0.0010617,APTV
2023-05-10,95.58,95.855,93.9,94.91,94.910004,2681121,2681100,-0.67,-0.70098,94.72,"May 10, 23",-0.0070098,APTV
2023-05-09,92.92,94.02,92.27,93.37,93.370003,2548199,2548200,0.45,0.48429,93.33,"May 09, 23",0.0048429,APTV
2023-05-08,93.67,94.3,92.5,93.97,93.970001,1882867,1882900,0.3,0.32027,93.49,"May 08, 23",0.0032027,APTV
2023-05-05,94.57,95.34,92.685,93.42,93.419998,2561686,2561700,-1.15,-1.22,93.71,"May 05, 23",-0.0122,APTV
2023-05-04,97.41,97.965,91.47,92.05,92.050003,4503049,4503000,-5.36,-5.5,93.1,"May 04, 23",-0.055,APTV
2023-05-03,100.71,102.08,99.75,99.84,99.839996,1747367,1747400,-0.87,-0.86387,100.84,"May 03, 23",-0.0086387,APTV
2023-05-02,101.59,101.825,100.04,101.23,101.230003,1596557,1596600,-0.36,-0.35437,100.94,"May 02, 23",-0.0035437,APTV
2023-05-01,103.02,103.87,102.01,102.19,102.190002,1472725,1472700,-0.83,-0.80567,102.55,"May 01, 23",-0.0080567,APTV
2023-04-28,101.44,103.06,100.79,102.86,102.860001,1402762,1402800,1.42,1.4,102.52,"April 28, 23",0.014,APTV
2023-04-27,102.95,103.4,98.23,101.65,101.650002,3305258,3305200,-1.3,-1.26,100.36,"April 27, 23",-0.0126,APTV
2023-04-26,102.25,103.66,101.71,102.86,102.860001,1652841,1652800,0.61,0.59658,102.89,"April 26, 23",0.0059658,APTV
2023-04-25,104.58,104.78,101.915,102.32,102.32,2135782,2135800,-2.26,-2.16,102.88,"April 25, 23",-0.0216,APTV
2023-04-24,105.86,106.25,105.12,105.61,105.610001,2151165,2151200,-0.25,-0.23616,105.68,"April 24, 23",-0.0023616,APTV
2023-04-21,105.88,105.88,104.195,105.29,105.290001,2066601,2066600,-0.59,-0.55723,105.1,"April 21, 23",-0.0055723,APTV
2023-04-20,104.01,106.9,103.98,106.08,106.080002,2419459,2419500,2.07,1.99,105.83,"April 20, 23",0.0199,APTV
2023-04-19,106.04,107.44,105.425,107.41,107.410004,1608058,1608100,1.37,1.29,106.68,"April 19, 23",0.0129,APTV
2023-04-18,108.17,109.06,107.035,107.51,107.510002,1584800,1584800,-0.66,-0.61015,107.58,"April 18, 23",-0.0061015,APTV
2023-04-17,107.07,108.55,106.2701,107.6,107.599998,1118190,1118200,0.53,0.495,107.31,"April 17, 23",0.00495,APTV
2023-04-14,106.28,109.09,105.7098,107.07,107.07,1679374,1679300,0.79,0.74332,107.4,"April 14, 23",0.0074332,APTV
2023-04-13,105.16,106.39,103.995,106.04,106.040001,2168033,2168000,0.88,0.83682,105.79,"April 13, 23",0.0083682,APTV
2023-04-12,106.44,106.88,103.735,104.19,104.190002,958436,958400,-2.25,-2.11,104.73,"April 12, 23",-0.0211,APTV
2023-04-11,104.56,105.955,104.225,104.97,104.970001,1396902,1396900,0.41,0.39212,105.07,"April 11, 23",0.0039212,APTV
2023-04-10,102.57,104.36,102.29,104.34,104.339996,1107781,1107800,1.77,1.73,103.84,"April 10, 23",0.0173,APTV
2023-04-06,103.67,103.93,101.895,103.02,103.019997,1648427,1648400,-0.65,-0.62699,102.86,"April 06, 23",-0.0062699,APTV
2023-04-05,106.2,107.32,104.04,104.5,104.5,1287451,1287500,-1.7,-1.6,104.61,"April 05, 23",-0.016,APTV
2023-04-04,110.36,111.04,106.8,107.22,107.220001,1696782,1696800,-3.14,-2.85,107.64,"April 04, 23",-0.0285,APTV
