date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,12.26,12.26,12.16,12.24,12.24,56070,56070,-0.02,-0.16313,12.2,"July 11, 23",-0.0016313,ARDC
2023-07-10,12.1,12.22,12.1,12.2,12.2,35827,35800,0.1,0.82645,12.19,"July 10, 23",0.0082645,ARDC
2023-07-07,12.08,12.13,12.05,12.1,12.1,56225,56200,0.02,0.16556,12.09,"July 07, 23",0.0016556,ARDC
2023-07-06,12.25,12.25,12.05,12.1,12.1,85460,85500,-0.15,-1.22,12.12,"July 06, 23",-0.0122,ARDC
2023-07-05,12.38,12.38,12.3,12.3,12.3,66684,66700,-0.08,-0.6462,12.35,"July 05, 23",-0.006462,ARDC
2023-07-03,12.33,12.46,12.3134,12.38,12.38,62654,62700,0.05,0.40552,12.39,"July 03, 23",0.0040552,ARDC
2023-06-30,12.3,12.365,12.27,12.33,12.33,51576,51600,0.03,0.2439,12.32,"June 30, 23",0.002439,ARDC
2023-06-29,12.23,12.27,12.19,12.26,12.26,32485,32500,0.03,0.2453,12.22,"June 29, 23",0.002453,ARDC
2023-06-28,12.09,12.25,12.09,12.23,12.23,61240,61200,0.14,1.16,12.2,"June 28, 23",0.0116,ARDC
2023-06-27,12.15,12.18,12.08,12.1,12.1,65436,65400,-0.05,-0.41152,12.14,"June 27, 23",-0.0041152,ARDC
2023-06-26,12.07,12.15,12.07,12.15,12.15,57634,57600,0.08,0.6628,12.13,"June 26, 23",0.006628,ARDC
2023-06-23,12.07,12.07,12.02,12.07,12.07,49565,49600,0.0,0.0,12.04,"June 23, 23",0.0,ARDC
2023-06-22,12.06,12.08,12.0101,12.07,12.07,35839,35800,0.01,0.08291874,12.06,"June 22, 23",0.0008291874,ARDC
2023-06-21,12.05,12.08,12.0,12.06,12.06,76780,76800,0.01,0.08298755,12.04,"June 21, 23",0.0008298755,ARDC
2023-06-20,12.07,12.1,11.96,12.02,12.02,66638,66600,-0.05,-0.41425,12.02,"June 20, 23",-0.0041425,ARDC
2023-06-16,12.01,12.06,11.9151,12.0,12.0,62710,62700,-0.01,-0.08326395,12.0,"June 16, 23",-0.0008326395,ARDC
2023-06-15,11.95,12.13,11.95,12.07,11.957,97879,97900,0.12,1.0,12.04,"June 15, 23",0.01,ARDC
2023-06-14,12.03,12.045,11.93,12.0,11.887655,92731,92700,-0.03,-0.24938,11.99,"June 14, 23",-0.0024938,ARDC
2023-06-13,12.09,12.12,11.925,12.03,11.917375,80435,80400,-0.06,-0.49628,11.99,"June 13, 23",-0.0049628,ARDC
2023-06-12,11.96,12.09,11.96,12.02,12.02,74940,74900,0.06,0.50167,12.04,"June 12, 23",0.0050167,ARDC
2023-06-09,11.95,12.0,11.9,11.95,11.95,42236,42200,0.0,0.0,11.96,"June 09, 23",0.0,ARDC
2023-06-08,12.05,12.13,11.94,11.96,11.96,46658,46700,-0.09,-0.74689,11.99,"June 08, 23",-0.0074689,ARDC
2023-06-07,11.99,12.14,11.99,12.01,12.01,79702,79700,0.02,0.16681,12.06,"June 07, 23",0.0016681,ARDC
2023-06-06,11.97,12.0,11.93,11.96,11.96,70136,70100,-0.01,-0.08354219,11.97,"June 06, 23",-0.0008354219,ARDC
2023-06-05,11.89,11.97,11.83,11.97,11.97,128903,120500,0.08,0.67283,11.89,"June 05, 23",0.0067283,ARDC
2023-06-02,11.87,11.9,11.84,11.89,11.89,74653,74600,0.02,0.16849,11.88,"June 02, 23",0.0016849,ARDC
2023-06-01,11.77,11.87,11.71,11.81,11.81,176839,176800,0.04,0.33985,11.8,"June 01, 23",0.0033985,ARDC
2023-05-31,11.73,11.8,11.66,11.79,11.79,100882,100900,0.06,0.51151,11.74,"May 31, 23",0.0051151,ARDC
2023-05-30,11.68,11.7288,11.64,11.71,11.71,102222,102200,0.03,0.25685,11.69,"May 30, 23",0.0025685,ARDC
2023-05-26,11.64,11.7097,11.59,11.68,11.68,86181,86200,0.04,0.34364,11.68,"May 26, 23",0.0034364,ARDC
2023-05-25,11.58,11.63,11.56,11.63,11.63,74461,74500,0.05,0.43178,11.6,"May 25, 23",0.0043178,ARDC
2023-05-24,11.72,11.74,11.58,11.61,11.61,159283,159300,-0.11,-0.93857,11.63,"May 24, 23",-0.0093857,ARDC
2023-05-23,11.73,11.7699,11.7,11.7,11.7,68136,68100,-0.03,-0.25575,11.73,"May 23, 23",-0.0025575,ARDC
2023-05-22,11.78,11.8178,11.74,11.77,11.77,66742,66700,-0.01,-0.08488964,11.79,"May 22, 23",-0.0008488964,ARDC
2023-05-19,11.76,11.81,11.73,11.74,11.74,148376,148400,-0.02,-0.17007,11.76,"May 19, 23",-0.0017007,ARDC
2023-05-18,11.89,11.9463,11.85,11.9,11.787,79193,79200,0.01,0.08410429,11.91,"May 18, 23",0.0008410429,ARDC
2023-05-17,11.93,11.96,11.91,11.95,11.836525,77661,77700,0.02,0.16764,11.93,"May 17, 23",0.0016764,ARDC
2023-05-16,11.92,11.95,11.9,11.91,11.796905,71182,71200,-0.01,-0.08389262,11.92,"May 16, 23",-0.0008389262,ARDC
2023-05-15,12.0,12.005,11.94,11.95,11.836525,60253,60300,-0.05,-0.41667,11.98,"May 15, 23",-0.0041667,ARDC
2023-05-12,12.08,12.08,11.94,11.99,11.876145,50899,50900,-0.09,-0.74503,11.99,"May 12, 23",-0.0074503,ARDC
2023-05-11,12.1,12.1599,11.9454,12.02,11.905861,70033,70000,-0.08,-0.66116,12.06,"May 11, 23",-0.0066116,ARDC
2023-05-10,12.11,12.16,12.09,12.11,11.995006,45047,45000,0.0,0.0,12.12,"May 10, 23",0.0,ARDC
2023-05-09,12.04,12.06,12.0,12.04,11.925671,36806,36800,0.0,0.0,12.04,"May 09, 23",0.0,ARDC
2023-05-08,12.05,12.0932,11.99,12.0,11.88605,66348,66300,-0.05,-0.41494,12.02,"May 08, 23",-0.0041494,ARDC
