date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,3.16,3.3499,3.16,3.235,3.235,5935,5886,0.075,2.37,3.23,"July 11, 23",0.0237,BCAN
2023-07-10,3.26,3.39,3.1501,3.245,3.245,12268,12300,-0.015,-0.46012,3.24,"July 10, 23",-0.0046012,BCAN
2023-07-07,3.39,3.39,3.26,3.31,3.31,3903,3900,-0.08,-2.36,3.34,"July 07, 23",-0.0236,BCAN
2023-07-06,3.21,3.4707,3.16,3.4,3.4,5976,6000,0.19,5.92,3.32,"July 06, 23",0.0592,BCAN
2023-07-05,3.48,3.48,3.09,3.33,3.33,39669,39700,-0.15,-4.31,3.23,"July 05, 23",-0.0431,BCAN
2023-07-03,3.48,3.54,3.21,3.21,3.21,22837,22800,-0.27,-7.76,3.35,"July 03, 23",-0.0776,BCAN
2023-06-30,3.46,3.5,3.205,3.3,3.3,19976,20000,-0.16,-4.62,3.3,"June 30, 23",-0.0462,BCAN
2023-06-29,3.52,3.5499,3.27,3.34,3.34,7894,7900,-0.18,-5.11,3.41,"June 29, 23",-0.0511,BCAN
2023-06-28,3.57,3.57,3.46,3.515,3.515,1781,1800,-0.055,-1.54,3.52,"June 28, 23",-0.0154,BCAN
2023-06-27,3.6,3.6,3.47,3.5748,3.575,10160,10200,-0.0252,-0.7,3.53,"June 27, 23",-0.007,BCAN
2023-06-26,3.62,3.62,3.4,3.6,3.6,13099,13100,-0.02,-0.55249,3.48,"June 26, 23",-0.0055249,BCAN
2023-06-23,3.55,3.6,3.34,3.6,3.6,17651,17700,0.05,1.41,3.54,"June 23, 23",0.0141,BCAN
2023-06-22,3.5214,3.5914,3.51,3.55,3.55,21862,21900,0.0286,0.81218,3.54,"June 22, 23",0.0081218,BCAN
2023-06-21,3.29,3.51,3.29,3.51,3.51,5298,5300,0.22,6.69,3.44,"June 21, 23",0.0669,BCAN
2023-06-20,3.37,3.51,3.37,3.5,3.5,25317,25300,0.13,3.86,3.48,"June 20, 23",0.0386,BCAN
2023-06-16,3.41,3.52,3.29,3.49,3.49,17302,17300,0.08,2.35,3.43,"June 16, 23",0.0235,BCAN
2023-06-15,3.36,3.45,3.27,3.45,3.45,16098,16100,0.09,2.68,3.37,"June 15, 23",0.0268,BCAN
2023-06-14,3.45,3.49,3.3,3.49,3.49,22348,22200,0.04,1.16,3.41,"June 14, 23",0.0116,BCAN
2023-06-13,3.44,3.48,3.15,3.4,3.4,27083,27100,-0.04,-1.16,3.32,"June 13, 23",-0.0116,BCAN
2023-06-12,3.4796,3.53,3.27,3.4199,3.42,28598,28600,-0.0597,-1.72,3.37,"June 12, 23",-0.0172,BCAN
2023-06-09,3.54,3.55,3.3093,3.55,3.55,14674,14700,0.01,0.28249,3.42,"June 09, 23",0.0028249,BCAN
2023-06-08,3.46,3.6,3.3,3.54,3.54,41103,40800,0.08,2.31,3.49,"June 08, 23",0.0231,BCAN
2023-06-07,3.21,3.5,3.17,3.46,3.46,27593,27400,0.25,7.79,3.36,"June 07, 23",0.0779,BCAN
2023-06-06,3.23,3.3,3.18,3.295,3.295,31193,31200,0.065,2.01,3.26,"June 06, 23",0.0201,BCAN
2023-06-05,3.0,3.28,2.97,3.2,3.2,23078,23100,0.2,6.67,3.13,"June 05, 23",0.0667,BCAN
2023-06-02,3.18,3.18,3.0322,3.1502,3.15,9051,9000,-0.0298,-0.93711,3.14,"June 02, 23",-0.0093711,BCAN
2023-06-01,3.06,3.32,3.05,3.11,3.11,29157,29200,0.05,1.63,3.14,"June 01, 23",0.0163,BCAN
2023-05-31,2.78,3.31,2.58,3.31,3.31,141604,141400,0.53,19.06,3.08,"May 31, 23",0.1906,BCAN
2023-05-30,2.79,2.83,2.7,2.7,2.7,20249,20200,-0.09,-3.23,2.75,"May 30, 23",-0.0323,BCAN
2023-05-26,2.72,2.84,2.61,2.84,2.84,16859,16900,0.12,4.41,2.73,"May 26, 23",0.0441,BCAN
