date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,54.35,54.8,53.8,54.75,54.75,414359,393378,0.4,0.73597,54.41,"July 11, 23",0.0073597,BL
2023-07-10,52.66,54.675,52.66,54.18,54.18,676263,676300,1.52,2.89,54.23,"July 10, 23",0.0289,BL
2023-07-07,52.99,53.8,52.99,53.06,53.060001,520068,520000,0.07,0.1321,53.31,"July 07, 23",0.001321,BL
2023-07-06,52.89,53.45,52.48,53.08,53.080002,495348,495300,0.19,0.35924,53.01,"July 06, 23",0.0035924,BL
2023-07-05,53.38,54.9,52.4013,53.97,53.970001,647448,647400,0.59,1.11,53.97,"July 05, 23",0.0111,BL
2023-07-03,53.44,54.03,53.29,53.9,53.900002,160888,160900,0.46,0.86078,53.7,"July 03, 23",0.0086078,BL
2023-06-30,54.74,55.08,53.77,53.82,53.82,453652,453600,-0.92,-1.68,54.12,"June 30, 23",-0.0168,BL
2023-06-29,54.07,54.985,53.87,54.1,54.099998,444889,444900,0.03,0.05548363,54.18,"June 29, 23",0.0005548363,BL
2023-06-28,54.12,54.6,53.25,54.09,54.09,568135,568100,-0.03,-0.05543237,53.86,"June 28, 23",-0.0005543237,BL
2023-06-27,54.94,55.32,54.19,54.4,54.400002,545964,545900,-0.54,-0.98289,54.64,"June 27, 23",-0.0098289,BL
2023-06-26,53.49,54.79,53.2875,54.51,54.509998,578650,578600,1.02,1.91,54.54,"June 26, 23",0.0191,BL
2023-06-23,53.63,54.395,53.095,53.88,53.880001,1016373,1016400,0.25,0.46616,53.89,"June 23, 23",0.0046616,BL
2023-06-22,53.2,54.72,52.82,54.68,54.68,665784,665800,1.48,2.78,54.29,"June 22, 23",0.0278,BL
2023-06-21,53.57,53.81,52.55,53.54,53.540001,552339,552300,-0.03,-0.05600149,53.38,"June 21, 23",-0.0005600149,BL
2023-06-20,52.65,53.78,52.04,53.74,53.740002,462087,462100,1.09,2.07,53.23,"June 20, 23",0.0207,BL
2023-06-16,54.96,54.96,53.38,53.48,53.48,843294,843300,-1.48,-2.69,53.87,"June 16, 23",-0.0269,BL
2023-06-15,51.71,54.71,51.47,54.27,54.27,965318,965300,2.56,4.95,53.81,"June 15, 23",0.0495,BL
2023-06-14,54.15,54.295,51.86,52.08,52.080002,842388,842400,-2.07,-3.82,52.61,"June 14, 23",-0.0382,BL
2023-06-13,53.28,54.38,52.01,54.12,54.119999,2113015,2112800,0.84,1.58,53.41,"June 13, 23",0.0158,BL
2023-06-12,52.76,53.14,52.27,52.49,52.490002,654396,654400,-0.27,-0.51175,52.59,"June 12, 23",-0.0051175,BL
2023-06-09,52.3,53.18,51.9,52.27,52.27,494170,494200,-0.03,-0.05736138,52.2,"June 09, 23",-0.0005736138,BL
2023-06-08,52.9,53.085,52.04,52.2,52.200001,543972,544000,-0.7,-1.32,52.38,"June 08, 23",-0.0132,BL
2023-06-07,55.11,55.84,52.745,53.1,53.099998,999210,999200,-2.01,-3.65,53.41,"June 07, 23",-0.0365,BL
2023-06-06,54.89,56.285,54.32,54.76,54.759998,976283,976300,-0.13,-0.23684,55.03,"June 06, 23",-0.0023684,BL
2023-06-05,54.85,55.35,53.58,55.25,55.25,503737,503700,0.4,0.72926,54.86,"June 05, 23",0.0072926,BL
2023-06-02,53.59,55.525,52.77,55.26,55.259998,874454,874500,1.67,3.12,54.83,"June 02, 23",0.0312,BL
2023-06-01,52.0,53.26,51.15,52.81,52.810001,737012,737000,0.81,1.56,52.64,"June 01, 23",0.0156,BL
2023-05-31,49.87,52.27,49.8,52.07,52.07,1463082,1463100,2.2,4.41,51.75,"May 31, 23",0.0441,BL
2023-05-30,52.15,52.43,49.931,50.04,50.040001,504746,504700,-2.11,-4.05,50.49,"May 30, 23",-0.0405,BL
2023-05-26,49.81,51.315,49.5701,51.22,51.220001,1055885,1055900,1.41,2.83,50.69,"May 26, 23",0.0283,BL
2023-05-25,51.02,51.46,49.47,49.51,49.509998,746364,746400,-1.51,-2.96,50.01,"May 25, 23",-0.0296,BL
2023-05-24,51.23,51.58,50.81,50.87,50.869999,689599,689600,-0.36,-0.70271,51.04,"May 24, 23",-0.0070271,BL
2023-05-23,53.41,54.31,51.7,51.87,51.869999,960969,961000,-1.54,-2.88,52.42,"May 23, 23",-0.0288,BL
2023-05-22,53.28,54.41,52.91,54.12,54.119999,780091,780100,0.84,1.58,53.93,"May 22, 23",0.0158,BL
2023-05-19,55.02,55.29,53.35,53.59,53.59,369538,369400,-1.43,-2.6,53.98,"May 19, 23",-0.026,BL
2023-05-18,53.74,54.96,53.73,54.84,54.84,604535,604500,1.1,2.05,54.62,"May 18, 23",0.0205,BL
2023-05-17,52.07,54.08,51.91,54.01,54.009998,549152,549200,1.94,3.73,53.62,"May 17, 23",0.0373,BL
2023-05-16,52.51,52.86,51.8,51.88,51.880001,464509,464500,-0.63,-1.2,52.13,"May 16, 23",-0.012,BL
2023-05-15,52.1,53.37,51.83,53.15,53.150002,812599,812600,1.05,2.02,52.98,"May 15, 23",0.0202,BL
2023-05-12,53.48,53.67,52.005,52.2,52.200001,716235,716200,-1.28,-2.39,52.32,"May 12, 23",-0.0239,BL
2023-05-11,54.21,54.46,53.18,53.53,53.529999,354963,355000,-0.68,-1.25,53.59,"May 11, 23",-0.0125,BL
