date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-10,0.0975,0.1,0.0975,0.0997,0.0997,2400,2400,0.0022,2.26,0.0993,"July 10, 23",0.0226,BLEUR
2023-07-06,0.0991,0.1,0.0975,0.1,0.1,10001,10001,0.0009,0.90817,0.0999,"July 06, 23",0.0090817,BLEUR
2023-07-05,0.0968,0.1,0.095,0.1,0.1,402,402,0.0032,3.31,0.0969,"July 05, 23",0.0331,BLEUR
2023-07-03,0.11,0.11,0.11,0.11,0.11,450,450,0.0,0.0,0.11,"July 03, 23",0.0,BLEUR
2023-06-28,0.0575,0.086,0.0575,0.086,0.086,1595,1495,0.0285,49.57,0.0602,"June 28, 23",0.4957,BLEUR
2023-06-23,0.0788,0.0789,0.0788,0.0789,0.0789,1449,1449,0.0001,0.1269,0.0788,"June 23, 23",0.001269,BLEUR
2023-06-21,0.0575,0.0575,0.0575,0.0575,0.0575,100,100,0.0,0.0,0.0575,"June 21, 23",0.0,BLEUR
2023-06-16,0.0575,0.0575,0.0575,0.0575,0.0575,909,909,0.0,0.0,0.0575,"June 16, 23",0.0,BLEUR
2023-06-09,0.0576,0.0576,0.0576,0.0576,0.0576,300,300,0.0,0.0,0.0576,"June 09, 23",0.0,BLEUR
2023-06-07,0.0575,0.06,0.0575,0.0575,0.0575,43714,43714,0.0,0.0,0.0599,"June 07, 23",0.0,BLEUR
2023-06-06,0.0575,0.0575,0.0575,0.0575,0.0575,25000,25000,0.0,0.0,0.0575,"June 06, 23",0.0,BLEUR
2023-06-01,0.0629,0.0629,0.0629,0.0629,0.0629,100,100,0.0,0.0,0.0629,"June 01, 23",0.0,BLEUR
2023-05-31,0.065,0.065,0.065,0.065,0.065,254,254,0.0,0.0,0.065,"May 31, 23",0.0,BLEUR
2023-05-30,0.11,0.11,0.07,0.07,0.07,756,756,-0.04,-36.36,0.0898,"May 30, 23",-0.3636,BLEUR
2023-05-26,0.075,0.075,0.075,0.075,0.075,2001,2001,0.0,0.0,0.075,"May 26, 23",0.0,BLEUR
2023-05-25,0.06,0.08,0.06,0.0749,0.0749,1207189,1207189,0.0149,24.83,0.0602,"May 25, 23",0.2483,BLEUR
2023-05-24,0.07,0.08,0.07,0.08,0.08,50100,50100,0.01,14.29,0.07,"May 24, 23",0.1429,BLEUR
2023-05-23,0.06,0.08,0.06,0.07,0.07,260200,260200,0.01,16.67,0.0677,"May 23, 23",0.1667,BLEUR
2023-05-22,0.05,0.0744,0.05,0.0506,0.0506,117719,117719,0.0006,1.2,0.0612,"May 22, 23",0.012,BLEUR
2023-05-19,0.06,0.06,0.05,0.05,0.05,50025,50025,-0.01,-16.67,0.0521,"May 19, 23",-0.1667,BLEUR
2023-05-18,0.0504,0.059899,0.0504,0.059899,0.059899,20100,20100,0.009499,18.85,0.0528,"May 18, 23",0.1885,BLEUR
2023-05-17,0.06,0.06,0.055,0.0576,0.0576,54960,54960,-0.0024,-4.0,0.0583,"May 17, 23",-0.04,BLEUR
2023-05-16,0.07,0.07,0.05,0.06,0.06,21100,21100,-0.01,-14.29,0.0617,"May 16, 23",-0.1429,BLEUR
2023-05-15,0.0501,0.0746,0.0501,0.0746,0.0746,5000,5000,0.0245,48.9,0.0506,"May 15, 23",0.489,BLEUR
2023-05-11,0.0501,0.06,0.0501,0.06,0.06,105101,105101,0.0099,19.76,0.0595,"May 11, 23",0.1976,BLEUR
2023-05-10,0.05,0.059,0.05,0.059,0.059,252811,252811,0.009,18.0,0.054,"May 10, 23",0.18,BLEUR
2023-05-09,0.0501,0.0501,0.0501,0.0501,0.0501,21233,21233,0.0,0.0,0.0501,"May 09, 23",0.0,BLEUR
2023-05-08,0.0501,0.050101,0.0501,0.0501,0.0501,15625,15625,0.0,0.0,0.0501,"May 08, 23",0.0,BLEUR
2023-05-02,0.0501,0.06,0.0501,0.06,0.06,1900,1900,0.0099,19.76,0.0543,"May 02, 23",0.1976,BLEUR
2023-04-27,0.0501,0.0501,0.0501,0.0501,0.0501,5005,5005,0.0,0.0,0.0501,"April 27, 23",0.0,BLEUR
2023-04-26,0.063,0.0645,0.05,0.05,0.05,91345,91345,-0.013,-20.63,0.0503,"April 26, 23",-0.2063,BLEUR
2023-04-25,0.0571,0.0571,0.05,0.050199,0.050199,24522,24522,-0.006901,-12.09,0.0505,"April 25, 23",-0.1209,BLEUR
2023-04-24,0.0501,0.0501,0.05,0.05,0.05,2532,2532,-0.0001,-0.1996,0.0501,"April 24, 23",-0.001996,BLEUR
2023-04-21,0.0596,0.06,0.051,0.06,0.0596,3726,3726,0.0004,0.67114,0.0572,"April 21, 23",0.0067114,BLEUR
2023-04-20,0.0596,0.0596,0.05,0.05,0.05,170076,170076,-0.0096,-16.11,0.0501,"April 20, 23",-0.1611,BLEUR
2023-04-19,0.0501,0.0564,0.05,0.05,0.05,405310,405310,-0.0001,-0.1996,0.0509,"April 19, 23",-0.001996,BLEUR
2023-04-18,0.0452,0.05,0.0452,0.05,0.05,6251,6251,0.0048,10.62,0.0456,"April 18, 23",0.1062,BLEUR
