date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,0.5946,0.619,0.542,0.595,0.594,91360,91360,0.0004,0.06727212,0.5785,"July 11, 23",0.0006727212,CACO
2023-07-10,0.5731,0.5731,0.5329,0.5499,0.55,99156,99200,-0.0232,-4.05,0.6447,"July 10, 23",-0.0405,CACO
2023-07-07,0.549599,0.5692,0.5397,0.5555,0.556,19987,20000,0.005901,1.07,0.5451,"July 07, 23",0.0107,CACO
2023-07-06,0.56,0.5999,0.5208,0.55,0.55,38319,38300,-0.01,-1.79,0.5663,"July 06, 23",-0.0179,CACO
2023-07-05,0.633599,0.633599,0.51,0.569799,0.57,51998,52000,-0.0638,-10.07,0.5877,"July 05, 23",-0.1007,CACO
2023-07-03,0.541599,0.62,0.5169,0.571,0.571,98236,98200,0.029401,5.43,0.57,"July 03, 23",0.0543,CACO
2023-06-30,0.5,0.53,0.4999,0.522949,0.523,9951,10000,0.022949,4.59,0.5084,"June 30, 23",0.0459,CACO
2023-06-29,0.5102,0.5529,0.481,0.5299,0.53,20633,20600,0.0197,3.86,0.5063,"June 29, 23",0.0386,CACO
2023-06-28,0.51,0.5799,0.5,0.54095,0.541,31994,32000,0.03095,6.07,0.5287,"June 28, 23",0.0607,CACO
2023-06-27,0.54,0.54,0.506123,0.51,0.51,12501,12500,-0.03,-5.56,0.5233,"June 27, 23",-0.0556,CACO
2023-06-26,0.507483,0.53,0.44,0.5,0.5,18691,18700,-0.007483,-1.47,0.4969,"June 26, 23",-0.0147,CACO
2023-06-23,0.454,0.5736,0.454,0.5294,0.529,92807,92800,0.0754,16.61,0.5203,"June 23, 23",0.1661,CACO
2023-06-22,0.53,0.5545,0.45,0.4541,0.454,103905,103700,-0.0759,-14.32,0.4931,"June 22, 23",-0.1432,CACO
2023-06-21,0.5647,0.597,0.5301,0.5302,0.53,55668,55600,-0.0345,-6.11,0.5519,"June 21, 23",-0.0611,CACO
