date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,2.22,2.44,2.18,2.43,2.43,1884163,1874012,0.21,9.46,2.37,"July 11, 23",0.0946,CERS
2023-07-10,2.05,2.2,2.05,2.18,2.18,1083427,1083200,0.13,6.34,2.17,"July 10, 23",0.0634,CERS
2023-07-07,2.08,2.11,2.025,2.07,2.07,1633310,1633300,-0.01,-0.48077,2.07,"July 07, 23",-0.0048077,CERS
2023-07-06,2.23,2.25,2.04,2.06,2.06,2338642,2338600,-0.17,-7.62,2.09,"July 06, 23",-0.0762,CERS
2023-07-05,2.44,2.465,2.26,2.26,2.26,1831507,1831500,-0.18,-7.38,2.32,"July 05, 23",-0.0738,CERS
2023-07-03,2.46,2.46,2.41,2.45,2.45,454466,454500,-0.01,-0.4065,2.43,"July 03, 23",-0.004065,CERS
2023-06-30,2.46,2.5,2.44,2.46,2.46,714143,712100,0.0,0.0,2.47,"June 30, 23",0.0,CERS
2023-06-29,2.45,2.45,2.405,2.44,2.44,611705,611700,-0.01,-0.40816,2.43,"June 29, 23",-0.0040816,CERS
2023-06-28,2.38,2.45,2.38,2.45,2.45,610229,610200,0.07,2.94,2.43,"June 28, 23",0.0294,CERS
2023-06-27,2.35,2.42,2.325,2.4,2.4,961611,961500,0.05,2.13,2.4,"June 27, 23",0.0213,CERS
2023-06-26,2.36,2.38,2.31,2.36,2.36,797690,797700,0.0,0.0,2.36,"June 26, 23",0.0,CERS
2023-06-23,2.47,2.48,2.37,2.4,2.4,2766533,2766500,-0.07,-2.83,2.41,"June 23, 23",-0.0283,CERS
2023-06-22,2.5,2.58,2.47,2.53,2.53,680090,679900,0.03,1.2,2.54,"June 22, 23",0.012,CERS
2023-06-21,2.44,2.58,2.43,2.56,2.56,1154592,1154600,0.12,4.92,2.54,"June 21, 23",0.0492,CERS
2023-06-20,2.56,2.56,2.41,2.46,2.46,2173282,2173300,-0.1,-3.91,2.45,"June 20, 23",-0.0391,CERS
2023-06-16,2.7,2.7,2.54,2.57,2.57,1705551,1705500,-0.13,-4.81,2.59,"June 16, 23",-0.0481,CERS
2023-06-15,2.6,2.68,2.57,2.67,2.67,1121927,1121900,0.07,2.69,2.64,"June 15, 23",0.0269,CERS
2023-06-14,2.64,2.67,2.55,2.61,2.61,1377877,1377900,-0.03,-1.14,2.6,"June 14, 23",-0.0114,CERS
2023-06-13,2.54,2.665,2.515,2.61,2.61,1697196,1697200,0.07,2.76,2.6,"June 13, 23",0.0276,CERS
2023-06-12,2.55,2.65,2.465,2.54,2.54,1517075,1517100,-0.01,-0.39216,2.56,"June 12, 23",-0.0039216,CERS
2023-06-09,2.54,2.62,2.5,2.52,2.52,1238061,1238000,-0.02,-0.7874,2.55,"June 09, 23",-0.007874,CERS
2023-06-08,2.56,2.57,2.48,2.53,2.53,1169446,1169400,-0.03,-1.17,2.53,"June 08, 23",-0.0117,CERS
2023-06-07,2.49,2.58,2.44,2.54,2.54,1658121,1658100,0.05,2.01,2.52,"June 07, 23",0.0201,CERS
2023-06-06,2.27,2.44,2.22,2.43,2.43,1224103,1224000,0.16,7.05,2.39,"June 06, 23",0.0705,CERS
2023-06-05,2.26,2.28,2.19,2.26,2.26,1073604,1073600,0.0,0.0,2.25,"June 05, 23",0.0,CERS
2023-06-02,2.19,2.27,2.155,2.26,2.26,1351646,1351100,0.07,3.2,2.22,"June 02, 23",0.032,CERS
2023-06-01,2.16,2.18,2.07,2.14,2.14,1240900,1240900,-0.02,-0.92593,2.14,"June 01, 23",-0.0092593,CERS
2023-05-31,2.05,2.17,2.02,2.14,2.14,1954057,1954100,0.09,4.39,2.13,"May 31, 23",0.0439,CERS
2023-05-30,1.96,2.06,1.95,2.04,2.04,2262902,2262900,0.08,4.08,2.01,"May 30, 23",0.0408,CERS
2023-05-26,1.93,1.985,1.86,1.93,1.93,1148513,1148500,0.0,0.0,1.92,"May 26, 23",0.0,CERS
2023-05-25,2.06,2.085,1.94,1.96,1.96,1307824,1307800,-0.1,-4.85,1.99,"May 25, 23",-0.0485,CERS
2023-05-24,1.94,2.04,1.905,2.03,2.03,1242728,1242700,0.09,4.64,2.0,"May 24, 23",0.0464,CERS
2023-05-23,1.96,2.14,1.91,1.94,1.94,1635315,1635300,-0.02,-1.02,1.99,"May 23, 23",-0.0102,CERS
2023-05-22,1.86,2.0,1.82,1.98,1.98,2685641,2685600,0.12,6.45,1.95,"May 22, 23",0.0645,CERS
2023-05-19,1.81,1.89,1.79,1.88,1.88,1159182,1159100,0.07,3.87,1.85,"May 19, 23",0.0387,CERS
2023-05-18,2.0,2.0,1.76,1.79,1.79,1675892,1675900,-0.21,-10.5,1.82,"May 18, 23",-0.105,CERS
2023-05-17,1.9,1.99,1.87,1.99,1.99,1560697,1560700,0.09,4.74,1.96,"May 17, 23",0.0474,CERS
2023-05-16,1.89,1.93,1.85,1.88,1.88,1188631,1188500,-0.01,-0.5291,1.89,"May 16, 23",-0.005291,CERS
2023-05-15,1.9,1.915,1.84,1.86,1.86,1945409,1945400,-0.04,-2.11,1.86,"May 15, 23",-0.0211,CERS
2023-05-12,1.93,1.99,1.81,1.88,1.88,1839119,1839100,-0.05,-2.59,1.88,"May 12, 23",-0.0259,CERS
2023-05-11,2.27,2.27,1.93,1.95,1.95,1516375,1516400,-0.32,-14.1,2.01,"May 11, 23",-0.141,CERS
2023-05-10,2.23,2.26,2.1,2.17,2.17,1153132,1153100,-0.06,-2.69,2.16,"May 10, 23",-0.0269,CERS
2023-05-09,2.17,2.205,2.13,2.16,2.16,990078,990100,-0.01,-0.46083,2.16,"May 09, 23",-0.0046083,CERS
2023-05-08,2.3,2.385,2.19,2.21,2.21,1270553,1270600,-0.09,-3.91,2.25,"May 08, 23",-0.0391,CERS
2023-05-05,2.22,2.29,2.14,2.28,2.28,1337179,1337100,0.06,2.7,2.24,"May 05, 23",0.027,CERS
2023-05-04,2.25,2.33,2.25,2.31,2.31,1091531,1091400,0.06,2.67,2.29,"May 04, 23",0.0267,CERS
2023-05-03,2.19,2.37,2.19,2.3,2.3,1187804,1187800,0.11,5.02,2.3,"May 03, 23",0.0502,CERS
2023-05-02,2.37,2.37,2.15,2.16,2.16,1272124,1272100,-0.21,-8.86,2.19,"May 02, 23",-0.0886,CERS
2023-05-01,2.31,2.39,2.285,2.35,2.35,805573,805600,0.04,1.73,2.35,"May 01, 23",0.0173,CERS
2023-04-28,2.29,2.36,2.2501,2.31,2.31,951705,951700,0.02,0.87336,2.31,"April 28, 23",0.0087336,CERS
2023-04-27,2.35,2.37,2.29,2.29,2.29,638852,638900,-0.06,-2.55,2.32,"April 27, 23",-0.0255,CERS
2023-04-26,2.42,2.45,2.32,2.35,2.35,933532,933500,-0.07,-2.89,2.36,"April 26, 23",-0.0289,CERS
2023-04-25,2.42,2.49,2.415,2.43,2.43,734259,734300,0.01,0.41322,2.45,"April 25, 23",0.0041322,CERS
2023-04-24,2.49,2.52,2.415,2.46,2.46,1008645,1008600,-0.03,-1.2,2.46,"April 24, 23",-0.012,CERS
2023-04-21,2.41,2.525,2.385,2.5,2.5,688909,688900,0.09,3.73,2.47,"April 21, 23",0.0373,CERS
2023-04-20,2.55,2.56,2.41,2.42,2.42,1274466,1274500,-0.13,-5.1,2.46,"April 20, 23",-0.051,CERS
2023-04-19,2.72,2.73,2.56,2.57,2.57,1076642,1076600,-0.15,-5.51,2.61,"April 19, 23",-0.0551,CERS
