date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,23.85,24.0,23.85,24.0,24.0,13198,13198,0.15,0.62893,23.96,"July 11, 23",0.0062893,CMSC
2023-07-10,23.88,23.89,23.6701,23.85,23.85,15637,15600,-0.03,-0.12563,23.82,"July 10, 23",-0.0012563,CMSC
2023-07-07,23.52,23.8399,23.52,23.71,23.709999,7197,7200,0.19,0.80782,23.7,"July 07, 23",0.0080782,CMSC
2023-07-06,23.84,23.84,23.5315,23.72,23.719999,11758,11800,-0.12,-0.50336,23.63,"July 06, 23",-0.0050336,CMSC
2023-07-05,24.02,24.15,23.84,23.84,23.84,16109,16100,-0.18,-0.74938,24.03,"July 05, 23",-0.0074938,CMSC
2023-07-03,23.91,24.0132,23.83,23.91,23.91,6244,6200,0.0,0.0,23.95,"July 03, 23",0.0,CMSC
2023-06-30,23.79,23.97,23.7501,23.97,23.969999,58156,58200,0.18,0.75662,23.93,"June 30, 23",0.0075662,CMSC
2023-06-29,23.74,23.88,23.6042,23.88,23.879999,11213,11200,0.14,0.58972,23.75,"June 29, 23",0.0058972,CMSC
2023-06-28,24.22,24.28,24.14,24.26,23.893,16227,16200,0.04,0.16515,24.22,"June 28, 23",0.0016515,CMSC
2023-06-27,24.42,24.42,24.21,24.24,23.873302,7601,7600,-0.18,-0.7371,24.31,"June 27, 23",-0.007371,CMSC
2023-06-26,24.27,24.45,24.11,24.28,23.912699,8795,8800,0.01,0.04120313,24.34,"June 26, 23",0.0004120313,CMSC
2023-06-23,24.1133,24.22,24.1133,24.22,23.853605,5053,5100,0.1067,0.44249,24.18,"June 23, 23",0.0044249,CMSC
2023-06-22,24.125,24.1523,24.07,24.1,23.73542,7773,7800,-0.025,-0.10363,24.13,"June 22, 23",-0.0010363,CMSC
2023-06-21,24.24,24.24,24.0,24.11,23.74527,19509,19500,-0.13,-0.5363,24.07,"June 21, 23",-0.005363,CMSC
2023-06-20,24.2,24.2999,24.05,24.2,23.833908,16373,16400,0.0,0.0,24.19,"June 20, 23",0.0,CMSC
2023-06-16,24.2,24.2468,24.1401,24.2,23.833908,10038,10000,0.0,0.0,24.19,"June 16, 23",0.0,CMSC
2023-06-15,24.165,24.28,24.165,24.2479,23.883152,5561,5600,0.0829,0.34306,24.25,"June 15, 23",0.0034306,CMSC
2023-06-14,24.31,24.31,24.0927,24.21,23.843756,8511,8500,-0.1,-0.41135,24.17,"June 14, 23",-0.0041135,CMSC
2023-06-13,24.33,24.35,24.25,24.3,23.932394,9737,9700,-0.03,-0.1233,24.31,"June 13, 23",-0.001233,CMSC
2023-06-12,24.34,24.34,24.21,24.23,23.863453,8891,8900,-0.11,-0.45193,24.28,"June 12, 23",-0.0045193,CMSC
2023-06-09,24.35,24.385,24.277,24.277,23.912699,9027,9000,-0.073,-0.29979,24.34,"June 09, 23",-0.0029979,CMSC
2023-06-08,24.345,24.4399,24.345,24.4,24.030882,6663,6700,0.055,0.22592,24.39,"June 08, 23",0.0022592,CMSC
2023-06-07,24.36,24.5,24.3312,24.44,24.070278,10749,10700,0.08,0.32841,24.42,"June 07, 23",0.0032841,CMSC
2023-06-06,24.32,24.455,24.265,24.44,24.070278,20716,20700,0.12,0.49342,24.41,"June 06, 23",0.0049342,CMSC
2023-06-05,24.38,24.3846,24.3,24.33,23.961941,27324,26400,-0.05,-0.20509,24.36,"June 05, 23",-0.0020509,CMSC
2023-06-02,24.27,24.34,24.22,24.3,23.932394,50184,50200,0.03,0.12361,24.26,"June 02, 23",0.0012361,CMSC
2023-06-01,24.26,24.4799,24.18,24.195,23.833908,76885,76900,-0.065,-0.26793,24.26,"June 01, 23",-0.0026793,CMSC
2023-05-31,24.19,24.34,24.11,24.22,23.853605,87431,87400,0.03,0.12402,24.22,"May 31, 23",0.0012402,CMSC
2023-05-30,24.09,24.3113,24.09,24.1,23.73542,9883,19200,0.01,0.041511,24.19,"May 30, 23",0.00041511,CMSC
2023-05-26,24.15,24.2194,24.15,24.2,23.833908,6526,6500,0.05,0.20704,24.17,"May 26, 23",0.0020704,CMSC
2023-05-25,24.26,24.3475,24.155,24.22,23.853605,8222,8200,-0.04,-0.16488,24.21,"May 25, 23",-0.0016488,CMSC
2023-05-24,24.2,24.23,24.12,24.17,23.804361,9795,9800,-0.03,-0.12397,24.2,"May 24, 23",-0.0012397,CMSC
2023-05-23,24.09,24.23,24.09,24.22,23.853605,21036,21000,0.13,0.53964,24.2,"May 23, 23",0.0053964,CMSC
2023-05-22,24.28,24.28,24.185,24.22,23.853605,18303,18300,-0.06,-0.24712,24.22,"May 22, 23",-0.0024712,CMSC
2023-05-19,24.275,24.4,24.2,24.21,23.843756,8640,8600,-0.065,-0.26777,24.29,"May 19, 23",-0.0026777,CMSC
2023-05-18,24.48,24.7,24.2636,24.3,23.932394,35139,35100,-0.18,-0.73529,24.4,"May 18, 23",-0.0073529,CMSC
2023-05-17,24.53,24.61,24.4,24.6,24.227858,16856,16900,0.07,0.28536,24.47,"May 17, 23",0.0028536,CMSC
2023-05-16,24.3,24.36,24.3,24.36,23.991488,8571,8600,0.06,0.24691,24.34,"May 16, 23",0.0024691,CMSC
2023-05-15,24.1982,24.4,24.185,24.37,24.001337,7224,7200,0.1718,0.70997,24.33,"May 15, 23",0.0070997,CMSC
2023-05-12,24.23,24.47,24.18,24.36,23.991488,4022,4000,0.13,0.53652,24.32,"May 12, 23",0.0053652,CMSC
2023-05-11,24.35,24.3709,24.14,24.25,23.883152,7645,7600,-0.1,-0.41068,24.32,"May 11, 23",-0.0041068,CMSC
2023-05-10,24.45,24.5,24.31,24.35,23.98164,9967,10000,-0.1,-0.409,24.41,"May 10, 23",-0.00409,CMSC
2023-05-09,24.1675,24.49,24.1215,24.31,23.942244,7779,7800,0.1425,0.58963,24.3,"May 09, 23",0.0058963,CMSC
2023-05-08,24.26,24.49,24.26,24.45,24.080126,8025,8000,0.19,0.78318,24.39,"May 08, 23",0.0078318,CMSC
2023-05-05,24.17,24.9251,24.17,24.25,23.883152,8578,8600,0.08,0.33099,24.56,"May 05, 23",0.0033099,CMSC
2023-05-04,24.56,24.56,24.0,24.0,23.636932,8488,8500,-0.56,-2.28,24.26,"May 04, 23",-0.0228,CMSC
2023-05-03,24.62,24.7401,24.46,24.59,24.218008,8794,8800,-0.03,-0.12185,24.62,"May 03, 23",-0.0012185,CMSC
2023-05-02,24.6,24.68,24.46,24.68,24.306646,11238,11200,0.08,0.3252,24.53,"May 02, 23",0.003252,CMSC
2023-05-01,24.86,24.91,24.6,24.74,24.365738,12995,13000,-0.12,-0.4827,24.78,"May 01, 23",-0.004827,CMSC
2023-04-28,24.615,24.92,24.615,24.87,24.493773,68918,68900,0.255,1.04,24.81,"April 28, 23",0.0104,CMSC
2023-04-27,24.59,24.605,24.56,24.605,24.237705,9933,9900,0.015,0.06100041,24.58,"April 27, 23",0.0006100041,CMSC
2023-04-26,24.515,24.6222,24.48,24.555,24.188461,10959,11000,0.04,0.16317,24.56,"April 26, 23",0.0016317,CMSC
2023-04-25,24.56,24.6,24.46,24.46,24.089973,4939,4900,-0.1,-0.40717,24.55,"April 25, 23",-0.0040717,CMSC
2023-04-24,24.68,24.68,24.57,24.6194,24.247555,11109,11100,-0.0606,-0.24554,24.63,"April 24, 23",-0.0024554,CMSC
2023-04-21,24.68,24.68,24.45,24.6,24.227858,9020,9000,-0.08,-0.32415,24.61,"April 21, 23",-0.0032415,CMSC
2023-04-20,24.77,24.77,24.45,24.6736,24.296799,17948,17900,-0.0964,-0.38918,24.58,"April 20, 23",-0.0038918,CMSC
2023-04-19,24.74,24.82,24.6904,24.6904,24.316496,7988,8000,-0.0496,-0.20049,24.74,"April 19, 23",-0.0020049,CMSC
2023-04-18,24.75,24.82,24.71,24.74,24.365738,11666,11700,-0.01,-0.04040404,24.79,"April 18, 23",-0.0004040404,CMSC
2023-04-17,24.77,24.79,24.63,24.68,24.306646,12504,12500,-0.09,-0.36334,24.72,"April 17, 23",-0.0036334,CMSC
2023-04-14,24.635,24.77,24.61,24.77,24.395285,10707,10700,0.135,0.548,24.67,"April 14, 23",0.00548,CMSC
2023-04-13,24.69,24.745,24.54,24.74,24.365738,21911,21900,0.05,0.20251,24.69,"April 13, 23",0.0020251,CMSC
2023-04-12,24.65,24.74,24.5,24.53,24.158916,18848,18800,-0.12,-0.48682,24.61,"April 12, 23",-0.0048682,CMSC
2023-04-11,24.47,24.67,24.4,24.65,24.2771,18879,18900,0.18,0.73559,24.57,"April 11, 23",0.0073559,CMSC
2023-04-10,24.29,24.4999,24.29,24.48,24.109671,5245,5200,0.19,0.78221,24.41,"April 10, 23",0.0078221,CMSC
2023-04-06,24.41,24.59,24.27,24.43,24.060429,8945,8900,0.02,0.08193363,24.43,"April 06, 23",0.0008193363,CMSC
2023-04-05,24.22,24.52,24.19,24.4,24.030882,13685,13700,0.18,0.74319,24.38,"April 05, 23",0.0074319,CMSC
2023-04-04,24.35,24.44,24.19,24.43,24.060429,7439,7400,0.08,0.32854,24.29,"April 04, 23",0.0032854,CMSC
2023-04-03,24.0,24.37,24.0,24.26,23.893,21258,21300,0.26,1.08,24.16,"April 03, 23",0.0108,CMSC
2023-03-31,24.07,24.13,23.91,24.13,23.764965,31272,31300,0.06,0.24927,24.02,"March 31, 23",0.0024927,CMSC
2023-03-30,24.05,24.05,23.8206,23.94,23.577841,19152,19200,-0.11,-0.45738,23.95,"March 30, 23",-0.0045738,CMSC
2023-03-29,24.37,24.635,24.09,24.2,23.472462,21818,21800,-0.17,-0.69758,24.45,"March 29, 23",-0.0069758,CMSC
2023-03-28,24.38,24.38,24.16,24.17,23.443361,5445,5400,-0.21,-0.86136,24.31,"March 28, 23",-0.0086136,CMSC
2023-03-27,24.37,24.75,23.95,24.19,23.462761,15910,15900,-0.18,-0.73861,24.17,"March 27, 23",-0.0073861,CMSC
2023-03-24,23.9481,24.3,23.9481,24.1679,23.443361,1685,1700,0.2198,0.91782,24.22,"March 24, 23",0.0091782,CMSC
2023-03-23,24.52,24.685,24.34,24.3495,23.61795,4498,4500,-0.1705,-0.69535,24.46,"March 23, 23",-0.0069535,CMSC
2023-03-22,24.62,24.62,24.345,24.5,23.763441,7554,7600,-0.12,-0.48741,24.44,"March 22, 23",-0.0048741,CMSC
2023-03-21,24.29,24.8886,24.13,24.14,23.414265,9698,9700,-0.15,-0.61754,24.33,"March 21, 23",-0.0061754,CMSC
2023-03-20,24.06,24.4,23.9972,24.1,23.375467,5202,5200,0.04,0.16625,24.14,"March 20, 23",0.0016625,CMSC
2023-03-17,24.56,24.56,24.15,24.2364,23.511259,3476,3500,-0.3236,-1.32,24.31,"March 17, 23",-0.0132,CMSC
2023-03-16,23.72,24.7,23.72,24.56,23.821636,11676,11700,0.84,3.54,24.37,"March 16, 23",0.0354,CMSC
2023-03-15,23.46,23.9245,23.46,23.875,23.162081,3281,3300,0.415,1.77,23.71,"March 15, 23",0.0177,CMSC
2023-03-14,23.6,24.155,23.6,23.92,23.200878,9868,9900,0.32,1.36,23.95,"March 14, 23",0.0136,CMSC
2023-03-13,23.69,23.91,21.76,23.42,22.71591,7674,7700,-0.27,-1.14,22.97,"March 13, 23",-0.0114,CMSC
2023-03-10,23.56,24.0349,23.28,23.96,23.239676,3191,3200,0.4,1.7,23.63,"March 10, 23",0.017,CMSC
2023-03-09,24.2,24.29,23.73,23.95,23.229977,6850,6900,-0.25,-1.03,24.07,"March 09, 23",-0.0103,CMSC
2023-03-08,24.11,24.3,24.11,24.3,23.569452,8535,8500,0.19,0.78805,24.26,"March 08, 23",0.0078805,CMSC
2023-03-07,24.27,24.31,24.17,24.17,23.443361,4754,4800,-0.1,-0.41203,24.25,"March 07, 23",-0.0041203,CMSC
2023-03-06,24.3594,24.3594,24.245,24.25,23.520956,3934,3900,-0.1094,-0.44911,24.28,"March 06, 23",-0.0044911,CMSC
2023-03-03,24.4193,24.4193,24.29,24.34,23.60825,9090,9100,-0.0793,-0.32474,24.32,"March 03, 23",-0.0032474,CMSC
2023-03-02,24.3999,24.3999,24.01,24.24,23.511259,11471,11500,-0.1599,-0.65533,24.18,"March 02, 23",-0.0065533,CMSC
2023-03-01,24.51,24.51,24.27,24.315,23.588852,12078,12100,-0.195,-0.79559,24.31,"March 01, 23",-0.0079559,CMSC
2023-02-28,24.26,24.56,24.26,24.56,23.821636,29236,29200,0.3,1.24,24.5,"February 28, 23",0.0124,CMSC
2023-02-27,24.26,24.4,24.2087,24.4,23.666447,8358,8400,0.14,0.57708,24.31,"February 27, 23",0.0057708,CMSC
2023-02-24,24.21,24.32,24.1023,24.26,23.530655,8168,8200,0.05,0.20653,24.24,"February 24, 23",0.0020653,CMSC
2023-02-23,24.27,24.45,24.23,24.45,23.714945,7439,7400,0.18,0.74166,24.29,"February 23, 23",0.0074166,CMSC
2023-02-22,23.96,24.22,23.96,24.22,23.491859,5517,5500,0.26,1.09,24.06,"February 22, 23",0.0109,CMSC
2023-02-21,24.43,24.43,23.87,23.96,23.239676,15130,15100,-0.47,-1.92,24.05,"February 21, 23",-0.0192,CMSC
2023-02-17,24.63,24.63,24.3101,24.52,23.782839,9254,9300,-0.11,-0.44661,24.48,"February 17, 23",-0.0044661,CMSC
2023-02-16,24.6,24.7,24.43,24.6,23.860435,4914,4900,0.0,0.0,24.6,"February 16, 23",0.0,CMSC
2023-02-15,24.65,24.73,24.63,24.7,23.95743,9251,9300,0.05,0.20284,24.67,"February 15, 23",0.0020284,CMSC
