date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,6.62,7.75,6.41,7.69,7.69,3861129,3839779,1.07,16.16,7.24,"July 11, 23",0.1616,CRBU
2023-07-10,7.46,7.78,6.57,6.64,6.64,5447953,5448000,-0.82,-10.99,7.03,"July 10, 23",-0.1099,CRBU
2023-07-07,5.959,7.49,5.8,7.26,7.26,13057964,13028900,1.301,21.83,6.82,"July 07, 23",0.2183,CRBU
2023-07-06,5.6,6.88,5.44,5.94,5.94,83432594,83355100,0.34,6.07,6.24,"July 06, 23",0.0607,CRBU
2023-07-05,4.08,4.18,4.04,4.08,4.08,594774,594700,0.0,0.0,4.11,"July 05, 23",0.0,CRBU
2023-07-03,4.23,4.23,4.0109,4.08,4.08,515936,515900,-0.15,-3.55,4.09,"July 03, 23",-0.0355,CRBU
2023-06-30,4.13,4.3,4.04,4.25,4.25,867430,867300,0.12,2.91,4.2,"June 30, 23",0.0291,CRBU
2023-06-29,4.03,4.09,3.9793,4.08,4.08,576216,576100,0.05,1.24,4.05,"June 29, 23",0.0124,CRBU
2023-06-28,4.06,4.11,3.98,4.04,4.04,670833,670800,-0.02,-0.49261,4.05,"June 28, 23",-0.0049261,CRBU
2023-06-27,4.09,4.145,3.96,4.09,4.09,752279,752300,0.0,0.0,4.06,"June 27, 23",0.0,CRBU
2023-06-26,4.29,4.33,4.07,4.08,4.08,588662,588500,-0.21,-4.9,4.19,"June 26, 23",-0.049,CRBU
2023-06-23,4.21,4.44,4.05,4.33,4.33,1918893,1918600,0.12,2.85,4.27,"June 23, 23",0.0285,CRBU
2023-06-22,4.19,4.27,4.05,4.26,4.26,1016493,1014500,0.07,1.67,4.16,"June 22, 23",0.0167,CRBU
2023-06-21,4.1,4.2,3.99,4.17,4.17,1156015,1156000,0.07,1.71,4.1,"June 21, 23",0.0171,CRBU
2023-06-20,4.35,4.35,4.09,4.1,4.1,1664551,1661700,-0.25,-5.75,4.18,"June 20, 23",-0.0575,CRBU
2023-06-16,4.65,4.65,4.3,4.34,4.34,6656760,6654300,-0.31,-6.67,4.36,"June 16, 23",-0.0667,CRBU
2023-06-15,4.58,4.66,4.41,4.6,4.6,785190,785200,0.02,0.43668,4.58,"June 15, 23",0.0043668,CRBU
2023-06-14,4.9,4.93,4.51,4.63,4.63,667912,667800,-0.27,-5.51,4.69,"June 14, 23",-0.0551,CRBU
2023-06-13,4.63,4.95,4.56,4.89,4.89,763675,763600,0.26,5.62,4.84,"June 13, 23",0.0562,CRBU
2023-06-12,4.35,4.64,4.18,4.64,4.64,954909,954900,0.29,6.67,4.52,"June 12, 23",0.0667,CRBU
