date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,63.11,63.9,62.2,63.88,63.880001,34650,33883,0.77,1.22,63.58,"July 11, 23",0.0122,CSR
2023-07-10,62.22,63.63,61.6,63.03,63.029999,59338,59300,0.81,1.3,63.03,"July 10, 23",0.013,CSR
2023-07-07,62.32,63.145,60.085,62.44,62.439999,66179,66200,0.12,0.19255,62.47,"July 07, 23",0.0019255,CSR
2023-07-06,61.58,62.62,60.43,62.19,62.189999,89470,89500,0.61,0.99058,62.23,"July 06, 23",0.0099058,CSR
2023-07-05,62.13,62.78,61.16,62.15,62.150002,68889,68900,0.02,0.03219057,62.15,"July 05, 23",0.0003219057,CSR
2023-07-03,61.38,62.31,60.99,62.27,62.27,29531,29500,0.89,1.45,62.03,"July 03, 23",0.0145,CSR
2023-06-30,61.72,62.8,60.0,61.36,61.360001,118326,118300,-0.36,-0.58328,61.05,"June 30, 23",-0.0058328,CSR
2023-06-29,59.51,61.12,59.51,61.05,61.049999,44335,44300,1.54,2.59,60.68,"June 29, 23",0.0259,CSR
2023-06-28,60.46,60.535,59.5,60.07,59.34,79420,79400,-0.39,-0.64505,60.06,"June 28, 23",-0.0064505,CSR
2023-06-27,59.49,60.63,59.16,60.37,59.636353,36566,36600,0.88,1.48,60.31,"June 27, 23",0.0148,CSR
2023-06-26,58.05,59.97,58.05,59.42,58.697899,47077,47100,1.37,2.36,59.55,"June 26, 23",0.0236,CSR
2023-06-23,59.34,59.39,57.6,58.05,57.344547,121241,121200,-1.29,-2.17,58.08,"June 23, 23",-0.0217,CSR
2023-06-22,61.18,61.18,58.98,59.67,58.944859,81985,82000,-1.51,-2.47,59.54,"June 22, 23",-0.0247,CSR
2023-06-21,61.64,61.64,60.74,61.1,60.357483,58411,58400,-0.54,-0.87605,61.14,"June 21, 23",-0.0087605,CSR
2023-06-20,62.54,62.54,61.22,61.7,60.950191,63360,63400,-0.84,-1.34,61.79,"June 20, 23",-0.0134,CSR
2023-06-16,62.72,62.93,62.02,62.68,61.918282,198787,198800,-0.04,-0.06377551,62.61,"June 16, 23",-0.0006377551,CSR
